event_id,family_id,lane_id,control_trade_id,universe_id,period_id,pair,decision_time,governor_state,horizon_hours,exit_time,entry_open,exit_open,forward_return
10572,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10572,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10575,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10575,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10575,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10567,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10567,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10567,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10570,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10570,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10570,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
