changed_members,comparison,decision_time,exact_match,jaccard,left_eligible_count,mean_common_rank_displacement,right_eligible_count,symmetric_difference_size,top_n
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-05-13T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-05-20T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-05-27T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,0.0,14,0,4
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,0.0,14,0,6
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,0.0,14,0,8
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,0.0,14,0,10
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,0.0,14,0,30
,C_P0B_vs_C2,2019-06-03T00:00:00+00:00,True,1.0,14,6.0,14,0,HYSTERESIS
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,0.0,15,0,4
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,0.0,15,0,6
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,0.0,15,0,8
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,0.0,15,0,10
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,0.0,15,0,30
,C_P0B_vs_C2,2019-06-10T00:00:00+00:00,True,1.0,15,6.0,15,0,HYSTERESIS
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,0.0,15,0,4
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,0.0,15,0,6
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,0.0,15,0,8
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,0.0,15,0,10
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,0.0,15,0,30
,C_P0B_vs_C2,2019-06-17T00:00:00+00:00,True,1.0,15,6.0,15,0,HYSTERESIS
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,0.0,15,0,4
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,0.0,15,0,6
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,0.0,15,0,8
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,0.0,15,0,10
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,0.0,15,0,30
,C_P0B_vs_C2,2019-06-24T00:00:00+00:00,True,1.0,15,6.0,15,0,HYSTERESIS
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,0.0,15,0,4
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,0.0,15,0,6
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,0.0,15,0,8
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,0.0,15,0,10
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,0.0,15,0,30
,C_P0B_vs_C2,2019-07-01T00:00:00+00:00,True,1.0,15,6.0,15,0,HYSTERESIS
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,0.0,15,0,4
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,0.0,15,0,6
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,0.0,15,0,8
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,0.0,15,0,10
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,0.0,15,0,30
,C_P0B_vs_C2,2019-07-08T00:00:00+00:00,True,1.0,15,6.0,15,0,HYSTERESIS
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-07-15T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-07-22T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-07-29T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-08-05T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-08-12T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,0.0,16,0,4
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,0.0,16,0,6
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,0.0,16,0,8
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,0.0,16,0,10
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,0.0,16,0,30
,C_P0B_vs_C2,2019-08-19T00:00:00+00:00,True,1.0,16,6.0,16,0,HYSTERESIS
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,0.0,17,0,4
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,0.0,17,0,6
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,0.0,17,0,8
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,0.0,17,0,10
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,0.0,17,0,30
,C_P0B_vs_C2,2019-08-26T00:00:00+00:00,True,1.0,17,6.0,17,0,HYSTERESIS
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,0.0,18,0,4
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,0.0,18,0,6
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,0.0,18,0,8
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,0.0,18,0,10
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,0.0,18,0,30
,C_P0B_vs_C2,2019-09-02T00:00:00+00:00,True,1.0,18,6.0,18,0,HYSTERESIS
