applicable_end,applicable_start,boundary_status,coverage_ratio,covered_pair_days,documented_inactivity_boundary,expected_applicable_pair_days,first_valid_open,last_valid_open,missing_pair_days,pair,product_eligible
2024-12-31T00:00:00+00:00,2021-08-05T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1245,True,1245,2021-08-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ERG-USDT,True
2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,EXACT_FULL_HISTORY,0.9872262773722628,2164,True,2192,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,28,ETC-USDT,True
2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2192,True,2192,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ETH-USDT,True
2024-12-31T00:00:00+00:00,2022-09-26T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,828,True,828,2022-09-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ETHW-USDT,True
2024-12-31T00:00:00+00:00,2019-07-10T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2002,True,2002,2019-07-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ETN-USDT,True
2024-12-31T00:00:00+00:00,2022-10-26T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,798,True,798,2022-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,EUL-USDT,True
2024-12-31T00:00:00+00:00,2020-08-26T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1589,True,1589,2020-08-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,EWT-USDT,True
2024-12-31T00:00:00+00:00,2023-02-20T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,681,True,681,2023-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FET-USDT,True
2024-12-31T00:00:00+00:00,2022-07-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,894,True,894,2022-07-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FIDA-USDT,True
2024-12-31T00:00:00+00:00,2020-10-15T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1539,True,1539,2020-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FIL-USDT,True
