base_token,canonical_product_id,classification,classification_evidence,exclusion_reason,historical_row_count,is_product,leverage_direction,leverage_multiplier,pair,product_eligible,registered,variant_c2_presence,variant_d2_presence
BOSON,BOSON,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1363,False,,,BOSON-USDT,True,False,True,True
BRISE,BRISE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,978,False,,,BRISE-USDT,True,False,True,True
BTC,BTC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2192,False,,,BTC-USDT,True,False,True,True
BTT,BTT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1975,False,,,BTT-USDT,True,False,True,True
C98,C98,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1189,False,,,C98-USDT,True,False,True,True
CAKE,CAKE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1411,False,,,CAKE-USDT,True,False,True,True
CCD,CCD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,950,False,,,CCD-USDT,True,False,True,True
CELO,CELO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1330,False,,,CELO-USDT,True,False,True,True
CELR,CELR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,982,False,,,CELR-USDT,True,False,True,True
CERE,CERE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1150,False,,,CERE-USDT,True,False,True,True
CETUS,CETUS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,602,False,,,CETUS-USDT,True,False,True,True
CFG,CFG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1267,False,,,CFG-USDT,True,False,True,True
CFX,CFX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1006,False,,,CFX-USDT,True,False,True,True
CFX2L,CFX2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,644,True,L,2,CFX2L-USDT,False,True,False,False
CFX2S,CFX2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,644,True,S,2,CFX2S-USDT,False,True,False,False
CGPT,CGPT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,632,False,,,CGPT-USDT,True,False,True,False
CHR,CHR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2045,False,,,CHR-USDT,True,False,True,False
CHZ,CHZ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1387,False,,,CHZ-USDT,True,False,True,True
CKB,CKB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1580,False,,,CKB-USDT,True,False,True,True
COMP,COMP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1650,False,,,COMP-USDT,True,False,True,False
COQ,COQ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,380,False,,,COQ-USDT,True,False,True,True
COTI,COTI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2038,False,,,COTI-USDT,True,False,True,False
CPOOL,CPOOL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1161,False,,,CPOOL-USDT,True,False,True,True
CREDI,CREDI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1119,False,,,CREDI-USDT,True,False,True,True
CRO,CRO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1644,False,,,CRO-USDT,True,False,True,True
CRV,CRV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1441,False,,,CRV-USDT,True,False,True,True
CSPR,CSPR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,917,False,,,CSPR-USDT,True,False,True,True
CTC,CTC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1084,False,,,CTC-USDT,True,False,True,True
CTSI,CTSI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1196,False,,,CTSI-USDT,True,False,True,True
CVX,CVX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1064,False,,,CVX-USDT,True,False,True,True
CWEB,CWEB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1098,False,,,CWEB-USDT,True,False,True,True
CYBER,CYBER,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,427,False,,,CYBER-USDT,True,False,True,True
DAG,DAG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1871,False,,,DAG-USDT,True,False,True,False
DAO,DAO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1422,False,,,DAO-USDT,True,False,True,True
DASH,DASH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1773,False,,,DASH-USDT,True,False,True,False
DCK,DCK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,531,False,,,DCK-USDT,True,False,True,True
DCR,DCR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,406,False,,,DCR-USDT,True,False,True,False
DENT,DENT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,404,False,,,DENT-USDT,True,False,True,False
DEXE,DEXE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1192,False,,,DEXE-USDT,True,False,True,True
DGB,DGB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1694,False,,,DGB-USDT,True,False,True,False
DIA,DIA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1597,False,,,DIA-USDT,True,False,True,True
DMTR,DMTR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1197,False,,,DMTR-USDT,True,False,True,True
DODO,DODO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1366,False,,,DODO-USDT,True,False,True,True
DOGE,DOGE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1422,False,,,DOGE-USDT,True,False,True,True
DOT,DOT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1594,False,,,DOT-USDT,True,False,True,True
DUSK,DUSK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,964,False,,,DUSK-USDT,True,False,True,True
DYDX,DYDX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1210,False,,,DYDX-USDT,True,False,True,True
EDU,EDU,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,581,False,,,EDU-USDT,True,False,True,True
EGLD,EGLD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1205,False,,,EGLD-USDT,True,False,True,True
ELON,ELON,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1314,False,,,ELON-USDT,True,False,True,True
ENJ,ENJ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1386,False,,,ENJ-USDT,True,False,True,False
ENS,ENS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1148,False,,,ENS-USDT,True,False,True,True
ERG,ERG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1245,False,,,ERG-USDT,True,False,True,True
ETC,ETC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2164,False,,,ETC-USDT,True,False,True,False
ETH,ETH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2192,False,,,ETH-USDT,True,False,True,True
ETHW,ETHW,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,828,False,,,ETHW-USDT,True,False,True,True
ETN,ETN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2002,False,,,ETN-USDT,True,False,True,False
EUL,EUL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,798,False,,,EUL-USDT,True,False,True,True
EWT,EWT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1589,False,,,EWT-USDT,True,False,True,True
FET,FET,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,681,False,,,FET-USDT,True,False,True,True
FIDA,FIDA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,894,False,,,FIDA-USDT,True,False,True,True
FIL,FIL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1539,False,,,FIL-USDT,True,False,True,True
FITFI,FITFI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,971,False,,,FITFI-USDT,True,False,True,True
FLIP,FLIP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,405,False,,,FLIP-USDT,True,False,True,True
FLOKI,FLOKI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,684,False,,,FLOKI-USDT,True,False,True,True
FLOW,FLOW,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1205,False,,,FLOW-USDT,True,False,True,True
FLR,FLR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,722,False,,,FLR-USDT,True,False,True,True
FLUX,FLUX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1370,False,,,FLUX-USDT,True,False,True,True
FORT,FORT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,922,False,,,FORT-USDT,True,False,True,True
FORTH,FORTH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1350,False,,,FORTH-USDT,True,False,True,True
FTT,FTT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1195,False,,,FTT-USDT,True,False,True,True
GAFI,GAFI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1113,False,,,GAFI-USDT,True,False,True,True
GALAX,GALAX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1237,False,,,GALAX-USDT,True,False,True,True
GAS,GAS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1398,False,,,GAS-USDT,True,False,True,False
GHX,GHX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1343,False,,,GHX-USDT,True,False,True,True
GLM,GLM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1140,False,,,GLM-USDT,True,False,True,True
GLMR,GLMR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1086,False,,,GLMR-USDT,True,False,True,True
GLQ,GLQ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1324,False,,,GLQ-USDT,True,False,True,True
GMEE,GMEE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1302,False,,,GMEE-USDT,True,False,True,True
GMT,GMT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1020,False,,,GMT-USDT,True,False,True,True
GMX,GMX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,810,False,,,GMX-USDT,True,False,True,True
GODS,GODS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1129,False,,,GODS-USDT,True,False,True,True
GRAM,GRAM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,797,False,,,GRAM-USDT,True,False,True,False
GRT,GRT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1475,False,,,GRT-USDT,True,False,True,True
GRT2L,GRT2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,188,True,L,2,GRT2L-USDT,False,True,False,False
GRT2S,GRT2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,188,True,S,2,GRT2S-USDT,False,True,False,False
GTC,GTC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1210,False,,,GTC-USDT,True,False,True,True
HAI,HAI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1350,False,,,HAI-USDT,True,False,True,True
HBAR,HBAR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1205,False,,,HBAR-USDT,True,False,True,True
HEART,HEART,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1115,False,,,HEART-USDT,True,False,True,True
HFT,HFT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,786,False,,,HFT-USDT,True,False,True,True
HIGH,HIGH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,693,False,,,HIGH-USDT,True,False,True,True
HMND,HMND,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,643,False,,,HMND-USDT,True,False,True,True
HNT,HNT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1092,False,,,HNT-USDT,True,False,True,True
HTR,HTR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1458,False,,,HTR-USDT,True,False,True,True
HYDRA,HYDRA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1448,False,,,HYDRA-USDT,True,False,True,True
ICP,ICP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1331,False,,,ICP-USDT,True,False,True,True
ICX,ICX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,929,False,,,ICX-USDT,True,False,True,True
ID,ID,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,651,False,,,ID-USDT,True,False,True,True
ILV,ILV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1195,False,,,ILV-USDT,True,False,True,True
IMX,IMX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1129,False,,,IMX-USDT,True,False,True,True
INJ,INJ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1169,False,,,INJ-USDT,True,False,True,True
INSP,INSP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,392,False,,,INSP-USDT,True,False,True,True
IOST,IOST,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1379,False,,,IOST-USDT,True,False,True,True
IOTA,IOTA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1097,False,,,IOTA-USDT,True,False,True,True
ISLM,ISLM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,449,False,,,ISLM-USDT,True,False,True,True
ISP,ISP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1153,False,,,ISP-USDT,True,False,True,True
JASMY,JASMY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1162,False,,,JASMY-USDT,True,False,True,True
JST,JST,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1609,False,,,JST-USDT,True,False,True,True
JTO,JTO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,391,False,,,JTO-USDT,True,False,True,True
KACE,KACE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,355,False,,,KACE-USDT,True,False,True,True
KAS,KAS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,606,False,,,KAS-USDT,True,False,True,False
KAVA,KAVA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1134,False,,,KAVA-USDT,True,False,True,True
KCS,KCS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2168,False,,,KCS-USDT,True,False,True,True
KLV,KLV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1426,False,,,KLV-USDT,True,False,True,True
KNC,KNC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,981,False,,,KNC-USDT,True,False,True,False
KPOL,KPOL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1727,False,,,KPOL-USDT,True,False,True,False
KRL,KRL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1387,False,,,KRL-USDT,True,False,True,True
KSM,KSM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1785,False,,,KSM-USDT,True,False,True,True
LADYS,LADYS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,590,False,,,LADYS-USDT,True,False,True,True
LDO,LDO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,908,False,,,LDO-USDT,True,False,True,True
LIKE,LIKE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1135,False,,,LIKE-USDT,True,False,True,True
LINK,LINK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1595,False,,,LINK-USDT,True,False,True,True
LMWR,LMWR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,596,False,,,LMWR-USDT,True,False,True,True
LOCUS,LOCUS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,621,False,,,LOCUS-USDT,True,False,True,False
LPT,LPT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1281,False,,,LPT-USDT,True,False,True,True
LQTY,LQTY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,657,False,,,LQTY-USDT,True,False,True,True
LRC,LRC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1428,False,,,LRC-USDT,True,False,True,True
LSK,LSK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,404,False,,,LSK-USDT,True,False,True,False
LTC,LTC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2173,False,,,LTC-USDT,True,False,True,True
LUNA,LUNA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,949,False,,,LUNA-USDT,True,False,True,True
LUNC,LUNC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,951,False,,,LUNC-USDT,True,False,True,True
LYX,LYX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,527,False,,,LYX-USDT,True,False,True,False
MAGIC,MAGIC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,715,False,,,MAGIC-USDT,True,False,True,True
MAN,MAN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1365,False,,,MAN-USDT,True,False,True,False
MANA,MANA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1386,False,,,MANA-USDT,True,False,True,False
MANTA,MANTA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,349,False,,,MANTA-USDT,True,False,True,True
MAPO,MAPO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,248,False,,,MAPO-USDT,True,False,True,False
MARS4,MARS4,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1038,False,,,MARS4-USDT,True,False,True,True
MASK,MASK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1407,False,,,MASK-USDT,True,False,True,True
MAV,MAV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,553,False,,,MAV-USDT,True,False,True,True
MBL,MBL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,964,False,,,MBL-USDT,True,False,True,True
MEME,MEME,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,425,False,,,MEME-USDT,True,False,True,True
METIS,METIS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1035,False,,,METIS-USDT,True,False,True,True
MINA,MINA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,665,False,,,MINA-USDT,True,False,True,True
MLK,MLK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1609,False,,,MLK-USDT,True,False,True,True
MNT,MNT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,398,False,,,MNT-USDT,True,False,True,True
MONPRO,MONPRO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,219,False,,,MONPRO-USDT,True,False,True,False
MOVR,MOVR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1223,False,,,MOVR-USDT,True,False,True,True
MTL,MTL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1238,False,,,MTL-USDT,True,False,True,True
MTRG,MTRG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1156,False,,,MTRG-USDT,True,False,True,True
