execution_order,variant_id,partition_id,universe_id,cost_multiplier
55,RD19_P2_V04,DISCOVERY_CORE,C2,1.0
56,RD19_P2_V04,DISCOVERY_CORE,C2,2.0
57,RD19_P2_V04,DISCOVERY_CORE,D2,1.0
58,RD19_P2_V04,DISCOVERY_CORE,D2,2.0
59,RD19_P2_V04,DISCOVERY_CORE,E2,1.0
60,RD19_P2_V04,DISCOVERY_CORE,E2,2.0
61,RD19_P2_V04,VALIDATION_2022,C2,1.0
62,RD19_P2_V04,VALIDATION_2022,C2,2.0
63,RD19_P2_V04,VALIDATION_2022,D2,1.0
64,RD19_P2_V04,VALIDATION_2022,D2,2.0
65,RD19_P2_V04,VALIDATION_2022,E2,1.0
66,RD19_P2_V04,VALIDATION_2022,E2,2.0
67,RD19_P2_V04,STRESS_2023,C2,1.0
68,RD19_P2_V04,STRESS_2023,C2,2.0
69,RD19_P2_V04,STRESS_2023,D2,1.0
70,RD19_P2_V04,STRESS_2023,D2,2.0
71,RD19_P2_V04,STRESS_2023,E2,1.0
72,RD19_P2_V04,STRESS_2023,E2,2.0
73,RD19_P2_V05,DISCOVERY_CORE,C2,1.0
74,RD19_P2_V05,DISCOVERY_CORE,C2,2.0
75,RD19_P2_V05,DISCOVERY_CORE,D2,1.0
76,RD19_P2_V05,DISCOVERY_CORE,D2,2.0
77,RD19_P2_V05,DISCOVERY_CORE,E2,1.0
78,RD19_P2_V05,DISCOVERY_CORE,E2,2.0
79,RD19_P2_V05,VALIDATION_2022,C2,1.0
80,RD19_P2_V05,VALIDATION_2022,C2,2.0
81,RD19_P2_V05,VALIDATION_2022,D2,1.0
82,RD19_P2_V05,VALIDATION_2022,D2,2.0
83,RD19_P2_V05,VALIDATION_2022,E2,1.0
84,RD19_P2_V05,VALIDATION_2022,E2,2.0
85,RD19_P2_V05,STRESS_2023,C2,1.0
86,RD19_P2_V05,STRESS_2023,C2,2.0
87,RD19_P2_V05,STRESS_2023,D2,1.0
88,RD19_P2_V05,STRESS_2023,D2,2.0
89,RD19_P2_V05,STRESS_2023,E2,1.0
90,RD19_P2_V05,STRESS_2023,E2,2.0
91,RD19_P2_V06,DISCOVERY_CORE,C2,1.0
92,RD19_P2_V06,DISCOVERY_CORE,C2,2.0
93,RD19_P2_V06,DISCOVERY_CORE,D2,1.0
94,RD19_P2_V06,DISCOVERY_CORE,D2,2.0
95,RD19_P2_V06,DISCOVERY_CORE,E2,1.0
96,RD19_P2_V06,DISCOVERY_CORE,E2,2.0
97,RD19_P2_V06,VALIDATION_2022,C2,1.0
98,RD19_P2_V06,VALIDATION_2022,C2,2.0
99,RD19_P2_V06,VALIDATION_2022,D2,1.0
100,RD19_P2_V06,VALIDATION_2022,D2,2.0
101,RD19_P2_V06,VALIDATION_2022,E2,1.0
102,RD19_P2_V06,VALIDATION_2022,E2,2.0
103,RD19_P2_V06,STRESS_2023,C2,1.0
104,RD19_P2_V06,STRESS_2023,C2,2.0
105,RD19_P2_V06,STRESS_2023,D2,1.0
106,RD19_P2_V06,STRESS_2023,D2,2.0
107,RD19_P2_V06,STRESS_2023,E2,1.0
108,RD19_P2_V06,STRESS_2023,E2,2.0
109,RD19_P2_V07,DISCOVERY_CORE,C2,1.0
110,RD19_P2_V07,DISCOVERY_CORE,C2,2.0
111,RD19_P2_V07,DISCOVERY_CORE,D2,1.0
112,RD19_P2_V07,DISCOVERY_CORE,D2,2.0
113,RD19_P2_V07,DISCOVERY_CORE,E2,1.0
114,RD19_P2_V07,DISCOVERY_CORE,E2,2.0
115,RD19_P2_V07,VALIDATION_2022,C2,1.0
116,RD19_P2_V07,VALIDATION_2022,C2,2.0
117,RD19_P2_V07,VALIDATION_2022,D2,1.0
118,RD19_P2_V07,VALIDATION_2022,D2,2.0
119,RD19_P2_V07,VALIDATION_2022,E2,1.0
120,RD19_P2_V07,VALIDATION_2022,E2,2.0
121,RD19_P2_V07,STRESS_2023,C2,1.0
122,RD19_P2_V07,STRESS_2023,C2,2.0
123,RD19_P2_V07,STRESS_2023,D2,1.0
124,RD19_P2_V07,STRESS_2023,D2,2.0
125,RD19_P2_V07,STRESS_2023,E2,1.0
126,RD19_P2_V07,STRESS_2023,E2,2.0
127,RD19_P2_V08,DISCOVERY_CORE,C2,1.0
128,RD19_P2_V08,DISCOVERY_CORE,C2,2.0
129,RD19_P2_V08,DISCOVERY_CORE,D2,1.0
130,RD19_P2_V08,DISCOVERY_CORE,D2,2.0
131,RD19_P2_V08,DISCOVERY_CORE,E2,1.0
132,RD19_P2_V08,DISCOVERY_CORE,E2,2.0
133,RD19_P2_V08,VALIDATION_2022,C2,1.0
134,RD19_P2_V08,VALIDATION_2022,C2,2.0
135,RD19_P2_V08,VALIDATION_2022,D2,1.0
136,RD19_P2_V08,VALIDATION_2022,D2,2.0
137,RD19_P2_V08,VALIDATION_2022,E2,1.0
138,RD19_P2_V08,VALIDATION_2022,E2,2.0
139,RD19_P2_V08,STRESS_2023,C2,1.0
140,RD19_P2_V08,STRESS_2023,C2,2.0
141,RD19_P2_V08,STRESS_2023,D2,1.0
142,RD19_P2_V08,STRESS_2023,D2,2.0
143,RD19_P2_V08,STRESS_2023,E2,1.0
144,RD19_P2_V08,STRESS_2023,E2,2.0
145,RD19_P2_V09,DISCOVERY_CORE,C2,1.0
146,RD19_P2_V09,DISCOVERY_CORE,C2,2.0
147,RD19_P2_V09,DISCOVERY_CORE,D2,1.0
148,RD19_P2_V09,DISCOVERY_CORE,D2,2.0
149,RD19_P2_V09,DISCOVERY_CORE,E2,1.0
150,RD19_P2_V09,DISCOVERY_CORE,E2,2.0
151,RD19_P2_V09,VALIDATION_2022,C2,1.0
152,RD19_P2_V09,VALIDATION_2022,C2,2.0
153,RD19_P2_V09,VALIDATION_2022,D2,1.0
154,RD19_P2_V09,VALIDATION_2022,D2,2.0
155,RD19_P2_V09,VALIDATION_2022,E2,1.0
156,RD19_P2_V09,VALIDATION_2022,E2,2.0
157,RD19_P2_V09,STRESS_2023,C2,1.0
158,RD19_P2_V09,STRESS_2023,C2,2.0
159,RD19_P2_V09,STRESS_2023,D2,1.0
160,RD19_P2_V09,STRESS_2023,D2,2.0
161,RD19_P2_V09,STRESS_2023,E2,1.0
162,RD19_P2_V09,STRESS_2023,E2,2.0
163,RD19_P2_V10,DISCOVERY_CORE,C2,1.0
164,RD19_P2_V10,DISCOVERY_CORE,C2,2.0
165,RD19_P2_V10,DISCOVERY_CORE,D2,1.0
166,RD19_P2_V10,DISCOVERY_CORE,D2,2.0
167,RD19_P2_V10,DISCOVERY_CORE,E2,1.0
168,RD19_P2_V10,DISCOVERY_CORE,E2,2.0
169,RD19_P2_V10,VALIDATION_2022,C2,1.0
170,RD19_P2_V10,VALIDATION_2022,C2,2.0
171,RD19_P2_V10,VALIDATION_2022,D2,1.0
172,RD19_P2_V10,VALIDATION_2022,D2,2.0
173,RD19_P2_V10,VALIDATION_2022,E2,1.0
174,RD19_P2_V10,VALIDATION_2022,E2,2.0
175,RD19_P2_V10,STRESS_2023,C2,1.0
176,RD19_P2_V10,STRESS_2023,C2,2.0
177,RD19_P2_V10,STRESS_2023,D2,1.0
178,RD19_P2_V10,STRESS_2023,D2,2.0
179,RD19_P2_V10,STRESS_2023,E2,1.0
180,RD19_P2_V10,STRESS_2023,E2,2.0
181,RD19_P2_V11,DISCOVERY_CORE,C2,1.0
182,RD19_P2_V11,DISCOVERY_CORE,C2,2.0
183,RD19_P2_V11,DISCOVERY_CORE,D2,1.0
184,RD19_P2_V11,DISCOVERY_CORE,D2,2.0
185,RD19_P2_V11,DISCOVERY_CORE,E2,1.0
186,RD19_P2_V11,DISCOVERY_CORE,E2,2.0
187,RD19_P2_V11,VALIDATION_2022,C2,1.0
188,RD19_P2_V11,VALIDATION_2022,C2,2.0
189,RD19_P2_V11,VALIDATION_2022,D2,1.0
190,RD19_P2_V11,VALIDATION_2022,D2,2.0
191,RD19_P2_V11,VALIDATION_2022,E2,1.0
192,RD19_P2_V11,VALIDATION_2022,E2,2.0
193,RD19_P2_V11,STRESS_2023,C2,1.0
194,RD19_P2_V11,STRESS_2023,C2,2.0
195,RD19_P2_V11,STRESS_2023,D2,1.0
196,RD19_P2_V11,STRESS_2023,D2,2.0
197,RD19_P2_V11,STRESS_2023,E2,1.0
198,RD19_P2_V11,STRESS_2023,E2,2.0
199,RD19_P2_V12,DISCOVERY_CORE,C2,1.0
200,RD19_P2_V12,DISCOVERY_CORE,C2,2.0
201,RD19_P2_V12,DISCOVERY_CORE,D2,1.0
202,RD19_P2_V12,DISCOVERY_CORE,D2,2.0
203,RD19_P2_V12,DISCOVERY_CORE,E2,1.0
204,RD19_P2_V12,DISCOVERY_CORE,E2,2.0
205,RD19_P2_V12,VALIDATION_2022,C2,1.0
206,RD19_P2_V12,VALIDATION_2022,C2,2.0
207,RD19_P2_V12,VALIDATION_2022,D2,1.0
208,RD19_P2_V12,VALIDATION_2022,D2,2.0
209,RD19_P2_V12,VALIDATION_2022,E2,1.0
210,RD19_P2_V12,VALIDATION_2022,E2,2.0
211,RD19_P2_V12,STRESS_2023,C2,1.0
212,RD19_P2_V12,STRESS_2023,C2,2.0
213,RD19_P2_V12,STRESS_2023,D2,1.0
214,RD19_P2_V12,STRESS_2023,D2,2.0
215,RD19_P2_V12,STRESS_2023,E2,1.0
216,RD19_P2_V12,STRESS_2023,E2,2.0
