pair,symbol,rows,first_timestamp,last_timestamp,parquet_bytes,metadata_sha256,declared_parquet_sha256,data_exists,metadata_exists
ICP-USDT,ICP/USDT,31936,2021-05-11T09:00:00+00:00,2025-01-01T00:00:00+00:00,997496,91d227bdbd1cb53bc594e29c8c3c07b7ee55c8997359ee6822c44429624e6922,0401c09955771eb11c6c71dda569aad75703e0483bbf1133960edc70f4e4cb87,True,True
INJ-USDT,INJ/USDT,28046,2021-10-20T11:00:00+00:00,2025-01-01T00:00:00+00:00,980018,5a7cae5353f76f3dd7cc75ea2de5a885a81f7e6dffed3de019d8ca97bf18b95e,af9b2b3f7a149f361b158def480b55829bb09b862e694252561bafeef15bf3f1,True,True
JASMY-USDT,JASMY/USDT,27880,2021-10-27T09:00:00+00:00,2025-01-01T00:00:00+00:00,1106597,0939af40b17ecdef2a1e70d6f3e46260df93f8a5aabdc184e01406181c87eac0,418236dac5c86335a81e21e740d6c869fe81dbf2a57252ca82300d9b48c874b7,True,True
KAS-USDT,KAS/USDT,14534,2023-05-06T11:00:00+00:00,2025-01-01T00:00:00+00:00,628251,7165c5b96d3c5856cb1c5c2e1fac6d14eb14cd7695b87d7a020b44a6c91ee53f,550f9cca5250ac98d6bb893a431a5eb3e7d50739aa1bb0cf27c8555ddb941bc1,True,True
KCS-USDT,KCS/USDT,52607,2019-01-01T02:00:00+00:00,2025-01-01T00:00:00+00:00,2047225,8f778a080a672f0916f57fa52b3558392b8096c21fa1843867e3ca7d4c97266b,1213e113c36228b8350a36034d3fed318549bdadaffe90be7f85d18d128b2597,True,True
LINK-USDT,LINK/USDT,38270,2020-08-20T11:00:00+00:00,2025-01-01T00:00:00+00:00,1746808,524af3cd41817ba5bb2c67644939f39884c38341c15953e60bdb1155141781ab,08dc1c4ba647ae8aa7d621d49a13fa8a9412f655fc501e4f955cb9c180dc792e,True,True
LTC-USDT,LTC/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2212089,aae859e933037d31c8f0ea2ab8aa1a4484f4d6f838469de943b66b96038510a3,fcebc722158df6ba2c9b0e8a6f83c4cde730d0e80ba59760818b13fb38c27ed6,True,True
LUNC-USDT,LUNC/USDT,22807,2022-05-26T18:00:00+00:00,2025-01-01T00:00:00+00:00,935137,64277d49bc0c7dc2fc4e573ebf07e2d7ace309515eacbe7c8ee10ae14218185d,65bd007eaa32dcf3eec83f83c2b04e3ccb6d432a93cc5d93731eb363b6c974f3,True,True
MANA-USDT,MANA/USDT,33256,2021-03-17T09:00:00+00:00,2025-01-01T00:00:00+00:00,1644890,e3f6b610c9558d7193f576ebdfc1d957c4127db195fa493e26e29189275eba98,2af31f0aa3b2ca4a03d8f6196942a072ee639575ab81262cc9149e88cb984e49,True,True
NEAR-USDT,NEAR/USDT,30518,2021-07-09T11:00:00+00:00,2025-01-01T00:00:00+00:00,1334378,68eba2b49e7fea18a605349fcbe40f07f485cf5fcc3ae65152979ad76403f26b,7feecf78bd4cbfdae393b9ac0d754e57dcda9a2a33dace97065c33e63df48154,True,True
NEO-USDT,NEO/USDT,52607,2019-01-01T02:00:00+00:00,2025-01-01T00:00:00+00:00,2445343,88337297b31ea9d1f0fedb65b134e90d26c198b7763be1c64d49faab7806f7c2,43c32c282421df9e7cb402cca6b00998d198daf5af3af55ad124c9cad2921224,True,True
ONDO-USDT,ONDO/USDT,8364,2024-01-18T13:00:00+00:00,2025-01-01T00:00:00+00:00,432279,070816ef43f20171e531cd3035e4b2c6741d0ae241cc931b128ad7582e1c3620,262530f4966cf5ea42fa1d7a8f27f978f538687b868fb87b129d47bdc053309b,True,True
OP-USDT,OP/USDT,22687,2022-05-31T18:00:00+00:00,2025-01-01T00:00:00+00:00,599953,1af3f6168da779ac5e1d0f63a22a45550787be6ad0eaff7accabd30487584a46,14faa1c970a7e6cb73972b5ceabf01d4da8e8ca5287d0ae9e6dc6510d9232ec2,True,True
PEPE-USDT,PEPE/USDT,14556,2023-05-05T13:00:00+00:00,2025-01-01T00:00:00+00:00,517682,36ec8ba5a47b639590fd73884db84a115978733d9c92941467d75524ce0451e4,a82bbfe4ee3f79c03049475bd346d75a4429fa5b06f49eaf727d8f27725891c5,True,True
SAND-USDT,SAND/USDT,32894,2021-04-01T11:00:00+00:00,2025-01-01T00:00:00+00:00,1646324,3f833080b9988c52049f72676ebee3307d120e1cfcdd7e3ac78e4fa2b58392ec,55c92dc5fa8caf71905f61c544228bd122562b6bee312aed0582ea13f85cfd7c,True,True
SHIB-USDT,SHIB/USDT,31961,2021-05-10T08:00:00+00:00,2025-01-01T00:00:00+00:00,1195953,7cca774f28c592f762052b0459207c3f7244cb482ca25912e99167ce685370c9,73edfb07c68c519844fefab59db2011e92800d6d70a32976a1d87e59cdc07f87,True,True
SOL-USDT,SOL/USDT,29894,2021-08-04T11:00:00+00:00,2025-01-01T00:00:00+00:00,1265932,b38c5709182d317b9a565d9fe6a7c189de2c5865cc870321d914c7587ffb38b8,875f03b7b34277655770c3df8311e4d44cf94835ad0de698eefaca84850c8df5,True,True
SUI-USDT,SUI/USDT,14604,2023-05-03T13:00:00+00:00,2025-01-01T00:00:00+00:00,631337,416b35d43fdbbaf97bd30d11cec697cc10ab11b1a8dec162a3c7be5eaf7a369a,357c3d5d3f0c38d5e425196afc92935a65b9b809b7ac2a204dad57ce215dd007,True,True
TRX-USDT,TRX/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2445976,7e9a481223fc96fdb16c79f005b82123f91421be5149f6bc4deb22008d6e8d4e,fd8995b2f8b0b330cd89eca4a3177d37c187441a19b3e8246c515a9706c4f8d9,True,True
VET-USDT,VET/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2688484,f525044b5bb96686d14ac940358973261d514bae6c056a887f28b51c6719b43d,a97b5ed4e9d7a4e86e340842d660f2cd4e5950776800f4c9b9f29d09e23e3cd5,True,True
WIF-USDT,WIF/USDT,8363,2024-01-18T14:00:00+00:00,2025-01-01T00:00:00+00:00,361799,821f9100cf51d01f1be4bd85d8b6f32f5e544fad200fa467f03fe547015e5969,6947c8d265db7ad9ae77edc18ea0675803113e412e733172f9dfcf6e559dd082,True,True
XMR-USDT,XMR/USDT,33088,2021-03-24T09:00:00+00:00,2025-01-01T00:00:00+00:00,1030579,d68d89346a4b906385326d30d6f7906538b4378858bf1375d1eebe70a3a0c179,6c2d4cfe654c25dcaa294f19157453b9a162138a5d3d8617d0bc58ebe5bdb374,True,True
XRP-USDT,XRP/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2473870,be86a173fb47b90cbb8b79be6ac8698470410f5c12bf85ec5eebda866de95e0a,6bcabb39ed418cc7d6e6351b993e10c78a70b336aa9b3238d572b194cb8170eb,True,True
XTZ-USDT,XTZ/USDT,48325,2019-06-28T12:00:00+00:00,2025-01-01T00:00:00+00:00,2309460,82da787e7f42387ade13ecfa723e3a46f763c4f704e8f8fc5b04a6b41a5e4dea,155d21280a4a347df94d28075bd13cb6f3a13837c473f3535607a50debb72b8d,True,True
