asset,pair,confidence_class,eligible_weeks,top6_slots,top10_slots,hysteresis_slots,top6_slot_share,top10_slot_share,hysteresis_slot_share,first_eligible_week,first_top6_week,best_rank,median_rank,longest_top6_run
GRAM,GRAM-USDT,CURRENT_SEED_KLINE_CONFIRMED,101,5,37,3,0.03496503496503497,0.07628865979381444,0.02054794520547945,2023-01-30T00:00:00+00:00,2023-05-01T00:00:00+00:00,5,13.0,3
KAS,KAS-USDT,CURRENT_SEED_KLINE_CONFIRMED,74,2,24,2,0.013986013986013986,0.049484536082474224,0.0136986301369863,2023-08-07T00:00:00+00:00,2023-11-27T00:00:00+00:00,6,13.0,2
KNC,KNC-USDT,CURRENT_SEED_KLINE_CONFIRMED,127,0,0,0,0.0,0.0,0.0,2022-08-01T00:00:00+00:00,,151,272.0,0
KPOL,KPOL-USDT,CURRENT_SEED_KLINE_CONFIRMED,234,0,2,0,0.0,0.004123711340206186,0.0,2020-07-13T00:00:00+00:00,,9,119.5,0
LOCUS,LOCUS-USDT,CURRENT_SEED_KLINE_CONFIRMED,76,0,0,0,0.0,0.0,0.0,2023-07-24T00:00:00+00:00,,70,178.5,0
LSK,LSK-USDT,CURRENT_SEED_KLINE_CONFIRMED,45,0,0,0,0.0,0.0,0.0,2024-02-26T00:00:00+00:00,,234,321.0,0
LYX,LYX-USDT,CURRENT_SEED_KLINE_CONFIRMED,63,0,0,0,0.0,0.0,0.0,2023-10-23T00:00:00+00:00,,83,133.0,0
MAN,MAN-USDT,CURRENT_SEED_KLINE_CONFIRMED,182,0,0,0,0.0,0.0,0.0,2021-07-12T00:00:00+00:00,,39,187.5,0
MANA,MANA-USDT,CURRENT_SEED_KLINE_CONFIRMED,185,1,10,3,0.006993006993006993,0.020618556701030927,0.02054794520547945,2021-06-21T00:00:00+00:00,2021-11-29T00:00:00+00:00,5,59.0,1
MAPO,MAPO-USDT,CURRENT_SEED_KLINE_CONFIRMED,23,0,0,0,0.0,0.0,0.0,2024-07-29T00:00:00+00:00,,124,161.0,0
MONPRO,MONPRO-USDT,CURRENT_SEED_KLINE_CONFIRMED,19,0,0,0,0.0,0.0,0.0,2024-08-26T00:00:00+00:00,,90,111.0,0
MTV,MTV-USDT,CURRENT_SEED_KLINE_CONFIRMED,286,0,14,0,0.0,0.0288659793814433,0.0,2019-07-15T00:00:00+00:00,,9,82.0,0
NAVI,NAVI-USDT,CURRENT_SEED_KLINE_CONFIRMED,96,0,0,0,0.0,0.0,0.0,2023-03-06T00:00:00+00:00,,96,217.5,0
NEO,NEO-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,15,34,22,0.1048951048951049,0.07010309278350516,0.1506849315068493,2019-04-01T00:00:00+00:00,2019-04-01T00:00:00+00:00,5,63.0,15
NFP,NFP-USDT,CURRENT_SEED_KLINE_CONFIRMED,38,0,0,0,0.0,0.0,0.0,2024-04-15T00:00:00+00:00,,260,318.5,0
NXRA,NXRA-USDT,CURRENT_SEED_KLINE_CONFIRMED,82,0,0,0,0.0,0.0,0.0,2023-06-12T00:00:00+00:00,,61,112.5,0
ONT,ONT-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,0,4,0,0.0,0.008247422680412371,0.0,2019-04-01T00:00:00+00:00,,8,139.0,0
OORT,OORT-USDT,CURRENT_SEED_KLINE_CONFIRMED,15,0,0,0,0.0,0.0,0.0,2024-09-23T00:00:00+00:00,,117,298.0,0
ORDI,ORDI-USDT,CURRENT_SEED_KLINE_CONFIRMED,70,0,0,0,0.0,0.0,0.0,2023-09-04T00:00:00+00:00,,13,46.0,0
P2P,P2P-USDT,CURRENT_SEED_KLINE_CONFIRMED,158,0,0,0,0.0,0.0,0.0,2021-12-27T00:00:00+00:00,,109,191.0,0
PEPE,PEPE-USDT,CURRENT_SEED_KLINE_CONFIRMED,74,28,54,38,0.1958041958041958,0.11134020618556702,0.2602739726027397,2023-08-07T00:00:00+00:00,2023-08-28T00:00:00+00:00,4,7.0,17
PUNDIX,PUNDIX-USDT,CURRENT_SEED_KLINE_CONFIRMED,182,0,0,0,0.0,0.0,0.0,2021-07-12T00:00:00+00:00,,91,255.0,0
PZP,PZP-USDT,CURRENT_SEED_KLINE_CONFIRMED,76,0,0,0,0.0,0.0,0.0,2023-07-24T00:00:00+00:00,,84,202.5,0
QKC,QKC-USDT,CURRENT_SEED_KLINE_CONFIRMED,45,0,0,0,0.0,0.0,0.0,2024-02-26T00:00:00+00:00,,330,357.0,0
REQ,REQ-USDT,CURRENT_SEED_KLINE_CONFIRMED,164,0,0,0,0.0,0.0,0.0,2021-11-15T00:00:00+00:00,,44,189.5,0
SNX,SNX-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,0,0,0,0.0,0.0,0.0,2019-04-01T00:00:00+00:00,,11,59.0,0
SOUL,SOUL-USDT,CURRENT_SEED_KLINE_CONFIRMED,169,0,0,0,0.0,0.0,0.0,2021-10-11T00:00:00+00:00,,45,123.0,0
STRAX,STRAX-USDT,CURRENT_SEED_KLINE_CONFIRMED,78,0,0,0,0.0,0.0,0.0,2023-07-10T00:00:00+00:00,,75,324.5,0
SUI,SUI-USDT,CURRENT_SEED_KLINE_CONFIRMED,74,10,18,12,0.06993006993006994,0.03711340206185567,0.0821917808219178,2023-08-07T00:00:00+00:00,2024-02-05T00:00:00+00:00,4,20.0,7
TEL,TEL-USDT,CURRENT_SEED_KLINE_CONFIRMED,292,9,20,0,0.06293706293706294,0.041237113402061855,0.0,2019-06-03T00:00:00+00:00,2021-05-24T00:00:00+00:00,5,42.5,5
TIME,TIME-USDT,CURRENT_SEED_KLINE_CONFIRMED,144,0,0,0,0.0,0.0,0.0,2022-04-04T00:00:00+00:00,,42,202.0,0
TRAC,TRAC-USDT,CURRENT_SEED_KLINE_CONFIRMED,86,0,0,0,0.0,0.0,0.0,2023-05-15T00:00:00+00:00,,93,150.0,0
UTK,UTK-USDT,CURRENT_SEED_KLINE_CONFIRMED,43,0,0,0,0.0,0.0,0.0,2024-03-11T00:00:00+00:00,,213,336.0,0
VANRY,VANRY-USDT,CURRENT_SEED_KLINE_CONFIRMED,42,0,0,0,0.0,0.0,0.0,2024-03-18T00:00:00+00:00,,64,113.0,0
VET,VET-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,11,50,13,0.07692307692307693,0.10309278350515463,0.08904109589041095,2019-04-01T00:00:00+00:00,2021-03-29T00:00:00+00:00,4,25.0,8
VOLT,VOLT-USDT,CURRENT_SEED_KLINE_CONFIRMED,70,0,0,0,0.0,0.0,0.0,2023-09-04T00:00:00+00:00,,106,268.5,0
WAX,WAX-USDT,CURRENT_SEED_KLINE_CONFIRMED,181,0,0,0,0.0,0.0,0.0,2021-07-19T00:00:00+00:00,,30,118.0,0
XDB,XDB-USDT,CURRENT_SEED_KLINE_CONFIRMED,234,0,0,0,0.0,0.0,0.0,2020-07-13T00:00:00+00:00,,13,65.0,0
XEC,XEC-USDT,CURRENT_SEED_KLINE_CONFIRMED,147,0,0,0,0.0,0.0,0.0,2022-03-14T00:00:00+00:00,,123,239.0,0
XLM,XLM-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,0,42,0,0.0,0.0865979381443299,0.0,2019-04-01T00:00:00+00:00,,6,22.0,0
XRD,XRD-USDT,CURRENT_SEED_KLINE_CONFIRMED,82,0,0,0,0.0,0.0,0.0,2023-06-12T00:00:00+00:00,,31,97.0,0
XYO,XYO-USDT,CURRENT_SEED_KLINE_CONFIRMED,160,0,0,0,0.0,0.0,0.0,2021-12-13T00:00:00+00:00,,65,206.0,0
ZBCN,ZBCN-USDT,CURRENT_SEED_KLINE_CONFIRMED,22,0,0,0,0.0,0.0,0.0,2024-08-05T00:00:00+00:00,,71,104.5,0
ZIL,ZIL-USDT,CURRENT_SEED_KLINE_CONFIRMED,182,0,1,0,0.0,0.002061855670103093,0.0,2021-07-12T00:00:00+00:00,,9,76.0,0
ZKJ,ZKJ-USDT,CURRENT_SEED_KLINE_CONFIRMED,28,0,0,0,0.0,0.0,0.0,2024-06-24T00:00:00+00:00,,200,328.0,0
ZRX,ZRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,45,0,0,0,0.0,0.0,0.0,2024-02-26T00:00:00+00:00,,177,327.0,0
