decision_time,period,variant,top_n,rank,pair,canonical_asset_id,confidence_class
2019-03-25T00:00:00+00:00,FULL,E05,30,8,TRX-USDT,TRX,EVIDENCE_STRONG
2019-03-25T00:00:00+00:00,FULL,E05,30,9,XLM-USDT,XLM,CURRENT_SEED_KLINE_CONFIRMED
2019-03-25T00:00:00+00:00,FULL,E05,30,10,ONT-USDT,ONT,CURRENT_SEED_KLINE_CONFIRMED
2019-03-25T00:00:00+00:00,FULL,E05,30,11,BCHSV-USDT,BCHSV,CURRENT_SEED_KLINE_CONFIRMED
2019-03-25T00:00:00+00:00,FULL,E05,30,12,VET-USDT,VET,CURRENT_SEED_KLINE_CONFIRMED
2019-03-25T00:00:00+00:00,FULL,E05,30,13,SNX-USDT,SNX,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,4,2,KCS-USDT,KCS,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,4,3,ETH-USDT,ETH,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,4,4,LTC-USDT,LTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,2,KCS-USDT,KCS,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,3,ETH-USDT,ETH,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,4,LTC-USDT,LTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,5,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,6,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,2,KCS-USDT,KCS,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,3,ETH-USDT,ETH,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,4,LTC-USDT,LTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,5,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,7,TRX-USDT,TRX,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,8,8,ETC-USDT,ETC,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,2,KCS-USDT,KCS,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,3,ETH-USDT,ETH,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,4,LTC-USDT,LTC,EVIDENCE_STRONG
