policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,max_hold_exits,time_failure_exits,profit_trail_gap_exits,profit_trail_touch_exits
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,705,4,0,0,8,0,338,156,182,0,0
TIME_FAIL_72_H168,UNION_FOCUS,D2,1.0,2306,0,0,1686,161,0,0,16,0,459,208,251,0,0
TIME_FAIL_72_H168,UNION_FOCUS,D2,2.0,2306,0,0,1686,161,0,0,9,0,459,208,251,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,787,128,0,0,8,0,388,172,216,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,787,128,0,0,6,0,388,172,216,0,0
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,739,3,0,0,15,0,337,156,181,0,0
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,739,3,0,0,11,0,337,156,181,0,0
TIME_FAIL_72_H168,UNION_FOCUS,E2,1.0,2289,0,0,1664,167,0,0,15,0,458,210,248,0,0
TIME_FAIL_72_H168,UNION_FOCUS,E2,2.0,2289,0,0,1664,167,0,0,8,0,458,210,248,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,781,126,0,0,6,0,385,173,212,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,781,126,0,0,3,0,385,173,212,0,0
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,732,3,0,0,12,0,338,155,183,0,0
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,732,3,0,0,9,0,338,155,183,0,0
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,C2,1.0,2249,0,0,1629,121,0,0,2,0,499,257,0,24,218
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,C2,2.0,2249,0,0,1629,121,0,0,1,0,499,257,0,24,218
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,770,73,0,0,0,0,436,222,0,25,189
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,770,73,0,0,0,0,436,222,0,25,189
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,703,4,0,0,3,0,340,187,0,9,144
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,703,4,0,0,3,0,340,187,0,9,144
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,D2,1.0,2306,0,0,1687,114,0,0,4,0,505,260,0,25,220
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,D2,2.0,2306,0,0,1687,114,0,0,2,0,505,260,0,25,220
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,776,81,0,0,0,0,446,225,0,27,194
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,776,81,0,0,0,0,446,225,0,27,194
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,736,5,0,0,5,0,338,187,0,14,137
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,736,5,0,0,5,0,338,187,0,14,137
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,E2,1.0,2289,0,0,1654,132,0,0,2,0,503,259,0,27,217
PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,E2,2.0,2289,0,0,1654,132,0,0,0,0,503,259,0,27,217
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,771,83,0,0,0,0,438,221,0,27,190
PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,771,83,0,0,0,0,438,221,0,27,190
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,732,4,0,0,3,0,337,189,0,11,137
PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,732,4,0,0,2,0,337,189,0,11,137
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,C2,1.0,2249,0,0,1515,99,0,0,9,0,635,56,309,28,242
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,C2,2.0,2249,0,0,1515,99,0,0,5,0,635,56,309,28,242
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,689,64,0,0,6,0,526,42,255,27,202
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,689,64,0,0,3,0,526,42,255,27,202
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,639,1,0,0,18,0,407,39,202,11,155
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,639,1,0,0,12,0,407,39,202,11,155
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,D2,1.0,2306,0,0,1564,106,0,0,11,0,636,51,316,30,239
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,D2,2.0,2306,0,0,1564,106,0,0,6,0,636,51,316,30,239
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,691,73,0,0,10,0,539,40,266,29,204
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,691,73,0,0,7,0,539,40,266,29,204
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,673,1,0,0,18,0,405,40,202,14,149
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,673,1,0,0,12,0,405,40,202,14,149
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,E2,1.0,2289,0,0,1546,104,0,0,8,0,639,53,315,31,240
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,UNION_FOCUS,E2,2.0,2289,0,0,1546,104,0,0,5,0,639,53,315,31,240
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,690,70,0,0,5,0,532,42,261,29,200
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,690,70,0,0,4,0,532,42,261,29,200
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,667,1,0,0,15,0,405,37,208,12,148
TIME_FAIL_72_PLUS_PROFIT_TRAIL_ARM6_GAP4_H168,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,667,1,0,0,11,0,405,37,208,12,148
