path,sha256,bytes,lineage_role
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/fixture-dry-run-summary.csv,6e20b2dd7a6fbbe408c917e4b48a6f632cd7411ad53aad6a724e7645eb86ba83,2410,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/fixture-trades.parquet,8a21d5e8dacf883f7d336d612ea2e74a4e05236e18d2c423ef16e32284fa4b90,14030,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/implementation-contract.json,dba886d473b85e0c965bb10e56448977c8495e959c70999bc9000dbdea2dfe13,898,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/rd19-p2a-technical-dry-run-report-v1.json,883e735bbf0457a8a11cca754a96c353b1fc983639d8256a17c8ca8bc2daabbb,1890,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/rd19-p2a-technical-dry-run-v1.md,6f87bd918c305f87e8f3941bd18ce7a49d2237fbb4ac3bc25e8d64219399aed8,816,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/real-source-preflight.csv,5bbc6a9fb67ede7640d824aabb0e9b8315520c12772085e6a3c68003948d4f0f,7983,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/technical-checks.csv,cce9314a8d7901c1a33a9ae9a1195a8780a55334d24a542b64c7421eee4bfd6a,744,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/variant-contract-ledger.csv,6775ff7d640304194fd7f42ce471766f2e0d0801518ccce5ac969ecc9f3737b8,1327,P2A_RUNTIME_EVIDENCE
data/research/rd19_p2_runtime/execution-order.csv,84139d2c714b198b3324d47d45507c5e861131e47adbe4b574b8de9dada22150,8024,FROZEN_EXECUTION_ORDER
data/research/rd18_p3x_a3b_runtime/effective-operational-membership.csv,f7d6012ce8cd691583b9b6276ddf36371bfe0bbd9b28f810b676ad0177fb559e,685794,POINT_IN_TIME_MEMBERSHIP
data/raw/rd16b/kucoin/ADA-USDT/1h.parquet,8f585ac8b067d883078d7234a0e0b64cbe5c4ee0d9d475b7fefa37bc0b00ab7c,2538961,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/ADA-USDT/1h.metadata.json,be71b86023c5e385492a8165cd211b4e0f7fd16ebe985f3941315b29890990b5,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/ATOM-USDT/1h.parquet,6ce2daf7f94959f2cf3be56a884d8ff1b397ef4ebbdcbc4b52d27d8c9ee4b45a,2224986,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/ATOM-USDT/1h.metadata.json,378b8f86002c7059a9bc49c58bb5a80e46bac809887319d7f596dd252d0d59a1,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/AVAX-USDT/1h.parquet,39e0d8ff2b0190b1d203d2e5f761fc9f8c75a054f9ecdcb6cb01a0426e359d09,1302735,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/AVAX-USDT/1h.metadata.json,fb47cdfebd1854fb8aac15b2a35c90aaf38f8acd58344f0c1692b7f710546752,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/BNB-USDT/1h.parquet,2a8db08e2d07197f356f993a2f249ddae4f8f1236663f9d54e2b820483702220,2008383,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/BNB-USDT/1h.metadata.json,391945e2ea490c239d1e559ee43cf50c4203096252c5324b6525cad642bd8e26,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/BTC-USDT/1h.parquet,16ad84288c8ec859da367b9cafaf1c76a05045de4f81289b4b31b7840c08d773,2325503,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/BTC-USDT/1h.metadata.json,a4a33e1231e7c7b7739d228eeed9db8ef48d6a2dfd7ccf12fbc4d55976172bce,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/DOGE-USDT/1h.parquet,d1ff46fff28cd664da61a11abc8207e1e1d2e3745acfd8d274157b98305591e7,1353718,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/DOGE-USDT/1h.metadata.json,56edc02e972ae5c6f35ca94fd73bd3478ca3ca24f613ffe32cb540603be28b24,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/DOT-USDT/1h.parquet,5fc2185ba5ee45b81c127636efcce7508e49abbb9046c647cac71b0023c55ef9,1710262,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/DOT-USDT/1h.metadata.json,b21ec32d4c5751219176552e235a6b83d133910819ec7da8b35a70e8de4af783,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/ETH-USDT/1h.parquet,58bdac8b9d0f724bfabbed33f20bf9b5954f9cb9258f6d135e7c3622f431dc6e,2215326,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/ETH-USDT/1h.metadata.json,7c6fea44c8a49c54526f823f90926a8a61b2371fd2115764b7e56cbb9f07861c,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/FET-USDT/1h.parquet,faf0dd782bc5dd23562d2d0c4131bf0666327c13ba5fe650e194e244e1796bc3,603206,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/FET-USDT/1h.metadata.json,3168d584499fd55e592eeecf1b228ebdf459fad3ee47c919aa3410529bf2ba0a,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/FIL-USDT/1h.parquet,a566db8f6ed46ca1a5e6f1ce450c887b0cf6a7273f59ad34fe3fcc7bf48fc791,1631422,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/FIL-USDT/1h.metadata.json,9b06503db38afcb7803e82bc25a51ad1358898ac69602f036962bbef348f1b7b,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/GRAM-USDT/1h.parquet,db76f211eb42e66c3bcd9762162af57110dfa40f73cf67b75b9445cc0701e000,770974,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/GRAM-USDT/1h.metadata.json,bed381a93e682d970e4362ee4b1041bf995020b7397ca6b77110e5339a09c8cf,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/ICP-USDT/1h.parquet,0401c09955771eb11c6c71dda569aad75703e0483bbf1133960edc70f4e4cb87,997496,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/ICP-USDT/1h.metadata.json,91d227bdbd1cb53bc594e29c8c3c07b7ee55c8997359ee6822c44429624e6922,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/INJ-USDT/1h.parquet,af9b2b3f7a149f361b158def480b55829bb09b862e694252561bafeef15bf3f1,980018,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/INJ-USDT/1h.metadata.json,5a7cae5353f76f3dd7cc75ea2de5a885a81f7e6dffed3de019d8ca97bf18b95e,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/JASMY-USDT/1h.parquet,418236dac5c86335a81e21e740d6c869fe81dbf2a57252ca82300d9b48c874b7,1106597,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/JASMY-USDT/1h.metadata.json,0939af40b17ecdef2a1e70d6f3e46260df93f8a5aabdc184e01406181c87eac0,323,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/KAS-USDT/1h.parquet,550f9cca5250ac98d6bb893a431a5eb3e7d50739aa1bb0cf27c8555ddb941bc1,628251,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/KAS-USDT/1h.metadata.json,7165c5b96d3c5856cb1c5c2e1fac6d14eb14cd7695b87d7a020b44a6c91ee53f,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/KCS-USDT/1h.parquet,1213e113c36228b8350a36034d3fed318549bdadaffe90be7f85d18d128b2597,2047225,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/KCS-USDT/1h.metadata.json,8f778a080a672f0916f57fa52b3558392b8096c21fa1843867e3ca7d4c97266b,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/LINK-USDT/1h.parquet,08dc1c4ba647ae8aa7d621d49a13fa8a9412f655fc501e4f955cb9c180dc792e,1746808,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/LINK-USDT/1h.metadata.json,524af3cd41817ba5bb2c67644939f39884c38341c15953e60bdb1155141781ab,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/LTC-USDT/1h.parquet,fcebc722158df6ba2c9b0e8a6f83c4cde730d0e80ba59760818b13fb38c27ed6,2212089,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/LTC-USDT/1h.metadata.json,aae859e933037d31c8f0ea2ab8aa1a4484f4d6f838469de943b66b96038510a3,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/LUNC-USDT/1h.parquet,65bd007eaa32dcf3eec83f83c2b04e3ccb6d432a93cc5d93731eb363b6c974f3,935137,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/LUNC-USDT/1h.metadata.json,64277d49bc0c7dc2fc4e573ebf07e2d7ace309515eacbe7c8ee10ae14218185d,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/MANA-USDT/1h.parquet,2af31f0aa3b2ca4a03d8f6196942a072ee639575ab81262cc9149e88cb984e49,1644890,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/MANA-USDT/1h.metadata.json,e3f6b610c9558d7193f576ebdfc1d957c4127db195fa493e26e29189275eba98,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/NEAR-USDT/1h.parquet,7feecf78bd4cbfdae393b9ac0d754e57dcda9a2a33dace97065c33e63df48154,1334378,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/NEAR-USDT/1h.metadata.json,68eba2b49e7fea18a605349fcbe40f07f485cf5fcc3ae65152979ad76403f26b,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/NEO-USDT/1h.parquet,43c32c282421df9e7cb402cca6b00998d198daf5af3af55ad124c9cad2921224,2445343,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/NEO-USDT/1h.metadata.json,88337297b31ea9d1f0fedb65b134e90d26c198b7763be1c64d49faab7806f7c2,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/ONDO-USDT/1h.parquet,262530f4966cf5ea42fa1d7a8f27f978f538687b868fb87b129d47bdc053309b,432279,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/ONDO-USDT/1h.metadata.json,070816ef43f20171e531cd3035e4b2c6741d0ae241cc931b128ad7582e1c3620,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/OP-USDT/1h.parquet,14faa1c970a7e6cb73972b5ceabf01d4da8e8ca5287d0ae9e6dc6510d9232ec2,599953,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/OP-USDT/1h.metadata.json,1af3f6168da779ac5e1d0f63a22a45550787be6ad0eaff7accabd30487584a46,320,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/PEPE-USDT/1h.parquet,a82bbfe4ee3f79c03049475bd346d75a4429fa5b06f49eaf727d8f27725891c5,517682,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/PEPE-USDT/1h.metadata.json,36ec8ba5a47b639590fd73884db84a115978733d9c92941467d75524ce0451e4,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/SAND-USDT/1h.parquet,55c92dc5fa8caf71905f61c544228bd122562b6bee312aed0582ea13f85cfd7c,1646324,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/SAND-USDT/1h.metadata.json,3f833080b9988c52049f72676ebee3307d120e1cfcdd7e3ac78e4fa2b58392ec,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/SHIB-USDT/1h.parquet,73edfb07c68c519844fefab59db2011e92800d6d70a32976a1d87e59cdc07f87,1195953,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/SHIB-USDT/1h.metadata.json,7cca774f28c592f762052b0459207c3f7244cb482ca25912e99167ce685370c9,322,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/SOL-USDT/1h.parquet,875f03b7b34277655770c3df8311e4d44cf94835ad0de698eefaca84850c8df5,1265932,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/SOL-USDT/1h.metadata.json,b38c5709182d317b9a565d9fe6a7c189de2c5865cc870321d914c7587ffb38b8,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/SUI-USDT/1h.parquet,357c3d5d3f0c38d5e425196afc92935a65b9b809b7ac2a204dad57ce215dd007,631337,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/SUI-USDT/1h.metadata.json,416b35d43fdbbaf97bd30d11cec697cc10ab11b1a8dec162a3c7be5eaf7a369a,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/TRX-USDT/1h.parquet,fd8995b2f8b0b330cd89eca4a3177d37c187441a19b3e8246c515a9706c4f8d9,2445976,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/TRX-USDT/1h.metadata.json,7e9a481223fc96fdb16c79f005b82123f91421be5149f6bc4deb22008d6e8d4e,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/VET-USDT/1h.parquet,a97b5ed4e9d7a4e86e340842d660f2cd4e5950776800f4c9b9f29d09e23e3cd5,2688484,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/VET-USDT/1h.metadata.json,f525044b5bb96686d14ac940358973261d514bae6c056a887f28b51c6719b43d,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/WIF-USDT/1h.parquet,6947c8d265db7ad9ae77edc18ea0675803113e412e733172f9dfcf6e559dd082,361799,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/WIF-USDT/1h.metadata.json,821f9100cf51d01f1be4bd85d8b6f32f5e544fad200fa467f03fe547015e5969,320,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/XMR-USDT/1h.parquet,6c2d4cfe654c25dcaa294f19157453b9a162138a5d3d8617d0bc58ebe5bdb374,1030579,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/XMR-USDT/1h.metadata.json,d68d89346a4b906385326d30d6f7906538b4378858bf1375d1eebe70a3a0c179,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/XRP-USDT/1h.parquet,6bcabb39ed418cc7d6e6351b993e10c78a70b336aa9b3238d572b194cb8170eb,2473870,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/XRP-USDT/1h.metadata.json,be86a173fb47b90cbb8b79be6ac8698470410f5c12bf85ec5eebda866de95e0a,321,SEALED_HOURLY_METADATA
data/raw/rd16b/kucoin/XTZ-USDT/1h.parquet,155d21280a4a347df94d28075bd13cb6f3a13837c473f3535607a50debb72b8d,2309460,SEALED_HOURLY_PARQUET
data/raw/rd16b/kucoin/XTZ-USDT/1h.metadata.json,82da787e7f42387ade13ecfa723e3a46f763c4f704e8f8fc5b04a6b41a5e4dea,321,SEALED_HOURLY_METADATA
