pair,canonical_asset_id,confidence_class,variant_d_presence,p2t_identity_classification,eligible_in_c,historical_membership_retained,notes
BOSON-USDT,BOSON,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BRISE-USDT,BRISE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BTC-USDT,BTC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BTT-USDT,BTT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
C98-USDT,C98,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CAKE-USDT,CAKE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CCD-USDT,CCD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CELO-USDT,CELO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CELR-USDT,CELR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CERE-USDT,CERE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CETUS-USDT,CETUS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CFG-USDT,CFG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CFX-USDT,CFX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CFX2L-USDT,CFX2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
CFX2S-USDT,CFX2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
CGPT-USDT,CGPT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
CHR-USDT,CHR,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
CHZ-USDT,CHZ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CKB-USDT,CKB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
COMP-USDT,COMP,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
COQ-USDT,COQ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
COTI-USDT,COTI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
CPOOL-USDT,CPOOL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CREDI-USDT,CREDI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CRO-USDT,CRO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CRV-USDT,CRV,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CSPR-USDT,CSPR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CTC-USDT,CTC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CTSI-USDT,CTSI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CVX-USDT,CVX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CWEB-USDT,CWEB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
CYBER-USDT,CYBER,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DAG-USDT,DAG,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
DAO-USDT,DAO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DASH-USDT,DASH,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
DCK-USDT,DCK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DCR-USDT,DCR,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
DENT-USDT,DENT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
DEXE-USDT,DEXE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DGB-USDT,DGB,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
DIA-USDT,DIA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DMTR-USDT,DMTR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DODO-USDT,DODO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DOGE-USDT,DOGE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DOT-USDT,DOT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DUSK-USDT,DUSK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
DYDX-USDT,DYDX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
EDU-USDT,EDU,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
EGLD-USDT,EGLD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ELON-USDT,ELON,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ENJ-USDT,ENJ,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ENS-USDT,ENS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ERG-USDT,ERG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ETC-USDT,ETC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ETH-USDT,ETH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ETHW-USDT,ETHW,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ETN-USDT,ETN,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
EUL-USDT,EUL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
EWT-USDT,EWT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FET-USDT,FET,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FIDA-USDT,FIDA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FIL-USDT,FIL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FITFI-USDT,FITFI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FLIP-USDT,FLIP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FLOKI-USDT,FLOKI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FLOW-USDT,FLOW,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FLR-USDT,FLR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FLUX-USDT,FLUX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FORT-USDT,FORT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FORTH-USDT,FORTH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
FTT-USDT,FTT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GAFI-USDT,GAFI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GALAX-USDT,GALAX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GAS-USDT,GAS,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
GHX-USDT,GHX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GLM-USDT,GLM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GLMR-USDT,GLMR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GLQ-USDT,GLQ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GMEE-USDT,GMEE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GMT-USDT,GMT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GMX-USDT,GMX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GODS-USDT,GODS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GRAM-USDT,GRAM,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
GRT-USDT,GRT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
GRT2L-USDT,GRT2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
GRT2S-USDT,GRT2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
GTC-USDT,GTC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HAI-USDT,HAI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HBAR-USDT,HBAR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HEART-USDT,HEART,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HFT-USDT,HFT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HIGH-USDT,HIGH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HMND-USDT,HMND,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HNT-USDT,HNT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HTR-USDT,HTR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
HYDRA-USDT,HYDRA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ICP-USDT,ICP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ICX-USDT,ICX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ID-USDT,ID,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ILV-USDT,ILV,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
IMX-USDT,IMX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
INJ-USDT,INJ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
INSP-USDT,INSP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
IOST-USDT,IOST,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
IOTA-USDT,IOTA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ISLM-USDT,ISLM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ISP-USDT,ISP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
JASMY-USDT,JASMY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
JST-USDT,JST,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
JTO-USDT,JTO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KACE-USDT,KACE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KAS-USDT,KAS,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
KAVA-USDT,KAVA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KCS-USDT,KCS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KLV-USDT,KLV,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KNC-USDT,KNC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
KPOL-USDT,KPOL,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
KRL-USDT,KRL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
KSM-USDT,KSM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LADYS-USDT,LADYS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LDO-USDT,LDO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LIKE-USDT,LIKE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LINK-USDT,LINK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LMWR-USDT,LMWR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LOCUS-USDT,LOCUS,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
LPT-USDT,LPT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LQTY-USDT,LQTY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LRC-USDT,LRC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LSK-USDT,LSK,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
LTC-USDT,LTC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LUNA-USDT,LUNA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LUNC-USDT,LUNC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
LYX-USDT,LYX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MAGIC-USDT,MAGIC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MAN-USDT,MAN,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MANA-USDT,MANA,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MANTA-USDT,MANTA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MAPO-USDT,MAPO,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MARS4-USDT,MARS4,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MASK-USDT,MASK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MAV-USDT,MAV,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MBL-USDT,MBL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MEME-USDT,MEME,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
METIS-USDT,METIS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MINA-USDT,MINA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MLK-USDT,MLK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MNT-USDT,MNT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MONPRO-USDT,MONPRO,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MOVR-USDT,MOVR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MTL-USDT,MTL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MTRG-USDT,MTRG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MTV-USDT,MTV,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
MYRIA-USDT,MYRIA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
MYRO-USDT,MYRO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NAKA-USDT,NAKA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NAVI-USDT,NAVI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
NEAR-USDT,NEAR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
NEON-USDT,NEON,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NFP-USDT,NFP,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
NFT-USDT,NFT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
