variant,membership_type,asset,membership_weeks,entry_count,reentry_count,first_entry,final_exit,median_duration_weeks,mean_duration_weeks,maximum_duration_weeks
C_P0B,top_6,NEO-USDT,18,2,1,2019-01-14T00:00:00+00:00,2019-07-08T00:00:00+00:00,9.0,9.0,17
C_P0B,top_6,ONDO-USDT,4,2,1,2024-06-24T00:00:00+00:00,2024-07-22T00:00:00+00:00,2.0,2.0,3
C_P0B,top_6,OP-USDT,3,1,0,2023-03-13T00:00:00+00:00,2023-03-27T00:00:00+00:00,3,3.0,3
C_P0B,top_6,PEPE-USDT,33,6,5,2023-08-21T00:00:00+00:00,2024-11-18T00:00:00+00:00,3.0,5.5,17
C_P0B,top_6,QNT-USDT,2,1,0,2022-10-24T00:00:00+00:00,2022-10-31T00:00:00+00:00,2,2.0,2
C_P0B,top_6,SAND-USDT,5,1,0,2021-11-29T00:00:00+00:00,2021-12-27T00:00:00+00:00,5,5.0,5
C_P0B,top_6,SENSO-USDT,4,1,0,2020-06-22T00:00:00+00:00,2020-07-13T00:00:00+00:00,4,4.0,4
C_P0B,top_6,SHIB-USDT,45,8,7,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,4.5,5.625,11
C_P0B,top_6,SOL-USDT,150,6,5,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.5,25.0,105
C_P0B,top_6,SUI-USDT,10,2,1,2024-02-05T00:00:00+00:00,2024-11-25T00:00:00+00:00,5.0,5.0,7
C_P0B,top_6,TEL-USDT,10,3,2,2021-05-24T00:00:00+00:00,2021-08-09T00:00:00+00:00,3,3.3333333333333335,5
C_P0B,top_6,TRX-USDT,23,6,5,2019-08-05T00:00:00+00:00,2022-05-30T00:00:00+00:00,2.5,3.8333333333333335,11
C_P0B,top_6,VET-USDT,15,4,3,2019-01-07T00:00:00+00:00,2021-09-13T00:00:00+00:00,3.0,3.75,8
C_P0B,top_6,WIF-USDT,6,1,0,2024-07-29T00:00:00+00:00,2024-09-02T00:00:00+00:00,6,6.0,6
C_P0B,top_6,XLM-USDT,1,1,0,2021-02-22T00:00:00+00:00,2021-02-22T00:00:00+00:00,1,1.0,1
C_P0B,top_6,XMR-USDT,24,5,4,2023-05-22T00:00:00+00:00,2024-09-30T00:00:00+00:00,3,4.8,9
C_P0B,top_6,XRP-USDT,284,7,6,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,17,40.57142857142857,99
C_P0B,top_6,XTZ-USDT,6,3,2,2020-05-04T00:00:00+00:00,2020-09-07T00:00:00+00:00,2,2.0,3
C_P0B,top_10,ADA-USDT,160,12,11,2020-02-03T00:00:00+00:00,2024-12-23T00:00:00+00:00,5.0,13.333333333333334,81
C_P0B,top_10,ALGO-USDT,8,3,2,2019-10-21T00:00:00+00:00,2022-11-28T00:00:00+00:00,3,2.6666666666666665,4
C_P0B,top_10,APE-USDT,12,2,1,2022-06-20T00:00:00+00:00,2022-12-19T00:00:00+00:00,6.0,6.0,10
C_P0B,top_10,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4,4.0,4
C_P0B,top_10,ARB-USDT,4,1,0,2024-01-15T00:00:00+00:00,2024-02-05T00:00:00+00:00,4,4.0,4
C_P0B,top_10,ATOM-USDT,63,7,6,2019-12-16T00:00:00+00:00,2022-11-07T00:00:00+00:00,9,9.0,20
C_P0B,top_10,AVAX-USDT,73,7,6,2021-09-06T00:00:00+00:00,2024-04-15T00:00:00+00:00,3,10.428571428571429,44
C_P0B,top_10,BCH-USDT,10,2,1,2021-05-10T00:00:00+00:00,2023-07-24T00:00:00+00:00,5.0,5.0,7
C_P0B,top_10,BCHSV-USDT,99,5,4,2019-03-18T00:00:00+00:00,2021-03-08T00:00:00+00:00,6,19.8,68
C_P0B,top_10,BNB-USDT,93,13,12,2021-03-15T00:00:00+00:00,2024-01-01T00:00:00+00:00,2,7.153846153846154,41
C_P0B,top_10,BTC-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top_10,BTT-USDT,3,1,0,2021-04-19T00:00:00+00:00,2021-05-03T00:00:00+00:00,3,3.0,3
C_P0B,top_10,CFX-USDT,4,2,1,2023-04-03T00:00:00+00:00,2023-06-12T00:00:00+00:00,2.0,2.0,3
C_P0B,top_10,CHR-USDT,11,1,0,2019-09-02T00:00:00+00:00,2019-11-11T00:00:00+00:00,11,11.0,11
C_P0B,top_10,CHZ-USDT,2,1,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,2,2.0,2
C_P0B,top_10,COMP-USDT,2,1,0,2020-09-28T00:00:00+00:00,2020-10-05T00:00:00+00:00,2,2.0,2
C_P0B,top_10,COTI-USDT,20,3,2,2019-10-07T00:00:00+00:00,2020-03-09T00:00:00+00:00,3,6.666666666666667,16
C_P0B,top_10,CRO-USDT,2,1,0,2021-12-06T00:00:00+00:00,2021-12-13T00:00:00+00:00,2,2.0,2
C_P0B,top_10,DASH-USDT,3,1,0,2020-04-20T00:00:00+00:00,2020-05-04T00:00:00+00:00,3,3.0,3
C_P0B,top_10,DOGE-USDT,104,12,11,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.0,8.666666666666666,28
C_P0B,top_10,DOT-USDT,64,6,5,2020-11-23T00:00:00+00:00,2022-06-20T00:00:00+00:00,9.0,10.666666666666666,26
C_P0B,top_10,ETC-USDT,43,9,8,2019-03-18T00:00:00+00:00,2022-10-03T00:00:00+00:00,5,4.777777777777778,9
C_P0B,top_10,ETH-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top_10,FET-USDT,10,2,1,2024-03-11T00:00:00+00:00,2024-10-21T00:00:00+00:00,5.0,5.0,8
C_P0B,top_10,FIL-USDT,2,1,0,2024-03-04T00:00:00+00:00,2024-03-11T00:00:00+00:00,2,2.0,2
C_P0B,top_10,FLOKI-USDT,3,1,0,2024-03-18T00:00:00+00:00,2024-04-01T00:00:00+00:00,3,3.0,3
C_P0B,top_10,GALAX-USDT,3,1,0,2023-01-23T00:00:00+00:00,2023-02-06T00:00:00+00:00,3,3.0,3
C_P0B,top_10,GMT-USDT,3,1,0,2022-07-18T00:00:00+00:00,2022-08-01T00:00:00+00:00,3,3.0,3
C_P0B,top_10,GRAM-USDT,37,7,6,2023-01-30T00:00:00+00:00,2024-09-30T00:00:00+00:00,5,5.285714285714286,11
C_P0B,top_10,GRT-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1,1.0,1
C_P0B,top_10,HBAR-USDT,3,2,1,2024-12-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.5,1.5,2
C_P0B,top_10,ICP-USDT,22,3,2,2021-08-30T00:00:00+00:00,2024-05-20T00:00:00+00:00,8,7.333333333333333,11
C_P0B,top_10,INJ-USDT,29,5,4,2023-05-01T00:00:00+00:00,2024-03-04T00:00:00+00:00,3,5.8,14
C_P0B,top_10,JASMY-USDT,13,3,2,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,3,4.333333333333333,9
C_P0B,top_10,KAS-USDT,24,6,5,2023-09-11T00:00:00+00:00,2024-09-23T00:00:00+00:00,3.0,4.0,9
C_P0B,top_10,KCS-USDT,126,2,1,2019-03-11T00:00:00+00:00,2021-08-23T00:00:00+00:00,63.0,63.0,117
C_P0B,top_10,KPOL-USDT,2,1,0,2020-07-13T00:00:00+00:00,2020-07-20T00:00:00+00:00,2,2.0,2
C_P0B,top_10,LDO-USDT,3,1,0,2023-02-27T00:00:00+00:00,2023-03-13T00:00:00+00:00,3,3.0,3
C_P0B,top_10,LINK-USDT,38,7,6,2020-11-23T00:00:00+00:00,2024-02-26T00:00:00+00:00,4,5.428571428571429,17
C_P0B,top_10,LTC-USDT,156,6,5,2019-03-18T00:00:00+00:00,2023-11-06T00:00:00+00:00,21.5,26.0,70
C_P0B,top_10,LUNA-USDT,5,1,0,2022-09-26T00:00:00+00:00,2022-10-24T00:00:00+00:00,5,5.0,5
C_P0B,top_10,LUNC-USDT,22,2,1,2022-09-12T00:00:00+00:00,2023-12-25T00:00:00+00:00,11.0,11.0,20
C_P0B,top_10,MANA-USDT,10,2,1,2021-11-22T00:00:00+00:00,2022-03-14T00:00:00+00:00,5.0,5.0,7
C_P0B,top_10,MTV-USDT,14,3,2,2019-07-15T00:00:00+00:00,2019-11-18T00:00:00+00:00,1,4.666666666666667,12
C_P0B,top_10,NEAR-USDT,35,4,3,2022-01-10T00:00:00+00:00,2024-07-29T00:00:00+00:00,9.0,8.75,12
C_P0B,top_10,NEO-USDT,37,4,3,2019-01-14T00:00:00+00:00,2020-01-27T00:00:00+00:00,3.0,9.25,30
C_P0B,top_10,ONDO-USDT,12,2,1,2024-04-22T00:00:00+00:00,2024-08-19T00:00:00+00:00,6.0,6.0,10
C_P0B,top_10,ONE-USDT,5,2,1,2021-11-01T00:00:00+00:00,2022-02-07T00:00:00+00:00,2.5,2.5,4
C_P0B,top_10,ONT-USDT,5,2,1,2019-03-25T00:00:00+00:00,2019-06-03T00:00:00+00:00,2.5,2.5,4
C_P0B,top_10,OP-USDT,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4,4.0,4
C_P0B,top_10,PEPE-USDT,54,5,4,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,6,10.8,35
C_P0B,top_10,PYR-USDT,1,1,0,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,1,1.0,1
C_P0B,top_10,QNT-USDT,4,1,0,2022-10-17T00:00:00+00:00,2022-11-07T00:00:00+00:00,4,4.0,4
C_P0B,top_10,RSR-USDT,3,1,0,2022-10-17T00:00:00+00:00,2022-10-31T00:00:00+00:00,3,3.0,3
C_P0B,top_10,RUNE-USDT,7,3,2,2022-03-28T00:00:00+00:00,2023-12-11T00:00:00+00:00,3,2.3333333333333335,3
C_P0B,top_10,SAND-USDT,7,1,0,2021-11-29T00:00:00+00:00,2022-01-10T00:00:00+00:00,7,7.0,7
C_P0B,top_10,SEI-USDT,1,1,0,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00,1,1.0,1
C_P0B,top_10,SENSO-USDT,11,2,1,2020-06-22T00:00:00+00:00,2020-11-02T00:00:00+00:00,5.5,5.5,9
C_P0B,top_10,SHIB-USDT,117,13,12,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,9,9.0,20
C_P0B,top_10,SOL-USDT,165,1,0,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,165,165.0,165
C_P0B,top_10,STX-USDT,2,1,0,2023-03-20T00:00:00+00:00,2023-03-27T00:00:00+00:00,2,2.0,2
C_P0B,top_10,SUI-USDT,18,2,1,2024-01-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,9.0,9.0,14
C_P0B,top_10,TAO-USDT,7,1,0,2024-10-07T00:00:00+00:00,2024-11-18T00:00:00+00:00,7,7.0,7
C_P0B,top_10,TEL-USDT,20,3,2,2019-08-05T00:00:00+00:00,2021-08-30T00:00:00+00:00,4,6.666666666666667,15
C_P0B,top_10,TRX-USDT,90,5,4,2019-03-18T00:00:00+00:00,2022-07-04T00:00:00+00:00,6,18.0,69
C_P0B,top_10,VET-USDT,52,8,7,2019-01-07T00:00:00+00:00,2021-11-15T00:00:00+00:00,2.5,6.5,32
C_P0B,top_10,WIF-USDT,21,5,4,2024-04-22T00:00:00+00:00,2024-12-02T00:00:00+00:00,3,4.2,12
C_P0B,top_10,XCN-USDT,2,1,0,2022-08-29T00:00:00+00:00,2022-09-05T00:00:00+00:00,2,2.0,2
C_P0B,top_10,XLM-USDT,44,5,4,2019-03-18T00:00:00+00:00,2023-09-18T00:00:00+00:00,5,8.8,18
C_P0B,top_10,XMR-USDT,55,8,7,2022-12-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,4.0,6.875,27
C_P0B,top_10,XRP-USDT,303,1,0,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,303.0,303
C_P0B,top_10,XTZ-USDT,34,3,2,2020-03-09T00:00:00+00:00,2020-11-16T00:00:00+00:00,2,11.333333333333334,30
C_P0B,top_10,ZEC-USDT,1,1,0,2020-08-24T00:00:00+00:00,2020-08-24T00:00:00+00:00,1,1.0,1
C_P0B,top_10,ZIL-USDT,1,1,0,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,1,1.0,1
C_P0B,top6_top8_hysteresis,ADA,68,3,2,2020-07-20T00:00:00+00:00,2022-11-14T00:00:00+00:00,23,22.666666666666668,39
C_P0B,top6_top8_hysteresis,ATOM,27,3,2,2020-09-07T00:00:00+00:00,2022-04-04T00:00:00+00:00,11,9.0,12
C_P0B,top6_top8_hysteresis,AVAX,48,2,1,2021-12-27T00:00:00+00:00,2024-02-19T00:00:00+00:00,24.0,24.0,39
C_P0B,top6_top8_hysteresis,BCHSV,68,2,1,2019-09-02T00:00:00+00:00,2021-02-08T00:00:00+00:00,34.0,34.0,53
C_P0B,top6_top8_hysteresis,BNB,1,1,0,2021-11-22T00:00:00+00:00,2021-11-22T00:00:00+00:00,1,1.0,1
C_P0B,top6_top8_hysteresis,BTC,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top6_top8_hysteresis,DOGE,52,5,4,2021-05-17T00:00:00+00:00,2024-06-24T00:00:00+00:00,11,10.4,19
C_P0B,top6_top8_hysteresis,DOT,20,2,1,2021-08-16T00:00:00+00:00,2022-02-07T00:00:00+00:00,10.0,10.0,16
C_P0B,top6_top8_hysteresis,ETH,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top6_top8_hysteresis,FET,3,1,0,2024-09-30T00:00:00+00:00,2024-10-14T00:00:00+00:00,3,3.0,3
C_P0B,top6_top8_hysteresis,GRAM,9,2,1,2023-04-17T00:00:00+00:00,2024-09-23T00:00:00+00:00,4.5,4.5,6
C_P0B,top6_top8_hysteresis,ICP,5,1,0,2024-02-12T00:00:00+00:00,2024-03-11T00:00:00+00:00,5,5.0,5
C_P0B,top6_top8_hysteresis,INJ,8,2,1,2023-05-15T00:00:00+00:00,2024-02-05T00:00:00+00:00,4.0,4.0,7
C_P0B,top6_top8_hysteresis,JASMY,8,2,1,2022-04-11T00:00:00+00:00,2024-07-01T00:00:00+00:00,4.0,4.0,6
C_P0B,top6_top8_hysteresis,KAS,4,1,0,2023-11-27T00:00:00+00:00,2023-12-18T00:00:00+00:00,4,4.0,4
C_P0B,top6_top8_hysteresis,KCS,118,2,1,2019-03-11T00:00:00+00:00,2021-08-09T00:00:00+00:00,59.0,59.0,114
C_P0B,top6_top8_hysteresis,LINK,6,1,0,2023-11-13T00:00:00+00:00,2023-12-18T00:00:00+00:00,6,6.0,6
C_P0B,top6_top8_hysteresis,LTC,114,4,3,2019-03-18T00:00:00+00:00,2023-09-04T00:00:00+00:00,18.0,28.5,70
C_P0B,top6_top8_hysteresis,LUNC,10,1,0,2022-09-26T00:00:00+00:00,2022-11-28T00:00:00+00:00,10,10.0,10
C_P0B,top6_top8_hysteresis,MANA,4,1,0,2021-11-29T00:00:00+00:00,2021-12-20T00:00:00+00:00,4,4.0,4
C_P0B,top6_top8_hysteresis,NEAR,14,3,2,2022-01-31T00:00:00+00:00,2024-06-03T00:00:00+00:00,4,4.666666666666667,7
C_P0B,top6_top8_hysteresis,NEO,25,2,1,2019-01-14T00:00:00+00:00,2019-08-26T00:00:00+00:00,12.5,12.5,24
C_P0B,top6_top8_hysteresis,ONDO,6,1,0,2024-07-01T00:00:00+00:00,2024-08-05T00:00:00+00:00,6,6.0,6
C_P0B,top6_top8_hysteresis,OP,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4,4.0,4
C_P0B,top6_top8_hysteresis,PEPE,38,2,1,2024-03-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,19.0,19.0,33
C_P0B,top6_top8_hysteresis,SAND,6,1,0,2021-12-06T00:00:00+00:00,2022-01-10T00:00:00+00:00,6,6.0,6
C_P0B,top6_top8_hysteresis,SHIB,45,5,4,2021-10-25T00:00:00+00:00,2024-06-17T00:00:00+00:00,11,9.0,14
C_P0B,top6_top8_hysteresis,SOL,151,1,0,2022-02-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,151,151.0,151
C_P0B,top6_top8_hysteresis,SUI,11,1,0,2024-10-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,11,11.0,11
C_P0B,top6_top8_hysteresis,TRX,6,1,0,2020-09-21T00:00:00+00:00,2020-10-26T00:00:00+00:00,6,6.0,6
C_P0B,top6_top8_hysteresis,VET,15,2,1,2019-01-07T00:00:00+00:00,2021-07-12T00:00:00+00:00,7.5,7.5,13
C_P0B,top6_top8_hysteresis,WIF,4,1,0,2024-08-12T00:00:00+00:00,2024-09-02T00:00:00+00:00,4,4.0,4
C_P0B,top6_top8_hysteresis,XMR,23,3,2,2023-05-29T00:00:00+00:00,2024-03-04T00:00:00+00:00,9,7.666666666666667,12
C_P0B,top6_top8_hysteresis,XRP,292,3,2,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,116,97.33333333333333,150
C_P0B,top6_top8_hysteresis,XTZ,3,1,0,2020-08-31T00:00:00+00:00,2020-09-14T00:00:00+00:00,3,3.0,3
D_EVIDENCE_STRONG,top_6,ADA-USDT,77,11,10,2020-06-15T00:00:00+00:00,2023-05-01T00:00:00+00:00,1,7.0,49
D_EVIDENCE_STRONG,top_6,APE-USDT,5,2,1,2022-07-11T00:00:00+00:00,2022-08-15T00:00:00+00:00,2.5,2.5,4
D_EVIDENCE_STRONG,top_6,APT-USDT,1,1,0,2023-02-27T00:00:00+00:00,2023-02-27T00:00:00+00:00,1,1.0,1
D_EVIDENCE_STRONG,top_6,ATOM-USDT,26,8,7,2020-07-20T00:00:00+00:00,2022-10-10T00:00:00+00:00,2.5,3.25,8
D_EVIDENCE_STRONG,top_6,AVAX-USDT,46,7,6,2021-11-29T00:00:00+00:00,2024-02-19T00:00:00+00:00,6,6.571428571428571,15
D_EVIDENCE_STRONG,top_6,BCH-USDT,4,2,1,2021-05-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,2.0,2.0,3
D_EVIDENCE_STRONG,top_6,BNB-USDT,10,6,5,2021-05-03T00:00:00+00:00,2023-07-03T00:00:00+00:00,1.5,1.6666666666666667,3
D_EVIDENCE_STRONG,top_6,BTC-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
D_EVIDENCE_STRONG,top_6,DOGE-USDT,70,10,9,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,3.5,7.0,18
D_EVIDENCE_STRONG,top_6,DOT-USDT,28,6,5,2021-02-15T00:00:00+00:00,2022-01-31T00:00:00+00:00,4.5,4.666666666666667,11
D_EVIDENCE_STRONG,top_6,ETH-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
D_EVIDENCE_STRONG,top_6,FET-USDT,7,2,1,2024-03-11T00:00:00+00:00,2024-10-14T00:00:00+00:00,3.5,3.5,6
D_EVIDENCE_STRONG,top_6,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1,1.0,1
D_EVIDENCE_STRONG,top_6,ICP-USDT,8,1,0,2024-01-15T00:00:00+00:00,2024-03-04T00:00:00+00:00,8,8.0,8
D_EVIDENCE_STRONG,top_6,INJ-USDT,7,2,1,2023-05-08T00:00:00+00:00,2024-01-22T00:00:00+00:00,3.5,3.5,5
D_EVIDENCE_STRONG,top_6,JASMY-USDT,7,3,2,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,2,2.3333333333333335,3
D_EVIDENCE_STRONG,top_6,KCS-USDT,118,2,1,2019-03-11T00:00:00+00:00,2021-08-09T00:00:00+00:00,59.0,59.0,114
D_EVIDENCE_STRONG,top_6,LDO-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1,1.0,1
D_EVIDENCE_STRONG,top_6,LINK-USDT,8,2,1,2023-11-06T00:00:00+00:00,2024-02-12T00:00:00+00:00,4.0,4.0,7
D_EVIDENCE_STRONG,top_6,LTC-USDT,108,12,11,2019-03-18T00:00:00+00:00,2023-08-28T00:00:00+00:00,2.5,9.0,66
D_EVIDENCE_STRONG,top_6,LUNC-USDT,13,2,1,2022-09-12T00:00:00+00:00,2023-01-16T00:00:00+00:00,6.5,6.5,12
D_EVIDENCE_STRONG,top_6,NEAR-USDT,22,5,4,2022-01-17T00:00:00+00:00,2024-07-08T00:00:00+00:00,5,4.4,9
D_EVIDENCE_STRONG,top_6,ONDO-USDT,8,1,0,2024-06-17T00:00:00+00:00,2024-08-05T00:00:00+00:00,8,8.0,8
D_EVIDENCE_STRONG,top_6,OP-USDT,3,1,0,2023-03-13T00:00:00+00:00,2023-03-27T00:00:00+00:00,3,3.0,3
D_EVIDENCE_STRONG,top_6,QNT-USDT,2,1,0,2022-10-24T00:00:00+00:00,2022-10-31T00:00:00+00:00,2,2.0,2
D_EVIDENCE_STRONG,top_6,RUNE-USDT,1,1,0,2023-12-04T00:00:00+00:00,2023-12-04T00:00:00+00:00,1,1.0,1
D_EVIDENCE_STRONG,top_6,SAND-USDT,5,1,0,2021-11-29T00:00:00+00:00,2021-12-27T00:00:00+00:00,5,5.0,5
D_EVIDENCE_STRONG,top_6,SENSO-USDT,4,1,0,2020-06-22T00:00:00+00:00,2020-07-13T00:00:00+00:00,4,4.0,4
D_EVIDENCE_STRONG,top_6,SHIB-USDT,60,10,9,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,4.5,6.0,15
D_EVIDENCE_STRONG,top_6,SOL-USDT,150,6,5,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.5,25.0,105
D_EVIDENCE_STRONG,top_6,TAO-USDT,1,1,0,2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00,1,1.0,1
D_EVIDENCE_STRONG,top_6,TRX-USDT,62,5,4,2019-03-18T00:00:00+00:00,2022-05-30T00:00:00+00:00,2,12.4,53
D_EVIDENCE_STRONG,top_6,WIF-USDT,9,2,1,2024-07-15T00:00:00+00:00,2024-10-21T00:00:00+00:00,4.5,4.5,8
D_EVIDENCE_STRONG,top_6,XMR-USDT,30,6,5,2023-05-22T00:00:00+00:00,2024-11-18T00:00:00+00:00,4.5,5.0,9
D_EVIDENCE_STRONG,top_6,XRP-USDT,294,5,4,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,27,58.8,150
D_EVIDENCE_STRONG,top_6,XTZ-USDT,17,2,1,2020-03-23T00:00:00+00:00,2020-09-07T00:00:00+00:00,8.5,8.5,10
D_EVIDENCE_STRONG,top_10,AAVE-USDT,3,2,1,2021-02-15T00:00:00+00:00,2024-09-30T00:00:00+00:00,1.5,1.5,2
D_EVIDENCE_STRONG,top_10,ADA-USDT,184,16,15,2019-10-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,3.0,11.5,100
D_EVIDENCE_STRONG,top_10,ALGO-USDT,28,6,5,2019-09-23T00:00:00+00:00,2022-11-28T00:00:00+00:00,4.0,4.666666666666667,10
D_EVIDENCE_STRONG,top_10,APE-USDT,13,3,2,2022-06-20T00:00:00+00:00,2022-12-19T00:00:00+00:00,2,4.333333333333333,10
D_EVIDENCE_STRONG,top_10,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4,4.0,4
D_EVIDENCE_STRONG,top_10,ARB-USDT,5,1,0,2024-01-15T00:00:00+00:00,2024-02-12T00:00:00+00:00,5,5.0,5
D_EVIDENCE_STRONG,top_10,ARPA-USDT,11,3,2,2019-10-14T00:00:00+00:00,2020-01-06T00:00:00+00:00,2,3.6666666666666665,8
