pair,canonical_asset_id,discovery_channels,provenance_category,current_seed_only,secondary_channels
SD-USDT,SD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SEI-USDT,SEI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SENSO-USDT,SENSO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
SFP-USDT,SFP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SFUND-USDT,SFUND,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SHIB-USDT,SHIB,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SHR-USDT,SHR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SIN-USDT,SIN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SKEY-USDT,SKEY,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SKL-USDT,SKL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SLP-USDT,SLP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SNX-USDT,SNX,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
SOL-USDT,SOL,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
SOUL-USDT,SOUL,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
SPA-USDT,SPA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SSV-USDT,SSV,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
STG-USDT,STG,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
STORJ-USDT,STORJ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
STRAX-USDT,STRAX,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
STX-USDT,STX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SUI-USDT,SUI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
SUKU-USDT,SUKU,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
