pair,canonical_asset_id,discovery_channels,provenance_category,current_seed_only,secondary_channels
1INCH-USDT,1INCH,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AAVE-USDT,AAVE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ACH-USDT,ACH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ACS-USDT,ACS,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ADA-USDT,ADA,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ADX-USDT,ADX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AGI-USDT,AGI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGIX2L-USDT,AGIX2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGIX2S-USDT,AGIX2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGLD-USDT,AGLD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AIOZ-USDT,AIOZ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AKT-USDT,AKT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALEPH-USDT,ALEPH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALEX-USDT,ALEX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALGO-USDT,ALGO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ALICE-USDT,ALICE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALPINE-USDT,ALPINE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AMP-USDT,AMP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ANKR-USDT,ANKR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
APE-USDT,APE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
API3-USDT,API3,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
APT-USDT,APT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
APT2L-USDT,APT2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
APT2S-USDT,APT2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AR-USDT,AR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ARB-USDT,ARB,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
ARKM-USDT,ARKM,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ARPA-USDT,ARPA,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ARTFI-USDT,ARTFI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ARTY-USDT,ARTY,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ASTR-USDT,ASTR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ATA-USDT,ATA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ATOM-USDT,ATOM,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
AUCTION-USDT,AUCTION,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AUDIO-USDT,AUDIO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AURORA-USDT,AURORA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AVA-USDT,AVA,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AVAX-USDT,AVAX,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
AXS-USDT,AXS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AZERO-USDT,AZERO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BABYDOGE-USDT,BABYDOGE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BAL-USDT,BAL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BAND-USDT,BAND,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BAT-USDT,BAT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BAX-USDT,BAX,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
BCH-USDT,BCH,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
BCHSV-USDT,BCHSV,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
BDX-USDT,BDX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BFC-USDT,BFC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BICO-USDT,BICO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BIGTIME-USDT,BIGTIME,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BLUR-USDT,BLUR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BLUR2L-USDT,BLUR2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
BLUR2S-USDT,BLUR2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
BLZ-USDT,BLZ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BNB-USDT,BNB,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
BNC-USDT,BNC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BOBA-USDT,BOBA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BONK-USDT,BONK,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BOSON-USDT,BOSON,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BRISE-USDT,BRISE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
BTC-USDT,BTC,current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,current_currency_non_causal_seed;rd18_p0_historical_evidence
BTT-USDT,BTT,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
C98-USDT,C98,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CAKE-USDT,CAKE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CCD-USDT,CCD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CELO-USDT,CELO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CELR-USDT,CELR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
CERE-USDT,CERE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CETUS-USDT,CETUS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CFG-USDT,CFG,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CFX-USDT,CFX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CFX2L-USDT,CFX2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
CFX2S-USDT,CFX2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
CGPT-USDT,CGPT,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
CHR-USDT,CHR,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
CHZ-USDT,CHZ,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
CKB-USDT,CKB,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
COMP-USDT,COMP,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
COQ-USDT,COQ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
COTI-USDT,COTI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
CPOOL-USDT,CPOOL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CREDI-USDT,CREDI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CRO-USDT,CRO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
CRV-USDT,CRV,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CSPR-USDT,CSPR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CTC-USDT,CTC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CTSI-USDT,CTSI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CVX-USDT,CVX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CWEB-USDT,CWEB,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
CYBER-USDT,CYBER,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DAG-USDT,DAG,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
DAO-USDT,DAO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DASH-USDT,DASH,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
DCK-USDT,DCK,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DCR-USDT,DCR,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
DENT-USDT,DENT,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
DEXE-USDT,DEXE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DGB-USDT,DGB,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
DIA-USDT,DIA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DMTR-USDT,DMTR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DODO-USDT,DODO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DOGE-USDT,DOGE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
DOT-USDT,DOT,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
DUSK-USDT,DUSK,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
DYDX-USDT,DYDX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
EDU-USDT,EDU,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
EGLD-USDT,EGLD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ELON-USDT,ELON,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ENJ-USDT,ENJ,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ENS-USDT,ENS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ERG-USDT,ERG,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ETC-USDT,ETC,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ETH-USDT,ETH,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ETHW-USDT,ETHW,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ETN-USDT,ETN,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
EUL-USDT,EUL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
EWT-USDT,EWT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FET-USDT,FET,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FIDA-USDT,FIDA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FIL-USDT,FIL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FITFI-USDT,FITFI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FLIP-USDT,FLIP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FLOKI-USDT,FLOKI,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FLOW-USDT,FLOW,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FLR-USDT,FLR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FLUX-USDT,FLUX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FORT-USDT,FORT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FORTH-USDT,FORTH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
FTT-USDT,FTT,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
GAFI-USDT,GAFI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GALAX-USDT,GALAX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GAS-USDT,GAS,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
GHX-USDT,GHX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GLM-USDT,GLM,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GLMR-USDT,GLMR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GLQ-USDT,GLQ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GMEE-USDT,GMEE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GMT-USDT,GMT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GMX-USDT,GMX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GODS-USDT,GODS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GRAM-USDT,GRAM,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
GRT-USDT,GRT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
GRT2L-USDT,GRT2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
GRT2S-USDT,GRT2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
GTC-USDT,GTC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HAI-USDT,HAI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HBAR-USDT,HBAR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HEART-USDT,HEART,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HFT-USDT,HFT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HIGH-USDT,HIGH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HMND-USDT,HMND,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HNT-USDT,HNT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
HTR-USDT,HTR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
HYDRA-USDT,HYDRA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ICP-USDT,ICP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ICX-USDT,ICX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ID-USDT,ID,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ILV-USDT,ILV,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
IMX-USDT,IMX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
INJ-USDT,INJ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
INSP-USDT,INSP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
IOST-USDT,IOST,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
IOTA-USDT,IOTA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ISLM-USDT,ISLM,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ISP-USDT,ISP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
JASMY-USDT,JASMY,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
JST-USDT,JST,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
JTO-USDT,JTO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
KACE-USDT,KACE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
KAS-USDT,KAS,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
KAVA-USDT,KAVA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
KCS-USDT,KCS,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
KLV-USDT,KLV,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
KNC-USDT,KNC,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
KPOL-USDT,KPOL,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
