variant,membership_type,decision_time,member_count,one_week_turnover_count,four_week_turnover_count,one_week_retention_rate,four_week_retention_rate,changed
D_EVIDENCE_STRONG,top6_top8_hysteresis,2019-12-23T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2019-12-30T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-01-06T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-01-13T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-01-20T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-01-27T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-02-03T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-02-10T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-02-17T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-02-24T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-03-02T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-03-09T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-03-16T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-03-23T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-03-30T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-04-06T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2020-04-13T00:00:00+00:00,6,0,0,1.0,1.0,False
