domain_id,symbol,candidate_count,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
CROSS_SECTIONAL_LEADER_PULLBACK,NEAR/USDT,16,16,7,3,2022-04-19T00:00:00+00:00,2024-10-13T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,SOL/USDT,14,14,6,4,2023-11-23T00:00:00+00:00,2024-11-07T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,XRP/USDT,20,20,11,10,2020-12-08T00:00:00+00:00,2024-12-21T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,ADA/USDT,14,14,10,7,2020-08-14T00:00:00+00:00,2024-12-12T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,ATOM/USDT,16,16,8,6,2020-08-01T00:00:00+00:00,2024-12-12T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,AVAX/USDT,10,10,7,1,2021-10-29T00:00:00+00:00,2024-12-12T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,BTC/USDT,17,17,10,4,2019-08-20T00:00:00+00:00,2024-05-14T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,ETH/USDT,30,30,19,3,2020-03-07T00:00:00+00:00,2024-07-15T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,LINK/USDT,13,13,9,3,2021-04-27T00:00:00+00:00,2024-12-24T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,LTC/USDT,21,21,12,9,2020-11-30T00:00:00+00:00,2024-12-12T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,NEAR/USDT,5,5,3,1,2024-01-11T00:00:00+00:00,2024-10-21T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,SOL/USDT,12,12,5,1,2024-01-09T00:00:00+00:00,2024-12-04T00:00:00+00:00
DEEP_PULLBACK_RECOVERY,XRP/USDT,13,13,8,7,2020-08-23T00:00:00+00:00,2024-12-24T00:00:00+00:00
