pair,canonical_asset_id,first_eligible_week,last_eligible_week,eligible_weeks,top_30_weeks,top_10_weeks,top_6_weeks,hysteresis_weeks,median_liquidity_rank,best_liquidity_rank,top_6_slot_contribution,top_10_slot_contribution,max_consecutive_top_6_weeks,top_6_substitutions_caused,displaced_assets,displaced_evidence_strong,discovery_channels
LYX-USDT,LYX,2023-10-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,63,0,0,0,0,133.0,83,0,0,0,0,,True,current_currency_non_causal_seed
MAN-USDT,MAN,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,187.5,39,0,0,0,0,,True,current_currency_non_causal_seed
MAPO-USDT,MAPO,2024-07-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,23,0,0,0,0,161.0,124,0,0,0,0,,True,current_currency_non_causal_seed
MONPRO-USDT,MONPRO,2024-08-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,19,0,0,0,0,111.0,90,0,0,0,0,,True,current_currency_non_causal_seed
MTV-USDT,MTV,2019-07-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,286,54,14,0,0,82.0,9,0,14,0,0,,True,current_currency_non_causal_seed
NAVI-USDT,NAVI,2023-03-06T00:00:00+00:00,2024-12-30T00:00:00+00:00,96,0,0,0,0,217.5,96,0,0,0,0,,True,current_currency_non_causal_seed
NFP-USDT,NFP,2024-04-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,38,0,0,0,0,318.5,260,0,0,0,0,,True,current_currency_non_causal_seed
NXRA-USDT,NXRA,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,112.5,61,0,0,0,0,,True,current_currency_non_causal_seed
ONT-USDT,ONT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,83,5,0,0,138.0,8,0,5,0,0,,True,current_currency_non_causal_seed
OORT-USDT,OORT,2024-09-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,15,0,0,0,0,298.0,117,0,0,0,0,,True,current_currency_non_causal_seed
OP2L-USDT,OP2L,2023-05-15T00:00:00+00:00,2023-11-13T00:00:00+00:00,27,0,0,0,0,286.0,270,0,0,0,0,,True,current_currency_non_causal_seed
OP2S-USDT,OP2S,2023-05-15T00:00:00+00:00,2023-11-06T00:00:00+00:00,26,0,0,0,0,299.0,278,0,0,0,0,,True,current_currency_non_causal_seed
ORDI-USDT,ORDI,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,14,0,0,0,46.0,13,0,0,0,0,,True,current_currency_non_causal_seed
P2P-USDT,P2P,2021-12-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,158,0,0,0,0,191.0,109,0,0,0,0,,True,current_currency_non_causal_seed
PUNDIX-USDT,PUNDIX,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,255.0,91,0,0,0,0,,True,current_currency_non_causal_seed
PZP-USDT,PZP,2023-07-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,76,0,0,0,0,202.5,84,0,0,0,0,,True,current_currency_non_causal_seed
QKC-USDT,QKC,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,357.0,330,0,0,0,0,,True,current_currency_non_causal_seed
REQ-USDT,REQ,2021-11-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,164,0,0,0,0,189.5,44,0,0,0,0,,True,current_currency_non_causal_seed
SNX-USDT,SNX,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,108,0,0,0,58.0,11,0,0,0,0,,True,current_currency_non_causal_seed
SOUL-USDT,SOUL,2021-10-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,169,0,0,0,0,123.0,45,0,0,0,0,,True,current_currency_non_causal_seed
STRAX-USDT,STRAX,2023-07-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,78,0,0,0,0,324.5,75,0,0,0,0,,True,current_currency_non_causal_seed
TIME-USDT,TIME,2022-04-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,144,0,0,0,0,202.0,42,0,0,0,0,,True,current_currency_non_causal_seed
TRAC-USDT,TRAC,2023-05-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,86,0,0,0,0,150.0,93,0,0,0,0,,True,current_currency_non_causal_seed
UTK-USDT,UTK,2024-03-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,43,0,0,0,0,336.0,213,0,0,0,0,,True,current_currency_non_causal_seed
VANRY-USDT,VANRY,2024-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,42,0,0,0,0,113.0,64,0,0,0,0,,True,current_currency_non_causal_seed
VOLT-USDT,VOLT,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,0,0,0,0,268.5,106,0,0,0,0,,True,current_currency_non_causal_seed
WAX-USDT,WAX,2021-07-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,181,1,0,0,0,118.0,30,0,0,0,0,,True,current_currency_non_causal_seed
XDB-USDT,XDB,2020-07-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,234,38,0,0,0,65.0,13,0,0,0,0,,True,current_currency_non_causal_seed
XEC-USDT,XEC,2022-03-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,147,0,0,0,0,239.0,123,0,0,0,0,,True,current_currency_non_causal_seed
XRD-USDT,XRD,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,97.0,31,0,0,0,0,,True,current_currency_non_causal_seed
XYO-USDT,XYO,2021-12-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,160,0,0,0,0,206.0,65,0,0,0,0,,True,current_currency_non_causal_seed
ZBCN-USDT,ZBCN,2024-08-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,22,0,0,0,0,104.5,71,0,0,0,0,,True,current_currency_non_causal_seed
ZIL-USDT,ZIL,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,10,1,0,0,76.0,9,0,1,0,0,,True,current_currency_non_causal_seed
ZKJ-USDT,ZKJ,2024-06-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,28,0,0,0,0,328.0,200,0,0,0,0,,True,current_currency_non_causal_seed
ZRX-USDT,ZRX,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,327.0,177,0,0,0,0,,True,current_currency_non_causal_seed
