architecture_id,period,start_equity,end_equity,return,trade_count
COMPOSITE_ALPHA_V1,2020-11,118146.06132466489,119281.65169451364,0.0096117497030066,9
COMPOSITE_ALPHA_V1,2020-12,119281.65169451364,125767.42887424563,0.05437363657859451,16
COMPOSITE_ALPHA_V1,2021-01,125767.42887424563,127523.58103401688,0.013963489398572504,10
COMPOSITE_ALPHA_V1,2021-02,127523.58103401688,132994.18555226334,0.04289876800736314,16
COMPOSITE_ALPHA_V1,2021-03,132994.18555226334,135051.25624362467,0.015467373124766759,12
COMPOSITE_ALPHA_V1,2021-04,135051.25624362467,136741.32103404828,0.012514247089822295,13
COMPOSITE_ALPHA_V1,2021-05,136741.32103404828,137953.66701480548,0.008865981194194683,8
COMPOSITE_ALPHA_V1,2021-06,137953.66701480548,136516.84981034155,-0.010415215742759054,5
COMPOSITE_ALPHA_V1,2021-07,136516.84981034155,137572.6277042089,0.007733681925228275,3
COMPOSITE_ALPHA_V1,2021-08,137572.6277042089,133991.49669147102,-0.026030839655382332,17
COMPOSITE_ALPHA_V1,2021-09,133991.49669147102,131327.67624527667,-0.019880518629686428,10
COMPOSITE_ALPHA_V1,2021-10,131327.67624527667,133272.4595414524,0.014808632512034459,20
COMPOSITE_ALPHA_V1,2021-11,133272.4595414524,135323.87298442668,0.015392628379730766,9
COMPOSITE_ALPHA_V1,2021-12,135323.87298442668,134950.40254598702,-0.0027598267046542446,9
COMPOSITE_ALPHA_V1,2022-01,134950.40254598702,133299.4729323583,-0.012233602734650129,3
COMPOSITE_ALPHA_V1,2022-02,133299.4729323583,132269.48154709575,-0.007726897658366649,2
COMPOSITE_ALPHA_V1,2022-03,132269.48154709575,135830.9803532926,0.026926081243682454,6
COMPOSITE_ALPHA_V1,2022-04,135830.9803532926,134731.01806255744,-0.008098022173396613,5
COMPOSITE_ALPHA_V1,2022-05,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-06,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-07,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-08,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-09,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-10,134731.01806255744,134731.01806255744,0.0,0
COMPOSITE_ALPHA_V1,2022-11,134731.01806255744,135190.41024873272,0.0034096987670795276,1
COMPOSITE_ALPHA_V1,2022-12,135190.41024873272,135190.41024873272,0.0,0
COMPOSITE_ALPHA_V1,2023-01,135190.41024873272,134695.2211227967,-0.003662901274024799,3
COMPOSITE_ALPHA_V1,2023-02,134695.2211227967,134424.08917524325,-0.00201292922861962,2
COMPOSITE_ALPHA_V1,2023-03,134424.08917524325,132181.70034190168,-0.016681450825515753,14
COMPOSITE_ALPHA_V1,2023-04,132181.70034190168,132921.18008840535,0.005594418475408647,14
COMPOSITE_ALPHA_V1,2023-05,132921.18008840535,132393.7744616266,-0.003967807285701008,5
COMPOSITE_ALPHA_V1,2023-06,132393.7744616266,131145.98897129408,-0.00942480487021824,5
COMPOSITE_ALPHA_V1,2023-07,131145.98897129408,133262.40871698174,0.016137891538192006,10
COMPOSITE_ALPHA_V1,2023-08,133262.40871698174,132833.81591883907,-0.003216156771208456,2
COMPOSITE_ALPHA_V1,2023-09,132833.81591883907,132911.56811743684,0.0005853343748347672,2
COMPOSITE_ALPHA_V1,2023-10,132911.56811743684,142879.38960540475,0.07499589109625604,9
COMPOSITE_ALPHA_V1,2023-11,142879.38960540475,141268.77351508156,-0.011272557188068189,14
COMPOSITE_ALPHA_V1,2023-12,141268.77351508156,147444.41060064532,0.04371551427750209,24
COMPOSITE_ALPHA_V1,2024-01,147444.41060064532,147576.8069789372,0.000897940978247691,19
COMPOSITE_ALPHA_V1,2024-02,147576.8069789372,159919.628369243,0.08363659333046436,22
COMPOSITE_ALPHA_V1,2024-03,159919.628369243,159288.12181720498,-0.003948899572101983,26
COMPOSITE_ALPHA_V1,2024-04,159288.12181720498,156931.21262374177,-0.014796515688520362,11
COMPOSITE_ALPHA_V1,2024-05,156931.21262374177,160570.75502551484,0.02319195997356638,20
COMPOSITE_ALPHA_V1,2024-06,160570.75502551484,160507.414382974,-0.0003944718484432119,12
COMPOSITE_ALPHA_V1,2024-07,160507.414382974,162576.44295083857,0.012890548239272048,12
COMPOSITE_ALPHA_V1,2024-08,162576.44295083857,162576.44295083857,0.0,0
COMPOSITE_ALPHA_V1,2024-09,162576.44295083857,160315.4695031429,-0.013907140583579891,6
COMPOSITE_ALPHA_V1,2024-10,160315.4695031429,161252.14748858334,0.005842717414254794,10
COMPOSITE_ALPHA_V1,2024-11,161252.14748858334,158660.9574610962,-0.016069181513818864,14
COMPOSITE_ALPHA_V1,2024-12,158660.9574610962,149114.19814467017,-0.060170816243604874,22
COMPOSITE_ALPHA_V1,2025-01,149114.19814467017,149114.19814467017,0.0,0
