universe_mode,portfolio_mode,fold_id,trade_id,position_id,candidate_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,net_pnl,return_fraction,exit_reason,alignment_tier,holding_hours,mfe,mae,natural_reselection_sequence,previous_position_id
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-1d5caaf5ecb0ecd715b2,POS-737c69f57d89d7a5cbd5,CAND-78cc8579ef9bc8f1e5c8,LTC,2023-05-23T04:00:00+00:00,2023-06-12T04:00:00+00:00,92.746,76.153,157.4961531323591,-2613.333668925233,-2666.5355544610375,-0.1821857976841692,REBALANCE_EXIT,MEDIUM,480.0,0.05191598559506616,-0.2114053436266793,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-e5b3f8d77a081d8f82a2,POS-9eaa95b80527167f9594,CAND-7533aad590eb48277711,TRX,2023-05-10T00:00:00+00:00,2023-06-19T04:00:00+00:00,0.069081,0.069994,304496.39323458297,278.0052070231734,193.30953524497414,0.009171593264882304,REBALANCE_EXIT,FULL,964.0,0.2415570127820963,-0.06645821571778054,1,POS-47296280b9ee54fdc9ec
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-78e1108d3cbff135c91f,POS-75d1d3fdcbc3d6dd7361,CAND-777c5ce5991ab34fe9b6,XRP,2023-06-06T20:00:00+00:00,2023-06-26T04:00:00+00:00,0.52829,0.48437,40665.14075079896,-1786.0129817750908,-1868.372904640499,-0.08679629138248143,REBALANCE_EXIT,FULL,464.0,0.07092695299929952,-0.13744344962047372,1,POS-c70b46fd1f35e0f80bc6
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-31bb5b29cf627f1042b5,POS-b471d04dfac106d27ecc,CAND-20f71a712400a28819f3,BTC,2023-06-26T08:00:00+00:00,2023-07-03T04:00:00+00:00,30404.6,30759.5,0.6509662552212646,231.02792397802776,151.39639371606984,0.0076339627829453685,REBALANCE_EXIT,FULL,164.0,0.02887063141761459,-0.029752076988350362,2,POS-d1a8d74412857aea56b9
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-5ef89e340b575a2276e2,POS-360e185d92a8fa0795e2,CAND-6f599ea49640a1020579,SYN,2023-06-26T08:00:00+00:00,2023-07-03T04:00:00+00:00,0.68,0.733,29072.533677710642,1540.8442849186622,1458.685304745452,0.07363801808148399,REBALANCE_EXIT,FULL,164.0,0.14411764705882346,-0.09705882352941186,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-a2b4f2f24a656eb99fe2,POS-1f8c6aa066911c5b22f5,CAND-4710792768f2340c9549,UNI,2023-06-30T04:00:00+00:00,2023-07-03T04:00:00+00:00,5.186,5.7542,2561.1567993428953,1455.249293386633,1399.2101581542909,0.10513481328896393,REBALANCE_EXIT,MEDIUM,72.0,0.11461627458542245,-0.07539529502506748,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-6d7d997d66882c80b550,POS-c8ea6e43459acb875d5c,CAND-7a8f8cba9961a8988a4d,LTC,2023-07-06T04:00:00+00:00,2023-07-10T04:00:00+00:00,103.71,93.875,193.3642452184621,-1901.7373517235735,-1978.1491005065532,-0.09844518849678903,REBALANCE_EXIT,FULL,96.0,0.022264005399672326,-0.11611223604281162,1,POS-737c69f57d89d7a5cbd5
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-187ba98a5f6e81c5f71a,POS-bbd77ce7be173a4cb3c5,CAND-ed331a7d8863fc7221f0,XLM,2023-07-03T04:00:00+00:00,2023-07-10T04:00:00+00:00,0.109244,0.098146,188062.42510027476,-2087.116793762849,-2165.1213264459407,-0.10517557393725599,REBALANCE_EXIT,FULL,168.0,0.0018948409065944194,-0.1310277909999633,1,POS-f067bec25f4c8bbc80a0
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-39309f1c814bc17aad73,POS-b84443de028c5a9fdd46,CAND-f81671750825e5cc2e63,XMR,2023-07-03T12:00:00+00:00,2023-07-10T04:00:00+00:00,170.03,165.12,120.13506687687808,-589.863178365471,-670.3897136930423,-0.03275399445184204,REBALANCE_EXIT,FULL,160.0,0.014526848203258336,-0.048756101864376844,2,POS-58b075edecc46966d5f8
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-0b4656618484c4279616,POS-200ea77ee53456f4fac4,CAND-f092ddec88c8bbb5afb3,AAVE,2023-07-11T16:00:00+00:00,2023-07-17T04:00:00+00:00,73.355,78.777,266.0772725456785,1442.6709717426681,1361.7132364888298,0.0696274413207529,REBALANCE_EXIT,FULL,132.0,0.19964555926658023,-0.009760752504941794,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-bfbc6b2e8678d2d76584,POS-0c426749395b7320496d,CAND-10825ce9a3d8b2d4d40c,UNI,2023-07-13T08:00:00+00:00,2023-07-17T04:00:00+00:00,5.3209,5.9797,3717.1325996564865,2448.846956653694,2364.8352993423377,0.1193273585513294,REBALANCE_EXIT,FULL,92.0,0.15634573098535953,-0.002067319438440851,1,POS-1f8c6aa066911c5b22f5
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-4c333ae3022e0b1fd60d,POS-191e5d6d55949155acf8,CAND-c550641585b47eb85fb9,SOL,2023-07-10T16:00:00+00:00,2023-07-24T04:00:00+00:00,21.157,24.313,914.1785949091568,2885.1476455332977,2802.012244112259,0.14458298037379883,REBALANCE_EXIT,FULL,324.0,0.5236092073545398,-0.01106016921113584,2,POS-0c2f2b8a17201129a7b4
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-e1ee554c924b58e51d5a,POS-5e82a97b810aed6243d4,CAND-41f42be96d8b73e67f12,SNX,2023-07-18T00:00:00+00:00,2023-08-14T04:00:00+00:00,2.660486,2.512799,8069.939500849094,-1191.825155061903,-1275.321349003203,-0.059281700310595604,REBALANCE_EXIT,FULL,652.0,0.21202404372734907,-0.11294402601629938,3,POS-859893ad84c8f92c10db
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-4d4b9e4349a2d02b838b,POS-7eb7b33be8a255989b79,CAND-318ea4eead78d8b8d3cf,XLM,2023-07-18T00:00:00+00:00,2023-08-14T04:00:00+00:00,0.128969,0.13758,166697.0775861199,1435.4285350940797,1346.5626564270744,0.06250942818129766,REBALANCE_EXIT,FULL,652.0,0.40111189510657597,-0.0297590893935753,2,POS-bbd77ce7be173a4cb3c5
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-78ecbb3359fa1da5692b,POS-774836f28859693a71d8,CAND-b06f9071e6990b157b71,XRP,2023-07-27T12:00:00+00:00,2023-08-14T04:00:00+00:00,0.71624,0.63004,31767.895867950618,-2738.3926238173412,-2823.92958951555,-0.1238622943992501,REBALANCE_EXIT,FULL,424.0,0.027030045794705693,-0.16614542611415173,2,POS-75d1d3fdcbc3d6dd7361
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-490b141a17048d07b42b,POS-08b853be242cbea60479,CAND-46e8f502fccabad4af0c,LINK,2023-08-14T12:00:00+00:00,2023-08-21T04:00:00+00:00,7.5323,6.208,2691.107814859041,-3563.834079217828,-3637.787336634843,-0.1791063068557732,REBALANCE_EXIT,FULL,160.0,0.013528404338648103,-0.2830875031530874,1,POS-d17f1836a22776fba01e
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-df1a99f363e25b774208,POS-fcc07e64b476ad4430c3,CAND-55f7908387506bbb12c4,SHIB,2023-08-14T08:00:00+00:00,2023-08-28T04:00:00+00:00,1.0412e-05,7.967e-06,1948256305.8928127,-4763.486667907926,-4835.100673199934,-0.23787979170356938,REBALANCE_EXIT,FULL,332.0,0.023434498655397595,-0.33019592777564355,1,POS-fb41d097d9ff739e45fd
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-e7ad1180e7b72b17549b,POS-8847a2a5113e97946faf,CAND-6ce8754d8d69dfa15a5e,AAVE,2023-09-18T12:00:00+00:00,2023-09-25T04:00:00+00:00,61.759,62.028,347.0801450634788,93.36455902207523,7.436539188129522,0.0003462367190681921,REBALANCE_EXIT,FULL,160.0,0.06964167165919144,-0.021842970255347427,1,POS-200ea77ee53456f4fac4
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-db60e6a368a9be4766e1,POS-9b7a5910cd850a30f8f5,CAND-1f1501ce35b109000704,GRAM,2023-08-29T00:00:00+00:00,2023-10-02T04:00:00+00:00,1.523,2.1385,11928.445603740824,7341.958269102479,7254.606261946285,0.3985312369351908,REBALANCE_EXIT,FULL,820.0,0.7065003282994093,-0.018253447143795065,3,POS-b3fa6e183799948c5698
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-3cd927d69580f5f7002f,POS-cb2f557b60944af45777,CAND-b1f5906730d1ec20d30c,TRX,2023-09-04T20:00:00+00:00,2023-10-02T04:00:00+00:00,0.0774,0.090295,248314.8682416403,3202.0202259759526,3118.7379023163885,0.16194497310288986,REBALANCE_EXIT,FULL,656.0,0.16844961240310097,-0.005568475452196409,2,POS-9eaa95b80527167f9594
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-0f2cb02ddb981e6696f4,POS-8c7d2bb83d099f26bd63,CAND-9a6bfcf98e2f250cca2d,AAVE,2023-10-05T08:00:00+00:00,2023-10-30T04:00:00+00:00,70.095,84.103,301.54490169042174,4224.040982879426,4131.045741377707,0.19505327742403764,REBALANCE_EXIT,FULL,596.0,0.29632641415222194,-0.1284970397317925,2,POS-8847a2a5113e97946faf
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-2c16b45baddfecb3a32f,POS-dde8a3931ba883f78a2b,CAND-45bb7ada7cafdaeecfa5,PEPE,2023-10-30T04:00:00+00:00,2023-11-13T04:00:00+00:00,1.165e-06,1.1871e-06,22865511312.985176,505.3278000169716,397.76386169842675,0.014902212741898147,REBALANCE_EXIT,FULL,336.0,0.2540772532188842,-0.12188841201716749,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-8160fda21e39dfb05796,POS-055eb0743c092f61daa8,CAND-2650769d1619519374c6,LINK,2023-09-25T04:00:00+00:00,2023-11-20T04:00:00+00:00,7.1628,14.865,2870.310255883686,22107.703652867327,21981.25041235822,1.0670210926781052,REBALANCE_EXIT,FULL,1344.0,1.3201401686491319,-0.008767521081141427,2,POS-08b853be242cbea60479
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-025f30acd13e2c46b9c8,POS-bd666e6222d056aef592,CAND-2b55102618e605d57113,NEAR,2023-11-20T08:00:00+00:00,2023-11-27T04:00:00+00:00,2.0714,1.7883,18580.71665929241,-5260.200886245684,-5403.632870425426,-0.14011727438239294,REBALANCE_EXIT,FULL,164.0,0.05595249589649498,-0.1643815776769335,1,POS-306cbb46071ec65354c9
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-dcc310acbee344cb7954,POS-11d3a832562bf6ab85c6,CAND-00c6f75e417179a6dcf2,SOL,2023-10-05T00:00:00+00:00,2023-12-04T04:00:00+00:00,23.129,64.231,911.1809628381543,37451.35993457381,37292.15839674672,1.765990264272354,REBALANCE_EXIT,FULL,1444.0,1.9491115050369663,-0.0951619179385188,3,POS-191e5d6d55949155acf8
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-3db22d0ba9d4e5bb9d38,POS-7464d754ac7f13571766,CAND-78b419c61758453258b8,SNX,2023-12-05T20:00:00+00:00,2023-12-11T04:00:00+00:00,3.67571,4.476,11531.557443556278,9228.590106503652,9040.586282247228,0.21286274938092126,REBALANCE_EXIT,FULL,128.0,0.27212021623033356,-0.013153921283235115,4,POS-5e82a97b810aed6243d4
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-059ea2e299486eae4b7d,POS-f041b55e55084b15ee2c,CAND-5b4dcfcf6db2373a40da,ADA,2023-12-12T04:00:00+00:00,2023-12-25T04:00:00+00:00,0.562176,0.604153,90596.99866797392,3802.9902130855453,3591.6583993667064,0.07037869204100912,REBALANCE_EXIT,FULL,312.0,0.210297131147541,-0.03517759562841538,1,POS-4fddecfa42a959710da0
