signal_id,regime_id,state,decision_count,mean_rank_ic
REVERSAL_1D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,0.006400681261637883
REVERSAL_1D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.005441536587254056
REVERSAL_1D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,0.015086206896551727
REVERSAL_1D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,0.0822799743823103
REVERSAL_1D_VOL_NORMALIZED,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,0.028709402388490256
REVERSAL_1D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,HIGH,48,0.042274153821706656
REVERSAL_1D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,LOW,21,0.01437576142804174
REVERSAL_1D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,MID,35,0.01870649928491975
REVERSAL_1D_VOL_NORMALIZED,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,0.028709402388490256
REVERSAL_3D_VOL_NORMALIZED,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,0.07410085279940674
REVERSAL_3D_VOL_NORMALIZED,BTC_TREND_STATE,UP,80,-0.0005893453043063684
REVERSAL_3D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,0.03206031392905699
REVERSAL_3D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,0.025820651788038707
REVERSAL_3D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.0015226523569126433
REVERSAL_3D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.03779087060510864
REVERSAL_3D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,0.052238598442714126
REVERSAL_3D_VOL_NORMALIZED,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,0.04646914079617082
REVERSAL_3D_VOL_NORMALIZED,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,0.016646854258088963
REVERSAL_3D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,HIGH,48,-0.0012881376132210336
REVERSAL_3D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,LOW,21,0.10056676730759044
REVERSAL_3D_VOL_NORMALIZED,MARKET_BREADTH_TERCILE,MID,35,-0.009108533290958214
REVERSAL_3D_VOL_NORMALIZED,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,0.016646854258088963
DISTANCE_FROM_EMA20_ATR,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,0.1228401928068224
DISTANCE_FROM_EMA20_ATR,BTC_TREND_STATE,UP,80,0.014234466867948515
DISTANCE_FROM_EMA20_ATR,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,0.08542825361512793
DISTANCE_FROM_EMA20_ATR,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,0.027003999715996492
DISTANCE_FROM_EMA20_ATR,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,0.03282116474552514
DISTANCE_FROM_EMA20_ATR,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.014810106467503576
DISTANCE_FROM_EMA20_ATR,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,0.09026696329254727
DISTANCE_FROM_EMA20_ATR,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,0.05381737283850743
