variant_id,cost_mode,symbol,compounded_return
MD01-M02,BASE_COST,SYN,0.21021631659458895
MD01-M02,BASE_COST,TAO,0.25954911330522745
MD01-M02,BASE_COST,TRX,0.2556445645606584
MD01-M02,BASE_COST,UNI,0.33653745511309574
MD01-M02,BASE_COST,XLM,0.1637731255015642
MD01-M02,BASE_COST,XMR,0.4789281238438663
MD01-M02,BASE_COST,XRP,0.4791076459122521
MD01-M02,BASE_COST,ZEC,0.43492073534581244
MD01-M02,STRESS_0_4_PERCENT,AAVE,0.3178878336425135
MD01-M02,STRESS_0_4_PERCENT,ADA,0.0952783268073567
MD01-M02,STRESS_0_4_PERCENT,AVAX,-0.04990570126502891
MD01-M02,STRESS_0_4_PERCENT,BNB,0.1970026581442641
MD01-M02,STRESS_0_4_PERCENT,BTC,0.15906918199930598
MD01-M02,STRESS_0_4_PERCENT,DEXE,0.2941840191694185
MD01-M02,STRESS_0_4_PERCENT,DOGE,0.1819053897479297
MD01-M02,STRESS_0_4_PERCENT,ENA,0.11117140796267444
MD01-M02,STRESS_0_4_PERCENT,ETH,0.24184125472400897
MD01-M02,STRESS_0_4_PERCENT,GRAM,0.08397998523109229
MD01-M02,STRESS_0_4_PERCENT,LINK,0.11784478309655122
MD01-M02,STRESS_0_4_PERCENT,LTC,0.13759931821213667
MD01-M02,STRESS_0_4_PERCENT,NEAR,0.5242438415653652
MD01-M02,STRESS_0_4_PERCENT,ONDO,0.21072322146441325
MD01-M02,STRESS_0_4_PERCENT,PEPE,0.13098441854952303
MD01-M02,STRESS_0_4_PERCENT,SEI,0.0717186603067177
MD01-M02,STRESS_0_4_PERCENT,SHIB,0.2756557757610725
MD01-M02,STRESS_0_4_PERCENT,SNX,0.3357841792485623
MD01-M02,STRESS_0_4_PERCENT,SOL,-0.06387015441257682
MD01-M02,STRESS_0_4_PERCENT,SUI,-0.25785772944797114
MD01-M02,STRESS_0_4_PERCENT,SYN,0.10816108033555394
MD01-M02,STRESS_0_4_PERCENT,TAO,0.1530095764485575
MD01-M02,STRESS_0_4_PERCENT,TRX,0.15380870469083874
MD01-M02,STRESS_0_4_PERCENT,UNI,0.22614274456366257
MD01-M02,STRESS_0_4_PERCENT,XLM,0.06679302126080788
MD01-M02,STRESS_0_4_PERCENT,XMR,0.36339425564132255
MD01-M02,STRESS_0_4_PERCENT,XRP,0.3600104314685224
MD01-M02,STRESS_0_4_PERCENT,ZEC,0.31859318310102247
MD01-M03,ZERO_COST,AAVE,2.90533448495618
MD01-M03,ZERO_COST,ADA,2.1299553204158976
MD01-M03,ZERO_COST,AVAX,1.8814997960527782
MD01-M03,ZERO_COST,BNB,2.728867393218577
MD01-M03,ZERO_COST,BTC,2.567847540773863
MD01-M03,ZERO_COST,DEXE,1.9490537827240435
MD01-M03,ZERO_COST,DOGE,2.0870351362526423
MD01-M03,ZERO_COST,DOT,2.519833726165885
MD01-M03,ZERO_COST,ENA,2.5608993204982844
MD01-M03,ZERO_COST,ETH,2.4651037915309324
MD01-M03,ZERO_COST,GRAM,2.252731791166759
MD01-M03,ZERO_COST,LINK,2.3480691984018374
MD01-M03,ZERO_COST,LTC,2.915330284964161
MD01-M03,ZERO_COST,NEAR,2.778488941424008
MD01-M03,ZERO_COST,ONDO,2.620147465205735
MD01-M03,ZERO_COST,PEPE,2.3299361186298273
MD01-M03,ZERO_COST,SEI,2.0944867476970264
MD01-M03,ZERO_COST,SHIB,2.8308868354779477
MD01-M03,ZERO_COST,SNX,3.7524914534451828
MD01-M03,ZERO_COST,SOL,1.977232957270032
MD01-M03,ZERO_COST,SUI,2.1814226461737496
MD01-M03,ZERO_COST,SYN,2.5991807478547058
MD01-M03,ZERO_COST,TAO,2.47044591318376
MD01-M03,ZERO_COST,TRX,2.5895437817607725
MD01-M03,ZERO_COST,UNI,2.3923004861227763
MD01-M03,ZERO_COST,XLM,1.8572952503845843
MD01-M03,ZERO_COST,XMR,3.0618906545106395
MD01-M03,ZERO_COST,XRP,2.7856516986224906
MD01-M03,ZERO_COST,ZEC,2.4332356888074487
MD01-M03,BASE_COST,AAVE,2.4169572550572647
MD01-M03,BASE_COST,ADA,1.7249979997791614
MD01-M03,BASE_COST,AVAX,1.5133803006325173
MD01-M03,BASE_COST,BNB,2.2401324382820165
MD01-M03,BASE_COST,BTC,2.106080563320684
MD01-M03,BASE_COST,DEXE,1.5510138675324394
MD01-M03,BASE_COST,DOGE,1.6882846635167201
MD01-M03,BASE_COST,DOT,2.0538540583797498
MD01-M03,BASE_COST,ENA,2.0925689093750455
MD01-M03,BASE_COST,ETH,2.008344097598549
MD01-M03,BASE_COST,GRAM,1.8228016965454268
MD01-M03,BASE_COST,LINK,1.9104177515874694
MD01-M03,BASE_COST,LTC,2.408075434776537
MD01-M03,BASE_COST,NEAR,2.3000257104267616
MD01-M03,BASE_COST,ONDO,2.144518208245729
MD01-M03,BASE_COST,PEPE,1.888814253564579
MD01-M03,BASE_COST,SEI,1.6874296866436076
MD01-M03,BASE_COST,SHIB,2.339803818677174
MD01-M03,BASE_COST,SNX,3.1794625216609536
