observation_state,fold_id,symbol,membership_exit_decision_time,last_pit_membership_week,first_removed_week,membership_tenure_weeks_before_exit,fixed_survivor,event_label,event_ids,price_at_membership_exit,measurement_status,data_available_1w,return_1w,data_available_2w,return_2w,data_available_4w,return_4w,data_available_8w,return_8w,mfe_8w,mae_8w,time_to_recovery_hours,time_to_new_high_hours,reentered_pit_later,reentry_time,fixed_or_union_position_active_at_exit,pit_position_active_at_exit,strategy_exit_time_if_any,strategy_exit_reason,fixed_post_exit_trade_count,fixed_post_exit_net_pnl,union_post_exit_trade_count,union_post_exit_net_pnl,population
REMOVED_FROM_PIT,WF01,XTZ,2022-05-02T00:00:00+00:00,2022-04-25T00:00:00+00:00,2022-05-02T00:00:00+00:00,16,False,UNLABELLED,,2.57016,MEASURABLE,True,-0.004789585084197023,True,-0.2543966134404084,True,-0.22742163911974356,True,-0.43888318236996915,0.12001198368973132,-0.5349861487222585,36.0,,False,,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,COMP,2022-05-30T00:00:00+00:00,2022-05-23T00:00:00+00:00,2022-05-30T00:00:00+00:00,8,False,UNLABELLED,,57.27,MEASURABLE,True,0.013270473197136257,True,-0.2823467784180199,True,-0.11541819451719937,True,-0.04085908852802522,0.22402654094639418,-0.5419940632093592,4.0,,True,2022-06-06T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,DOT,2022-06-06T00:00:00+00:00,2022-05-30T00:00:00+00:00,2022-06-06T00:00:00+00:00,21,True,UNLABELLED,,9.3471,MEASURABLE,True,-0.20812872441719887,True,-0.19525842239839086,True,-0.2664141819387831,True,-0.07676177637983972,0.06305699093836603,-0.35808967487242027,4.0,,False,,False,False,,,1,-2050.471317573178,0,0.0,REMOVED_SURVIVORS
REMOVED_FROM_PIT,WF01,COMP,2022-06-13T00:00:00+00:00,2022-06-06T00:00:00+00:00,2022-06-13T00:00:00+00:00,1,False,UNLABELLED,,41.09,MEASURABLE,True,-0.2212217084448772,True,0.23290338281820366,True,0.3027500608420539,True,0.5293258700413725,0.6154782185446579,-0.36164516914091027,200.0,880.0,True,2022-07-04T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,DASH,2022-07-04T00:00:00+00:00,2022-06-27T00:00:00+00:00,2022-07-04T00:00:00+00:00,9,False,UNLABELLED,,42.84,MEASURABLE,True,0.05415499533146573,True,0.07329598506069068,True,0.1937441643323996,True,0.030345471521942002,0.3634453781512603,-0.08263305322128867,12.0,592.0,True,2022-08-29T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,COMP,2022-07-11T00:00:00+00:00,2022-07-04T00:00:00+00:00,2022-07-11T00:00:00+00:00,1,False,UNLABELLED,,53.48,MEASURABLE,True,0.025430067314884175,True,0.02711293941660431,True,0.17501869857890817,True,-0.09181002243829461,0.31787584143605097,-0.18866866118175007,4.0,104.0,True,2022-07-18T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,LRC,2022-07-18T00:00:00+00:00,2022-07-11T00:00:00+00:00,2022-07-18T00:00:00+00:00,16,False,UNLABELLED,,0.3783,MEASURABLE,True,0.06582077716098333,True,0.10467882632831071,True,0.27650013217023517,True,-0.042558815754692,0.38514406555643665,-0.1549035157282581,4.0,8.0,True,2022-07-25T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,COMP,2022-07-25T00:00:00+00:00,2022-07-18T00:00:00+00:00,2022-07-25T00:00:00+00:00,1,False,UNLABELLED,,55.1,MEASURABLE,True,0.03502722323049001,True,0.14047186932849365,True,-0.07604355716878408,True,-0.10127041742286746,0.2791288566243195,-0.21252268602540836,72.0,308.0,True,2022-08-08T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,PAXG,2022-08-08T00:00:00+00:00,2022-08-01T00:00:00+00:00,2022-08-08T00:00:00+00:00,10,False,UNLABELLED,,1765.46,MEASURABLE,True,0.013900060041009077,True,-0.013854746071845336,True,-0.033458701981353256,True,-0.06330361492189007,0.021065331415041966,-0.13977660213202225,4.0,40.0,True,2022-08-22T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,COMP,2022-08-22T00:00:00+00:00,2022-08-15T00:00:00+00:00,2022-08-22T00:00:00+00:00,2,False,UNLABELLED,,50.94,MEASURABLE,True,-0.13839811542991753,True,-0.04652532391048292,True,-0.027875932469571985,True,0.07872006281900279,0.29230467216332934,-0.1482135846093443,60.0,792.0,True,2022-09-12T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
