signal_id,grid_id,evaluable_count,spearman,pearson,positive_future_return_share_top,mean_future_return_top,unconditional_mean_return,top_temporal_quintile_excess,bottom_temporal_quintile_return,top_minus_bottom_spread
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,727,-0.05041168314904149,-0.009349276542194489,0.4689655172413793,-0.000942106199377088,0.0019294871699524895,-0.0028715933693295777,0.0007287262801603603,-0.0016708324795374483
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,727,0.006376088026978586,0.03869167139413916,0.5586206896551724,0.004329430518279096,0.0019145946067258789,0.002414835911553217,0.0009004989060598565,0.00342893161221924
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,728,-0.04539134170255101,-0.03631764713699052,0.5724137931034483,0.002813840480458881,0.0019429888657859643,0.0008708516146729169,0.005186848122642087,-0.0023730076421832054
MKT_BREADTH_THRUST_6_42,REPLICATION_A,727,-0.060910954382962644,-0.04906252331571001,0.45517241379310347,-0.0005445221733713255,0.0019294871699524895,-0.002474009343323815,0.0028566508938886424,-0.003401173067259968
MKT_BREADTH_THRUST_6_42,REPLICATION_B,727,-0.01307081778083445,-0.015179812580442745,0.593103448275862,0.0031755611042582226,0.0019145946067258789,0.0012609664975323437,0.0009992248414222712,0.0021763362628359514
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,728,0.004449042766547029,0.019885698929301917,0.5310344827586206,0.0053058702520456524,0.0019429888657859643,0.003362881386259688,0.002422429423091714,0.0028834408289539386
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,727,0.013241303906946552,0.05101892931004496,0.5103448275862069,0.004333716221552709,0.0019294871699524895,0.0024042290516002197,0.00213701727516155,0.002196698946391159
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,727,0.020286076263541546,0.046078063605343285,0.503448275862069,0.004466232324164542,0.0019145946067258789,0.002551637717438663,-9.027776594177634e-06,0.00447526010075872
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,728,0.023827251933625157,0.040261577806308006,0.503448275862069,0.005752848100676551,0.0019429888657859643,0.0038098592348905867,0.0003973916300058572,0.005355456470670694
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,727,0.026937424211401953,0.045729737775735566,0.5103448275862069,0.004081307319848008,0.0019294871699524895,0.0021518201498955183,-0.0007933421117148139,0.004874649431562822
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_B,727,0.03957106417404029,0.06292846763151347,0.5310344827586206,0.00467972143045011,0.0019145946067258789,0.002765126823724231,-0.0010800343361262066,0.005759755766576316
MKT_DISPERSION_ACCEL_18_42,PRIMARY_GRID,728,0.06348945092640645,0.03659715469970957,0.6206896551724138,0.0016663842106572192,0.0019429888657859643,-0.00027660465512874505,-0.0009523589375573987,0.002618743148214618
MKT_DISPERSION_ACCEL_18_42,REPLICATION_A,727,0.06482151086377672,0.029052683676758874,0.5655172413793104,0.003112261353511575,0.0019294871699524895,0.0011827741835590854,0.0001782612266277614,0.0029340001268838133
MKT_DISPERSION_ACCEL_18_42,REPLICATION_B,727,-0.002021612250448064,-0.04067983766083265,0.5724137931034483,0.0017002327598512716,0.0019145946067258789,-0.00021436184687460727,0.0026461468265844565,-0.0009459140667331849
MKT_AVG_PAIRWISE_CORRELATION_42,PRIMARY_GRID,728,-0.005938641656202408,0.001974332056762086,0.5310344827586206,0.0014205849198731105,0.0019429888657859643,-0.0005224039459128537,0.002358605024022744,-0.0009380201041496335
MKT_AVG_PAIRWISE_CORRELATION_42,REPLICATION_A,727,0.02672102812780567,0.00882926888717521,0.5103448275862069,0.001760192122789724,0.0019294871699524895,-0.00016929504716276553,0.0027079256534286167,-0.0009477335306388927
MKT_AVG_PAIRWISE_CORRELATION_42,REPLICATION_B,727,0.005978952896546995,0.005957654565340541,0.5655172413793104,0.0029889255143190257,0.0019145946067258789,0.0010743309075931468,-0.0004552667039452499,0.0034441922182642756
MKT_CORRELATION_CHANGE_18_42,PRIMARY_GRID,728,0.037590558834636474,0.028414884945962216,0.5655172413793104,0.006091730363710102,0.0019429888657859643,0.004148741497924138,0.0005152933322035541,0.005576437031506548
MKT_CORRELATION_CHANGE_18_42,REPLICATION_A,727,-0.010428298723909577,-0.012646344476422643,0.496551724137931,-0.0011611872624511664,0.0019294871699524895,-0.003090674432403656,0.0015035767957959007,-0.002664764058247067
MKT_CORRELATION_CHANGE_18_42,REPLICATION_B,727,-0.00967108419903218,-0.018347863648904898,0.5241379310344828,0.00042435462414398877,0.0019145946067258789,-0.0014902399825818902,0.0028970188734338447,-0.002472664249289856
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,PRIMARY_GRID,728,0.07275199144372306,0.07979463958157743,0.5586206896551724,0.0023303061432358627,0.0019429888657859643,0.00038731727744989843,-0.0008943308102490949,0.0032246369534849576
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,REPLICATION_A,727,0.08295480935220838,0.07271283795873801,0.5586206896551724,0.005240476787399349,0.0019294871699524895,0.0033109896174468596,-0.003869609505699886,0.009110086293099236
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,REPLICATION_B,727,0.10824182694884207,0.10749989672883903,0.6068965517241379,0.008473763159429425,0.0019145946067258789,0.006559168552703546,-0.003816655944129836,0.01229041910355926
MKT_BN_AGG_TAKER_IMBALANCE_6,PRIMARY_GRID,728,-0.0077278448056378665,0.017874674960022853,0.503448275862069,8.074071543974865e-05,0.0019429888657859643,-0.0018622481503462157,-0.00040265415344993425,0.0004833948688896829
MKT_BN_AGG_TAKER_IMBALANCE_6,REPLICATION_A,727,-0.024304693680709685,0.013114325078746996,0.47586206896551725,-3.978060648170833e-05,0.0019294871699524895,-0.001969267776434198,-0.0005510687061536901,0.0005112880996719819
MKT_BN_AGG_TAKER_IMBALANCE_6,REPLICATION_B,727,0.017215090773925336,0.051841717286847014,0.5172413793103449,0.0013360716198561463,0.0019145946067258789,-0.0005785229868697326,-0.0010155774965149775,0.0023516491163711236
MKT_BN_KC_RETURN_DIVERGENCE_6,PRIMARY_GRID,728,0.028478147536683377,0.034243746646375674,0.5241379310344828,-0.0002320890848290586,0.0019429888657859643,-0.002175077950615023,-0.0017741707306385987,0.0015420816458095402
MKT_BN_KC_RETURN_DIVERGENCE_6,REPLICATION_A,727,0.05167172454905355,-0.0019505687561030024,0.5862068965517241,0.002304234102092584,0.0019294871699524895,0.0003747469321400945,-0.000750985985727058,0.003055220087819642
MKT_BN_KC_RETURN_DIVERGENCE_6,REPLICATION_B,727,0.0793832902123511,0.062464816000113554,0.6,0.005396966475364669,0.0019145946067258789,0.00348237186863879,-0.001994932703382809,0.007391899178747478
MKT_LOW_REALIZED_VOLATILITY_42,PRIMARY_GRID,728,-0.03950535174744253,-0.0753044957771571,0.5517241379310345,0.0001133088121384267,0.0019429888657859643,-0.0018296800536475376,0.0052358015084504085,-0.005122492696311982
MKT_LOW_REALIZED_VOLATILITY_42,REPLICATION_A,727,-0.0722476223289028,-0.07331634094356156,0.5103448275862069,0.00018082540094901218,0.0019294871699524895,-0.0017486617690034773,0.006729087242871019,-0.0065482618419220075
MKT_LOW_REALIZED_VOLATILITY_42,REPLICATION_B,727,-0.0518945228836438,-0.08518510823489511,0.5241379310344828,-0.00030323995893184063,0.0019145946067258789,-0.0022178345656577196,0.00614500442642924,-0.00644824438536108
