asset,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,observation_days,first_day,last_day,maximum_market_cap_usd
knc,knc,KNC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,796677758.8010246
lend,aave,AAVE,EXPLICIT_ALIAS,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,8153275096.679418
leo_eos,leo_eos,LEO_EOS,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2965369198.9580026
leo_eth,leo,LEO,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,6361515992.723601
link,link,LINK,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,51746697770.1087
lpt,lpt,LPT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1772549673.8102546
lrc_eth,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4631145000.897065
ltc,ltc,LTC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,26065174107.009754
maid,maid,MAID,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,580384124.4145181
mana,mana,MANA,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,11376292861.174156
matic_eth,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,28745862647.2491
mkr,mkr,MKR,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,6034984257.959862
neo,neo,NEO,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,12249517139.6995
nxm,nxm,NXM,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,816119890.2964159
omg,omg,OMG,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2633929441.5639787
pax,pax,PAX,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1428845906.1748488
paxg,paxg,PAXG,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,630185955.189194
pay,pay,PAY,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,47414155.09116702
poly,poly,POLY,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,914739215.212079
powr,powr,POWR,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,968379600.1009
qnt,qnt,QNT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,9624020143.832071
qtum_eth,qtum,QTUM,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2681945723.14039
ren,ren,REN,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1697114880.661631
renbtc,renbtc,RENBTC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1151388483.7810585
rep,rep,REP,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,617566212.9633139
snt,snt,SNT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1870036941.7225122
snx,snx,SNX,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,5935551566.580527
srm,srm,SRM,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2008151674.9501967
sushi,sushi,SUSHI,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4756168962.207367
swrv,swrv,SWRV,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,42418853.9212135
uma,uma,UMA,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3276784037.2839665
uni,uni,UNI,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,43543116957.6789
usdt_omni,usdt_omni,USDT_OMNI,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1339938137.6914136
vet_eth,vet,VET,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,251358824.294697
wbtc,btc,BTC,EXPLICIT_ALIAS,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,15874601638.60361
wnxm,wnxm,WNXM,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,244040403.93536508
xaut,xaut,XAUT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,686940886.1510266
xem,xem,XEM,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,7151750274.731911
xlm,xlm,XLM,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,76205426520.61488
xmr,xmr,XMR,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,8391934979.752335
