canonical_symbol,venue_pair,attempt_status,classification,blocking,error
NXM,NXM-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
OMG,OMG-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
RENBTC,RENBTC-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SRM,SRM-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
HEDG,HEDG-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
CVC,CVC-USDT,ACQUIRED,USABLE_SOURCE,False,
DGB,DGB-USDT,ACQUIRED,USABLE_SOURCE,False,
ALPHA,ALPHA-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
REN,REN-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
REV,REV-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ICX,ICX-USDT,ACQUIRED,USABLE_SOURCE,False,
REP,REP-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GNT,GNT-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
FUN,FUN-USDT,NO_KUCOIN_HISTORY,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
WNXM,WNXM-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
KNC,KNC-USDT,ACQUIRED,USABLE_SOURCE,False,
VET,VET-USDT,ACQUIRED,USABLE_SOURCE,False,
BTM,BTM-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QASH,QASH-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
DRGN,DRGN-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GRIN,GRIN-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
AE,AE-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
WTC,WTC-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
AION,AION-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ZIL,ZIL-USDT,ACQUIRED,USABLE_SOURCE,False,
PAY,PAY-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
VTC,VTC-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SWRV,SWRV-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
NAS,NAS-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
PPT,PPT-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
