source_id,symbol,expected_bar_count,observed_bar_count,missing_bar_count,largest_gap_bars,first_valid_bar,last_valid_bar,complete_lookback_feasibility,gap_classification
OHLCV_4H,FTT,7168,7168,0,0,2021-09-24T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,GAS,8386,8386,0,0,2021-03-05T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,GRAM,4446,4446,0,0,2022-12-22T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,HYPE,126,126,0,0,2024-12-11T00:00:00+00:00,2024-12-31T20:00:00+00:00,False,NONE
OHLCV_4H,ICP,7984,7984,0,0,2021-05-11T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ICX,5572,5572,0,0,2022-06-17T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,KNC,5884,5884,0,0,2022-04-26T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,LDO,5446,5446,0,0,2022-07-08T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,LINK,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,LPT,7684,7684,0,0,2021-06-30T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,LRC,8566,8566,0,0,2021-02-03T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,LTC,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,MANA,8314,8314,0,0,2021-03-17T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,MATIC,2512,2512,0,0,2023-11-09T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,NEAR,7146,7146,0,0,2021-09-28T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,NEO,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ONDO,1746,1746,0,0,2024-03-16T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,PAXG,6886,6886,0,0,2021-11-10T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,PEPE,3366,3366,0,0,2023-06-20T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,QNT,8541,8541,0,0,2021-02-07T12:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,QTUM,305,305,0,0,2024-11-11T04:00:00+00:00,2024-12-31T20:00:00+00:00,False,NONE
OHLCV_4H,SEI,2826,2826,0,0,2023-09-18T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SHIB,7991,7991,0,0,2021-05-10T04:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SNX,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SOL,7146,7146,0,0,2021-09-28T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SUI,3366,3366,0,0,2023-06-20T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SUSHI,8638,8638,0,0,2021-01-22T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,SYN,3906,3906,0,0,2023-03-22T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,TAO,1746,1746,0,0,2024-03-16T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,TRX,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,UMA,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,UNI,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,VET,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,XEM,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,XLM,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,XMR,8272,8272,0,0,2021-03-24T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,XRP,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,XTZ,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,YFI,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ZEC,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ZIL,8189,8189,0,0,2021-04-07T04:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ZRX,2434,2434,0,0,2023-11-22T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
