signal_id,mean_rank_ic,ic_information_ratio,positive_ic_period_share,mean_top_excess,positive_fold_ic_count,positive_fold_top_excess_count,adjusted_p_value,missing_label_numerator,missing_label_denominator,missing_label_share,positive_regime_cell_count,mean_rank_ic_gate,ic_information_ratio_gate,positive_ic_share_gate,positive_fold_ic_gate,top_excess_gate,positive_fold_top_excess_gate,concentration_gate,missing_label_gate,adjusted_p_value_gate,positive_regime_cells_gate,failed_gate_count,failed_gate_ids,confirmed,near_miss
DISTANCE_FROM_EMA20_ATR,0.03929732669999632,0.16773636927024313,0.6057692307692307,-0.003029259987126509,3,1,0.35553944605539445,0,3117,0.0,13,True,False,True,True,False,False,True,True,False,True,4,ic_information_ratio_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
RSI14_OVEREXTENSION,0.04420601645295749,0.18595930286518875,0.5769230769230769,-0.00423271640612962,3,1,0.32556744325567444,0,3118,0.0,14,True,False,True,True,False,False,True,True,False,True,4,ic_information_ratio_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
DONCHIAN_20_POSITION,-0.015373002970333336,-0.06813596914408199,0.49038461538461536,-0.0035525910368184132,2,2,0.9998000199980002,0,3117,0.0,5,False,False,False,True,False,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|top_excess_gate|adjusted_p_value_gate,False,False
DONCHIAN_55_POSITION,-0.019865784938087497,-0.08162190149512559,0.4230769230769231,-0.003777794310901637,1,2,0.9998000199980002,0,3112,0.0,4,False,False,False,False,False,True,True,True,False,True,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|adjusted_p_value_gate,False,False
VOLATILITY_CONTRACTION_BREAKOUT,-0.027731538555980935,-0.1308461888671044,0.4375,0.005091709525100713,1,2,0.9998000199980002,0,3109,0.0,4,False,False,False,False,True,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate,False,False
ATR_EXPANSION_WITH_POSITIVE_RETURN,-0.02637792969923527,-0.10586740161175155,0.4942528735632184,-0.00038638551343127476,1,2,0.9998000199980002,0,3115,0.0,4,False,False,False,False,False,True,True,True,False,True,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|adjusted_p_value_gate,False,False
RETURN_PATH_EFFICIENCY_28D,-0.042310442616338054,-0.18871171638536252,0.4230769230769231,0.0011567858664197467,0,2,0.9998000199980002,0,3116,0.0,0,False,False,False,False,True,True,True,True,False,False,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
OLS_TREND_TSTAT_28D,-0.03278398464716596,-0.15228656510836858,0.4230769230769231,-0.004615682069107782,0,0,0.9998000199980002,0,3116,0.0,2,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
POSITIVE_BAR_BREADTH_28D,-0.010516292909958144,-0.0528322893900724,0.5096153846153846,0.0077564642311448075,1,3,0.9998000199980002,0,3116,0.0,3,False,False,False,False,True,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate,False,False
DRAWDOWN_ADJUSTED_MOMENTUM_28D,-0.0635077482043412,-0.2806109998854363,0.3942307692307692,0.0012860503072396607,0,2,0.9998000199980002,0,3112,0.0,0,False,False,False,False,True,True,True,True,False,False,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
VOLUME_ZSCORE_30D,-0.021776943857032847,-0.1035348255817638,0.4423076923076923,0.0028525067494872066,0,2,0.9998000199980002,0,3116,0.0,5,False,False,False,False,True,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate,False,False
VOLUME_ACCELERATION_7D_30D,0.024991137894363705,0.12954320529278346,0.5288461538461539,0.0033675467552094626,3,1,0.6044995500449956,0,3116,0.0,13,True,False,False,True,True,False,True,True,False,True,4,ic_information_ratio_gate|positive_ic_share_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
PRICE_VOLUME_CONFIRMATION_28D,-0.0381842156730922,-0.20083145228956525,0.4230769230769231,-0.002071314508517553,0,1,0.9998000199980002,0,3116,0.0,0,False,False,False,False,False,False,True,True,False,False,8,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
QUOTE_TURNOVER_CHANGE_7D_30D,0.01892686012541407,0.09569071795377862,0.5192307692307693,0.003143662488598475,3,2,0.678907109289071,0,3116,0.0,12,False,False,False,True,True,True,True,True,False,True,4,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|adjusted_p_value_gate,False,False
BTC_RELATIVE_RETURN_28D,-0.04609502010781211,-0.18743647394591006,0.38461538461538464,-0.002011116652697995,0,1,0.9998000199980002,0,3116,0.0,3,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
MARKET_RESIDUAL_MOMENTUM_28D,-0.03105388771406569,-0.14013027514608553,0.4326923076923077,0.004267593108255099,0,2,0.9998000199980002,0,3111,0.0,3,False,False,False,False,True,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate,False,False
BETA_ADJUSTED_MOMENTUM_28D,-0.04256301262697259,-0.1826763285419918,0.3942307692307692,-0.0006190004475150639,0,1,0.9998000199980002,0,3111,0.0,3,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
IDIOSYNCRATIC_STRENGTH_28D,-0.0394754855822709,-0.18260298563278213,0.4230769230769231,0.004210830961525807,0,2,0.9998000199980002,0,3111,0.0,2,False,False,False,False,True,True,True,True,False,True,5,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate,False,False
REALIZED_VOLATILITY_28D,-0.10635321297167792,-0.34664434321462156,0.375,-0.00020080698130749142,0,2,0.9998000199980002,0,3120,0.0,3,False,False,False,False,False,True,True,True,False,True,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|adjusted_p_value_gate,False,False
DOWNSIDE_VOLATILITY_28D,-0.08289751127626545,-0.27690433855667596,0.375,-0.0036628211799132173,0,2,0.9998000199980002,0,3119,0.0,3,False,False,False,False,False,True,True,True,False,True,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|adjusted_p_value_gate,False,False
MAX_DRAWDOWN_28D,0.07224113483846521,0.24284728858899718,0.5384615384615384,0.0013514907906705604,3,1,0.12043795620437955,0,3112,0.0,12,True,True,False,True,True,False,True,True,False,True,3,positive_ic_share_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
ILLIQUIDITY_PROXY_30D,0.024561020181153657,0.10625538397665489,0.5865384615384616,-0.0016216138977201804,2,1,0.6439070378676418,0,3116,0.0,12,True,False,True,True,False,False,True,True,False,True,4,ic_information_ratio_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
AGE_OR_TENURE,0.07255432207241548,0.338547212791796,0.6538461538461539,0.0038059190077463006,3,3,0.013198680131986803,0,3120,0.0,15,True,True,True,True,True,True,False,True,True,True,1,concentration_gate,False,True
