canonical_symbol,venue_pair,status,endpoint_kind,row_count,cache_path,error
MKR,MKR-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
NEO,NEO-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/NEO-USDT/4h.parquet,
XTZ,XTZ-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/XTZ-USDT/4h.parquet,
BSV,BSV-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
1INCH,1INCH-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/1INCH-USDT/4h.parquet,
FLOW,FLOW-USDT,ACQUIRED,legacy,7228,data/research/rd04/venue-expansion/raw/FLOW-USDT/4h.parquet,
XAUT,XAUT-USDT,NO_KUCOIN_HISTORY,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
COMP,COMP-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/COMP-USDT/4h.parquet,
DASH,DASH-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/DASH-USDT/4h.parquet,
LRC,LRC-USDT,ACQUIRED,legacy,8566,data/research/rd04/venue-expansion/raw/LRC-USDT/4h.parquet,
BTG,BTG-USDT,NO_KUCOIN_HISTORY,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
ZRX,ZRX-USDT,ACQUIRED,legacy,2434,data/research/rd04/venue-expansion/raw/ZRX-USDT/4h.parquet,
PAXG,PAXG-USDT,ACQUIRED,legacy,6886,data/research/rd04/venue-expansion/raw/PAXG-USDT/4h.parquet,
UMA,UMA-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/UMA-USDT/4h.parquet,
ELF,ELF-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
LPT,LPT-USDT,ACQUIRED,legacy,7684,data/research/rd04/venue-expansion/raw/LPT-USDT/4h.parquet,
BAT,BAT-USDT,ACQUIRED,legacy,8538,data/research/rd04/venue-expansion/raw/BAT-USDT/4h.parquet,
POWR,POWR-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SUSHI,SUSHI-USDT,ACQUIRED,legacy,8638,data/research/rd04/venue-expansion/raw/SUSHI-USDT/4h.parquet,
PERP,PERP-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
BAL,BAL-USDT,ACQUIRED,legacy,7294,data/research/rd04/venue-expansion/raw/BAL-USDT/4h.parquet,
SNT,SNT-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QTUM,QTUM-USDT,ACQUIRED,legacy,305,data/research/rd04/venue-expansion/raw/QTUM-USDT/4h.parquet,
XEM,XEM-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/XEM-USDT/4h.parquet,
DCR,DCR-USDT,ACQUIRED,legacy,2434,data/research/rd04/venue-expansion/raw/DCR-USDT/4h.parquet,
POLY,POLY-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ANT,ANT-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
YFI,YFI-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/YFI-USDT/4h.parquet,
MAID,MAID-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GAS,GAS-USDT,ACQUIRED,legacy,8386,data/research/rd04/venue-expansion/raw/GAS-USDT/4h.parquet,
NXM,NXM-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
OMG,OMG-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
RENBTC,RENBTC-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SRM,SRM-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
HEDG,HEDG-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
CVC,CVC-USDT,ACQUIRED,legacy,323,data/research/rd04/venue-expansion/raw/CVC-USDT/4h.parquet,
DGB,DGB-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/DGB-USDT/4h.parquet,
ALPHA,ALPHA-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
REN,REN-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
REV,REV-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ICX,ICX-USDT,ACQUIRED,legacy,5572,data/research/rd04/venue-expansion/raw/ICX-USDT/4h.parquet,
REP,REP-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GNT,GNT-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
FUN,FUN-USDT,NO_KUCOIN_HISTORY,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
WNXM,WNXM-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
KNC,KNC-USDT,ACQUIRED,legacy,5884,data/research/rd04/venue-expansion/raw/KNC-USDT/4h.parquet,
VET,VET-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/VET-USDT/4h.parquet,
BTM,BTM-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QASH,QASH-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
DRGN,DRGN-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GRIN,GRIN-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
AE,AE-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
WTC,WTC-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
AION,AION-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ZIL,ZIL-USDT,ACQUIRED,legacy,8189,data/research/rd04/venue-expansion/raw/ZIL-USDT/4h.parquet,
PAY,PAY-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
VTC,VTC-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SWRV,SWRV-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
NAS,NAS-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
PPT,PPT-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
