symbol,bar_count,flat_ohlc_share,zero_base_volume_share,zero_quote_turnover_share,longest_unchanged_close_run,largest_robust_return_zscore,unexpected_gap_count,first_eligible_time,last_eligible_time,quote_turnover_coverage,symbol_excluded
DEXE,7146,0.0020990764063811922,0.0006996921354603975,0.0006996921354603975,2,37.09070810473181,0,2021-09-28 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
DGB,8766,0.0,0.0,0.0,1,18.25544004373876,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
DOGE,8532,0.0,0.0,0.0,2,28.628786125635784,0,2021-02-09 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
DOT,8766,0.00011407711613050422,0.00011407711613050422,0.00011407711613050422,1,21.511697199675996,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ENA,1206,0.0,0.0,0.0,1,7.408385427496047,0,2024-06-14 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ETC,8766,0.0,0.0,0.0,1,31.072738959407506,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ETH,8766,0.0,0.0,0.0,1,15.520207556469801,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
FLOW,7228,0.0,0.0,0.0,3,25.160746742481653,0,2021-09-14 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
FTT,7168,0.0,0.0,0.0,2,75.01741391917625,0,2021-09-24 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
GAS,8386,0.005843071786310518,0.0017886954447889339,0.0017886954447889339,2,59.77255530464595,0,2021-03-05 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
GRAM,4446,0.0,0.0,0.0,1,18.777838572170094,0,2022-12-22 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
HYPE,126,0.0,0.0,0.0,0,6.191122265771045,0,2024-12-11 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ICP,7984,0.0,0.0,0.0,2,24.149570245630855,0,2021-05-11 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ICX,5572,0.0,0.0,0.0,2,22.521050942058483,0,2022-06-17 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
KNC,5884,0.003229095853161115,0.0011896668932698845,0.0011896668932698845,3,20.363719860727894,0,2022-04-26 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
LDO,5446,0.0,0.0,0.0,1,10.555395432978884,0,2022-07-08 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
LINK,8766,0.0,0.0,0.0,1,12.013130491783707,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
LPT,7684,0.0006507027589796981,0.0001301405517959396,0.0001301405517959396,1,19.6793071648819,0,2021-06-30 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
LRC,8566,0.0,0.0,0.0,2,17.847974097406684,0,2021-02-03 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
LTC,8766,0.0,0.0,0.0,1,14.383096003354742,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
MANA,8314,0.0,0.0,0.0,1,23.88185663948389,0,2021-03-17 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
MATIC,2512,0.0011942675159235668,0.0,0.0,1,12.670963760326721,0,2023-11-09 08:00:00+00:00,2025-01-01 00:00:00+00:00,0.0,False
NEAR,7146,0.0,0.0,0.0,0,10.395535128954426,0,2021-09-28 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
NEO,8766,0.0,0.0,0.0,1,21.16237909623564,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ONDO,1746,0.0,0.0,0.0,0,14.353462919180526,0,2024-03-16 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
PAXG,6886,0.0,0.0,0.0,2,20.741262345131474,0,2021-11-10 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
PEPE,3366,0.0,0.0,0.0,2,18.299195262039277,0,2023-06-20 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
QNT,8541,0.0,0.0,0.0,1,22.011825403118387,0,2021-02-07 12:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
QTUM,305,0.0,0.0,0.0,0,10.601745748355214,0,2024-11-11 04:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SEI,2826,0.0,0.0,0.0,2,9.692824035754736,0,2023-09-18 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SHIB,7991,0.0,0.0,0.0,2,25.76034819362877,0,2021-05-10 04:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SNX,8766,0.0,0.0,0.0,2,14.658067606833042,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SOL,7146,0.0,0.0,0.0,1,14.948088662881316,0,2021-09-28 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SUI,3366,0.0,0.0,0.0,2,11.475411553659846,0,2023-06-20 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SUSHI,8638,0.0,0.0,0.0,1,12.90351051929039,0,2021-01-22 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
SYN,3906,0.0030721966205837174,0.0010240655401945725,0.0010240655401945725,2,13.623604421105611,0,2023-03-22 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
TAO,1746,0.0,0.0,0.0,1,7.0205177620147206,0,2024-03-16 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
TRX,8766,0.0,0.0,0.0,3,44.7698347024305,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
UMA,8766,0.0018252338580880675,0.00022815423226100844,0.00022815423226100844,2,23.050632308030924,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
UNI,8766,0.0,0.0,0.0,1,30.714799400382685,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
VET,8766,0.0,0.0,0.0,1,14.58296557686896,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
XEM,8766,0.0,0.0,0.0,1,23.54005871341376,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
XLM,8766,0.0,0.0,0.0,2,35.00214424272337,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
XMR,8272,0.0,0.0,0.0,1,16.460453134727665,0,2021-03-24 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
XRP,8766,0.0,0.0,0.0,1,32.606784682845166,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
XTZ,8766,0.0,0.0,0.0,2,17.491453694860986,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
YFI,8766,0.0006844626967830253,0.00022815423226100844,0.00022815423226100844,2,23.855363291824855,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ZEC,8766,0.0,0.0,0.0,1,19.06041485237434,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ZIL,8189,0.0,0.0,0.0,2,22.167176330527834,0,2021-04-07 04:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ZRX,2434,0.0,0.0,0.0,2,17.104000013732584,0,2023-11-22 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
