universe_mode,fold_id,entry_market_cap_rank_bucket,entry_pit_tenure_bucket,alignment_tier,trade_count,net_pnl,mean_trade_pnl,win_rate,profit_factor
UNION_FIXED_AND_PIT,WF02,RANK_21_30,TENURE_27_PLUS,FULL,6,-2377.0428052754014,-396.17380087923357,0.16666666666666666,0.719949359666947
UNION_FIXED_AND_PIT,WF02,RANK_21_30,TENURE_27_PLUS,MEDIUM,1,1124.601439709959,1124.601439709959,1.0,
UNION_FIXED_AND_PIT,WF02,RANK_31_PLUS,TENURE_01_04,FULL,6,-4858.4680809927195,-809.7446801654532,0.5,0.5771181493787548
UNION_FIXED_AND_PIT,WF02,RANK_31_PLUS,TENURE_01_04,MEDIUM,2,-5716.118513083011,-2858.0592565415054,0.0,0.0
UNION_FIXED_AND_PIT,WF02,RANK_31_PLUS,TENURE_05_13,FULL,1,-452.7609850609076,-452.7609850609076,0.0,0.0
UNION_FIXED_AND_PIT,WF02,RANK_31_PLUS,TENURE_14_26,FULL,2,32.464462295202196,16.232231147601098,0.5,1.1572012418490212
UNION_FIXED_AND_PIT,WF03,RANK_01_10,TENURE_27_PLUS,FULL,1,2123.256979793165,2123.256979793165,1.0,
UNION_FIXED_AND_PIT,WF03,RANK_11_20,TENURE_27_PLUS,FULL,3,-11899.130478415103,-3966.376826138368,0.0,0.0
UNION_FIXED_AND_PIT,WF03,RANK_11_20,TENURE_27_PLUS,MEDIUM,2,-7585.350507753054,-3792.675253876527,0.0,0.0
UNION_FIXED_AND_PIT,WF03,RANK_21_30,TENURE_01_04,FULL,1,-9278.011632991682,-9278.011632991682,0.0,0.0
UNION_FIXED_AND_PIT,WF03,RANK_21_30,TENURE_05_13,FULL,2,-12631.475251371397,-6315.737625685699,0.0,0.0
UNION_FIXED_AND_PIT,WF03,RANK_21_30,TENURE_14_26,FULL,1,1875.5221100323856,1875.5221100323856,1.0,
UNION_FIXED_AND_PIT,WF03,RANK_21_30,TENURE_27_PLUS,FULL,3,-24910.396878908527,-8303.465626302843,0.3333333333333333,0.013071631197242074
UNION_FIXED_AND_PIT,WF03,RANK_31_PLUS,TENURE_01_04,FOUR_HOUR_ONLY,1,72.74427420672782,72.74427420672782,1.0,
UNION_FIXED_AND_PIT,WF03,RANK_31_PLUS,TENURE_01_04,FULL,3,-1549.2284877136444,-516.4094959045482,0.3333333333333333,0.786582514867254
UNION_FIXED_AND_PIT,WF03,RANK_31_PLUS,TENURE_01_04,MEDIUM,2,-3277.2826351402405,-1638.6413175701202,0.0,0.0
UNION_FIXED_AND_PIT,WF03,RANK_31_PLUS,TENURE_27_PLUS,MEDIUM,1,-2185.8078671525623,-2185.8078671525623,0.0,0.0
