signal_id,grid_id,quintile,decision_count,mean_return,median_return,positive_return_share
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,1,146,0.002762559221491863,0.0032417868144916985,0.547945205479452
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,2,145,-0.001910846859428776,-0.0012472716099550586,0.4827586206896552
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,3,146,-7.267484325425213e-05,4.683172941201871e-05,0.5
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,4,145,0.0010005685430099776,0.0012371138254050156,0.5310344827586206
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,5,145,0.007875892477334443,0.0053267617457385215,0.5793103448275863
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,1,146,0.002273558936577035,0.0028785856580762622,0.5616438356164384
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,2,145,-0.0015723730109215965,0.0008758566872694236,0.5310344827586206
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,3,146,0.0005715129764957427,0.0013546109303533246,0.5273972602739726
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,4,145,-0.0002629411928100025,0.002347764937568179,0.5448275862068965
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,5,145,0.008570002340152897,0.003921489166050688,0.5241379310344828
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,1,146,0.0006271032646495875,0.0006217444382923339,0.5068493150684932
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,2,146,0.0026648740876175033,0.005626308134198427,0.5958904109589042
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,3,145,0.002303726296231111,0.002197528572207926,0.5586206896551724
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,4,146,0.0034088950789314724,0.0020154006623226304,0.5273972602739726
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,5,145,0.0007043324578184854,-0.0005389768011889506,0.496551724137931
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,1,146,0.0007287262801603603,0.003953548139328293,0.5547945205479452
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,2,145,0.0018123944791125595,0.003610113562219071,0.5862068965517241
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,3,146,0.0031423585870001543,0.0004084996068518661,0.5068493150684932
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,4,145,0.004905979181988837,0.0016173556534480346,0.5241379310344828
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_A,5,145,-0.000942106199377088,-0.0020470009200489582,0.4689655172413793
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,1,146,0.0009004989060598565,0.002744485244728547,0.5753424657534246
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,2,145,0.0010431491170822369,0.002576409385029377,0.5172413793103449
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,3,146,-0.001465713570995041,0.00024668942535746585,0.5068493150684932
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,4,145,0.004795914296847292,0.0007174064351320212,0.5310344827586206
MKT_BREADTH_POSITIVE_6BAR,REPLICATION_B,5,145,0.004329430518279096,0.0057391173406958285,0.5586206896551724
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,1,146,0.005186848122642087,0.0060212646730128105,0.5821917808219178
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,2,146,-0.0027946988011871153,-0.003463599521212002,0.4520547945205479
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,3,145,0.00475391228261205,0.0061750059841714664,0.5862068965517241
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,4,146,-0.00021974011839403512,-0.0004473510345148923,0.4931506849315068
MKT_BREADTH_THRUST_6_42,PRIMARY_GRID,5,145,0.002813840480458881,0.0023204732496837593,0.5724137931034483
MKT_BREADTH_THRUST_6_42,REPLICATION_A,1,146,0.0028566508938886424,0.0048783620772965665,0.5958904109589042
MKT_BREADTH_THRUST_6_42,REPLICATION_A,2,145,0.004314363082721761,0.0022207523163113364,0.5379310344827586
MKT_BREADTH_THRUST_6_42,REPLICATION_A,3,146,0.0008179846816248756,0.0016385554465881895,0.5342465753424658
MKT_BREADTH_THRUST_6_42,REPLICATION_A,4,145,0.002204230666721882,0.0012371138254050156,0.5172413793103449
MKT_BREADTH_THRUST_6_42,REPLICATION_A,5,145,-0.0005445221733713255,-0.0031485996080674373,0.45517241379310347
MKT_BREADTH_THRUST_6_42,REPLICATION_B,1,146,0.0009992248414222712,-0.001064932862835144,0.4863013698630137
MKT_BREADTH_THRUST_6_42,REPLICATION_B,2,145,0.004641521298720162,0.005023818151459495,0.593103448275862
MKT_BREADTH_THRUST_6_42,REPLICATION_B,3,146,-0.00039378984098046427,0.0012449757266178585,0.5136986301369864
MKT_BREADTH_THRUST_6_42,REPLICATION_B,4,145,0.0011726884178851315,2.3055230419632978e-05,0.503448275862069
MKT_BREADTH_THRUST_6_42,REPLICATION_B,5,145,0.0031755611042582226,0.003941440221466034,0.593103448275862
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,1,146,0.002422429423091714,0.0022684386502632345,0.541095890410959
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,2,146,-0.0006858362361890318,0.0018502994713017972,0.5273972602739726
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,3,145,0.0031967014888002947,0.003014062332986152,0.5724137931034483
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,4,146,-0.0004926000919059728,0.0014099061325212436,0.5136986301369864
MKT_BREADTH_ABOVE_EMA20,PRIMARY_GRID,5,145,0.0053058702520456524,0.0018329329196247524,0.5310344827586206
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,1,146,0.00213701727516155,0.0009109473243237447,0.5273972602739726
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,2,145,-0.0029646838835271005,0.0014371217730803965,0.5103448275862069
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,3,146,0.0013133784700433682,0.0005060776772245738,0.5136986301369864
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,4,145,0.004830825549943646,0.00591324787153548,0.5793103448275863
MKT_BREADTH_ABOVE_EMA20,REPLICATION_A,5,145,0.004333716221552709,0.0012371138254050156,0.5103448275862069
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,1,146,-9.027776594177634e-06,0.00250448413535786,0.5547945205479452
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,2,145,0.00023148847814371523,0.002064791115898712,0.5448275862068965
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,3,146,0.00245388011749643,0.00500257030393675,0.547945205479452
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,4,145,0.0024399470412640525,0.0024804587032852413,0.5379310344827586
MKT_BREADTH_ABOVE_EMA20,REPLICATION_B,5,145,0.004466232324164542,2.3055230419632978e-05,0.503448275862069
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,1,146,0.0003973916300058572,0.003072898763435857,0.5616438356164384
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,2,146,0.0015775311679777264,0.0007900238491019858,0.5273972602739726
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,3,145,0.0009173400279326338,0.0025650267855837424,0.5517241379310345
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,4,146,0.001088903336563334,0.002739480833030167,0.541095890410959
MKT_CROSS_SECTIONAL_DISPERSION_42,PRIMARY_GRID,5,145,0.005752848100676551,0.00048019872519485066,0.503448275862069
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,1,146,-0.0007933421117148139,0.0014203130708959843,0.5342465753424658
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,2,145,0.00244283633959247,0.0038851437072729904,0.5517241379310345
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,3,146,0.0010368759495351485,0.001277679022242256,0.5068493150684932
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,4,145,0.002904692424929805,0.002817557282484654,0.5379310344827586
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_A,5,145,0.004081307319848008,0.0003884306193420617,0.5103448275862069
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_B,1,146,-0.0010800343361262066,0.0026736796522132972,0.541095890410959
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_B,2,145,0.0015640879771975063,0.0024339988607589348,0.5379310344827586
MKT_CROSS_SECTIONAL_DISPERSION_42,REPLICATION_B,3,146,0.0022410936020982927,0.0024614395115436154,0.5684931506849316
