canonical_symbol,status,row_count,first_bar_open_time,last_bar_close_time,missing_internal_bar_count,source_pairs,alias_transition_count,invalid_alias_transition_count
SUSHI,COMPLETE,8638,2021-01-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,SUSHI-USDT,0,0
PERP,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
BAL,COMPLETE,7294,2021-09-03T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,BAL-USDT,0,0
SNT,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
QTUM,COMPLETE,305,2024-11-11T04:00:00+00:00,2025-01-01T00:00:00+00:00,0,QTUM-USDT,0,0
XEM,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,XEM-USDT,0,0
DCR,COMPLETE,2434,2023-11-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,DCR-USDT,0,0
POLY,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
ANT,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
YFI,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,YFI-USDT,0,0
MAID,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
GAS,COMPLETE,8386,2021-03-05T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,GAS-USDT,0,0
NXM,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
OMG,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
RENBTC,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
SRM,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
HEDG,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
CVC,COMPLETE,323,2024-11-08T04:00:00+00:00,2025-01-01T00:00:00+00:00,0,CVC-USDT,0,0
DGB,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,DGB-USDT,0,0
ALPHA,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
REN,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
REV,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
ICX,COMPLETE,5572,2022-06-17T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,ICX-USDT,0,0
REP,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
GNT,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
FUN,NO_DATA,0,,,0,,0,0
WNXM,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
KNC,COMPLETE,5884,2022-04-26T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,KNC-USDT,0,0
VET,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,VET-USDT,0,0
BTM,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
QASH,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
DRGN,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
GRIN,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
AE,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
WTC,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
AION,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
ZIL,COMPLETE,8189,2021-04-07T04:00:00+00:00,2025-01-01T00:00:00+00:00,0,ZIL-USDT,0,0
PAY,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
VTC,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
SWRV,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
NAS,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
PPT,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
