asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,rebalance_time,investable_rank,local_data_available
mana,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,7329469009.696603,mana,MANA,IDENTITY,False,True,1,mana,2022-01-03T00:00:00+00:00,20,False
gno,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,5173208276.74643,gno,GNO,IDENTITY,False,True,1,gno,2022-01-03T00:00:00+00:00,21,False
ht,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4702847959.11507,ht,HT,IDENTITY,False,True,1,ht,2022-01-03T00:00:00+00:00,22,False
etc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4681737342.338215,etc,ETC,IDENTITY,False,True,1,etc,2022-01-03T00:00:00+00:00,23,False
qnt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4581595337.4260845,qnt,QNT,IDENTITY,False,True,1,qnt,2022-01-03T00:00:00+00:00,24,False
aave,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4266659832.4856,aave,AAVE,IDENTITY,False,True,2,aave,2022-01-03T00:00:00+00:00,25,True
xmr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4200403151.1478624,xmr,XMR,IDENTITY,False,True,1,xmr,2022-01-03T00:00:00+00:00,26,True
xtz,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4067383435.8069763,xtz,XTZ,IDENTITY,False,True,1,xtz,2022-01-03T00:00:00+00:00,27,False
1inch,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,3837813703.47525,1inch,1INCH,IDENTITY,False,True,1,1inch,2022-01-03T00:00:00+00:00,28,False
ldo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,3647118750.01505,ldo,LDO,IDENTITY,False,True,1,ldo,2022-01-03T00:00:00+00:00,29,False
lrc_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2921127779.8287272,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1,lrc_eth,2022-01-03T00:00:00+00:00,30,False
btc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,792682352625.3268,btc,BTC,IDENTITY,False,True,2,btc,2022-01-10T00:00:00+00:00,1,True
eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,372503346874.9416,eth,ETH,IDENTITY,False,True,2,eth,2022-01-10T00:00:00+00:00,2,True
xrp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,75378378435.07605,xrp,XRP,IDENTITY,False,True,1,xrp,2022-01-10T00:00:00+00:00,3,True
cro,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,46196145894.3485,cro,CRO,IDENTITY,False,True,1,cro,2022-01-10T00:00:00+00:00,4,False
ada,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,38596365673.10361,ada,ADA,IDENTITY,False,True,1,ada,2022-01-10T00:00:00+00:00,5,True
avaxp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,29809420753.808205,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,2022-01-10T00:00:00+00:00,6,True
shib_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,28290884322.614132,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,2022-01-10T00:00:00+00:00,7,True
dot,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27798747807.828514,dot,DOT,IDENTITY,False,True,1,dot,2022-01-10T00:00:00+00:00,8,True
link,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27582873595.8018,link,LINK,IDENTITY,False,True,1,link,2022-01-10T00:00:00+00:00,9,True
xlm,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27501490922.707985,xlm,XLM,IDENTITY,False,True,1,xlm,2022-01-10T00:00:00+00:00,10,True
matic_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,21115325035.7435,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,2022-01-10T00:00:00+00:00,11,False
doge,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,19984898172.177235,doge,DOGE,IDENTITY,False,True,1,doge,2022-01-10T00:00:00+00:00,12,True
icp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,17168568352.353884,icp,ICP,IDENTITY,False,True,1,icp,2022-01-10T00:00:00+00:00,13,False
uni,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,15782169491.7721,uni,UNI,IDENTITY,False,True,1,uni,2022-01-10T00:00:00+00:00,14,True
algo,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,14007439177.8814,algo,ALGO,IDENTITY,False,True,1,algo,2022-01-10T00:00:00+00:00,15,False
ftt,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,12442183569.760633,ftt,FTT,IDENTITY,False,True,1,ftt,2022-01-10T00:00:00+00:00,16,False
ltc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,9090792283.746635,ltc,LTC,IDENTITY,False,True,1,ltc,2022-01-10T00:00:00+00:00,17,True
crv,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,7576612891.94402,crv,CRV,IDENTITY,False,True,1,crv,2022-01-10T00:00:00+00:00,18,False
bch,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,7141208627.194995,bch,BCH,IDENTITY,False,True,1,bch,2022-01-10T00:00:00+00:00,19,False
mana,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,6451263099.785187,mana,MANA,IDENTITY,False,True,1,mana,2022-01-10T00:00:00+00:00,20,False
gno,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,4748021001.58573,gno,GNO,IDENTITY,False,True,1,gno,2022-01-10T00:00:00+00:00,21,False
ht,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,4490939219.86429,ht,HT,IDENTITY,False,True,1,ht,2022-01-10T00:00:00+00:00,22,False
qnt,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,4215114247.32562,qnt,QNT,IDENTITY,False,True,1,qnt,2022-01-10T00:00:00+00:00,23,False
etc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3939023015.0137095,etc,ETC,IDENTITY,False,True,1,etc,2022-01-10T00:00:00+00:00,24,False
xtz,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3667790811.16009,xtz,XTZ,IDENTITY,False,True,1,xtz,2022-01-10T00:00:00+00:00,25,False
aave,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3357128842.376128,aave,AAVE,IDENTITY,False,True,2,aave,2022-01-10T00:00:00+00:00,26,True
xmr,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3341834028.583586,xmr,XMR,IDENTITY,False,True,1,xmr,2022-01-10T00:00:00+00:00,27,True
1inch,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3223657590.12594,1inch,1INCH,IDENTITY,False,True,1,1inch,2022-01-10T00:00:00+00:00,28,False
ldo,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,2991389523.69471,ldo,LDO,IDENTITY,False,True,1,ldo,2022-01-10T00:00:00+00:00,29,False
leo_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,2486991336.0380287,leo,LEO,NETWORK_FORM_TO_PARENT,False,True,1,leo_eth,2022-01-10T00:00:00+00:00,30,False
btc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,817252077983.4712,btc,BTC,IDENTITY,False,True,2,btc,2022-01-17T00:00:00+00:00,1,True
eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,396274948183.3029,eth,ETH,IDENTITY,False,True,2,eth,2022-01-17T00:00:00+00:00,2,True
xrp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,77962462335.05908,xrp,XRP,IDENTITY,False,True,1,xrp,2022-01-17T00:00:00+00:00,3,True
ada,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,46583066324.297455,ada,ADA,IDENTITY,False,True,1,ada,2022-01-17T00:00:00+00:00,4,True
cro,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,46410605084.5964,cro,CRO,IDENTITY,False,True,1,cro,2022-01-17T00:00:00+00:00,5,False
dot,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,31356377139.3374,dot,DOT,IDENTITY,False,True,1,dot,2022-01-17T00:00:00+00:00,6,True
avaxp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,30986162599.90091,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,2022-01-17T00:00:00+00:00,7,True
shib_eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,30535679125.279823,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,2022-01-17T00:00:00+00:00,8,True
xlm,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,27312818044.663555,xlm,XLM,IDENTITY,False,True,1,xlm,2022-01-17T00:00:00+00:00,9,True
link,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,25624725926.0135,link,LINK,IDENTITY,False,True,1,link,2022-01-17T00:00:00+00:00,10,True
doge,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,23561667850.894333,doge,DOGE,IDENTITY,False,True,1,doge,2022-01-17T00:00:00+00:00,11,True
matic_eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,23275253503.0871,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,2022-01-17T00:00:00+00:00,12,False
uni,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,17823219916.3317,uni,UNI,IDENTITY,False,True,1,uni,2022-01-17T00:00:00+00:00,13,True
ftt,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,15549925464.417297,ftt,FTT,IDENTITY,False,True,1,ftt,2022-01-17T00:00:00+00:00,14,False
icp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,14893603020.51325,icp,ICP,IDENTITY,False,True,1,icp,2022-01-17T00:00:00+00:00,15,False
algo,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,14314767149.2198,algo,ALGO,IDENTITY,False,True,1,algo,2022-01-17T00:00:00+00:00,16,False
ltc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,10181625314.18731,ltc,LTC,IDENTITY,False,True,1,ltc,2022-01-17T00:00:00+00:00,17,True
crv,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,8596664750.935707,crv,CRV,IDENTITY,False,True,1,crv,2022-01-17T00:00:00+00:00,18,False
bch,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,7372285415.801489,bch,BCH,IDENTITY,False,True,1,bch,2022-01-17T00:00:00+00:00,19,False
mana,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,6846369862.48326,mana,MANA,IDENTITY,False,True,1,mana,2022-01-17T00:00:00+00:00,20,False
ht,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,5009202113.11345,ht,HT,IDENTITY,False,True,1,ht,2022-01-17T00:00:00+00:00,21,False
etc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,4280531408.9116235,etc,ETC,IDENTITY,False,True,1,etc,2022-01-17T00:00:00+00:00,22,False
qnt,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,4091721833.780232,qnt,QNT,IDENTITY,False,True,1,qnt,2022-01-17T00:00:00+00:00,23,False
xmr,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3947009724.118028,xmr,XMR,IDENTITY,False,True,1,xmr,2022-01-17T00:00:00+00:00,24,True
gno,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3900417349.60894,gno,GNO,IDENTITY,False,True,1,gno,2022-01-17T00:00:00+00:00,25,False
aave,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3880872791.723744,aave,AAVE,IDENTITY,False,True,2,aave,2022-01-17T00:00:00+00:00,26,True
xtz,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3749608225.24993,xtz,XTZ,IDENTITY,False,True,1,xtz,2022-01-17T00:00:00+00:00,27,False
1inch,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3652564340.325285,1inch,1INCH,IDENTITY,False,True,1,1inch,2022-01-17T00:00:00+00:00,28,False
neo,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,2518343782.67703,neo,NEO,IDENTITY,False,True,1,neo,2022-01-17T00:00:00+00:00,29,False
leo_eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,2497232064.386862,leo,LEO,NETWORK_FORM_TO_PARENT,False,True,1,leo_eth,2022-01-17T00:00:00+00:00,30,False
btc,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,686903645043.7297,btc,BTC,IDENTITY,False,True,2,btc,2022-01-24T00:00:00+00:00,1,True
eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,299160671633.6106,eth,ETH,IDENTITY,False,True,2,eth,2022-01-24T00:00:00+00:00,2,True
xrp,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,62849188182.75203,xrp,XRP,IDENTITY,False,True,1,xrp,2022-01-24T00:00:00+00:00,3,True
cro,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,37840331658.3671,cro,CRO,IDENTITY,False,True,1,cro,2022-01-24T00:00:00+00:00,4,False
ada,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,36981147739.35025,ada,ADA,IDENTITY,False,True,1,ada,2022-01-24T00:00:00+00:00,5,True
shib_eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,22371905855.36368,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,2022-01-24T00:00:00+00:00,6,True
avaxp,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21711755430.12401,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,2022-01-24T00:00:00+00:00,7,True
dot,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21314790336.12279,dot,DOT,IDENTITY,False,True,1,dot,2022-01-24T00:00:00+00:00,8,True
xlm,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21078329493.42937,xlm,XLM,IDENTITY,False,True,1,xlm,2022-01-24T00:00:00+00:00,9,True
doge,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,18817887654.87779,doge,DOGE,IDENTITY,False,True,1,doge,2022-01-24T00:00:00+00:00,10,True
link,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,16512174455.8241,link,LINK,IDENTITY,False,True,1,link,2022-01-24T00:00:00+00:00,11,True
matic_eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,16063798540.0071,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,2022-01-24T00:00:00+00:00,12,False
ftt,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,12005980545.663326,ftt,FTT,IDENTITY,False,True,1,ftt,2022-01-24T00:00:00+00:00,13,False
uni,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,11510704287.3647,uni,UNI,IDENTITY,False,True,1,uni,2022-01-24T00:00:00+00:00,14,True
icp,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,10135223882.87504,icp,ICP,IDENTITY,False,True,1,icp,2022-01-24T00:00:00+00:00,15,False
algo,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,9885207720.38853,algo,ALGO,IDENTITY,False,True,1,algo,2022-01-24T00:00:00+00:00,16,False
ltc,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,7776114873.720747,ltc,LTC,IDENTITY,False,True,1,ltc,2022-01-24T00:00:00+00:00,17,True
bch,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,5720103380.739382,bch,BCH,IDENTITY,False,True,1,bch,2022-01-24T00:00:00+00:00,18,False
crv,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,5041466987.009984,crv,CRV,IDENTITY,False,True,1,crv,2022-01-24T00:00:00+00:00,19,False
mana,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,4630543516.464075,mana,MANA,IDENTITY,False,True,1,mana,2022-01-24T00:00:00+00:00,20,False
ht,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,4600960552.23577,ht,HT,IDENTITY,False,True,1,ht,2022-01-24T00:00:00+00:00,21,False
etc,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,3325476981.5089684,etc,ETC,IDENTITY,False,True,1,etc,2022-01-24T00:00:00+00:00,22,False
xmr,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2735407469.972606,xmr,XMR,IDENTITY,False,True,1,xmr,2022-01-24T00:00:00+00:00,23,True
gno,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2697170561.16435,gno,GNO,IDENTITY,False,True,1,gno,2022-01-24T00:00:00+00:00,24,False
xtz,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2676239264.638044,xtz,XTZ,IDENTITY,False,True,1,xtz,2022-01-24T00:00:00+00:00,25,False
qnt,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2658673844.145802,qnt,QNT,IDENTITY,False,True,1,qnt,2022-01-24T00:00:00+00:00,26,False
aave,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2526016051.472784,aave,AAVE,IDENTITY,False,True,2,aave,2022-01-24T00:00:00+00:00,27,True
1inch,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2524088810.412975,1inch,1INCH,IDENTITY,False,True,1,1inch,2022-01-24T00:00:00+00:00,28,False
leo_eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,2357047115.0100136,leo,LEO,NETWORK_FORM_TO_PARENT,False,True,1,leo_eth,2022-01-24T00:00:00+00:00,29,False
neo,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,1853800013.21455,neo,NEO,IDENTITY,False,True,1,neo,2022-01-24T00:00:00+00:00,30,False
btc,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,719574502508.9705,btc,BTC,IDENTITY,False,True,2,btc,2022-01-31T00:00:00+00:00,1,True
eth,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,308311140628.4357,eth,ETH,IDENTITY,False,True,2,eth,2022-01-31T00:00:00+00:00,2,True
xrp,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,60397254032.7869,xrp,XRP,IDENTITY,False,True,1,xrp,2022-01-31T00:00:00+00:00,3,True
cro,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,42506201738.317,cro,CRO,IDENTITY,False,True,1,cro,2022-01-31T00:00:00+00:00,4,False
ada,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,34302056990.87252,ada,ADA,IDENTITY,False,True,1,ada,2022-01-31T00:00:00+00:00,5,True
avaxp,2022-01-30T00:00:00+00:00,2022-01-30T00:00:00+00:00,2022-01-31T00:00:00+00:00,22968951079.981155,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,2022-01-31T00:00:00+00:00,6,True
