symbol,exchange_symbol,status,row_count,research_row_count,pre_research_row_count,first_open_time,last_open_time,last_close_time,has_pre_2025_history,listing_age_90d_proxy,recent_at_research_start_proxy,eligible_at_research_start_proxy,covers_research_end_proxy,calendar_gap_count,quote_volume_source,test_period_accessed,holdout_period_accessed
LINK/USDT,LINK-USDT,PASS,1594,1460,134,2020-08-20T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
LTC/USDT,LTC-USDT,PASS,2451,1460,991,2018-01-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,77,KUCOIN_REPORTED_TURNOVER,False,False
NEAR/USDT,NEAR-USDT,PASS,1271,1271,0,2021-07-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
O/USDT,O-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
ONDO/USDT,ONDO-USDT,PASS,348,348,0,2024-01-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
PEPE/USDT,PEPE-USDT,PASS,606,606,0,2023-05-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
PIEVERSE/USDT,PIEVERSE-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
SEI/USDT,SEI-USDT,PASS,504,504,0,2023-08-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
SHIB/USDT,SHIB-USDT,PASS,1331,1331,0,2021-05-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
SNX/USDT,SNX-USDT,PASS,2327,1460,867,2018-05-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,88,KUCOIN_REPORTED_TURNOVER,False,False
SOL/USDT,SOL-USDT,PASS,1245,1245,0,2021-08-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
SUI/USDT,SUI-USDT,PASS,608,608,0,2023-05-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
SYN/USDT,SYN-USDT,PASS,672,672,0,2023-02-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
TAO/USDT,TAO-USDT,PASS,377,377,0,2023-12-20T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
TEA/USDT,TEA-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
TRUMP/USDT,TRUMP-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
TRX/USDT,TRX-USDT,PASS,2185,1460,725,2018-09-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,105,KUCOIN_REPORTED_TURNOVER,False,False
UNI/USDT,UNI-USDT,PASS,1566,1460,106,2020-09-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
XLM/USDT,XLM-USDT,PASS,2192,1460,732,2018-08-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,131,KUCOIN_REPORTED_TURNOVER,False,False
XMR/USDT,XMR-USDT,PASS,1378,1378,0,2021-03-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
XRP/USDT,XRP-USDT,PASS,2170,1460,710,2018-12-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,49,KUCOIN_REPORTED_TURNOVER,False,False
ZEC/USDT,ZEC-USDT,PASS,2008,1460,548,2019-07-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
