symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
ADA/USDT,2021-09-10 00:00:00+00:00,2021-09-13 00:00:00+00:00,2.518064,2.57989,0.020462958020190047,3,ROTATION_EXIT
AVAX/USDT,2021-09-13 00:00:00+00:00,2021-09-16 00:00:00+00:00,59.306,57.874,-0.028041579808716244,3,ROTATION_EXIT
BTC/USDT,2021-09-16 00:00:00+00:00,2021-09-19 00:00:00+00:00,48124.3,48294.0,-0.0004798078966692376,3,ROTATION_EXIT
LTC/USDT,2021-09-16 00:00:00+00:00,2021-09-19 00:00:00+00:00,189.017,181.374,-0.044266113123114015,3,ROTATION_EXIT
BNB/USDT,2021-09-22 00:00:00+00:00,2021-09-25 00:00:00+00:00,343.799,355.136,0.028852007763739085,3,ROTATION_EXIT
XRP/USDT,2021-09-22 00:00:00+00:00,2021-09-25 00:00:00+00:00,0.87389,0.94405,0.07597219023601287,3,ROTATION_EXIT
LINK/USDT,2021-09-25 00:00:00+00:00,2021-09-28 00:00:00+00:00,23.2611,23.0164,-0.014469729992448332,3,ROTATION_EXIT
XRP/USDT,2021-09-28 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.92168,0.95328,0.030156335190048678,3,ROTATION_EXIT
DOGE/USDT,2021-09-28 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.19964,0.20421,0.01880780614687283,3,ROTATION_EXIT
BNB/USDT,2021-10-01 00:00:00+00:00,2021-10-04 00:00:00+00:00,387.562,430.467,0.10627091629797403,3,ROTATION_EXIT
LINK/USDT,2021-10-04 00:00:00+00:00,2021-10-07 00:00:00+00:00,27.5742,26.8088,-0.03163903785729516,3,ROTATION_EXIT
DOT/USDT,2021-10-07 00:00:00+00:00,2021-10-10 00:00:00+00:00,32.1975,36.3375,0.12407609658391139,3,ROTATION_EXIT
DOGE/USDT,2021-10-07 00:00:00+00:00,2021-10-10 00:00:00+00:00,0.25404,0.24661,-0.033122622649520705,3,ROTATION_EXIT
XRP/USDT,2021-10-10 00:00:00+00:00,2021-10-13 00:00:00+00:00,1.15993,1.10188,-0.05383835451698826,3,ROTATION_EXIT
BNB/USDT,2021-10-13 00:00:00+00:00,2021-10-16 00:00:00+00:00,444.377,474.391,0.0632801057500596,3,ROTATION_EXIT
LTC/USDT,2021-10-13 00:00:00+00:00,2021-10-16 00:00:00+00:00,172.547,189.607,0.09448489877160049,3,ROTATION_EXIT
ADA/USDT,2021-10-16 00:00:00+00:00,2021-10-19 00:00:00+00:00,2.216753,2.128434,-0.04367457380906681,3,ROTATION_EXIT
LINK/USDT,2021-10-16 00:00:00+00:00,2021-10-19 00:00:00+00:00,27.0009,25.6992,-0.05200906698541419,3,ROTATION_EXIT
DOGE/USDT,2021-10-25 00:00:00+00:00,2021-10-28 00:00:00+00:00,0.27574,0.2379,-0.14067491331980264,3,ROTATION_EXIT
LINK/USDT,2021-10-22 00:00:00+00:00,2021-10-31 00:00:00+00:00,28.2702,29.7861,0.049415759816826776,9,ROTATION_EXIT
DOGE/USDT,2021-10-31 00:00:00+00:00,2021-11-03 00:00:00+00:00,0.26879,0.274,0.015313767717365145,3,ROTATION_EXIT
BNB/USDT,2021-10-31 00:00:00+00:00,2021-11-03 00:00:00+00:00,529.198,554.401,0.043442761226023974,3,ROTATION_EXIT
DOT/USDT,2021-11-03 00:00:00+00:00,2021-11-06 00:00:00+00:00,51.6528,51.7476,-0.002164011350962225,3,ROTATION_EXIT
BNB/USDT,2021-11-06 00:00:00+00:00,2021-11-09 00:00:00+00:00,607.124,653.553,0.07217636922280124,3,ROTATION_EXIT
AVAX/USDT,2021-11-06 00:00:00+00:00,2021-11-09 00:00:00+00:00,74.198,91.154,0.2236193937363149,3,ROTATION_EXIT
LTC/USDT,2021-11-09 00:00:00+00:00,2021-11-15 00:00:00+00:00,228.842,279.309,0.21565968664832513,6,ROTATION_EXIT
AVAX/USDT,2021-11-12 00:00:00+00:00,2021-11-15 00:00:00+00:00,87.91,95.49,0.08188832209315877,3,ROTATION_EXIT
BTC/USDT,2021-11-18 00:00:00+00:00,2021-11-21 00:00:00+00:00,60345.0,59707.4,-0.014515749344793716,3,ROTATION_EXIT
XRP/USDT,2021-11-18 00:00:00+00:00,2021-11-21 00:00:00+00:00,1.09513,1.09734,-0.0019820466998394792,3,ROTATION_EXIT
DOGE/USDT,2021-11-21 00:00:00+00:00,2021-11-24 00:00:00+00:00,0.23344,0.22708,-0.031127942880517345,3,ROTATION_EXIT
SOL/USDT,2021-11-24 00:00:00+00:00,2021-11-27 00:00:00+00:00,221.819,192.401,-0.13608423022496463,3,ROTATION_EXIT
SHIB/USDT,2021-11-30 00:00:00+00:00,2021-12-03 00:00:00+00:00,4.527e-05,4.22e-05,-0.07153662632764068,3,ROTATION_EXIT
SOL/USDT,2021-12-03 00:00:00+00:00,2021-12-06 00:00:00+00:00,233.679,196.238,-0.16357646698907857,3,ROTATION_EXIT
ADA/USDT,2021-12-03 00:00:00+00:00,2021-12-06 00:00:00+00:00,1.719545,1.378726,-0.20140379938157194,3,ROTATION_EXIT
BTC/USDT,2021-12-06 00:00:00+00:00,2021-12-09 00:00:00+00:00,49398.1,50467.3,0.0175661357933794,3,ROTATION_EXIT
SHIB/USDT,2021-12-06 00:00:00+00:00,2021-12-12 00:00:00+00:00,3.621e-05,3.442e-05,-0.05322853326762644,6,ROTATION_EXIT
NEAR/USDT,2021-12-12 00:00:00+00:00,2021-12-15 00:00:00+00:00,11.5924,9.3349,-0.19795426916430414,3,ROTATION_EXIT
XRP/USDT,2021-12-12 00:00:00+00:00,2021-12-15 00:00:00+00:00,0.83922,0.81094,-0.03755545081044498,3,ROTATION_EXIT
DOGE/USDT,2021-12-15 00:00:00+00:00,2021-12-18 00:00:00+00:00,0.19093,0.16849,-0.12105281920315858,3,ROTATION_EXIT
AVAX/USDT,2021-12-15 00:00:00+00:00,2021-12-21 00:00:00+00:00,87.147,113.505,0.2972550544200592,6,ROTATION_EXIT
SOL/USDT,2021-12-18 00:00:00+00:00,2021-12-21 00:00:00+00:00,175.408,173.938,-0.012339022584221482,3,ROTATION_EXIT
XRP/USDT,2021-12-21 00:00:00+00:00,2021-12-24 00:00:00+00:00,0.87952,0.99459,0.12631842463880671,3,ROTATION_EXIT
LINK/USDT,2021-12-21 00:00:00+00:00,2021-12-24 00:00:00+00:00,18.7781,22.1831,0.1766123681617866,3,ROTATION_EXIT
SHIB/USDT,2021-12-24 00:00:00+00:00,2021-12-27 00:00:00+00:00,3.863e-05,3.826e-05,-0.013531828396016521,3,ROTATION_EXIT
ADA/USDT,2021-12-24 00:00:00+00:00,2021-12-27 00:00:00+00:00,1.47463,1.454424,-0.017639735955687463,3,ROTATION_EXIT
SOL/USDT,2021-12-27 00:00:00+00:00,2021-12-30 00:00:00+00:00,197.789,170.476,-0.1415323547526487,3,ROTATION_EXIT
ADA/USDT,2021-12-30 00:00:00+00:00,2022-01-02 00:00:00+00:00,1.331863,1.379724,0.03179990716798886,3,ROTATION_EXIT
BNB/USDT,2021-12-30 00:00:00+00:00,2022-01-02 00:00:00+00:00,514.538,527.321,0.020752453944518523,3,ROTATION_EXIT
XRP/USDT,2022-01-02 00:00:00+00:00,2022-01-05 00:00:00+00:00,0.85034,0.82275,-0.03630833682729795,3,ROTATION_EXIT
BTC/USDT,2022-01-02 00:00:00+00:00,2022-01-05 00:00:00+00:00,47728.6,45833.0,-0.0435496969922492,3,ROTATION_EXIT
LINK/USDT,2022-01-05 00:00:00+00:00,2022-01-08 00:00:00+00:00,23.4243,25.9823,0.10477488093616327,3,ROTATION_EXIT
DOT/USDT,2022-01-05 00:00:00+00:00,2022-01-08 00:00:00+00:00,28.6787,24.8858,-0.13571900089536992,3,ROTATION_EXIT
XRP/USDT,2022-01-08 00:00:00+00:00,2022-01-11 00:00:00+00:00,0.76328,0.73966,-0.03481387502743161,3,ROTATION_EXIT
ADA/USDT,2022-01-08 00:00:00+00:00,2022-01-11 00:00:00+00:00,1.20873,1.122958,-0.07466917034198306,3,ROTATION_EXIT
BTC/USDT,2022-01-11 00:00:00+00:00,2022-01-14 00:00:00+00:00,41816.3,42569.6,0.013950576140067561,3,ROTATION_EXIT
ETH/USDT,2022-01-11 00:00:00+00:00,2022-01-14 00:00:00+00:00,3082.72,3241.02,0.0471537461745426,3,ROTATION_EXIT
DOT/USDT,2022-01-14 00:00:00+00:00,2022-01-17 00:00:00+00:00,25.7904,27.6921,0.06945036504322455,3,ROTATION_EXIT
ADA/USDT,2022-01-14 00:00:00+00:00,2022-01-20 00:00:00+00:00,1.232251,1.335854,0.07974856543106723,6,ROTATION_EXIT
DOGE/USDT,2022-01-17 00:00:00+00:00,2022-01-20 00:00:00+00:00,0.17657,0.16162,-0.08832298590223975,3,ROTATION_EXIT
BTC/USDT,2022-01-20 00:00:00+00:00,2022-01-23 00:00:00+00:00,41666.0,35064.3,-0.1618028427376994,3,ROTATION_EXIT
BNB/USDT,2022-01-23 00:00:00+00:00,2022-01-26 00:00:00+00:00,358.375,385.183,0.07051368905022182,3,ROTATION_EXIT
ETH/USDT,2022-01-23 00:00:00+00:00,2022-01-29 00:00:00+00:00,2411.56,2546.15,0.05159553506564807,6,ROTATION_EXIT
XRP/USDT,2022-01-26 00:00:00+00:00,2022-01-29 00:00:00+00:00,0.61769,0.61106,-0.014682706984806337,3,ROTATION_EXIT
LINK/USDT,2022-01-29 00:00:00+00:00,2022-02-04 00:00:00+00:00,16.1523,16.3023,0.00525751491018811,6,ROTATION_EXIT
ETH/USDT,2022-02-01 00:00:00+00:00,2022-02-04 00:00:00+00:00,2686.71,2696.71,-0.00028485001404587873,3,ROTATION_EXIT
ADA/USDT,2022-02-04 00:00:00+00:00,2022-02-07 00:00:00+00:00,1.060975,1.142783,0.07280660903034297,3,ROTATION_EXIT
SOL/USDT,2022-02-04 00:00:00+00:00,2022-02-07 00:00:00+00:00,101.924,115.227,0.12600576876935676,3,ROTATION_EXIT
SHIB/USDT,2022-02-07 00:00:00+00:00,2022-02-10 00:00:00+00:00,2.849e-05,3.294e-05,0.15157960666942683,3,ROTATION_EXIT
AVAX/USDT,2022-02-07 00:00:00+00:00,2022-02-10 00:00:00+00:00,78.963,90.093,0.1363973925178783,3,ROTATION_EXIT
XRP/USDT,2022-02-10 00:00:00+00:00,2022-02-13 00:00:00+00:00,0.86944,0.82242,-0.05785691223368494,3,ROTATION_EXIT
ADA/USDT,2022-02-10 00:00:00+00:00,2022-02-16 00:00:00+00:00,1.194114,1.109473,-0.07459089662472407,6,ROTATION_EXIT
BTC/USDT,2022-02-13 00:00:00+00:00,2022-02-16 00:00:00+00:00,42222.4,44563.5,0.05123351103696594,3,ROTATION_EXIT
BNB/USDT,2022-02-16 00:00:00+00:00,2022-02-19 00:00:00+00:00,432.551,399.266,-0.08063529213319343,3,ROTATION_EXIT
DOT/USDT,2022-02-22 00:00:00+00:00,2022-02-25 00:00:00+00:00,16.1733,16.1729,-0.004016649357268087,3,ROTATION_EXIT
SOL/USDT,2022-02-25 00:00:00+00:00,2022-02-28 00:00:00+00:00,89.335,85.6,-0.045634035561272324,3,ROTATION_EXIT
AVAX/USDT,2022-02-28 00:00:00+00:00,2022-03-03 00:00:00+00:00,75.04,83.32,0.10590865177959619,3,ROTATION_EXIT
DOT/USDT,2022-02-28 00:00:00+00:00,2022-03-03 00:00:00+00:00,17.49,18.6094,0.05975477290130993,3,ROTATION_EXIT
BTC/USDT,2022-03-03 00:00:00+00:00,2022-03-06 00:00:00+00:00,43896.9,39397.0,-0.10609344744375604,3,ROTATION_EXIT
NEAR/USDT,2022-03-03 00:00:00+00:00,2022-03-09 00:00:00+00:00,11.0852,9.7347,-0.12533477770760226,6,ROTATION_EXIT
SHIB/USDT,2022-03-06 00:00:00+00:00,2022-03-09 00:00:00+00:00,2.462e-05,2.29e-05,-0.07357502703771979,3,ROTATION_EXIT
DOT/USDT,2022-03-09 00:00:00+00:00,2022-03-15 00:00:00+00:00,16.9637,17.6977,0.039104116378030795,6,ROTATION_EXIT
NEAR/USDT,2022-03-12 00:00:00+00:00,2022-03-15 00:00:00+00:00,10.2521,10.1313,-0.015727930021873227,3,ROTATION_EXIT
DOT/USDT,2022-03-18 00:00:00+00:00,2022-03-21 00:00:00+00:00,18.744,18.6568,-0.008625599845975995,3,ROTATION_EXIT
ETH/USDT,2022-03-18 00:00:00+00:00,2022-03-21 00:00:00+00:00,2812.68,2861.72,0.013373710505237613,3,ROTATION_EXIT
AVAX/USDT,2022-03-21 00:00:00+00:00,2022-03-24 00:00:00+00:00,84.806,85.993,0.009948760357265662,3,ROTATION_EXIT
ADA/USDT,2022-03-24 00:00:00+00:00,2022-03-27 00:00:00+00:00,1.107544,1.15192,0.035915067000559686,3,ROTATION_EXIT
DOT/USDT,2022-03-24 00:00:00+00:00,2022-03-27 00:00:00+00:00,21.0161,20.9111,-0.008968240782532444,3,ROTATION_EXIT
NEAR/USDT,2022-03-27 00:00:00+00:00,2022-03-30 00:00:00+00:00,12.717,14.1126,0.10531275264992535,3,ROTATION_EXIT
SOL/USDT,2022-03-27 00:00:00+00:00,2022-04-02 00:00:00+00:00,101.766,134.413,0.3155319179066156,6,ROTATION_EXIT
