canonical_symbol,entity_class,namespace,contract_address,mapping_start,mapping_end,effective_history_known,raw_catalog_supported,pilot_mapping_usable,exclusion_reason,silent_exclusion
MATIC,NON_EVM_TOKEN,polygon,,,2024-12-31T23:59:59Z,False,True,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
NEO,NATIVE_CHAIN_ASSET,neo,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
PAXG,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
QNT,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
SHIB,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
SNX,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
SUSHI,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
UMA,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
UNI,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
XLM,NATIVE_CHAIN_ASSET,stellar,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
XMR,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
XRP,NATIVE_CHAIN_ASSET,ripple,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
XTZ,NATIVE_CHAIN_ASSET,tezos,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
ZEC,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
ZRX,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
