canonical_symbol,asset_type,native_chain,contract_address,protocol_entity,coin_metrics_asset_id,defillama_protocol_slug,defillama_chain_slug,dune_blockchain_namespace,mapping_basis,mapping_confidence,mapping_start,mapping_end,rename_migration_history,conflict_status,notes
SHIB,MEME_OR_PAYMENT_TOKEN,,,,shib,,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
SNX,PROTOCOL_TOKEN,,,synthetix,snx,synthetix,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
SUSHI,PROTOCOL_TOKEN,,,sushi,sushi,sushi,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
UMA,PROTOCOL_TOKEN,,,uma,uma,uma,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
UNI,PROTOCOL_TOKEN,,,uniswap,uni,uniswap,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
XLM,NATIVE_L1,Stellar,,,xlm,,Stellar,stellar,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
XMR,PRIVACY_ASSET,,,,xmr,,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
XRP,NATIVE_L1,Ripple,,,xrp,,Ripple,ripple,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
XTZ,NATIVE_L1,Tezos,,,xtz,,Tezos,tezos,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
ZEC,PRIVACY_ASSET,,,,zec,,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
ZRX,PROTOCOL_TOKEN,,,0x,zrx,0x,,,CATALOG_ASSET_ID_AND_REGISTERED_ECONOMIC_IDENTITY,HIGH,,2024-12-31T23:59:59Z,,NONE,Token and protocol or chain identities remain separate.
