symbol,open_time,close_time,expected_close_time,close_time_standard,quote_volume,number_of_trades,taker_buy_quote_volume
BTCUSDT,2023-03-24T12:07:00+00:00,2023-03-24T12:07:59.999000+00:00,2023-03-24T12:07:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:08:00+00:00,2023-03-24T12:08:59.999000+00:00,2023-03-24T12:08:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:09:00+00:00,2023-03-24T12:09:59.999000+00:00,2023-03-24T12:09:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:10:00+00:00,2023-03-24T12:10:59.999000+00:00,2023-03-24T12:10:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:11:00+00:00,2023-03-24T12:11:59.999000+00:00,2023-03-24T12:11:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:12:00+00:00,2023-03-24T12:12:59.999000+00:00,2023-03-24T12:12:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:13:00+00:00,2023-03-24T12:13:59.999000+00:00,2023-03-24T12:13:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:14:00+00:00,2023-03-24T12:14:59.999000+00:00,2023-03-24T12:14:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:15:00+00:00,2023-03-24T12:15:59.999000+00:00,2023-03-24T12:15:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:16:00+00:00,2023-03-24T12:16:59.999000+00:00,2023-03-24T12:16:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:17:00+00:00,2023-03-24T12:17:59.999000+00:00,2023-03-24T12:17:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:18:00+00:00,2023-03-24T12:18:59.999000+00:00,2023-03-24T12:18:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:19:00+00:00,2023-03-24T12:19:59.999000+00:00,2023-03-24T12:19:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:20:00+00:00,2023-03-24T12:20:59.999000+00:00,2023-03-24T12:20:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:21:00+00:00,2023-03-24T12:21:59.999000+00:00,2023-03-24T12:21:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:22:00+00:00,2023-03-24T12:22:59.999000+00:00,2023-03-24T12:22:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:23:00+00:00,2023-03-24T12:23:59.999000+00:00,2023-03-24T12:23:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:24:00+00:00,2023-03-24T12:24:59.999000+00:00,2023-03-24T12:24:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:25:00+00:00,2023-03-24T12:25:59.999000+00:00,2023-03-24T12:25:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:26:00+00:00,2023-03-24T12:26:59.999000+00:00,2023-03-24T12:26:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:27:00+00:00,2023-03-24T12:27:59.999000+00:00,2023-03-24T12:27:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:28:00+00:00,2023-03-24T12:28:59.999000+00:00,2023-03-24T12:28:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:29:00+00:00,2023-03-24T12:29:59.999000+00:00,2023-03-24T12:29:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:30:00+00:00,2023-03-24T12:30:59.999000+00:00,2023-03-24T12:30:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:31:00+00:00,2023-03-24T12:31:59.999000+00:00,2023-03-24T12:31:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:32:00+00:00,2023-03-24T12:32:59.999000+00:00,2023-03-24T12:32:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:33:00+00:00,2023-03-24T12:33:59.999000+00:00,2023-03-24T12:33:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:34:00+00:00,2023-03-24T12:34:59.999000+00:00,2023-03-24T12:34:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:35:00+00:00,2023-03-24T12:35:59.999000+00:00,2023-03-24T12:35:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:36:00+00:00,2023-03-24T12:36:59.999000+00:00,2023-03-24T12:36:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:37:00+00:00,2023-03-24T12:37:59.999000+00:00,2023-03-24T12:37:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:38:00+00:00,2023-03-24T12:38:59.999000+00:00,2023-03-24T12:38:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:39:00+00:00,2023-03-24T12:39:41.646000+00:00,2023-03-24T12:39:59.999000+00:00,False,0.0,0,0.0
BTCUSDT,2023-03-24T14:00:00+00:00,2023-03-24T14:00:59.999000+00:00,2023-03-24T14:00:59.999000+00:00,True,8205314.819723,7682,2463332.6192652
BTCUSDT,2023-03-24T14:01:00+00:00,2023-03-24T14:01:59.999000+00:00,2023-03-24T14:01:59.999000+00:00,True,6617190.8698958,5483,1762270.1366326
BTCUSDT,2023-03-24T14:02:00+00:00,2023-03-24T14:02:59.999000+00:00,2023-03-24T14:02:59.999000+00:00,True,10952402.3225054,4398,2051164.4004339
BTCUSDT,2023-03-24T14:03:00+00:00,2023-03-24T14:03:59.999000+00:00,2023-03-24T14:03:59.999000+00:00,True,5566252.595138,4167,2372434.1101746
BTCUSDT,2023-03-24T14:04:00+00:00,2023-03-24T14:04:59.999000+00:00,2023-03-24T14:04:59.999000+00:00,True,2405928.9694931,2347,1019952.5006948
ETHUSDT,2023-03-24T11:33:00+00:00,2023-03-24T11:33:59.999000+00:00,2023-03-24T11:33:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:34:00+00:00,2023-03-24T11:34:59.999000+00:00,2023-03-24T11:34:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:35:00+00:00,2023-03-24T11:35:59.999000+00:00,2023-03-24T11:35:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:36:00+00:00,2023-03-24T11:36:59.999000+00:00,2023-03-24T11:36:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:37:00+00:00,2023-03-24T11:37:59.999000+00:00,2023-03-24T11:37:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:38:00+00:00,2023-03-24T11:38:59.999000+00:00,2023-03-24T11:38:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:39:00+00:00,2023-03-24T11:39:59.999000+00:00,2023-03-24T11:39:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:40:00+00:00,2023-03-24T11:40:59.999000+00:00,2023-03-24T11:40:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:41:00+00:00,2023-03-24T11:41:59.999000+00:00,2023-03-24T11:41:59.999000+00:00,True,0.0,0,0.0
