timestamp,asset,cohort,trade_id,bars_held,total_health_score,structure_retention_score,trend_continuation_score,momentum_persistence_score,r_state_score,volatility_stability_score,time_efficiency_score,current_r,mfe_r,giveback_r,consecutive_low_health_bars,initial_stop,exit_triggered,exit_reason,next_5_bar_return_if_held,next_10_bar_return_if_held,next_5_bar_MAE_if_held,next_5_bar_MFE_if_held
2023-04-29T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2023-01-10T00:00:00+00:00,109,49.72144192282943,15.54937059208555,16.17207133074388,0.0,10.0,0.0,8.0,9.472438104854959,13.26015591787652,3.787717813021562,0,1262.3857142857144,False,,0.007403490216816522,-0.022987837123215282,-0.0447540983606558,0.025383395029085154
2023-04-30T00:00:00+00:00,BTC/USDT,RD14_REFERENCE_TRANSFER_COHORT,BTC/USDT-2023-03-18T00:00:00+00:00,43,74.98578388814671,20.95760852532666,18.719338698847228,8.05471932504712,13.254117338925703,10.0,4.0,0.6841348718339211,1.1560679852713944,0.47193311343747335,0,24810.942857142854,False,,-0.013279271881201593,-0.054626017929241044,-0.0535105727776638,0.025378088003832122
2023-04-30T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2023-01-10T00:00:00+00:00,110,51.932924027127456,16.58820565206367,16.390098923599417,0.9546194514643649,10.0,0.0,8.0,9.7471542674901,13.26015591787652,3.513001650386421,0,1262.3857142857144,False,,-0.015942416474005183,-0.03193725786242663,-0.05301207345779013,0.016519090532584713
2023-05-01T00:00:00+00:00,BTC/USDT,RD14_REFERENCE_TRANSFER_COHORT,BTC/USDT-2023-03-18T00:00:00+00:00,44,75.02480896088295,20.84858378988166,18.648536198645107,8.254499005179692,13.273189967176492,10.0,4.0,0.6864235872240155,1.1560679852713944,0.4696443980473789,0,24810.942857142854,False,,0.009325396825396792,-0.056068691844553875,-0.053704844006568164,0.015045155993431925
2023-05-01T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2023-01-10T00:00:00+00:00,111,47.423516940995356,14.319307594182906,14.767396427735122,0.3368129190773276,10.0,0.0,8.0,9.125252851409458,13.26015591787652,4.1349030664670625,0,1262.3857142857144,False,,0.06574303802883175,-0.015570860247251628,-0.034109381015528184,0.06889250117636991
2023-05-02T00:00:00+00:00,BTC/USDT,RD14_REFERENCE_TRANSFER_COHORT,BTC/USDT-2023-03-18T00:00:00+00:00,45,60.59042409563614,15.787677368816437,16.043111081970444,6.691939469663163,9.56769617518609,10.0,2.5,0.24176433218516752,1.1560679852713944,0.914303653086227,0,24810.942857142854,False,,0.027777084973794164,-0.0390682063542398,-0.006997716122182029,0.06254476008593945
2023-05-02T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2023-01-10T00:00:00+00:00,112,45.35211315477255,12.87480635082255,13.403139186323997,1.0741676176260075,10.0,0.0,8.0,8.473530820949378,13.26015591787652,4.786625096927143,0,1262.3857142857144,False,,0.03582117266689977,-0.019934026564138452,-0.004369101712687895,0.10265204473960154
2023-05-03T00:00:00+00:00,BTC/USDT,RD14_REFERENCE_TRANSFER_COHORT,BTC/USDT-2023-03-18T00:00:00+00:00,46,64.09309405880703,18.445326380992803,17.44205906704334,4.325345699168377,11.480362911602514,10.0,2.4,0.47128434055513835,1.1560679852713944,0.6847836447162561,0,24810.942857142854,False,,-0.008326356913631927,-0.0652992884051905,-0.01922352448723308,0.040243477047579246
2023-05-03T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2023-01-10T00:00:00+00:00,113,48.45085081430027,14.675894349350871,14.502943148119826,1.2720133168295715,10.0,0.0,8.0,9.122753917243582,13.26015591787652,4.137402000632939,0,1262.3857142857144,False,,0.0002513355543554141,-0.03352388489901126,-0.014534681632718538,0.07967337073063785
2023-05-04T00:00:00+00:00,BTC/USDT,RD14_REFERENCE_TRANSFER_COHORT,BTC/USDT-2023-03-18T00:00:00+00:00,47,77.48289193583105,19.940366464611195,18.53780270581131,12.384452438683997,12.620270326724544,10.0,4.0,0.608073230369782,1.1560679852713944,0.5479947549016124,0,24810.942857142854,False,,-0.04684324033817244,-0.0775736738026499,-0.060630594006876426,0.027392116196867766
