architecture_id,variant_id,router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_ENGINE_CONFLICT,38,1045.6296451568264,0.010456296451568264
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_SAME_SYMBOL_ACTIVE,52,-8477.429485570678,-0.08477429485570677
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_ENGINE_COOLDOWN,18,-7052.945814090788,-0.07052945814090789
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_MAX_OPEN_RISK,2,4173.889188748709,0.04173889188748709
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_PORTFOLIO_NOTIONAL,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,ADMITTED,567,108155.86314022547,1.0815586314022547
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_ENGINE_CONFLICT,38,-271.6577305963579,-0.002716577305963579
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_SAME_SYMBOL_ACTIVE,62,-9835.266397880308,-0.09835266397880309
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_ENGINE_COOLDOWN,18,-7052.945814090788,-0.07052945814090789
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_MAX_OPEN_RISK,3,5924.230974607724,0.05924230974607724
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_PORTFOLIO_NOTIONAL,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,ADMITTED,557,52976.173454991644,0.5297617345499165
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_ENGINE_CONFLICT,38,13.175016356216588,0.00013175016356216588
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_SAME_SYMBOL_ACTIVE,48,-6778.842044462059,-0.06778842044462059
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_ENGINE_COOLDOWN,16,-5501.504133704213,-0.05501504133704213
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_PORTFOLIO_NOTIONAL,29,32015.307109832873,0.32015307109832875
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,ADMITTED,576,59843.06021903285,0.5984306021903285
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_ENGINE_CONFLICT,38,1728.4730461562524,0.017284730461562522
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_SAME_SYMBOL_ACTIVE,32,-2062.06434196159,-0.0206206434196159
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_ENGINE_COOLDOWN,17,-6246.962776631747,-0.062469627766317475
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_PORTFOLIO_NOTIONAL,25,24709.093952464646,0.24709093952464645
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,ADMITTED,578,48056.41236033458,0.48056412360334577
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_ENGINE_CONFLICT,38,-93.7189441793243,-0.000937189441793243
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_SAME_SYMBOL_ACTIVE,52,-5321.6127784916425,-0.053216127784916425
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_ENGINE_COOLDOWN,18,-4707.155551342773,-0.04707155551342773
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_PORTFOLIO_NOTIONAL,2,2089.0315389687285,0.020890315389687285
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,REJECTED_INVALID_SIZE,0,0.0,0.0
