pair,boundary_status,first_valid_open,last_valid_open,total_daily_rows,missing_calendar_day_count,maximum_internal_gap_days,duplicate_count
ASTR-USDT,EXACT_FULL_HISTORY,2022-01-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1077,0,0,0
ATA-USDT,EXACT_FULL_HISTORY,2021-11-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1147,0,0,0
ATOM-USDT,EXACT_FULL_HISTORY,2019-05-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2049,0,0,0
AUCTION-USDT,EXACT_FULL_HISTORY,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,391,0,0,0
AUDIO-USDT,EXACT_FULL_HISTORY,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1148,0,0,0
AURORA-USDT,EXACT_FULL_HISTORY,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,982,0,0,0
AVA-USDT,EXACT_FULL_HISTORY,2019-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2127,0,0,0
AVAX-USDT,EXACT_FULL_HISTORY,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1398,0,0,0
AXS-USDT,EXACT_FULL_HISTORY,2021-07-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1265,0,0,0
AZERO-USDT,EXACT_FULL_HISTORY,2022-11-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,778,0,0,0
BABYDOGE-USDT,EXACT_FULL_HISTORY,2023-04-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,623,0,0,0
BAL-USDT,EXACT_FULL_HISTORY,2021-09-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1216,0,0,0
BAND-USDT,EXACT_FULL_HISTORY,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,0,0,0
BAT-USDT,EXACT_FULL_HISTORY,2021-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1423,0,0,0
BAX-USDT,EXACT_FULL_HISTORY,2021-04-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1364,0,0,0
BCH-USDT,EXACT_FULL_HISTORY,2020-11-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1507,0,0,0
BCHSV-USDT,EXACT_FULL_HISTORY,2018-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2161,75,26,0
BDX-USDT,EXACT_FULL_HISTORY,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,722,0,0,0
BFC-USDT,EXACT_FULL_HISTORY,2022-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,966,0,0,0
BICO-USDT,EXACT_FULL_HISTORY,2022-03-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1013,0,0,0
BIGTIME-USDT,EXACT_FULL_HISTORY,2023-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,447,0,0,0
BLUR-USDT,EXACT_FULL_HISTORY,2023-02-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,687,0,0,0
BLUR2L-USDT,EXACT_FULL_HISTORY,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,181,0,0,0
BLUR2S-USDT,EXACT_FULL_HISTORY,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,181,0,0,0
BLZ-USDT,EXACT_FULL_HISTORY,2023-03-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,672,0,0,0
BNB-USDT,EXACT_FULL_HISTORY,2019-06-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023,0,0,0
BNC-USDT,EXACT_FULL_HISTORY,2022-03-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1007,0,0,0
BOBA-USDT,EXACT_FULL_HISTORY,2022-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,967,0,0,0
BONK-USDT,EXACT_FULL_HISTORY,2023-11-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,400,0,0,0
BOSON-USDT,EXACT_FULL_HISTORY,2021-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1363,0,0,0
BRISE-USDT,EXACT_FULL_HISTORY,2022-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,978,0,0,0
BTC-USDT,EXACT_FULL_HISTORY,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2624,7,2,0
BTT-USDT,EXACT_FULL_HISTORY,2019-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1975,0,0,0
C98-USDT,EXACT_FULL_HISTORY,2021-09-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1189,0,0,0
CAKE-USDT,EXACT_FULL_HISTORY,2021-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1411,0,0,0
CCD-USDT,EXACT_FULL_HISTORY,2022-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,950,0,0,0
CELO-USDT,EXACT_FULL_HISTORY,2021-05-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1330,0,0,0
CELR-USDT,EXACT_FULL_HISTORY,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,982,0,0,0
CERE-USDT,EXACT_FULL_HISTORY,2021-11-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1150,0,0,0
CETUS-USDT,EXACT_FULL_HISTORY,2023-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,602,0,0,0
CFG-USDT,EXACT_FULL_HISTORY,2021-07-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1267,0,0,0
CFX-USDT,EXACT_FULL_HISTORY,2022-04-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1006,0,0,0
CFX2L-USDT,EXACT_FULL_HISTORY,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,644,0,0,0
CFX2S-USDT,EXACT_FULL_HISTORY,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,644,0,0,0
CGPT-USDT,EXACT_FULL_HISTORY,2023-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,632,0,0,0
CHR-USDT,EXACT_FULL_HISTORY,2019-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2045,0,0,0
CHZ-USDT,EXACT_FULL_HISTORY,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1387,0,0,0
CKB-USDT,EXACT_FULL_HISTORY,2020-09-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1580,0,0,0
COMP-USDT,EXACT_FULL_HISTORY,2020-06-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1650,0,0,0
COQ-USDT,EXACT_FULL_HISTORY,2023-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,380,0,0,0
COTI-USDT,EXACT_FULL_HISTORY,2019-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2038,0,0,0
CPOOL-USDT,EXACT_FULL_HISTORY,2021-10-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1161,0,0,0
CREDI-USDT,EXACT_FULL_HISTORY,2021-12-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1119,0,0,0
CRO-USDT,EXACT_FULL_HISTORY,2020-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1644,0,0,0
CRV-USDT,EXACT_FULL_HISTORY,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1441,0,0,0
CSPR-USDT,EXACT_FULL_HISTORY,2022-06-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,917,0,0,0
CTC-USDT,EXACT_FULL_HISTORY,2022-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1084,0,0,0
CTSI-USDT,EXACT_FULL_HISTORY,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1196,0,0,0
CVX-USDT,EXACT_FULL_HISTORY,2022-02-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1064,0,0,0
CWEB-USDT,EXACT_FULL_HISTORY,2021-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1098,0,0,0
CYBER-USDT,EXACT_FULL_HISTORY,2023-11-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,427,0,0,0
DAG-USDT,EXACT_FULL_HISTORY,2019-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1871,0,0,0
DAO-USDT,EXACT_FULL_HISTORY,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1422,0,0,0
DASH-USDT,EXACT_FULL_HISTORY,2018-09-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1775,534,531,0
DCK-USDT,EXACT_FULL_HISTORY,2023-07-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,531,0,0,0
DCR-USDT,EXACT_FULL_HISTORY,2023-11-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,406,0,0,0
DENT-USDT,EXACT_FULL_HISTORY,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,404,0,0,0
DEXE-USDT,EXACT_FULL_HISTORY,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1192,0,0,0
DGB-USDT,EXACT_FULL_HISTORY,2020-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1694,0,0,0
DIA-USDT,EXACT_FULL_HISTORY,2020-08-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1597,0,0,0
DMTR-USDT,EXACT_FULL_HISTORY,2021-09-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1197,0,0,0
DODO-USDT,EXACT_FULL_HISTORY,2021-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1366,0,0,0
DOGE-USDT,EXACT_FULL_HISTORY,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1422,0,0,0
DOT-USDT,EXACT_FULL_HISTORY,2020-08-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1594,0,0,0
DUSK-USDT,EXACT_FULL_HISTORY,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,964,0,0,0
DYDX-USDT,EXACT_FULL_HISTORY,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1210,0,0,0
EDU-USDT,EXACT_FULL_HISTORY,2023-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,581,0,0,0
EGLD-USDT,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,0,0,0
ELON-USDT,EXACT_FULL_HISTORY,2021-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1314,0,0,0
ENJ-USDT,EXACT_FULL_HISTORY,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1386,0,0,0
ENS-USDT,EXACT_FULL_HISTORY,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1148,0,0,0
ERG-USDT,EXACT_FULL_HISTORY,2021-08-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1245,0,0,0
ETC-USDT,EXACT_FULL_HISTORY,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2255,274,150,0
ETH-USDT,EXACT_FULL_HISTORY,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2615,16,6,0
ETHW-USDT,EXACT_FULL_HISTORY,2022-09-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,828,0,0,0
ETN-USDT,EXACT_FULL_HISTORY,2019-07-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2002,0,0,0
EUL-USDT,EXACT_FULL_HISTORY,2022-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,798,0,0,0
EWT-USDT,EXACT_FULL_HISTORY,2020-08-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1589,0,0,0
FET-USDT,EXACT_FULL_HISTORY,2023-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,681,0,0,0
FIDA-USDT,EXACT_FULL_HISTORY,2022-07-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,894,0,0,0
FIL-USDT,EXACT_FULL_HISTORY,2020-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1539,0,0,0
FITFI-USDT,EXACT_FULL_HISTORY,2022-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,971,0,0,0
FLIP-USDT,EXACT_FULL_HISTORY,2023-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,405,0,0,0
FLOKI-USDT,EXACT_FULL_HISTORY,2023-02-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,684,0,0,0
FLOW-USDT,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,0,0,0
FLR-USDT,EXACT_FULL_HISTORY,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,722,0,0,0
FLUX-USDT,EXACT_FULL_HISTORY,2021-04-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1370,0,0,0
FORT-USDT,EXACT_FULL_HISTORY,2022-06-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,922,0,0,0
FORTH-USDT,EXACT_FULL_HISTORY,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1350,0,0,0
FTT-USDT,EXACT_FULL_HISTORY,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,0,0,0
GAFI-USDT,EXACT_FULL_HISTORY,2021-12-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1113,0,0,0
GALAX-USDT,EXACT_FULL_HISTORY,2021-08-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1237,0,0,0
GAS-USDT,EXACT_FULL_HISTORY,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1398,0,0,0
GHX-USDT,EXACT_FULL_HISTORY,2021-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1343,0,0,0
GLM-USDT,EXACT_FULL_HISTORY,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1140,0,0,0
GLMR-USDT,EXACT_FULL_HISTORY,2022-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1086,0,0,0
GLQ-USDT,EXACT_FULL_HISTORY,2021-05-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1324,0,0,0
GMEE-USDT,EXACT_FULL_HISTORY,2021-06-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1302,0,0,0
GMT-USDT,EXACT_FULL_HISTORY,2022-03-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1020,0,0,0
GMX-USDT,EXACT_FULL_HISTORY,2022-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,810,0,0,0
GODS-USDT,EXACT_FULL_HISTORY,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1129,0,0,0
GRAM-USDT,EXACT_FULL_HISTORY,2022-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,797,0,0,0
GRT-USDT,EXACT_FULL_HISTORY,2020-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1475,0,0,0
GRT2L-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,0,0,0
GRT2S-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,0,0,0
GTC-USDT,EXACT_FULL_HISTORY,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1210,0,0,0
HAI-USDT,EXACT_FULL_HISTORY,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1350,0,0,0
HBAR-USDT,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,0,0,0
HEART-USDT,EXACT_FULL_HISTORY,2021-12-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1115,0,0,0
HFT-USDT,EXACT_FULL_HISTORY,2022-11-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,786,0,0,0
HIGH-USDT,EXACT_FULL_HISTORY,2023-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,693,0,0,0
HMND-USDT,EXACT_FULL_HISTORY,2023-03-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,643,0,0,0
HNT-USDT,EXACT_FULL_HISTORY,2022-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1092,0,0,0
HTR-USDT,EXACT_FULL_HISTORY,2021-01-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1458,0,0,0
HYDRA-USDT,EXACT_FULL_HISTORY,2021-01-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1448,0,0,0
ICP-USDT,EXACT_FULL_HISTORY,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1331,0,0,0
ICX-USDT,EXACT_FULL_HISTORY,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,0
ID-USDT,EXACT_FULL_HISTORY,2023-03-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,651,0,0,0
ILV-USDT,EXACT_FULL_HISTORY,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,0,0,0
IMX-USDT,EXACT_FULL_HISTORY,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1129,0,0,0
INJ-USDT,EXACT_FULL_HISTORY,2021-10-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1169,0,0,0
INSP-USDT,EXACT_FULL_HISTORY,2023-12-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,392,0,0,0
IOST-USDT,EXACT_FULL_HISTORY,2021-03-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1379,0,0,0
IOTA-USDT,EXACT_FULL_HISTORY,2021-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1097,0,0,0
ISLM-USDT,EXACT_FULL_HISTORY,2023-10-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,449,0,0,0
ISP-USDT,EXACT_FULL_HISTORY,2021-11-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1153,0,0,0
JASMY-USDT,EXACT_FULL_HISTORY,2021-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1162,0,0,0
JST-USDT,EXACT_FULL_HISTORY,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1609,0,0,0
JTO-USDT,EXACT_FULL_HISTORY,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,391,0,0,0
KACE-USDT,EXACT_FULL_HISTORY,2024-01-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,355,0,0,0
KAS-USDT,EXACT_FULL_HISTORY,2023-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,606,0,0,0
KAVA-USDT,EXACT_FULL_HISTORY,2021-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1134,0,0,0
KCS-USDT,EXACT_FULL_HISTORY,2017-10-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2549,78,9,0
KLV-USDT,EXACT_FULL_HISTORY,2021-02-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1426,0,0,0
KNC-USDT,EXACT_FULL_HISTORY,2022-04-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,981,0,0,0
KPOL-USDT,EXACT_FULL_HISTORY,2020-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1727,0,0,0
KRL-USDT,EXACT_FULL_HISTORY,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1387,0,0,0
KSM-USDT,EXACT_FULL_HISTORY,2020-02-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1785,0,0,0
LADYS-USDT,EXACT_FULL_HISTORY,2023-05-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,590,0,0,0
LDO-USDT,EXACT_FULL_HISTORY,2022-07-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,908,0,0,0
LIKE-USDT,EXACT_FULL_HISTORY,2021-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1135,0,0,0
LINK-USDT,EXACT_FULL_HISTORY,2020-08-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1595,0,0,0
LMWR-USDT,EXACT_FULL_HISTORY,2023-05-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,596,0,0,0
LOCUS-USDT,EXACT_FULL_HISTORY,2023-04-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,621,0,0,0
LPT-USDT,EXACT_FULL_HISTORY,2021-06-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1281,0,0,0
LQTY-USDT,EXACT_FULL_HISTORY,2023-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,657,0,0,0
LRC-USDT,EXACT_FULL_HISTORY,2021-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1428,0,0,0
LSK-USDT,EXACT_FULL_HISTORY,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,404,0,0,0
LTC-USDT,EXACT_FULL_HISTORY,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2452,77,17,0
LUNA-USDT,EXACT_FULL_HISTORY,2022-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,949,0,0,0
LUNC-USDT,EXACT_FULL_HISTORY,2022-05-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,951,0,0,0
LYX-USDT,EXACT_FULL_HISTORY,2023-07-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,527,0,0,0
MAGIC-USDT,EXACT_FULL_HISTORY,2023-01-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,715,0,0,0
MAN-USDT,EXACT_FULL_HISTORY,2021-04-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,1365,0,0,0
MANA-USDT,EXACT_FULL_HISTORY,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1386,0,0,0
MANTA-USDT,EXACT_FULL_HISTORY,2024-01-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,349,0,0,0
MAPO-USDT,EXACT_FULL_HISTORY,2024-04-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,248,0,0,0
MARS4-USDT,EXACT_FULL_HISTORY,2022-02-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1038,0,0,0
MASK-USDT,EXACT_FULL_HISTORY,2021-02-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1407,0,0,0
MAV-USDT,EXACT_FULL_HISTORY,2023-06-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,553,0,0,0
MBL-USDT,EXACT_FULL_HISTORY,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,964,0,0,0
MEME-USDT,EXACT_FULL_HISTORY,2023-11-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,425,0,0,0
METIS-USDT,EXACT_FULL_HISTORY,2022-03-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1035,0,0,0
MINA-USDT,EXACT_FULL_HISTORY,2023-03-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,665,0,0,0
MLK-USDT,EXACT_FULL_HISTORY,2020-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1609,0,0,0
MNT-USDT,EXACT_FULL_HISTORY,2023-11-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,398,0,0,0
MONPRO-USDT,EXACT_FULL_HISTORY,2024-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,219,0,0,0
MOVR-USDT,EXACT_FULL_HISTORY,2021-08-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1223,0,0,0
MTL-USDT,EXACT_FULL_HISTORY,2021-08-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1238,0,0,0
