pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
ALTOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALU-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AMB-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
AMIO-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
AMP-USDT,,EXACT_FULL_HISTORY,2022-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AMPL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AMU-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ANALOS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ANC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AND-USDT,,NOT_CONFIRMED,,,announcement_listing
ANG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANIME-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANKR-USDT,,EXACT_FULL_HISTORY,2021-03-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
ANLOG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANOME-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANSEM-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ANTFUN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANTOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ANYONE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AOA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AOG-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AOS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
APE-USDT,,EXACT_FULL_HISTORY,2022-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
APE3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
APE3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
APH-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
API3-USDT,,EXACT_FULL_HISTORY,2020-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
APL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
APP-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
APR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
APT-USDT,,EXACT_FULL_HISTORY,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
APT2L-USDT,,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,current_currency_non_causal_seed
APT2S-USDT,,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,current_currency_non_causal_seed
AR-USDT,,EXACT_FULL_HISTORY,2021-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ARB-USDT,,EXACT_FULL_HISTORY,2023-03-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
ARB3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARB3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARC-USDT,,NOT_CONFIRMED,,,announcement_listing
ARCA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ARCOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARCSOL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARE-USDT,,NOT_CONFIRMED,,,announcement_listing
