direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.046668660588785854
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.013252116928092994
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,INTERCEPT,-0.00044275637756657326
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.017448128375604135
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.01311092568747396
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,INTERCEPT,0.02812587172039851
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.02958592947842187
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.028711445651489146
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,INTERCEPT,-0.03841950195660475
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.07430351213039732
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.0530642977193838
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,INTERCEPT,0.1034809603593595
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.08509741661206066
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.054189480515992317
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,INTERCEPT,0.030761791038547374
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.010928666527543441
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.01009152624235914
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,INTERCEPT,-0.015277430502347353
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.07200691659728004
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.008763773462524023
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,INTERCEPT,0.010532368220566083
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.03589452300719635
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.03403111011999289
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,INTERCEPT,0.01880502154706851
