universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,18,47,6,9,True,True,False,False,False,0.003937468272278425,0.47101449275362317,40,0.008718227802437964,0.475
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,21,57,7,9,True,True,False,True,False,-0.00788155220219253,0.5036945812807881,55,0.00652008277397009,0.4909090909090909
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,17,50,6,9,True,True,False,False,True,-0.07023444161459709,0.4659090909090909,50,-0.0003212143533301686,0.56
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,21,59,7,9,True,True,False,False,False,-0.041585038164522824,0.4885057471264368,57,0.008115270994949865,0.47368421052631576
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,21,58,7,9,True,True,False,True,False,0.0237959709969839,0.5208333333333334,56,0.00549682131281714,0.5
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,21,57,7,9,True,True,True,True,False,0.05820552782934975,0.5413580246913581,55,0.011073339476496922,0.45454545454545453
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,21,55,7,9,True,True,False,True,False,-0.008448113453570688,0.5033333333333333,54,0.009656973940155201,0.4444444444444444
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,17,49,6,9,True,True,True,True,False,0.028033097591038128,0.5008333333333334,49,0.00047183710159036136,0.5102040816326531
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,21,56,7,9,True,True,False,True,False,0.013032105959694963,0.5491698595146871,55,0.006887722515709757,0.4727272727272727
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,19,52,6,9,True,True,False,True,False,0.007519120689653488,0.511094674556213,50,0.006417736893036331,0.48
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,60,6,10,True,True,False,True,False,0.17091145438982208,0.5728587319243604,31,0.00930773452815719,0.5161290322580645
