transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,continuous_point_pass,lopo_run_count,all_lopo_continuous_pass,continuous_gate_pass,joint_cell_qualified
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,0.20736706324001988,0.0014751646085264397,0.007352036109011652,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,FIT_PASS,-0.14697453810799463,-0.01653575765233733,-0.027832735738125815,False,16,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,FIT_PASS,0.045849802371541494,-0.03161713777726516,-0.0130905081414283,True,16,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,0.16493506493506493,-0.02884979596433588,-0.021201721304994127,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,0.12727272727272726,0.0045360848797182315,-0.007947669793942333,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,0.20649350649350648,-0.019174231203594752,0.02578555622194796,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,0.3038961038961039,-0.027668345127009813,0.002705769368142691,True,13,True,True,False
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,-0.2561264822134387,-0.004913692245846645,-0.03894949395302994,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,-0.1440052700922266,-0.008269465467037277,-0.03542306426425496,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,0.04155844155844156,-0.01886236626317812,-0.030281202851501175,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,0.029870129870129873,0.0045360848797182315,-0.007947669793942335,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,0.22467532467532467,-0.019421946423916793,0.026010751876786194,True,13,True,True,False
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,0.38311688311688313,-0.03636689282717122,0.010613540004653064,True,13,True,True,False
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,-0.04953886693017127,-0.009272968099248373,-0.03477975183238482,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,-0.15309617918313567,-0.011740209951554425,-0.03210322171384727,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,0.21688311688311687,-0.059105733333522426,0.006303676303357273,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,0.13116883116883118,0.0045360848797182315,-0.007947669793942333,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,0.17142857142857143,-0.019174231203594752,0.02578555622194796,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,0.32727272727272727,-0.026190672499249147,0.001362430615633001,True,13,True,True,False
