transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,predicted_negative_subset_row_count,predicted_negative_subset_unique_pairs,predicted_negative_subset_signal_days,predicted_negative_subset_support_pass,predicted_negative_subset_actual_mean_rcv,predicted_negative_subset_actual_median_rcv,predicted_negative_subset_actual_negative_fraction,predicted_nonnegative_complement_actual_mean_rcv,negative_subset_point_pass,lopo_run_count,all_lopo_negative_subset_pass,negative_subset_gate_pass,joint_cell_qualified
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,2,2,2,False,-0.0006740794953920999,-0.0006740794953920999,0.5,-0.02331607979854723,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,4,4,4,False,-0.008155059716438425,-0.00244412315556845,0.5,-0.023513133646022703,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,0,0,0,False,,,,-0.024843661618966388,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,4,4,4,False,0.018962943003142354,0.004780331417149598,0.5,-0.006936193585220753,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,1,1,1,False,0.0413314194336367,0.0413314194336367,0.0,0.0025283693485921707,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,3,2,2,False,-0.06987228173675313,-0.0316997858459087,1.0,-0.0020723968339038394,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,2,2,2,False,-0.0006740794953920999,-0.0006740794953920999,0.5,-0.02331607979854723,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,4,4,4,False,-0.008155059716438425,-0.00244412315556845,0.5,-0.023513133646022703,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,0,0,0,False,,,,-0.024843661618966388,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,9,7,5,False,-0.005692084423211765,-0.0128653984055343,0.6666666666666666,0.000763770072726877,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,6,3,4,False,-0.005793820648099984,-0.0004170489931762996,0.5,0.008444115352938663,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,11,7,7,False,-0.024691153223328023,-0.022117940737859,0.8181818181818182,0.002468269723607981,False,13,False,False,False
