canonical_asset_id,historical_symbol,identity_status,identity_version,pair,source
AZERO,AZERO,RESOLVED,rd18-p1r-identity-v1,AZERO-USDT,P0B_confirmed_inventory
BABYDOGE,BABYDOGE,RESOLVED,rd18-p1r-identity-v1,BABYDOGE-USDT,P0B_confirmed_inventory
BAL,BAL,RESOLVED,rd18-p1r-identity-v1,BAL-USDT,P0B_confirmed_inventory
BAND,BAND,RESOLVED,rd18-p1r-identity-v1,BAND-USDT,P0B_confirmed_inventory
BAT,BAT,RESOLVED,rd18-p1r-identity-v1,BAT-USDT,P0B_confirmed_inventory
BAX,BAX,RESOLVED,rd18-p1r-identity-v1,BAX-USDT,P0B_confirmed_inventory
BCH,BCH,RESOLVED,rd18-p1r-identity-v1,BCH-USDT,P0B_confirmed_inventory
BCHSV,BCHSV,RESOLVED,rd18-p1r-identity-v1,BCHSV-USDT,P0B_confirmed_inventory
BDX,BDX,RESOLVED,rd18-p1r-identity-v1,BDX-USDT,P0B_confirmed_inventory
BFC,BFC,RESOLVED,rd18-p1r-identity-v1,BFC-USDT,P0B_confirmed_inventory
BICO,BICO,RESOLVED,rd18-p1r-identity-v1,BICO-USDT,P0B_confirmed_inventory
BIGTIME,BIGTIME,RESOLVED,rd18-p1r-identity-v1,BIGTIME-USDT,P0B_confirmed_inventory
BLUR,BLUR,RESOLVED,rd18-p1r-identity-v1,BLUR-USDT,P0B_confirmed_inventory
BLUR2L,BLUR2L,RESOLVED,rd18-p1r-identity-v1,BLUR2L-USDT,P0B_confirmed_inventory
BLUR2S,BLUR2S,RESOLVED,rd18-p1r-identity-v1,BLUR2S-USDT,P0B_confirmed_inventory
BLZ,BLZ,RESOLVED,rd18-p1r-identity-v1,BLZ-USDT,P0B_confirmed_inventory
BNB,BNB,RESOLVED,rd18-p1r-identity-v1,BNB-USDT,P0B_confirmed_inventory
BNC,BNC,RESOLVED,rd18-p1r-identity-v1,BNC-USDT,P0B_confirmed_inventory
BOBA,BOBA,RESOLVED,rd18-p1r-identity-v1,BOBA-USDT,P0B_confirmed_inventory
BONK,BONK,RESOLVED,rd18-p1r-identity-v1,BONK-USDT,P0B_confirmed_inventory
BOSON,BOSON,RESOLVED,rd18-p1r-identity-v1,BOSON-USDT,P0B_confirmed_inventory
BRISE,BRISE,RESOLVED,rd18-p1r-identity-v1,BRISE-USDT,P0B_confirmed_inventory
BTC,BTC,RESOLVED,rd18-p1r-identity-v1,BTC-USDT,P0B_confirmed_inventory
BTT,BTT,RESOLVED,rd18-p1r-identity-v1,BTT-USDT,P0B_confirmed_inventory
C98,C98,RESOLVED,rd18-p1r-identity-v1,C98-USDT,P0B_confirmed_inventory
CAKE,CAKE,RESOLVED,rd18-p1r-identity-v1,CAKE-USDT,P0B_confirmed_inventory
CCD,CCD,RESOLVED,rd18-p1r-identity-v1,CCD-USDT,P0B_confirmed_inventory
CELO,CELO,RESOLVED,rd18-p1r-identity-v1,CELO-USDT,P0B_confirmed_inventory
CELR,CELR,RESOLVED,rd18-p1r-identity-v1,CELR-USDT,P0B_confirmed_inventory
CERE,CERE,RESOLVED,rd18-p1r-identity-v1,CERE-USDT,P0B_confirmed_inventory
CETUS,CETUS,RESOLVED,rd18-p1r-identity-v1,CETUS-USDT,P0B_confirmed_inventory
CFG,CFG,RESOLVED,rd18-p1r-identity-v1,CFG-USDT,P0B_confirmed_inventory
CFX,CFX,RESOLVED,rd18-p1r-identity-v1,CFX-USDT,P0B_confirmed_inventory
CFX2L,CFX2L,RESOLVED,rd18-p1r-identity-v1,CFX2L-USDT,P0B_confirmed_inventory
CFX2S,CFX2S,RESOLVED,rd18-p1r-identity-v1,CFX2S-USDT,P0B_confirmed_inventory
CGPT,CGPT,RESOLVED,rd18-p1r-identity-v1,CGPT-USDT,P0B_confirmed_inventory
CHR,CHR,RESOLVED,rd18-p1r-identity-v1,CHR-USDT,P0B_confirmed_inventory
CHZ,CHZ,RESOLVED,rd18-p1r-identity-v1,CHZ-USDT,P0B_confirmed_inventory
CKB,CKB,RESOLVED,rd18-p1r-identity-v1,CKB-USDT,P0B_confirmed_inventory
COMP,COMP,RESOLVED,rd18-p1r-identity-v1,COMP-USDT,P0B_confirmed_inventory
COQ,COQ,RESOLVED,rd18-p1r-identity-v1,COQ-USDT,P0B_confirmed_inventory
COTI,COTI,RESOLVED,rd18-p1r-identity-v1,COTI-USDT,P0B_confirmed_inventory
CPOOL,CPOOL,RESOLVED,rd18-p1r-identity-v1,CPOOL-USDT,P0B_confirmed_inventory
CREDI,CREDI,RESOLVED,rd18-p1r-identity-v1,CREDI-USDT,P0B_confirmed_inventory
CRO,CRO,RESOLVED,rd18-p1r-identity-v1,CRO-USDT,P0B_confirmed_inventory
CRV,CRV,RESOLVED,rd18-p1r-identity-v1,CRV-USDT,P0B_confirmed_inventory
CSPR,CSPR,RESOLVED,rd18-p1r-identity-v1,CSPR-USDT,P0B_confirmed_inventory
CTC,CTC,RESOLVED,rd18-p1r-identity-v1,CTC-USDT,P0B_confirmed_inventory
CTSI,CTSI,RESOLVED,rd18-p1r-identity-v1,CTSI-USDT,P0B_confirmed_inventory
CVX,CVX,RESOLVED,rd18-p1r-identity-v1,CVX-USDT,P0B_confirmed_inventory
CWEB,CWEB,RESOLVED,rd18-p1r-identity-v1,CWEB-USDT,P0B_confirmed_inventory
CYBER,CYBER,RESOLVED,rd18-p1r-identity-v1,CYBER-USDT,P0B_confirmed_inventory
DAG,DAG,RESOLVED,rd18-p1r-identity-v1,DAG-USDT,P0B_confirmed_inventory
DAO,DAO,RESOLVED,rd18-p1r-identity-v1,DAO-USDT,P0B_confirmed_inventory
DASH,DASH,RESOLVED,rd18-p1r-identity-v1,DASH-USDT,P0B_confirmed_inventory
DCK,DCK,RESOLVED,rd18-p1r-identity-v1,DCK-USDT,P0B_confirmed_inventory
DCR,DCR,RESOLVED,rd18-p1r-identity-v1,DCR-USDT,P0B_confirmed_inventory
DENT,DENT,RESOLVED,rd18-p1r-identity-v1,DENT-USDT,P0B_confirmed_inventory
DEXE,DEXE,RESOLVED,rd18-p1r-identity-v1,DEXE-USDT,P0B_confirmed_inventory
DGB,DGB,RESOLVED,rd18-p1r-identity-v1,DGB-USDT,P0B_confirmed_inventory
DIA,DIA,RESOLVED,rd18-p1r-identity-v1,DIA-USDT,P0B_confirmed_inventory
DMTR,DMTR,RESOLVED,rd18-p1r-identity-v1,DMTR-USDT,P0B_confirmed_inventory
DODO,DODO,RESOLVED,rd18-p1r-identity-v1,DODO-USDT,P0B_confirmed_inventory
DOGE,DOGE,RESOLVED,rd18-p1r-identity-v1,DOGE-USDT,P0B_confirmed_inventory
DOT,DOT,RESOLVED,rd18-p1r-identity-v1,DOT-USDT,P0B_confirmed_inventory
DUSK,DUSK,RESOLVED,rd18-p1r-identity-v1,DUSK-USDT,P0B_confirmed_inventory
DYDX,DYDX,RESOLVED,rd18-p1r-identity-v1,DYDX-USDT,P0B_confirmed_inventory
EDU,EDU,RESOLVED,rd18-p1r-identity-v1,EDU-USDT,P0B_confirmed_inventory
EGLD,EGLD,RESOLVED,rd18-p1r-identity-v1,EGLD-USDT,P0B_confirmed_inventory
ELON,ELON,RESOLVED,rd18-p1r-identity-v1,ELON-USDT,P0B_confirmed_inventory
ENJ,ENJ,RESOLVED,rd18-p1r-identity-v1,ENJ-USDT,P0B_confirmed_inventory
ENS,ENS,RESOLVED,rd18-p1r-identity-v1,ENS-USDT,P0B_confirmed_inventory
ERG,ERG,RESOLVED,rd18-p1r-identity-v1,ERG-USDT,P0B_confirmed_inventory
ETC,ETC,RESOLVED,rd18-p1r-identity-v1,ETC-USDT,P0B_confirmed_inventory
ETH,ETH,RESOLVED,rd18-p1r-identity-v1,ETH-USDT,P0B_confirmed_inventory
ETHW,ETHW,RESOLVED,rd18-p1r-identity-v1,ETHW-USDT,P0B_confirmed_inventory
ETN,ETN,RESOLVED,rd18-p1r-identity-v1,ETN-USDT,P0B_confirmed_inventory
EUL,EUL,RESOLVED,rd18-p1r-identity-v1,EUL-USDT,P0B_confirmed_inventory
EWT,EWT,RESOLVED,rd18-p1r-identity-v1,EWT-USDT,P0B_confirmed_inventory
FET,FET,RESOLVED,rd18-p1r-identity-v1,FET-USDT,P0B_confirmed_inventory
FIDA,FIDA,RESOLVED,rd18-p1r-identity-v1,FIDA-USDT,P0B_confirmed_inventory
FIL,FIL,RESOLVED,rd18-p1r-identity-v1,FIL-USDT,P0B_confirmed_inventory
FITFI,FITFI,RESOLVED,rd18-p1r-identity-v1,FITFI-USDT,P0B_confirmed_inventory
FLIP,FLIP,RESOLVED,rd18-p1r-identity-v1,FLIP-USDT,P0B_confirmed_inventory
FLOKI,FLOKI,RESOLVED,rd18-p1r-identity-v1,FLOKI-USDT,P0B_confirmed_inventory
FLOW,FLOW,RESOLVED,rd18-p1r-identity-v1,FLOW-USDT,P0B_confirmed_inventory
FLR,FLR,RESOLVED,rd18-p1r-identity-v1,FLR-USDT,P0B_confirmed_inventory
FLUX,FLUX,RESOLVED,rd18-p1r-identity-v1,FLUX-USDT,P0B_confirmed_inventory
FORT,FORT,RESOLVED,rd18-p1r-identity-v1,FORT-USDT,P0B_confirmed_inventory
FORTH,FORTH,RESOLVED,rd18-p1r-identity-v1,FORTH-USDT,P0B_confirmed_inventory
FTT,FTT,RESOLVED,rd18-p1r-identity-v1,FTT-USDT,P0B_confirmed_inventory
GAFI,GAFI,RESOLVED,rd18-p1r-identity-v1,GAFI-USDT,P0B_confirmed_inventory
GALAX,GALAX,RESOLVED,rd18-p1r-identity-v1,GALAX-USDT,P0B_confirmed_inventory
GAS,GAS,RESOLVED,rd18-p1r-identity-v1,GAS-USDT,P0B_confirmed_inventory
GHX,GHX,RESOLVED,rd18-p1r-identity-v1,GHX-USDT,P0B_confirmed_inventory
GLM,GLM,RESOLVED,rd18-p1r-identity-v1,GLM-USDT,P0B_confirmed_inventory
GLMR,GLMR,RESOLVED,rd18-p1r-identity-v1,GLMR-USDT,P0B_confirmed_inventory
GLQ,GLQ,RESOLVED,rd18-p1r-identity-v1,GLQ-USDT,P0B_confirmed_inventory
GMEE,GMEE,RESOLVED,rd18-p1r-identity-v1,GMEE-USDT,P0B_confirmed_inventory
GMT,GMT,RESOLVED,rd18-p1r-identity-v1,GMT-USDT,P0B_confirmed_inventory
GMX,GMX,RESOLVED,rd18-p1r-identity-v1,GMX-USDT,P0B_confirmed_inventory
GODS,GODS,RESOLVED,rd18-p1r-identity-v1,GODS-USDT,P0B_confirmed_inventory
GRAM,GRAM,RESOLVED,rd18-p1r-identity-v1,GRAM-USDT,P0B_confirmed_inventory
GRT,GRT,RESOLVED,rd18-p1r-identity-v1,GRT-USDT,P0B_confirmed_inventory
GRT2L,GRT2L,RESOLVED,rd18-p1r-identity-v1,GRT2L-USDT,P0B_confirmed_inventory
GRT2S,GRT2S,RESOLVED,rd18-p1r-identity-v1,GRT2S-USDT,P0B_confirmed_inventory
GTC,GTC,RESOLVED,rd18-p1r-identity-v1,GTC-USDT,P0B_confirmed_inventory
HAI,HAI,RESOLVED,rd18-p1r-identity-v1,HAI-USDT,P0B_confirmed_inventory
HBAR,HBAR,RESOLVED,rd18-p1r-identity-v1,HBAR-USDT,P0B_confirmed_inventory
HEART,HEART,RESOLVED,rd18-p1r-identity-v1,HEART-USDT,P0B_confirmed_inventory
HFT,HFT,RESOLVED,rd18-p1r-identity-v1,HFT-USDT,P0B_confirmed_inventory
HIGH,HIGH,RESOLVED,rd18-p1r-identity-v1,HIGH-USDT,P0B_confirmed_inventory
HMND,HMND,RESOLVED,rd18-p1r-identity-v1,HMND-USDT,P0B_confirmed_inventory
HNT,HNT,RESOLVED,rd18-p1r-identity-v1,HNT-USDT,P0B_confirmed_inventory
HTR,HTR,RESOLVED,rd18-p1r-identity-v1,HTR-USDT,P0B_confirmed_inventory
HYDRA,HYDRA,RESOLVED,rd18-p1r-identity-v1,HYDRA-USDT,P0B_confirmed_inventory
ICP,ICP,RESOLVED,rd18-p1r-identity-v1,ICP-USDT,P0B_confirmed_inventory
ICX,ICX,RESOLVED,rd18-p1r-identity-v1,ICX-USDT,P0B_confirmed_inventory
ID,ID,RESOLVED,rd18-p1r-identity-v1,ID-USDT,P0B_confirmed_inventory
ILV,ILV,RESOLVED,rd18-p1r-identity-v1,ILV-USDT,P0B_confirmed_inventory
IMX,IMX,RESOLVED,rd18-p1r-identity-v1,IMX-USDT,P0B_confirmed_inventory
INJ,INJ,RESOLVED,rd18-p1r-identity-v1,INJ-USDT,P0B_confirmed_inventory
INSP,INSP,RESOLVED,rd18-p1r-identity-v1,INSP-USDT,P0B_confirmed_inventory
IOST,IOST,RESOLVED,rd18-p1r-identity-v1,IOST-USDT,P0B_confirmed_inventory
IOTA,IOTA,RESOLVED,rd18-p1r-identity-v1,IOTA-USDT,P0B_confirmed_inventory
ISLM,ISLM,RESOLVED,rd18-p1r-identity-v1,ISLM-USDT,P0B_confirmed_inventory
ISP,ISP,RESOLVED,rd18-p1r-identity-v1,ISP-USDT,P0B_confirmed_inventory
JASMY,JASMY,RESOLVED,rd18-p1r-identity-v1,JASMY-USDT,P0B_confirmed_inventory
JST,JST,RESOLVED,rd18-p1r-identity-v1,JST-USDT,P0B_confirmed_inventory
JTO,JTO,RESOLVED,rd18-p1r-identity-v1,JTO-USDT,P0B_confirmed_inventory
KACE,KACE,RESOLVED,rd18-p1r-identity-v1,KACE-USDT,P0B_confirmed_inventory
KAS,KAS,RESOLVED,rd18-p1r-identity-v1,KAS-USDT,P0B_confirmed_inventory
KAVA,KAVA,RESOLVED,rd18-p1r-identity-v1,KAVA-USDT,P0B_confirmed_inventory
KCS,KCS,RESOLVED,rd18-p1r-identity-v1,KCS-USDT,P0B_confirmed_inventory
KLV,KLV,RESOLVED,rd18-p1r-identity-v1,KLV-USDT,P0B_confirmed_inventory
KNC,KNC,RESOLVED,rd18-p1r-identity-v1,KNC-USDT,P0B_confirmed_inventory
KPOL,KPOL,RESOLVED,rd18-p1r-identity-v1,KPOL-USDT,P0B_confirmed_inventory
KRL,KRL,RESOLVED,rd18-p1r-identity-v1,KRL-USDT,P0B_confirmed_inventory
KSM,KSM,RESOLVED,rd18-p1r-identity-v1,KSM-USDT,P0B_confirmed_inventory
LADYS,LADYS,RESOLVED,rd18-p1r-identity-v1,LADYS-USDT,P0B_confirmed_inventory
LDO,LDO,RESOLVED,rd18-p1r-identity-v1,LDO-USDT,P0B_confirmed_inventory
LIKE,LIKE,RESOLVED,rd18-p1r-identity-v1,LIKE-USDT,P0B_confirmed_inventory
LINK,LINK,RESOLVED,rd18-p1r-identity-v1,LINK-USDT,P0B_confirmed_inventory
LMWR,LMWR,RESOLVED,rd18-p1r-identity-v1,LMWR-USDT,P0B_confirmed_inventory
LOCUS,LOCUS,RESOLVED,rd18-p1r-identity-v1,LOCUS-USDT,P0B_confirmed_inventory
LPT,LPT,RESOLVED,rd18-p1r-identity-v1,LPT-USDT,P0B_confirmed_inventory
LQTY,LQTY,RESOLVED,rd18-p1r-identity-v1,LQTY-USDT,P0B_confirmed_inventory
LRC,LRC,RESOLVED,rd18-p1r-identity-v1,LRC-USDT,P0B_confirmed_inventory
LSK,LSK,RESOLVED,rd18-p1r-identity-v1,LSK-USDT,P0B_confirmed_inventory
LTC,LTC,RESOLVED,rd18-p1r-identity-v1,LTC-USDT,P0B_confirmed_inventory
LUNA,LUNA,RESOLVED,rd18-p1r-identity-v1,LUNA-USDT,P0B_confirmed_inventory
LUNC,LUNC,RESOLVED,rd18-p1r-identity-v1,LUNC-USDT,P0B_confirmed_inventory
LYX,LYX,RESOLVED,rd18-p1r-identity-v1,LYX-USDT,P0B_confirmed_inventory
MAGIC,MAGIC,RESOLVED,rd18-p1r-identity-v1,MAGIC-USDT,P0B_confirmed_inventory
MAN,MAN,RESOLVED,rd18-p1r-identity-v1,MAN-USDT,P0B_confirmed_inventory
MANA,MANA,RESOLVED,rd18-p1r-identity-v1,MANA-USDT,P0B_confirmed_inventory
MANTA,MANTA,RESOLVED,rd18-p1r-identity-v1,MANTA-USDT,P0B_confirmed_inventory
MAPO,MAPO,RESOLVED,rd18-p1r-identity-v1,MAPO-USDT,P0B_confirmed_inventory
MARS4,MARS4,RESOLVED,rd18-p1r-identity-v1,MARS4-USDT,P0B_confirmed_inventory
MASK,MASK,RESOLVED,rd18-p1r-identity-v1,MASK-USDT,P0B_confirmed_inventory
MAV,MAV,RESOLVED,rd18-p1r-identity-v1,MAV-USDT,P0B_confirmed_inventory
MBL,MBL,RESOLVED,rd18-p1r-identity-v1,MBL-USDT,P0B_confirmed_inventory
MEME,MEME,RESOLVED,rd18-p1r-identity-v1,MEME-USDT,P0B_confirmed_inventory
METIS,METIS,RESOLVED,rd18-p1r-identity-v1,METIS-USDT,P0B_confirmed_inventory
MINA,MINA,RESOLVED,rd18-p1r-identity-v1,MINA-USDT,P0B_confirmed_inventory
MLK,MLK,RESOLVED,rd18-p1r-identity-v1,MLK-USDT,P0B_confirmed_inventory
MNT,MNT,RESOLVED,rd18-p1r-identity-v1,MNT-USDT,P0B_confirmed_inventory
MONPRO,MONPRO,RESOLVED,rd18-p1r-identity-v1,MONPRO-USDT,P0B_confirmed_inventory
MOVR,MOVR,RESOLVED,rd18-p1r-identity-v1,MOVR-USDT,P0B_confirmed_inventory
MTL,MTL,RESOLVED,rd18-p1r-identity-v1,MTL-USDT,P0B_confirmed_inventory
MTRG,MTRG,RESOLVED,rd18-p1r-identity-v1,MTRG-USDT,P0B_confirmed_inventory
MTV,MTV,RESOLVED,rd18-p1r-identity-v1,MTV-USDT,P0B_confirmed_inventory
MYRIA,MYRIA,RESOLVED,rd18-p1r-identity-v1,MYRIA-USDT,P0B_confirmed_inventory
MYRO,MYRO,RESOLVED,rd18-p1r-identity-v1,MYRO-USDT,P0B_confirmed_inventory
NAKA,NAKA,RESOLVED,rd18-p1r-identity-v1,NAKA-USDT,P0B_confirmed_inventory
NAVI,NAVI,RESOLVED,rd18-p1r-identity-v1,NAVI-USDT,P0B_confirmed_inventory
NEAR,NEAR,RESOLVED,rd18-p1r-identity-v1,NEAR-USDT,P0B_confirmed_inventory
NEO,NEO,RESOLVED,rd18-p1r-identity-v1,NEO-USDT,P0B_confirmed_inventory
NEON,NEON,RESOLVED,rd18-p1r-identity-v1,NEON-USDT,P0B_confirmed_inventory
NFP,NFP,RESOLVED,rd18-p1r-identity-v1,NFP-USDT,P0B_confirmed_inventory
NFT,NFT,RESOLVED,rd18-p1r-identity-v1,NFT-USDT,P0B_confirmed_inventory
NIM,NIM,RESOLVED,rd18-p1r-identity-v1,NIM-USDT,P0B_confirmed_inventory
NKN,NKN,RESOLVED,rd18-p1r-identity-v1,NKN-USDT,P0B_confirmed_inventory
NMR,NMR,RESOLVED,rd18-p1r-identity-v1,NMR-USDT,P0B_confirmed_inventory
NUM,NUM,RESOLVED,rd18-p1r-identity-v1,NUM-USDT,P0B_confirmed_inventory
NXRA,NXRA,RESOLVED,rd18-p1r-identity-v1,NXRA-USDT,P0B_confirmed_inventory
NYM,NYM,RESOLVED,rd18-p1r-identity-v1,NYM-USDT,P0B_confirmed_inventory
OBI,OBI,RESOLVED,rd18-p1r-identity-v1,OBI-USDT,P0B_confirmed_inventory
OGN,OGN,RESOLVED,rd18-p1r-identity-v1,OGN-USDT,P0B_confirmed_inventory
ONDO,ONDO,RESOLVED,rd18-p1r-identity-v1,ONDO-USDT,P0B_confirmed_inventory
ONE,ONE,RESOLVED,rd18-p1r-identity-v1,ONE-USDT,P0B_confirmed_inventory
ONT,ONT,RESOLVED,rd18-p1r-identity-v1,ONT-USDT,P0B_confirmed_inventory
OORT,OORT,RESOLVED,rd18-p1r-identity-v1,OORT-USDT,P0B_confirmed_inventory
OP,OP,RESOLVED,rd18-p1r-identity-v1,OP-USDT,P0B_confirmed_inventory
OP2L,OP2L,RESOLVED,rd18-p1r-identity-v1,OP2L-USDT,P0B_confirmed_inventory
OP2S,OP2S,RESOLVED,rd18-p1r-identity-v1,OP2S-USDT,P0B_confirmed_inventory
ORAI,ORAI,RESOLVED,rd18-p1r-identity-v1,ORAI-USDT,P0B_confirmed_inventory
ORBS,ORBS,RESOLVED,rd18-p1r-identity-v1,ORBS-USDT,P0B_confirmed_inventory
ORCA,ORCA,RESOLVED,rd18-p1r-identity-v1,ORCA-USDT,P0B_confirmed_inventory
ORDI,ORDI,RESOLVED,rd18-p1r-identity-v1,ORDI-USDT,P0B_confirmed_inventory
OSMO,OSMO,RESOLVED,rd18-p1r-identity-v1,OSMO-USDT,P0B_confirmed_inventory
OTK,OTK,RESOLVED,rd18-p1r-identity-v1,OTK-USDT,P0B_confirmed_inventory
OVR,OVR,RESOLVED,rd18-p1r-identity-v1,OVR-USDT,P0B_confirmed_inventory
OXT,OXT,RESOLVED,rd18-p1r-identity-v1,OXT-USDT,P0B_confirmed_inventory
P2P,P2P,RESOLVED,rd18-p1r-identity-v1,P2P-USDT,P0B_confirmed_inventory
PAXG,PAXG,RESOLVED,rd18-p1r-identity-v1,PAXG-USDT,P0B_confirmed_inventory
PENDLE,PENDLE,RESOLVED,rd18-p1r-identity-v1,PENDLE-USDT,P0B_confirmed_inventory
PEOPLE,PEOPLE,RESOLVED,rd18-p1r-identity-v1,PEOPLE-USDT,P0B_confirmed_inventory
PEPE,PEPE,RESOLVED,rd18-p1r-identity-v1,PEPE-USDT,P0B_confirmed_inventory
PHA,PHA,RESOLVED,rd18-p1r-identity-v1,PHA-USDT,P0B_confirmed_inventory
PIX,PIX,RESOLVED,rd18-p1r-identity-v1,PIX-USDT,P0B_confirmed_inventory
POKT,POKT,RESOLVED,rd18-p1r-identity-v1,POKT-USDT,P0B_confirmed_inventory
POL,POL,RESOLVED,rd18-p1r-identity-v1,POL-USDT,P0B_confirmed_inventory
POLS,POLS,RESOLVED,rd18-p1r-identity-v1,POLS-USDT,P0B_confirmed_inventory
POLYX,POLYX,RESOLVED,rd18-p1r-identity-v1,POLYX-USDT,P0B_confirmed_inventory
POND,POND,RESOLVED,rd18-p1r-identity-v1,POND-USDT,P0B_confirmed_inventory
PROM,PROM,RESOLVED,rd18-p1r-identity-v1,PROM-USDT,P0B_confirmed_inventory
PUNDIX,PUNDIX,RESOLVED,rd18-p1r-identity-v1,PUNDIX-USDT,P0B_confirmed_inventory
PUSH,PUSH,RESOLVED,rd18-p1r-identity-v1,PUSH-USDT,P0B_confirmed_inventory
PYR,PYR,RESOLVED,rd18-p1r-identity-v1,PYR-USDT,P0B_confirmed_inventory
PYTH,PYTH,RESOLVED,rd18-p1r-identity-v1,PYTH-USDT,P0B_confirmed_inventory
PZP,PZP,RESOLVED,rd18-p1r-identity-v1,PZP-USDT,P0B_confirmed_inventory
QI,QI,RESOLVED,rd18-p1r-identity-v1,QI-USDT,P0B_confirmed_inventory
QKC,QKC,RESOLVED,rd18-p1r-identity-v1,QKC-USDT,P0B_confirmed_inventory
QNT,QNT,RESOLVED,rd18-p1r-identity-v1,QNT-USDT,P0B_confirmed_inventory
RATS,RATS,RESOLVED,rd18-p1r-identity-v1,RATS-USDT,P0B_confirmed_inventory
RAY,RAY,RESOLVED,rd18-p1r-identity-v1,RAY-USDT,P0B_confirmed_inventory
REEF,REEF,RESOLVED,rd18-p1r-identity-v1,REEF-USDT,P0B_confirmed_inventory
REQ,REQ,RESOLVED,rd18-p1r-identity-v1,REQ-USDT,P0B_confirmed_inventory
REVU,REVU,RESOLVED,rd18-p1r-identity-v1,REVU-USDT,P0B_confirmed_inventory
RLC,RLC,RESOLVED,rd18-p1r-identity-v1,RLC-USDT,P0B_confirmed_inventory
