appears_in_primary_top10,base_asset,exclusion_reason,pair
True,DASH,NONE,DASH-USDT
False,DCK,NONE,DCK-USDT
False,DCR,NONE,DCR-USDT
False,DENT,NONE,DENT-USDT
False,DEXE,NONE,DEXE-USDT
False,DGB,NONE,DGB-USDT
False,DIA,NONE,DIA-USDT
False,DMTR,NONE,DMTR-USDT
False,DODO,NONE,DODO-USDT
True,DOGE,NONE,DOGE-USDT
True,DOT,NONE,DOT-USDT
False,DUSK,NONE,DUSK-USDT
False,DYDX,NONE,DYDX-USDT
False,EDU,NONE,EDU-USDT
False,EGLD,NONE,EGLD-USDT
False,ELON,NONE,ELON-USDT
False,ENJ,NONE,ENJ-USDT
False,ENS,NONE,ENS-USDT
False,ERG,NONE,ERG-USDT
True,ETC,NONE,ETC-USDT
True,ETH,NONE,ETH-USDT
False,ETHW,NONE,ETHW-USDT
False,ETN,NONE,ETN-USDT
False,EUL,NONE,EUL-USDT
False,EWT,NONE,EWT-USDT
True,FET,NONE,FET-USDT
False,FIDA,NONE,FIDA-USDT
True,FIL,NONE,FIL-USDT
False,FITFI,NONE,FITFI-USDT
False,FLIP,NONE,FLIP-USDT
True,FLOKI,NONE,FLOKI-USDT
False,FLOW,NONE,FLOW-USDT
False,FLR,NONE,FLR-USDT
False,FLUX,NONE,FLUX-USDT
False,FORT,NONE,FORT-USDT
False,FORTH,NONE,FORTH-USDT
False,FTT,NONE,FTT-USDT
False,GAFI,NONE,GAFI-USDT
True,GALAX,NONE,GALAX-USDT
False,GAS,NONE,GAS-USDT
False,GHX,NONE,GHX-USDT
False,GLM,NONE,GLM-USDT
False,GLMR,NONE,GLMR-USDT
False,GLQ,NONE,GLQ-USDT
False,GMEE,NONE,GMEE-USDT
True,GMT,NONE,GMT-USDT
False,GMX,NONE,GMX-USDT
False,GODS,NONE,GODS-USDT
True,GRAM,NONE,GRAM-USDT
True,GRT,NONE,GRT-USDT
False,GRT2L,NONE,GRT2L-USDT
False,GRT2S,NONE,GRT2S-USDT
False,GTC,NONE,GTC-USDT
False,HAI,NONE,HAI-USDT
True,HBAR,NONE,HBAR-USDT
False,HEART,NONE,HEART-USDT
False,HFT,NONE,HFT-USDT
False,HIGH,NONE,HIGH-USDT
False,HMND,NONE,HMND-USDT
False,HNT,NONE,HNT-USDT
False,HTR,NONE,HTR-USDT
False,HYDRA,NONE,HYDRA-USDT
True,ICP,NONE,ICP-USDT
False,ICX,NONE,ICX-USDT
False,ID,NONE,ID-USDT
False,ILV,NONE,ILV-USDT
False,IMX,NONE,IMX-USDT
True,INJ,NONE,INJ-USDT
False,INSP,NONE,INSP-USDT
False,IOST,NONE,IOST-USDT
False,IOTA,NONE,IOTA-USDT
False,ISLM,NONE,ISLM-USDT
False,ISP,NONE,ISP-USDT
True,JASMY,NONE,JASMY-USDT
False,JST,NONE,JST-USDT
False,JTO,NONE,JTO-USDT
False,KACE,NONE,KACE-USDT
True,KAS,NONE,KAS-USDT
False,KAVA,NONE,KAVA-USDT
True,KCS,NONE,KCS-USDT
False,KLV,NONE,KLV-USDT
False,KNC,NONE,KNC-USDT
True,KPOL,NONE,KPOL-USDT
False,KRL,NONE,KRL-USDT
False,KSM,NONE,KSM-USDT
False,LADYS,NONE,LADYS-USDT
True,LDO,NONE,LDO-USDT
False,LIKE,NONE,LIKE-USDT
True,LINK,NONE,LINK-USDT
False,LMWR,NONE,LMWR-USDT
False,LOCUS,NONE,LOCUS-USDT
False,LPT,NONE,LPT-USDT
False,LQTY,NONE,LQTY-USDT
False,LRC,NONE,LRC-USDT
False,LSK,NONE,LSK-USDT
True,LTC,NONE,LTC-USDT
True,LUNA,NONE,LUNA-USDT
True,LUNC,NONE,LUNC-USDT
False,LYX,NONE,LYX-USDT
False,MAGIC,NONE,MAGIC-USDT
False,MAN,NONE,MAN-USDT
True,MANA,NONE,MANA-USDT
False,MANTA,NONE,MANTA-USDT
False,MAPO,NONE,MAPO-USDT
False,MARS4,NONE,MARS4-USDT
False,MASK,NONE,MASK-USDT
False,MAV,NONE,MAV-USDT
False,MBL,NONE,MBL-USDT
False,MEME,NONE,MEME-USDT
False,METIS,NONE,METIS-USDT
False,MINA,NONE,MINA-USDT
False,MLK,NONE,MLK-USDT
False,MNT,NONE,MNT-USDT
False,MONPRO,NONE,MONPRO-USDT
False,MOVR,NONE,MOVR-USDT
False,MTL,NONE,MTL-USDT
False,MTRG,NONE,MTRG-USDT
True,MTV,NONE,MTV-USDT
False,MYRIA,NONE,MYRIA-USDT
False,MYRO,NONE,MYRO-USDT
False,NAKA,NONE,NAKA-USDT
False,NAVI,NONE,NAVI-USDT
True,NEAR,NONE,NEAR-USDT
True,NEO,NONE,NEO-USDT
False,NEON,NONE,NEON-USDT
False,NFP,NONE,NFP-USDT
False,NFT,NONE,NFT-USDT
False,NIM,NONE,NIM-USDT
False,NKN,NONE,NKN-USDT
False,NMR,NONE,NMR-USDT
False,NUM,NONE,NUM-USDT
False,NXRA,NONE,NXRA-USDT
False,NYM,NONE,NYM-USDT
False,OBI,NONE,OBI-USDT
False,OGN,NONE,OGN-USDT
True,ONDO,NONE,ONDO-USDT
True,ONE,NONE,ONE-USDT
True,ONT,NONE,ONT-USDT
False,OORT,NONE,OORT-USDT
True,OP,NONE,OP-USDT
False,OP2L,NONE,OP2L-USDT
False,OP2S,NONE,OP2S-USDT
False,ORAI,NONE,ORAI-USDT
False,ORBS,NONE,ORBS-USDT
False,ORCA,NONE,ORCA-USDT
False,ORDI,NONE,ORDI-USDT
False,OSMO,NONE,OSMO-USDT
False,OTK,NONE,OTK-USDT
False,OVR,NONE,OVR-USDT
False,OXT,NONE,OXT-USDT
False,P2P,NONE,P2P-USDT
False,PAXG,NONE,PAXG-USDT
False,PENDLE,NONE,PENDLE-USDT
False,PEOPLE,NONE,PEOPLE-USDT
True,PEPE,NONE,PEPE-USDT
False,PHA,NONE,PHA-USDT
False,PIX,NONE,PIX-USDT
False,POKT,NONE,POKT-USDT
False,POL,NONE,POL-USDT
False,POLS,NONE,POLS-USDT
False,POLYX,NONE,POLYX-USDT
False,POND,NONE,POND-USDT
False,PROM,NONE,PROM-USDT
False,PUNDIX,NONE,PUNDIX-USDT
False,PUSH,NONE,PUSH-USDT
True,PYR,NONE,PYR-USDT
False,PYTH,NONE,PYTH-USDT
False,PZP,NONE,PZP-USDT
False,QI,NONE,QI-USDT
False,QKC,NONE,QKC-USDT
True,QNT,NONE,QNT-USDT
False,RATS,NONE,RATS-USDT
False,RAY,NONE,RAY-USDT
False,REEF,NONE,REEF-USDT
False,REQ,NONE,REQ-USDT
False,REVU,NONE,REVU-USDT
False,RLC,NONE,RLC-USDT
False,ROSE,NONE,ROSE-USDT
False,ROUTE,NONE,ROUTE-USDT
False,RPL,NONE,RPL-USDT
True,RSR,NONE,RSR-USDT
True,RUNE,NONE,RUNE-USDT
False,RVN,NONE,RVN-USDT
True,SAND,NONE,SAND-USDT
False,SAROS,NONE,SAROS-USDT
False,SATS,NONE,SATS-USDT
False,SCRT,NONE,SCRT-USDT
False,SD,NONE,SD-USDT
True,SEI,NONE,SEI-USDT
True,SENSO,NONE,SENSO-USDT
False,SFP,NONE,SFP-USDT
False,SFUND,NONE,SFUND-USDT
True,SHIB,NONE,SHIB-USDT
False,SHR,NONE,SHR-USDT
False,SIN,NONE,SIN-USDT
False,SKEY,NONE,SKEY-USDT
False,SKL,NONE,SKL-USDT
False,SLP,NONE,SLP-USDT
False,SNX,NONE,SNX-USDT
True,SOL,NONE,SOL-USDT
False,SOUL,NONE,SOUL-USDT
False,SPA,NONE,SPA-USDT
False,SSV,NONE,SSV-USDT
False,STG,NONE,STG-USDT
False,STORJ,NONE,STORJ-USDT
False,STRAX,NONE,STRAX-USDT
True,STX,NONE,STX-USDT
True,SUI,NONE,SUI-USDT
False,SUKU,NONE,SUKU-USDT
False,SUN,NONE,SUN-USDT
False,SUPER,NONE,SUPER-USDT
False,SUSHI,NONE,SUSHI-USDT
False,SWEAT,NONE,SWEAT-USDT
False,SWFTC,NONE,SWFTC-USDT
False,SYN,NONE,SYN-USDT
False,SYS,NONE,SYS-USDT
True,TAO,NONE,TAO-USDT
True,TEL,NONE,TEL-USDT
False,TFUEL,NONE,TFUEL-USDT
False,THETA,NONE,THETA-USDT
False,TIA,NONE,TIA-USDT
False,TIME,NONE,TIME-USDT
False,TLM,NONE,TLM-USDT
False,TLOS,NONE,TLOS-USDT
False,TOKEN,NONE,TOKEN-USDT
False,TOWER,NONE,TOWER-USDT
False,TRAC,NONE,TRAC-USDT
False,TRADE,NONE,TRADE-USDT
False,TRB,NONE,TRB-USDT
False,TRVL,NONE,TRVL-USDT
True,TRX,NONE,TRX-USDT
False,TT,NONE,TT-USDT
False,TURBOS,NONE,TURBOS-USDT
False,TWT,NONE,TWT-USDT
False,UMA,NONE,UMA-USDT
False,UNI,NONE,UNI-USDT
False,UOS,NONE,UOS-USDT
False,UQC,NONE,UQC-USDT
False,UTK,NONE,UTK-USDT
False,VAI,NONE,VAI-USDT
False,VANRY,NONE,VANRY-USDT
False,VELO,NONE,VELO-USDT
False,VERSE,NONE,VERSE-USDT
True,VET,NONE,VET-USDT
False,VOLT,NONE,VOLT-USDT
False,VR,NONE,VR-USDT
False,VSYS,NONE,VSYS-USDT
False,WAVES,NONE,WAVES-USDT
False,WAX,NONE,WAX-USDT
False,WAXL,NONE,WAXL-USDT
False,WELL,NONE,WELL-USDT
False,WEMIX,NONE,WEMIX-USDT
True,WIF,NONE,WIF-USDT
False,WILD,NONE,WILD-USDT
False,WIN,NONE,WIN-USDT
False,WLD,NONE,WLD-USDT
False,WOO,NONE,WOO-USDT
False,XAI,NONE,XAI-USDT
False,XAVA,NONE,XAVA-USDT
False,XCH,NONE,XCH-USDT
True,XCN,NONE,XCN-USDT
False,XDB,NONE,XDB-USDT
False,XDC,NONE,XDC-USDT
False,XEC,NONE,XEC-USDT
False,XEM,NONE,XEM-USDT
False,XEN,NONE,XEN-USDT
True,XLM,NONE,XLM-USDT
True,XMR,NONE,XMR-USDT
False,XPR,NONE,XPR-USDT
False,XPRT,NONE,XPRT-USDT
False,XRD,NONE,XRD-USDT
True,XRP,NONE,XRP-USDT
True,XTZ,NONE,XTZ-USDT
False,XYO,NONE,XYO-USDT
False,YFI,NONE,YFI-USDT
False,YGG,NONE,YGG-USDT
False,ZBCN,NONE,ZBCN-USDT
True,ZEC,NONE,ZEC-USDT
False,ZEN,NONE,ZEN-USDT
True,ZIL,NONE,ZIL-USDT
False,ZKJ,NONE,ZKJ-USDT
False,ZPAY,NONE,ZPAY-USDT
False,ZRX,NONE,ZRX-USDT
