policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,suppressed_entries,time_failure_exits,max_hold_exits,governor_transition_count,governor_state_OPEN,governor_state_CAUTION,governor_state_LOCKED,governor_locked_suppressions_MB,governor_locked_suppressions_RS,governor_locked_suppressions_OVERLAP,mb_pending_registered,mb_pending_duplicate_suppressed,mb_pending_cancelled_by_rs_open,mb_confirmation_checks,mb_confirmed,mb_rejected,mb_expired,mb_confirmed_entry_attempts,mb_confirmed_entries,mb_confirmed_entry_failures,delayed_entry_cutoff_rejection,rs_immediate_entry_attempts,rs_immediate_entries,governor_reason_STRESSED_LOCKS_ADMISSIONS,governor_reason_SUPPORTIVE_OPENS_ADMISSIONS,governor_reason_OPEN_MIXED_TO_CAUTION,governor_reason_CAUTION_MIXED_STAYS_CAUTION,governor_reason_LOCKED_MIXED_STAYS_LOCKED,governor_reason_UNAVAILABLE_PERSISTS_GOVERNOR_STATE,admission_SUPPORTIVE_MB_ADMIT,admission_SUPPORTIVE_MB_SUPPRESS,admission_SUPPORTIVE_RS_ADMIT,admission_SUPPORTIVE_RS_SUPPRESS,admission_SUPPORTIVE_OVERLAP_ADMIT,admission_SUPPORTIVE_OVERLAP_SUPPRESS,admission_MIXED_MB_ADMIT,admission_MIXED_MB_SUPPRESS,admission_MIXED_RS_ADMIT,admission_MIXED_RS_SUPPRESS,admission_MIXED_OVERLAP_ADMIT,admission_MIXED_OVERLAP_SUPPRESS,admission_STRESSED_MB_ADMIT,admission_STRESSED_MB_SUPPRESS,admission_STRESSED_RS_ADMIT,admission_STRESSED_RS_SUPPRESS,admission_STRESSED_OVERLAP_ADMIT,admission_STRESSED_OVERLAP_SUPPRESS,admission_UNAVAILABLE_MB_ADMIT,admission_UNAVAILABLE_MB_SUPPRESS,admission_UNAVAILABLE_RS_ADMIT,admission_UNAVAILABLE_RS_SUPPRESS,admission_UNAVAILABLE_OVERLAP_ADMIT,admission_UNAVAILABLE_OVERLAP_SUPPRESS
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,243,22,0,0,5,0,149,742,69,80,112,447,125,731,731,0,0,561,0,0,561,414,147,0,414,149,265,0,0,0,154,447,31,94,577,0,447,0,0,0,0,0,114,588,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,243,22,0,0,5,0,149,742,69,80,112,447,125,731,731,0,0,561,0,0,561,414,147,0,414,149,265,0,0,0,154,447,31,94,577,0,447,0,0,0,0,0,114,588,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,161,1,0,0,4,0,101,816,52,49,128,263,64,752,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,263,31,33,399,0,0,0,263,0,0,0,0,0,0,463,0,0,0,0,0,353,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,161,1,0,0,4,0,101,816,52,49,128,263,64,752,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,263,31,33,399,0,0,0,263,0,0,0,0,0,0,463,0,0,0,0,0,353,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,1.0,2289,0,0,434,37,0,0,5,0,159,1534,76,83,169,674,148,1467,705,711,51,530,0,8,522,384,138,0,384,108,276,0,246,51,509,674,46,102,958,0,428,0,225,0,21,0,77,564,0,421,4,40,0,147,0,351,0,11,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,2.0,2289,0,0,434,37,0,0,5,0,159,1534,76,83,169,674,148,1467,705,711,51,530,0,8,522,384,138,0,384,108,276,0,246,51,509,674,46,102,958,0,428,0,225,0,21,0,77,564,0,421,4,40,0,147,0,351,0,11,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,238,26,0,0,3,0,148,736,67,81,116,449,120,723,723,0,0,556,0,0,556,412,144,0,412,148,264,0,0,0,158,449,32,88,565,0,449,0,0,0,0,0,107,578,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,238,26,0,0,3,0,148,736,67,81,116,449,120,723,723,0,0,556,0,0,556,412,144,0,412,148,264,0,0,0,158,449,32,88,565,0,449,0,0,0,0,0,107,578,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,142,1,0,0,3,0,103,827,56,47,116,246,57,770,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,246,29,28,408,0,0,0,246,0,0,0,0,0,0,465,0,0,0,0,0,362,0,0,0,0,0,0,0,0
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,142,1,0,0,3,0,103,827,56,47,116,246,57,770,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,246,29,28,408,0,0,0,246,0,0,0,0,0,0,465,0,0,0,0,0,362,0,0,0,0,0,0,0,0
