policy_id,portfolio_id,universe_id,cost_multiplier,period_id,trade_count,net_pnl,profit_factor
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,C2,2.0,ROBUSTNESS_2023,75,29141.025498249543,1.9456655459905465
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,1.0,ROBUSTNESS_2023,76,45714.344216164594,2.72813994388322
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,D2,2.0,ROBUSTNESS_2023,76,40915.53874896467,2.4896340396680965
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,1.0,ROBUSTNESS_2023,78,38927.39767326686,2.158713145138224
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,E2,2.0,ROBUSTNESS_2023,78,34231.497326457196,1.9902696808566207
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,C2,1.0,ROBUSTNESS_2022,42,-11562.583161393204,0.6062440197432911
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,C2,1.0,ROBUSTNESS_2023,114,43308.070209164696,1.918762953026971
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,C2,2.0,ROBUSTNESS_2022,42,-13139.429823957918,0.5662407872792392
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,C2,2.0,ROBUSTNESS_2023,114,36309.56543327877,1.7586388922418041
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,D2,1.0,ROBUSTNESS_2022,42,-11562.583161393204,0.6062440197432911
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,D2,1.0,ROBUSTNESS_2023,116,68602.68695211773,2.4958866405213658
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,D2,2.0,ROBUSTNESS_2022,42,-13139.429823957918,0.5662407872792392
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,D2,2.0,ROBUSTNESS_2023,116,60106.964757402784,2.2879398380012295
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,1.0,ROBUSTNESS_2022,42,-11562.583161393204,0.6062440197432911
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,1.0,ROBUSTNESS_2023,117,48837.18223680675,1.9472132442708563
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,2.0,ROBUSTNESS_2022,42,-13139.429823957918,0.5662407872792392
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,UNION_FOCUS,E2,2.0,ROBUSTNESS_2023,117,41438.82667421048,1.7942893090529033
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2022,31,-4875.616913300257,0.7766814754860456
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2023,80,43493.69939554496,2.6773760729289275
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2022,31,-6073.706106247262,0.730871935699281
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2023,80,38567.87277638908,2.4320280143557276
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2022,31,-4875.616913300257,0.7766814754860456
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2023,81,42929.90173695092,2.432343268081185
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2022,31,-6073.706106247262,0.730871935699281
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2023,81,38093.63490201382,2.2343972696674617
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2022,31,-4875.616913300257,0.7766814754860456
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2023,80,46804.20636017306,2.718105919124945
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2022,31,-6073.706106247262,0.730871935699281
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2023,80,41846.4869281143,2.484536325706766
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2023,75,33437.74975832159,2.1218426633456438
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,C2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,C2,2.0,ROBUSTNESS_2023,75,29141.025498249543,1.9456655459905465
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,D2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,D2,1.0,ROBUSTNESS_2023,76,45714.344216164594,2.72813994388322
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,D2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,D2,2.0,ROBUSTNESS_2023,76,40915.53874896467,2.4896340396680965
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,E2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,E2,1.0,ROBUSTNESS_2023,78,38927.39767326686,2.158713145138224
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,E2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,RELATIVE_STRENGTH_ROTATION,E2,2.0,ROBUSTNESS_2023,78,34231.497326457196,1.9902696808566207
