canonical_asset_id,days_since_last_valid_candle,decision_time,eligible,largest_day_share,liquidity_rank,listing_age_days,missing_day_count,reason,reason_code,symbol,top_10,top_30,top_4,top_6,top_8,trailing_28d_mean_quote_volume_usdt,trailing_28d_median_daily_quote_volume_usdt,trailing_28d_sum_quote_volume_usdt,trailing_7d_median_quote_volume_usdt,valid_day_count,zero_volume_day_count
ETH,1,2023-10-23T00:00:00+00:00,True,0.07690658897610393,2,1724,0,ELIGIBLE,ELIGIBLE,ETH-USDT,True,True,True,True,True,15670915.303164605,14672080.297320552,438785628.48860896,23922618.838972162,28,0
SOL,1,2023-10-23T00:00:00+00:00,True,0.10229235935670625,3,536,0,ELIGIBLE,ELIGIBLE,SOL-USDT,True,True,True,True,True,8586279.100651164,7507673.569367418,240415814.81823257,14558475.852151081,28,0
ADA,1,2023-10-23T00:00:00+00:00,True,0.07138481655053303,4,1479,0,ELIGIBLE,ELIGIBLE,ADA-USDT,True,True,True,True,True,1398817.417242302,1385735.474867208,39166887.68278446,1988208.4419445219,28,0
DOT,1,2023-10-23T00:00:00+00:00,True,0.081069624905533,5,932,0,ELIGIBLE,ELIGIBLE,DOT-USDT,True,True,False,True,True,851139.7979801183,754114.08245711,23831914.34344331,1250257.45820875,28,0
LUNA,1,2023-10-23T00:00:00+00:00,True,0.2052506337144974,6,512,0,ELIGIBLE,ELIGIBLE,LUNA-USDT,True,True,False,True,True,1042420.663611779,576740.1231376623,29187778.58112981,1628414.3028505433,28,0
FTT,1,2023-10-23T00:00:00+00:00,True,0.18199990404136257,7,536,0,ELIGIBLE,ELIGIBLE,FTT-USDT,True,True,False,False,True,394955.4416355786,294400.4163568,11058752.3657962,652976.8094566,28,0
KCS,1,2023-10-23T00:00:00+00:00,True,0.0698073634191262,8,1723,0,ELIGIBLE,ELIGIBLE,KCS-USDT,True,True,False,False,True,231253.171707865,220088.7019323,6475088.80782022,331391.079267,28,0
BTC,1,2024-03-11T00:00:00+00:00,True,0.11500168625450946,1,1895,0,ELIGIBLE,ELIGIBLE,BTC-USDT,True,True,True,True,True,414776166.20556414,341028250.52856135,11613732653.755796,789952155.0089536,28,0
ETH,1,2024-03-11T00:00:00+00:00,True,0.10403861483567477,2,1864,0,ELIGIBLE,ELIGIBLE,ETH-USDT,True,True,True,True,True,253596673.78359964,176537794.62233764,7100706865.94079,494662947.40962416,28,0
SOL,1,2024-03-11T00:00:00+00:00,True,0.09783305953655108,3,676,0,ELIGIBLE,ELIGIBLE,SOL-USDT,True,True,True,True,True,80604358.83030479,66624125.71953708,2256922047.248534,136704755.35092032,28,0
ADA,1,2024-03-11T00:00:00+00:00,True,0.14159966670360857,4,1619,0,ELIGIBLE,ELIGIBLE,ADA-USDT,True,True,True,True,True,17071991.750899594,12255844.595793793,478015769.0251886,29455068.471149158,28,0
DOT,1,2024-03-11T00:00:00+00:00,True,0.152637422098263,5,1072,0,ELIGIBLE,ELIGIBLE,DOT-USDT,True,True,False,True,True,8382559.128982117,5369216.839946358,234711655.61149928,15331573.448536377,28,0
LUNA,1,2024-03-11T00:00:00+00:00,True,0.34759580001175866,6,652,0,ELIGIBLE,ELIGIBLE,LUNA-USDT,True,True,False,True,True,5289286.454344673,1655727.7584980205,148100020.72165084,9184898.04792757,28,0
KCS,1,2024-03-11T00:00:00+00:00,True,0.10246754691853413,7,1863,0,ELIGIBLE,ELIGIBLE,KCS-USDT,True,True,False,False,True,1870886.698942196,1357139.7776069362,52384827.57038149,2889102.1564347073,28,0
FTT,1,2024-03-11T00:00:00+00:00,True,0.12801497560976555,8,676,0,ELIGIBLE,ELIGIBLE,FTT-USDT,True,True,False,False,True,2245870.088899332,1268625.17368685,62884362.4891813,5751573.1642946,28,0
