period,start_equity,end_equity,return,trade_count,architecture_id
2020-11,123619.44328278159,124181.91718489275,0.004550043966987438,12,COMPOSITE_ALPHA_V2
2020-12,124181.91718489275,133084.72160538327,0.07169163290686886,17,COMPOSITE_ALPHA_V2
2021-01,133084.72160538327,143919.46447412478,0.08141237204423946,12,COMPOSITE_ALPHA_V2
2021-02,143919.46447412478,151322.0730773941,0.05143577090366569,17,COMPOSITE_ALPHA_V2
2021-03,151322.0730773941,155092.1531223589,0.024914277000663176,13,COMPOSITE_ALPHA_V2
2021-04,155092.1531223589,157627.2503079945,0.016345747573931257,13,COMPOSITE_ALPHA_V2
2021-05,157627.2503079945,159287.73412371014,0.010534243365098117,10,COMPOSITE_ALPHA_V2
2021-06,159287.73412371014,157132.50831701412,-0.01353039402909817,5,COMPOSITE_ALPHA_V2
2021-07,157132.50831701412,158716.1751578151,0.010078543630233083,3,COMPOSITE_ALPHA_V2
2021-08,158716.1751578151,155412.2279122979,-0.020816701525424253,20,COMPOSITE_ALPHA_V2
2021-09,155412.2279122979,154121.74596223762,-0.008303606269569275,11,COMPOSITE_ALPHA_V2
2021-10,154121.74596223762,156238.46526135496,0.01373407292982498,21,COMPOSITE_ALPHA_V2
2021-11,156238.46526135496,159315.5854258164,0.01969502298498682,9,COMPOSITE_ALPHA_V2
2021-12,159315.5854258164,158755.37976815685,-0.003516326768421507,9,COMPOSITE_ALPHA_V2
2022-01,158755.37976815685,156550.51604158236,-0.013888434708760333,3,COMPOSITE_ALPHA_V2
2022-02,156550.51604158236,155520.52465631982,-0.006579290897955059,2,COMPOSITE_ALPHA_V2
2022-03,155520.52465631982,159476.99063206682,0.025440153217655803,7,COMPOSITE_ALPHA_V2
2022-04,159476.99063206682,157575.0823001461,-0.011925910593012401,5,COMPOSITE_ALPHA_V2
2022-05,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-06,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-07,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-08,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-09,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-10,157575.0823001461,157575.0823001461,0.0,0,COMPOSITE_ALPHA_V2
2022-11,157575.0823001461,158034.4744863214,0.0029153859827928397,1,COMPOSITE_ALPHA_V2
2022-12,158034.4744863214,158034.4744863214,0.0,0,COMPOSITE_ALPHA_V2
2023-01,158034.4744863214,156991.88106610955,-0.006597253058870267,4,COMPOSITE_ALPHA_V2
2023-02,156991.88106610955,156720.7491185561,-0.001727044390526622,2,COMPOSITE_ALPHA_V2
2023-03,156720.7491185561,153550.05517399305,-0.020231487932491188,14,COMPOSITE_ALPHA_V2
2023-04,153550.05517399305,155224.74677056778,0.010906486452753716,14,COMPOSITE_ALPHA_V2
2023-05,155224.74677056778,154433.63833039976,-0.00509653555007783,5,COMPOSITE_ALPHA_V2
2023-06,154433.63833039976,157194.1137153448,0.01787483228905873,7,COMPOSITE_ALPHA_V2
2023-07,157194.1137153448,159697.3782767565,0.015924671110425503,10,COMPOSITE_ALPHA_V2
2023-08,159697.3782767565,159054.4890795425,-0.0040256715805307985,2,COMPOSITE_ALPHA_V2
2023-09,159054.4890795425,159132.24127814025,0.000488840013555869,2,COMPOSITE_ALPHA_V2
2023-10,159132.24127814025,179150.41369375525,0.12579583027820318,10,COMPOSITE_ALPHA_V2
2023-11,179150.41369375525,178538.61333902227,-0.0034150094444036494,16,COMPOSITE_ALPHA_V2
2023-12,178538.61333902227,187802.06896736808,0.05188488616048392,24,COMPOSITE_ALPHA_V2
2024-01,187802.06896736808,188459.36183789122,0.003499923478677669,20,COMPOSITE_ALPHA_V2
2024-02,188459.36183789122,206973.59392335016,0.09823991710947477,22,COMPOSITE_ALPHA_V2
2024-03,206973.59392335016,206650.6781602424,-0.0015601785570160676,27,COMPOSITE_ALPHA_V2
2024-04,206650.6781602424,203472.3035850556,-0.0153804217023773,12,COMPOSITE_ALPHA_V2
2024-05,203472.3035850556,207186.56919476888,0.018254403888245285,23,COMPOSITE_ALPHA_V2
2024-06,207186.56919476888,207091.55823095783,-0.0004585768478154728,12,COMPOSITE_ALPHA_V2
2024-07,207091.55823095783,210195.1010827548,0.01498633202776789,12,COMPOSITE_ALPHA_V2
2024-08,210195.1010827548,210195.1010827548,0.0,0,COMPOSITE_ALPHA_V2
2024-09,210195.1010827548,205131.6362448876,-0.024089357039171366,8,COMPOSITE_ALPHA_V2
2024-10,205131.6362448876,206828.62685759983,0.008272690862204835,12,COMPOSITE_ALPHA_V2
2024-11,206828.62685759983,203499.3237096084,-0.016096916556350926,15,COMPOSITE_ALPHA_V2
2024-12,203499.3237096084,191636.5563453498,-0.058293890849419605,23,COMPOSITE_ALPHA_V2
2025-01,191636.5563453498,191636.5563453498,0.0,0,COMPOSITE_ALPHA_V2
