policy_id,portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions,active_escrow_slots
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-03-31 23:00:00+00:00,82456.06030681815,37609.66575233413,44846.394554484024,0.5438823342712598,3,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-01 23:00:00+00:00,82165.58544328238,67229.22727727833,14936.358166004056,0.18178362735958828,1,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-02 23:00:00+00:00,81923.90342814534,67229.22727727833,14694.676150867004,0.17936982414119906,1,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-03 23:00:00+00:00,82028.03150992133,67229.22727727833,14798.804232643,0.18041154907945192,1,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-04 23:00:00+00:00,82524.50371728762,67229.22727727833,15295.276440009287,0.18534224080168762,1,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-05 23:00:00+00:00,82296.2297537633,54348.564478876506,27947.665274886785,0.3395983674891106,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-06 23:00:00+00:00,82044.70019523209,54348.564478876506,27696.135716355588,0.3375737329827565,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-07 23:00:00+00:00,82070.20393768157,54348.564478876506,27721.63945880506,0.33777958538832137,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-08 23:00:00+00:00,82060.61982751497,82060.61982751497,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-09 23:00:00+00:00,82009.16870547582,67271.24461910108,14737.924086374742,0.17971068746354307,1,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-10 23:00:00+00:00,82903.65274989922,31436.36363819587,51467.28911170334,0.6208084614434062,4,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-11 23:00:00+00:00,83131.33930946774,68323.1937231794,14808.145586288341,0.17812952021815745,1,4.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-12 23:00:00+00:00,82937.4000292568,68323.1937231794,14614.206306077398,0.17620767350944358,1,3.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-13 23:00:00+00:00,84024.21325150233,53559.610012773526,30464.603238728803,0.3625693363833324,2,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-14 23:00:00+00:00,84460.68260016797,69334.39336985657,15126.289230311406,0.1790926708693368,1,4.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-15 23:00:00+00:00,84416.40442528893,69334.39336985657,15082.011055432364,0.17866208775547174,1,4.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-16 23:00:00+00:00,84370.65111568858,54108.73208482246,30261.919030866116,0.3586782682211512,2,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-17 23:00:00+00:00,83692.34742473827,61364.788644055305,22327.55878068296,0.266781366131012,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-18 23:00:00+00:00,83759.0913700273,53788.06225045346,29971.029119573832,0.35782419113370173,3,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-19 23:00:00+00:00,80921.69883897493,52810.762654567916,28110.93618440701,0.3473844047731204,3,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-20 23:00:00+00:00,80121.67368376382,80121.67368376382,0.0,0.0,0,2.0
