run_id,universe_id,cost_multiplier,removed_asset,removed_net_pnl,remaining_net_pnl
E2_1x,E2,1.0,ADA-USDT,-1752.4162585102702,-91717.88655431844
E2_1x,E2,1.0,ATOM-USDT,-3125.951086648782,-90344.35172617993
E2_1x,E2,1.0,AVAX-USDT,-993.1439147689041,-92477.1588980598
E2_1x,E2,1.0,BNB-USDT,-133.55468757401516,-93336.7481252547
E2_1x,E2,1.0,BTC-USDT,-5804.250818570738,-87666.05199425797
E2_1x,E2,1.0,DOGE-USDT,-778.7606070575154,-92691.5422057712
E2_1x,E2,1.0,DOT-USDT,-3786.765826121013,-89683.5369867077
E2_1x,E2,1.0,ETH-USDT,-7937.252220310123,-85533.05059251859
E2_1x,E2,1.0,GRAM-USDT,-168.25248897543992,-93302.05032385327
E2_1x,E2,1.0,INJ-USDT,-191.94551457718464,-93278.35729825153
E2_1x,E2,1.0,JASMY-USDT,-319.7774794752777,-93150.52533335343
E2_1x,E2,1.0,KAS-USDT,-69.6098461688141,-93400.6929666599
E2_1x,E2,1.0,KCS-USDT,-35505.63430509375,-57964.66850773496
E2_1x,E2,1.0,LINK-USDT,-7.582163656775604,-93462.72064917194
E2_1x,E2,1.0,LTC-USDT,-17581.338629938953,-75888.96418288976
E2_1x,E2,1.0,LUNC-USDT,-453.07096972620667,-93017.2318431025
E2_1x,E2,1.0,MANA-USDT,-481.540824548458,-92988.76198828025
E2_1x,E2,1.0,NEAR-USDT,183.79584734999983,-93654.09866017872
E2_1x,E2,1.0,NEO-USDT,-354.4446815400859,-93115.85813128862
E2_1x,E2,1.0,OP-USDT,-270.9435253115641,-93199.35928751715
E2_1x,E2,1.0,SAND-USDT,-602.4078550403588,-92867.89495778835
E2_1x,E2,1.0,SHIB-USDT,1268.266568879421,-94738.56938170813
E2_1x,E2,1.0,SOL-USDT,129.54955611579732,-93599.85236894451
E2_1x,E2,1.0,TRX-USDT,-1118.2621852980578,-92352.04062753066
E2_1x,E2,1.0,VET-USDT,-1096.5710775773036,-92373.73173525141
E2_1x,E2,1.0,XMR-USDT,-919.1036288591155,-92551.1991839696
E2_1x,E2,1.0,XRP-USDT,-8440.224648155268,-85030.07816467344
E2_1x,E2,1.0,XTZ-USDT,-3159.109541669938,-90311.19327115877
E2_2x,E2,2.0,ADA-USDT,-1981.7474524639233,-97872.10164894574
E2_2x,E2,2.0,ATOM-USDT,-980.3310327235624,-98873.5180686861
E2_2x,E2,2.0,AVAX-USDT,-214.43798579258367,-99639.41111561708
E2_2x,E2,2.0,BNB-USDT,-21.885591906334447,-99831.96350950333
E2_2x,E2,2.0,BTC-USDT,-12202.698632066642,-87651.15046934302
E2_2x,E2,2.0,DOGE-USDT,-281.8152562212835,-99572.03384518839
E2_2x,E2,2.0,DOT-USDT,-766.3869426765644,-99087.4621587331
E2_2x,E2,2.0,ETH-USDT,-14329.6384416697,-85524.21065973997
E2_2x,E2,2.0,GRAM-USDT,-10.183191576238803,-99843.66590983342
E2_2x,E2,2.0,INJ-USDT,-11.03635313996669,-99842.8127482697
E2_2x,E2,2.0,JASMY-USDT,-37.847217988397716,-99816.00188342127
E2_2x,E2,2.0,KAS-USDT,-2.025803728467215,-99851.8232976812
E2_2x,E2,2.0,KCS-USDT,-35701.03512594908,-64152.81397546059
E2_2x,E2,2.0,LINK-USDT,-1.6858142243347007,-99852.16328718534
E2_2x,E2,2.0,LTC-USDT,-17549.9616803069,-82303.88742110276
