decision_id,control_position_id,universe_id,period_id,pair,signal_time,entry_time,decision_time,landmark_age_hours,completed_information_time,source_hour_open,feature_valid,feature_status,btc_kucoin_log_return,btc_binance_log_return,btc_cross_venue_log_return_gap,eth_kucoin_log_return,eth_binance_log_return,eth_cross_venue_log_return_gap,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_LOG_RETURN_GAP,BTC_ETH_CROSS_VENUE_LOG_RETURN_GAP_DISPERSION,target_evaluable,rcv_return,right_censored
C2:000031|096h,C2:000031,C2,ROBUSTNESS_2022,SOL-USDT,2022-08-08 04:00:00+00:00,2022-08-08 05:00:00+00:00,2022-08-12 05:00:00+00:00,96,2022-08-12 04:00:00+00:00,2022-08-12 04:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-7.496969978143433e-05,-0.003306412841863,-0.0032314431420816,0.0004675781899549,-0.0068776243253898,-0.0073452025153447,-0.0052883228287131,0.0020568796866315,True,0.0703459713456489,False
C2:000032|096h,C2:000032,C2,ROBUSTNESS_2022,BTC-USDT,2022-08-08 07:00:00+00:00,2022-08-08 08:00:00+00:00,2022-08-12 08:00:00+00:00,96,2022-08-12 07:00:00+00:00,2022-08-12 07:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0002672233836362,0.0003243296745626,5.710629092640332e-05,-0.0008822791902736,-0.00176180733946,-0.0008795281491864,-0.00041121092913,0.0004683172200564,True,0.00742280780856,False
C2:000031|120h,C2:000031,C2,ROBUSTNESS_2022,SOL-USDT,2022-08-08 04:00:00+00:00,2022-08-08 05:00:00+00:00,2022-08-13 05:00:00+00:00,120,2022-08-13 04:00:00+00:00,2022-08-13 04:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0045070157237318,-0.0026373109157918,-0.0071443266395237,0.0090401837116332,-0.0021008042422212,-0.0111409879538545,-0.0091426572966891,0.0019983306571654,True,-0.0201172451604739,False
C2:000032|120h,C2:000032,C2,ROBUSTNESS_2022,BTC-USDT,2022-08-08 07:00:00+00:00,2022-08-08 08:00:00+00:00,2022-08-13 08:00:00+00:00,120,2022-08-13 07:00:00+00:00,2022-08-13 07:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0026419024086174,-0.0032309628186291,-0.0005890604100117,0.0055395433057643,-0.0047587241271795,-0.0102982674329439,-0.0054436639214778,0.0048546035114661,True,-0.0209197211785803,False
C2:000033|024h,C2:000033,C2,ROBUSTNESS_2022,ETH-USDT,2022-08-13 00:00:00+00:00,2022-08-13 01:00:00+00:00,2022-08-14 01:00:00+00:00,24,2022-08-14 00:00:00+00:00,2022-08-14 00:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0024248592602426,0.0027495542660458,0.0003246950058031,0.0027763633363392,0.0013703394237731,-0.0014060239125661,-0.0005406644533814,0.0008653594591846,True,-0.0426359910675127,False
C2:000031|144h,C2:000031,C2,ROBUSTNESS_2022,SOL-USDT,2022-08-08 04:00:00+00:00,2022-08-08 05:00:00+00:00,2022-08-14 05:00:00+00:00,144,2022-08-14 04:00:00+00:00,2022-08-14 04:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0011024574524612,-0.0001164073280948,0.0009860501243663,-0.000981425964764,0.003046973989343,0.0040283999541071,0.0025072250392367,0.0015211749148703,True,-0.0060533464524821,False
C2:000034|024h,C2:000034,C2,ROBUSTNESS_2022,ADA-USDT,2022-08-13 06:00:00+00:00,2022-08-13 07:00:00+00:00,2022-08-14 07:00:00+00:00,24,2022-08-14 06:00:00+00:00,2022-08-14 06:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0008910607670458,0.0035765518874533,0.0026854911204074,0.0002760940243181,0.0002609302177012,-1.5163806616885485e-05,0.0013351636568952,0.0013503274635121,True,-0.0612723062253096,False
C2:000032|144h,C2:000032,C2,ROBUSTNESS_2022,BTC-USDT,2022-08-08 07:00:00+00:00,2022-08-08 08:00:00+00:00,2022-08-14 08:00:00+00:00,144,2022-08-14 07:00:00+00:00,2022-08-14 07:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0035887439765145,0.0079350487647544,0.0043463047882399,0.0004566427803087,0.0117760202109021,0.0113193774305934,0.0078328411094167,0.0034865363211767,True,-0.022117940737859,False
C2:000033|048h,C2:000033,C2,ROBUSTNESS_2022,ETH-USDT,2022-08-13 00:00:00+00:00,2022-08-13 01:00:00+00:00,2022-08-15 01:00:00+00:00,48,2022-08-15 00:00:00+00:00,2022-08-15 00:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.002042649234665,0.0039305092134316,0.0018878599787665,0.0016030865428086,0.0113545921071584,0.0097515055643497,0.0058196827715581,0.0039318227927916,True,-0.0186687472872701,False
C2:000034|048h,C2:000034,C2,ROBUSTNESS_2022,ADA-USDT,2022-08-13 06:00:00+00:00,2022-08-13 07:00:00+00:00,2022-08-15 07:00:00+00:00,48,2022-08-15 06:00:00+00:00,2022-08-15 06:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0012763808890643,-0.0278812859720643,-0.026604905083,-0.0065363016394597,-0.0324468792556711,-0.0259105776162113,-0.0262577413496056,0.0003471637333943,True,-0.031117641062773,False
