scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,VOLUME_BREADTH_THRUST,1.0,240,0.15147769357658913,0.001960482794869156,0.19704153476427644,1.142946815896655,-190478.44143770466,91264.94544076586,False
STANDALONE,VOLUME_BREADTH_THRUST,1.5,240,0.021738282542421716,0.00029866790689592193,0.2463551789705426,1.0191662463623314,-194784.82916566008,86562.25615799555,False
STANDALONE,VOLUME_BREADTH_THRUST,2.0,240,-0.1080011284917447,-0.0015857762381447094,0.3053055483845649,0.911185909592936,-199091.21689361543,81452.12894665152,False
STANDALONE,VOLUME_BREADTH_THRUST,3.0,240,-0.3674799505600739,-0.006340198695834354,0.4580561580378558,0.7372723523432576,-207703.9923495261,63252.00494399261,False
OVERLAY,VOLUME_BREADTH_THRUST,1.0,719,0.7710529448079229,0.007968451832664147,0.17314499325771637,1.2709342963736232,-59455.1640311869,95178.94982197955,False
OVERLAY,VOLUME_BREADTH_THRUST,1.5,719,0.45359873958665586,0.005207458585644975,0.22619409598028295,1.1492445374465483,-74078.58620150929,94429.99096855147,False
OVERLAY,VOLUME_BREADTH_THRUST,2.0,719,0.13614453436537377,0.0017739862916674731,0.3117143627506821,1.0419500620004245,-88702.00837183211,93681.03211512335,False
OVERLAY,VOLUME_BREADTH_THRUST,3.0,719,-0.49876387607717143,-0.009544899445330879,0.6547041227778907,0.864748645156289,-121262.28886331015,50123.612392282856,False
STANDALONE,CORRELATION_RELEASE_ROTATION,1.0,1,-0.008269630873003475,-0.00011530276335813827,0.008269630873003475,0.0,61104.59980617368,99173.03691269965,True
STANDALONE,CORRELATION_RELEASE_ROTATION,1.5,1,-0.008654446309505293,-0.0001206912719556863,0.008654446309505293,0.0,61085.17153434859,99134.55536904947,True
STANDALONE,CORRELATION_RELEASE_ROTATION,2.0,1,-0.00903926174600711,-0.0001260818435866451,0.00903926174600711,0.0,61065.7432625235,99096.07382539929,True
STANDALONE,CORRELATION_RELEASE_ROTATION,3.0,1,-0.009808892619010634,-0.00013686918231659018,0.009808892619010634,0.0,61026.88671887333,99019.11073809894,True
OVERLAY,CORRELATION_RELEASE_ROTATION,1.0,567,1.0815586314022658,0.010232043860760598,0.11030602524673228,1.505786335911124,4924.12494235066,95178.94982197955,True
OVERLAY,CORRELATION_RELEASE_ROTATION,1.5,567,0.8381216349896259,0.008488840266805964,0.14672974241046144,1.3666921317010914,3982.972667682734,94429.99096855147,True
OVERLAY,CORRELATION_RELEASE_ROTATION,2.0,567,0.5946846385769569,0.00650129807883304,0.19001447234849034,1.243486912246254,3041.820393014721,93681.03211512335,True
OVERLAY,CORRELATION_RELEASE_ROTATION,3.0,567,0.10781064575165189,0.0014227370728456812,0.30672093333828243,1.0387879152959,-28190.508184892045,92183.11440826714,False
OVERLAY,ALL_RD16Q_MARKET_INTERNAL_DOMAINS_OVERLAY,1.0,891,0.31280322832104956,0.003786425616728817,0.29118391051773607,1.082736722577961,-100873.73350444075,94008.63758931302,False
OVERLAY,ALL_RD16Q_MARKET_INTERNAL_DOMAINS_OVERLAY,1.5,891,-0.08258094978238373,-0.001196130027608766,0.41519434698362734,0.9795119534912304,-120194.05613205794,85946.13906590232,False
OVERLAY,ALL_RD16Q_MARKET_INTERNAL_DOMAINS_OVERLAY,2.0,891,-0.477965127885836,-0.008985566471542916,0.6014948797771149,0.8887507871442781,-139825.35654518293,52203.4872114164,False
OVERLAY,ALL_RD16Q_MARKET_INTERNAL_DOMAINS_OVERLAY,3.0,891,-1.2687334840927162,,1.2420308071465744,0.7392220936693026,-182216.62872128267,-26873.34840927163,False
