transport_direction,evaluation_period,market_context,landmark_age_hours,universe_id,feature_id,tail_unique_control_position_count,tail_unique_pair_count,tail_unique_signal_day_count,tail_support_pass,tail_row_count,tail_mean_rcv,tail_median_rcv,training_feature_q25,lopo_complete,lopo_pair_count,lopo_minimum_tail_mean_rcv,lopo_maximum_tail_mean_rcv,cell_outcome
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,PATH_POSITION,6,6,5,False,6,0.01973685415684102,0.0086266226191022,0.30050038491147074,True,8,-0.0032561617542294407,0.034694440652227404,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,ENTRY_MARGIN,2,2,2,False,2,0.0061474013160769,0.0061474013160769,-0.0216077664655234,True,8,0.0034250470785994,0.0088697555535544,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,RECENT_12H_RETURN,8,5,7,False,8,-0.040398511043312824,-0.0240074908313646,-0.0049729885961296,True,8,-0.05460922958574217,-0.020932295609884983,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,PATH_POSITION,5,3,4,False,5,-0.01888524159220718,-0.0186687472872701,0.3126142595978057,True,8,-0.02305279943302955,-0.015251103325472125,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,ENTRY_MARGIN,2,2,2,False,2,0.0061474013160769,0.0061474013160769,-0.0209721959072587,True,8,-0.013550975228324925,0.0088697555535544,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,RECENT_12H_RETURN,8,5,7,False,8,-0.040398511043312824,-0.0240074908313646,-0.004890226193374975,True,8,-0.05460922958574217,-0.020932295609884983,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,PATH_POSITION,5,3,4,False,5,-0.01888524159220718,-0.0186687472872701,0.31581280056824096,True,8,-0.02305279943302955,-0.015251103325472125,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,ENTRY_MARGIN,2,2,2,False,2,0.0061474013160769,0.0061474013160769,-0.0214621512477138,True,8,0.0034250470785994,0.0088697555535544,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,RECENT_12H_RETURN,8,5,7,False,8,-0.040398511043312824,-0.0240074908313646,-0.0049729885961296,True,8,-0.05460922958574217,-0.020932295609884983,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,PATH_POSITION,5,3,4,False,5,-0.01888524159220718,-0.0186687472872701,0.3168789808917194,True,8,-0.02305279943302955,-0.015251103325472125,INSUFFICIENT_SUPPORT
