removed_asset,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
BNB-USDT,-3525.4678930319283,-63408.937360271615,D2_H24_2x,D2,24,2.0
BTC-USDT,-2189.4171222708665,-64744.988131032675,D2_H24_2x,D2,24,2.0
DOGE-USDT,-4024.000962278709,-62910.40429102483,D2_H24_2x,D2,24,2.0
DOT-USDT,-1911.2626350732874,-65023.14261823025,D2_H24_2x,D2,24,2.0
ETH-USDT,-2324.730683205242,-64609.6745700983,D2_H24_2x,D2,24,2.0
KCS-USDT,-27642.298129751114,-39292.10712355243,D2_H24_2x,D2,24,2.0
LTC-USDT,-9423.871039691561,-57510.53421361198,D2_H24_2x,D2,24,2.0
SAND-USDT,27.32765151222,-66961.73290481577,D2_H24_2x,D2,24,2.0
SHIB-USDT,1228.7996067699546,-68163.2048600735,D2_H24_2x,D2,24,2.0
TRX-USDT,-7126.423204254043,-59807.9820490495,D2_H24_2x,D2,24,2.0
XRP-USDT,65.14235125896266,-66999.54760456251,D2_H24_2x,D2,24,2.0
XTZ-USDT,-345.4480800543641,-66588.95717324917,D2_H24_2x,D2,24,2.0
ADA-USDT,-14615.066058703462,-7737.93818097901,E2_H24_1x,E2,24,1.0
ATOM-USDT,-1223.7783028597391,-21129.22593682273,E2_H24_1x,E2,24,1.0
AVAX-USDT,-1324.1162836625047,-21028.887956019968,E2_H24_1x,E2,24,1.0
BNB-USDT,-865.682596036358,-21487.321643646115,E2_H24_1x,E2,24,1.0
BTC-USDT,14029.2069327269,-36382.21117240937,E2_H24_1x,E2,24,1.0
DOGE-USDT,-5973.827832636365,-16379.176407046107,E2_H24_1x,E2,24,1.0
DOT-USDT,-8482.388606406956,-13870.615633275516,E2_H24_1x,E2,24,1.0
ETH-USDT,10215.543324575287,-32568.54756425776,E2_H24_1x,E2,24,1.0
KCS-USDT,-17850.682118506775,-4502.322121175697,E2_H24_1x,E2,24,1.0
LTC-USDT,-5608.59905417857,-16744.4051855039,E2_H24_1x,E2,24,1.0
MANA-USDT,-1516.0886752712624,-20836.91556441121,E2_H24_1x,E2,24,1.0
NEO-USDT,-767.361733138008,-21585.642506544464,E2_H24_1x,E2,24,1.0
SAND-USDT,1754.1198575046253,-24107.124097187098,E2_H24_1x,E2,24,1.0
SHIB-USDT,3436.18350717358,-25789.187746856052,E2_H24_1x,E2,24,1.0
TRX-USDT,563.7627886035524,-22916.767028286024,E2_H24_1x,E2,24,1.0
VET-USDT,-5248.5384605520485,-17104.465779130423,E2_H24_1x,E2,24,1.0
XRP-USDT,14265.844599181595,-36618.84883886407,E2_H24_1x,E2,24,1.0
XTZ-USDT,-3141.535527495947,-19211.468712186524,E2_H24_1x,E2,24,1.0
ADA-USDT,-10355.956336093897,-60241.18235313164,E2_H24_2x,E2,24,2.0
ATOM-USDT,-718.0924175487421,-69879.0462716768,E2_H24_2x,E2,24,2.0
AVAX-USDT,-554.0412729778982,-70043.09741624765,E2_H24_2x,E2,24,2.0
BNB-USDT,-361.65634131110573,-70235.48234791444,E2_H24_2x,E2,24,2.0
BTC-USDT,-2551.718256097657,-68045.42043312789,E2_H24_2x,E2,24,2.0
DOGE-USDT,-3851.8470394342185,-66745.29164979132,E2_H24_2x,E2,24,2.0
DOT-USDT,-4461.231720031227,-66135.90696919432,E2_H24_2x,E2,24,2.0
ETH-USDT,-3701.573123875081,-66895.56556535047,E2_H24_2x,E2,24,2.0
KCS-USDT,-29298.73916225733,-41298.399526968205,E2_H24_2x,E2,24,2.0
LTC-USDT,-9975.662346897374,-60621.47634232817,E2_H24_2x,E2,24,2.0
MANA-USDT,-646.2367981383617,-69950.90189108718,E2_H24_2x,E2,24,2.0
NEO-USDT,-1130.833047716228,-69466.30564150932,E2_H24_2x,E2,24,2.0
SAND-USDT,547.9358534447158,-71145.07454267025,E2_H24_2x,E2,24,2.0
SHIB-USDT,1081.9293953324757,-71679.06808455802,E2_H24_2x,E2,24,2.0
TRX-USDT,-89.23875687503408,-70507.89993235051,E2_H24_2x,E2,24,2.0
VET-USDT,-2947.8999352138117,-67649.23875401173,E2_H24_2x,E2,24,2.0
XRP-USDT,1052.923199051168,-71650.0618882767,E2_H24_2x,E2,24,2.0
XTZ-USDT,-2635.2005825859223,-67961.93810663962,E2_H24_2x,E2,24,2.0
ADA-USDT,1262.1556484068428,48035.21332526668,C2_H72_1x,C2,72,1.0
ATOM-USDT,-6266.727867873749,55564.096841547274,C2_H72_1x,C2,72,1.0
AVAX-USDT,-774.111404331601,50071.48037800512,C2_H72_1x,C2,72,1.0
BNB-USDT,-1827.6131077025602,51124.98208137609,C2_H72_1x,C2,72,1.0
BTC-USDT,6184.260779723283,43113.10819395024,C2_H72_1x,C2,72,1.0
DOGE-USDT,-8391.29611375143,57688.66508742495,C2_H72_1x,C2,72,1.0
DOT-USDT,-14871.010715175385,64168.37968884891,C2_H72_1x,C2,72,1.0
ETH-USDT,34408.28942930159,14889.079544371933,C2_H72_1x,C2,72,1.0
KCS-USDT,15965.855477510338,33331.513496163185,C2_H72_1x,C2,72,1.0
LTC-USDT,11126.577304553768,38170.79166911976,C2_H72_1x,C2,72,1.0
MANA-USDT,-3503.5196139623536,52800.888587635876,C2_H72_1x,C2,72,1.0
NEO-USDT,-830.1317593586533,50127.500733032175,C2_H72_1x,C2,72,1.0
SAND-USDT,668.5468057715348,48628.82216790199,C2_H72_1x,C2,72,1.0
SHIB-USDT,2114.0654597816692,47183.30351389186,C2_H72_1x,C2,72,1.0
TRX-USDT,1826.1614815763107,47471.207492097215,C2_H72_1x,C2,72,1.0
VET-USDT,-11875.356797838795,61172.72577151232,C2_H72_1x,C2,72,1.0
XRP-USDT,29000.39389264127,20296.975081032255,C2_H72_1x,C2,72,1.0
XTZ-USDT,-4919.169925598566,54216.53889927209,C2_H72_1x,C2,72,1.0
ADA-USDT,-3365.718409634299,-11123.776194116024,C2_H72_2x,C2,72,2.0
ATOM-USDT,-4707.535431773345,-9781.959171976978,C2_H72_2x,C2,72,2.0
AVAX-USDT,-457.05246827784316,-14032.44213547248,C2_H72_2x,C2,72,2.0
BNB-USDT,-1144.6568479843122,-13344.837755766011,C2_H72_2x,C2,72,2.0
BTC-USDT,-6647.582965400063,-7841.911638350261,C2_H72_2x,C2,72,2.0
DOGE-USDT,-4133.580022038032,-10355.914581712292,C2_H72_2x,C2,72,2.0
DOT-USDT,-11100.171791090394,-3389.3228126599297,C2_H72_2x,C2,72,2.0
ETH-USDT,18206.394536558186,-32695.889140308507,C2_H72_2x,C2,72,2.0
KCS-USDT,-1541.1956388559447,-12948.298964894379,C2_H72_2x,C2,72,2.0
LTC-USDT,6122.358716882351,-20611.853320632676,C2_H72_2x,C2,72,2.0
MANA-USDT,-2286.9358458500287,-12202.558757900295,C2_H72_2x,C2,72,2.0
NEO-USDT,-987.5552670405823,-13501.93933670974,C2_H72_2x,C2,72,2.0
SAND-USDT,215.95044084164144,-14705.445044591965,C2_H72_2x,C2,72,2.0
SHIB-USDT,795.0968899473162,-15284.591493697639,C2_H72_2x,C2,72,2.0
TRX-USDT,1254.258148596257,-15743.75275234658,C2_H72_2x,C2,72,2.0
VET-USDT,-8577.4388205237,-5912.055783226624,C2_H72_2x,C2,72,2.0
XRP-USDT,9215.663486582584,-23705.15809033291,C2_H72_2x,C2,72,2.0
XTZ-USDT,-5349.793314690097,-9139.701289060227,C2_H72_2x,C2,72,2.0
ADA-USDT,4021.7669184763754,60948.1573491438,D2_H72_1x,D2,72,1.0
ATOM-USDT,-5887.111785951811,70857.03605357198,D2_H72_1x,D2,72,1.0
AVAX-USDT,-2595.831080350673,67565.75534797084,D2_H72_1x,D2,72,1.0
BNB-USDT,-3945.6307310933676,68915.55499871355,D2_H72_1x,D2,72,1.0
BTC-USDT,1086.7856228587098,63883.138644761464,D2_H72_1x,D2,72,1.0
DOGE-USDT,-2006.7859618336533,66976.71022945383,D2_H72_1x,D2,72,1.0
DOT-USDT,-10968.642622917207,75938.56689053739,D2_H72_1x,D2,72,1.0
ETH-USDT,31560.702542079656,33409.22172554052,D2_H72_1x,D2,72,1.0
KCS-USDT,18769.641962729285,46200.28230489089,D2_H72_1x,D2,72,1.0
LTC-USDT,11015.332862383983,53954.59140523619,D2_H72_1x,D2,72,1.0
SAND-USDT,-201.07834253498868,65171.00261015516,D2_H72_1x,D2,72,1.0
SHIB-USDT,2370.811714749595,62599.11255287058,D2_H72_1x,D2,72,1.0
TRX-USDT,-4484.155797393258,69454.08006501343,D2_H72_1x,D2,72,1.0
XRP-USDT,26637.251656926364,38332.672610693815,D2_H72_1x,D2,72,1.0
XTZ-USDT,-403.13269050883935,65373.05695812902,D2_H72_1x,D2,72,1.0
ADA-USDT,-2036.8236927195771,-4575.655023528587,D2_H72_2x,D2,72,2.0
ATOM-USDT,-4715.415688632022,-1897.0630276161428,D2_H72_2x,D2,72,2.0
AVAX-USDT,-1706.972083357688,-4905.506632890476,D2_H72_2x,D2,72,2.0
BNB-USDT,-5289.007572120275,-1323.4711441278896,D2_H72_2x,D2,72,2.0
BTC-USDT,-9840.149524101182,3227.6708078530173,D2_H72_2x,D2,72,2.0
DOGE-USDT,311.783463101777,-6924.262179349941,D2_H72_2x,D2,72,2.0
DOT-USDT,-7414.583537390178,802.1048211420139,D2_H72_2x,D2,72,2.0
ETH-USDT,16386.099868622783,-22998.57858487095,D2_H72_2x,D2,72,2.0
KCS-USDT,653.1641580672967,-7265.642874315461,D2_H72_2x,D2,72,2.0
LTC-USDT,7073.063075639395,-13685.54179188756,D2_H72_2x,D2,72,2.0
SAND-USDT,-349.2425897931712,-6263.236126454993,D2_H72_2x,D2,72,2.0
SHIB-USDT,887.9364631140104,-7500.415179362175,D2_H72_2x,D2,72,2.0
TRX-USDT,-6148.436307743934,-464.0424085042305,D2_H72_2x,D2,72,2.0
XRP-USDT,6019.410899598992,-12631.889615847156,D2_H72_2x,D2,72,2.0
XTZ-USDT,-443.30564853438483,-6169.173067713779,D2_H72_2x,D2,72,2.0
ADA-USDT,1262.1556484068428,45378.038620502215,E2_H72_1x,E2,72,1.0
ATOM-USDT,-6266.727867873749,52906.92213678281,E2_H72_1x,E2,72,1.0
AVAX-USDT,-2361.172181561054,49001.36645047011,E2_H72_1x,E2,72,1.0
BNB-USDT,-1827.6131077025602,48467.807376611614,E2_H72_1x,E2,72,1.0
BTC-USDT,5876.619258594068,40763.57501031499,E2_H72_1x,E2,72,1.0
DOGE-USDT,-8391.29611375143,55031.490382660486,E2_H72_1x,E2,72,1.0
DOT-USDT,-14871.010715175385,61511.20498408444,E2_H72_1x,E2,72,1.0
ETH-USDT,33610.203288787365,13029.990980121693,E2_H72_1x,E2,72,1.0
KCS-USDT,15965.855477510338,30674.338791398717,E2_H72_1x,E2,72,1.0
LTC-USDT,11126.577304553768,35513.616964355286,E2_H72_1x,E2,72,1.0
MANA-USDT,-3492.1837103739467,50132.377979283,E2_H72_1x,E2,72,1.0
NEO-USDT,-830.1317593586533,47470.32602826771,E2_H72_1x,E2,72,1.0
SAND-USDT,682.9079508135466,45957.28631809551,E2_H72_1x,E2,72,1.0
SHIB-USDT,2110.6439586856,44529.55031022346,E2_H72_1x,E2,72,1.0
TRX-USDT,1826.1614815763107,44814.03278733275,E2_H72_1x,E2,72,1.0
VET-USDT,-11875.356797838795,58515.55106674785,E2_H72_1x,E2,72,1.0
XRP-USDT,29013.732079215355,17626.462189693702,E2_H72_1x,E2,72,1.0
XTZ-USDT,-4919.169925598566,51559.36419450762,E2_H72_1x,E2,72,1.0
ADA-USDT,-3365.718409634299,-12723.556666843619,E2_H72_2x,E2,72,2.0
ATOM-USDT,-4707.535431773345,-11381.739644704572,E2_H72_2x,E2,72,2.0
AVAX-USDT,-1454.745453204956,-14634.529623272962,E2_H72_2x,E2,72,2.0
BNB-USDT,-1144.6568479843122,-14944.618228493606,E2_H72_2x,E2,72,2.0
BTC-USDT,-6823.18538295741,-9266.089693520507,E2_H72_2x,E2,72,2.0
DOGE-USDT,-4133.580022038032,-11955.695054439886,E2_H72_2x,E2,72,2.0
DOT-USDT,-11100.171791090394,-4989.103285387524,E2_H72_2x,E2,72,2.0
ETH-USDT,17685.626297539457,-33774.901374017376,E2_H72_2x,E2,72,2.0
KCS-USDT,-1541.1956388559447,-14548.079437621973,E2_H72_2x,E2,72,2.0
LTC-USDT,6122.358716882351,-22211.63379336027,E2_H72_2x,E2,72,2.0
MANA-USDT,-2209.7048607710803,-13879.570215706837,E2_H72_2x,E2,72,2.0
NEO-USDT,-987.5552670405823,-15101.719809437334,E2_H72_2x,E2,72,2.0
SAND-USDT,225.803316264014,-16315.07839274193,E2_H72_2x,E2,72,2.0
SHIB-USDT,793.6439681982924,-16882.91904467621,E2_H72_2x,E2,72,2.0
TRX-USDT,1254.258148596257,-17343.533225074174,E2_H72_2x,E2,72,2.0
VET-USDT,-8577.4388205237,-7511.836255954218,E2_H72_2x,E2,72,2.0
XRP-USDT,9224.315716605865,-25313.590793083782,E2_H72_2x,E2,72,2.0
XTZ-USDT,-5349.793314690097,-10739.481761787822,E2_H72_2x,E2,72,2.0
ADA-USDT,-12071.663644887927,126250.45525059424,C2_H168_1x,C2,168,1.0
ATOM-USDT,-10576.40649294747,124755.19809865378,C2_H168_1x,C2,168,1.0
AVAX-USDT,-1133.8129505827217,115312.60455628904,C2_H168_1x,C2,168,1.0
BNB-USDT,-2753.0183528604075,116931.80995856672,C2_H168_1x,C2,168,1.0
BTC-USDT,19464.196079009376,94714.59552669694,C2_H168_1x,C2,168,1.0
DOGE-USDT,-8601.300913958814,122780.09251966512,C2_H168_1x,C2,168,1.0
DOT-USDT,-12935.259603771885,127114.0512094782,C2_H168_1x,C2,168,1.0
ETH-USDT,18369.84573403449,95808.94587167182,C2_H168_1x,C2,168,1.0
KCS-USDT,122000.32751883952,-7821.535913133208,C2_H168_1x,C2,168,1.0
LTC-USDT,6964.808140657708,107213.9834650486,C2_H168_1x,C2,168,1.0
MANA-USDT,-1966.0719187588038,116144.86352446512,C2_H168_1x,C2,168,1.0
NEO-USDT,-688.7759241535707,114867.56752985988,C2_H168_1x,C2,168,1.0
SAND-USDT,-2117.8337278392087,116296.62533354553,C2_H168_1x,C2,168,1.0
SHIB-USDT,-10684.02586950919,124862.8174752155,C2_H168_1x,C2,168,1.0
TRX-USDT,-1340.3654631544402,115519.15706886075,C2_H168_1x,C2,168,1.0
VET-USDT,-19390.45176538686,133569.24337109318,C2_H168_1x,C2,168,1.0
XRP-USDT,34805.45237500012,79373.33923070619,C2_H168_1x,C2,168,1.0
XTZ-USDT,-3166.8516140236143,117345.64321972993,C2_H168_1x,C2,168,1.0
ADA-USDT,-15123.294562066314,71068.49087853533,C2_H168_2x,C2,168,2.0
ATOM-USDT,-9220.340675878564,65165.53699234759,C2_H168_2x,C2,168,2.0
AVAX-USDT,-851.3683720338283,56796.564688502855,C2_H168_2x,C2,168,2.0
BNB-USDT,-2186.914697486421,58132.111013955444,C2_H168_2x,C2,168,2.0
BTC-USDT,2117.632224352812,53827.56409211621,C2_H168_2x,C2,168,2.0
DOGE-USDT,-6769.125044261433,62714.32136073046,C2_H168_2x,C2,168,2.0
DOT-USDT,-12547.788224232656,68492.98454070168,C2_H168_2x,C2,168,2.0
ETH-USDT,9632.121613309402,46313.074703159626,C2_H168_2x,C2,168,2.0
KCS-USDT,108752.77308450181,-52807.576768032784,C2_H168_2x,C2,168,2.0
LTC-USDT,2076.430824090012,53868.76549237901,C2_H168_2x,C2,168,2.0
MANA-USDT,-1837.63225285712,57782.82856932614,C2_H168_2x,C2,168,2.0
NEO-USDT,-811.0320345729375,56756.22835104196,C2_H168_2x,C2,168,2.0
SAND-USDT,-1853.5432341638443,57798.73955063287,C2_H168_2x,C2,168,2.0
SHIB-USDT,-8720.38620675933,64665.58252322835,C2_H168_2x,C2,168,2.0
TRX-USDT,-1492.6193490269536,57437.815665495975,C2_H168_2x,C2,168,2.0
VET-USDT,-17141.00556325492,73086.20187972394,C2_H168_2x,C2,168,2.0
XRP-USDT,15160.413834061434,40784.782482407594,C2_H168_2x,C2,168,2.0
XTZ-USDT,-3239.1250472521356,59184.32136372116,C2_H168_2x,C2,168,2.0
ADA-USDT,-10507.616369477253,134226.1455681921,D2_H168_1x,D2,168,1.0
ATOM-USDT,-10042.110524203928,133760.63972291877,D2_H168_1x,D2,168,1.0
AVAX-USDT,-1242.6708066556432,124961.2000053705,D2_H168_1x,D2,168,1.0
BNB-USDT,-16262.784533667185,139981.31373238203,D2_H168_1x,D2,168,1.0
BTC-USDT,17393.222687788984,106325.30651092588,D2_H168_1x,D2,168,1.0
DOGE-USDT,-4979.23794302233,128697.76714173719,D2_H168_1x,D2,168,1.0
DOT-USDT,-5520.386055529078,129238.91525424393,D2_H168_1x,D2,168,1.0
ETH-USDT,16409.5318970889,107308.99730162596,D2_H168_1x,D2,168,1.0
KCS-USDT,125489.03400934768,-1770.5048106328322,D2_H168_1x,D2,168,1.0
LTC-USDT,9260.189248856961,114458.3399498579,D2_H168_1x,D2,168,1.0
SAND-USDT,-2966.719828066038,126685.24902678089,D2_H168_1x,D2,168,1.0
SHIB-USDT,-11156.15333206216,134874.682530777,D2_H168_1x,D2,168,1.0
TRX-USDT,-7235.428824395648,130953.9580231105,D2_H168_1x,D2,168,1.0
XRP-USDT,25076.111075742396,98642.41812297245,D2_H168_1x,D2,168,1.0
XTZ-USDT,3.5484969691800163,123714.98070174568,D2_H168_1x,D2,168,1.0
ADA-USDT,-12869.487010859919,73756.22639212768,D2_H168_2x,D2,168,2.0
ATOM-USDT,-8917.00149198021,69803.74087324797,D2_H168_2x,D2,168,2.0
AVAX-USDT,-1178.3669680415646,62065.10634930932,D2_H168_2x,D2,168,2.0
BNB-USDT,-15731.360769997746,76618.1001512655,D2_H168_2x,D2,168,2.0
BTC-USDT,1653.9782339359772,59232.76114733178,D2_H168_2x,D2,168,2.0
DOGE-USDT,-3514.210170017287,64400.94955128504,D2_H168_2x,D2,168,2.0
DOT-USDT,-5301.577177456333,66188.3165587241,D2_H168_2x,D2,168,2.0
ETH-USDT,7548.120513177544,53338.61886809021,D2_H168_2x,D2,168,2.0
KCS-USDT,111919.79402046543,-51033.054639197675,D2_H168_2x,D2,168,2.0
LTC-USDT,4515.032647461545,56371.70673380621,D2_H168_2x,D2,168,2.0
SAND-USDT,-2482.9776156119524,63369.71699687971,D2_H168_2x,D2,168,2.0
SHIB-USDT,-8989.388218232394,69876.12759950015,D2_H168_2x,D2,168,2.0
TRX-USDT,-8356.976654311276,69243.71603557903,D2_H168_2x,D2,168,2.0
XRP-USDT,2604.513506069523,58282.22587519823,D2_H168_2x,D2,168,2.0
XTZ-USDT,-13.353463333590621,60900.09284460134,D2_H168_2x,D2,168,2.0
ADA-USDT,-12071.663644887927,121417.43576921764,E2_H168_1x,E2,168,1.0
ATOM-USDT,-10576.40649294747,119922.17861727718,E2_H168_1x,E2,168,1.0
AVAX-USDT,-3487.1111740883944,112832.8832984181,E2_H168_1x,E2,168,1.0
BNB-USDT,-2753.0183528604075,112098.79047719012,E2_H168_1x,E2,168,1.0
BTC-USDT,19615.935334006972,89729.83679032273,E2_H168_1x,E2,168,1.0
DOGE-USDT,-8601.300913958814,117947.07303828852,E2_H168_1x,E2,168,1.0
DOT-USDT,-12935.259603771885,122281.0317281016,E2_H168_1x,E2,168,1.0
ETH-USDT,18284.795588527657,91060.97653580205,E2_H168_1x,E2,168,1.0
KCS-USDT,122000.32751883952,-12654.555394509807,E2_H168_1x,E2,168,1.0
LTC-USDT,6964.808140657708,102380.963983672,E2_H168_1x,E2,168,1.0
MANA-USDT,-5197.708973214695,114543.48109754441,E2_H168_1x,E2,168,1.0
NEO-USDT,-688.7759241535707,110034.54804848328,E2_H168_1x,E2,168,1.0
SAND-USDT,-1437.8771621415422,110783.64928647125,E2_H168_1x,E2,168,1.0
SHIB-USDT,-10678.755748112648,120024.52787244236,E2_H168_1x,E2,168,1.0
TRX-USDT,-1340.3654631544402,110686.13758748415,E2_H168_1x,E2,168,1.0
VET-USDT,-19390.45176538686,128736.22388971658,E2_H168_1x,E2,168,1.0
XRP-USDT,34805.45237500012,74540.31974932959,E2_H168_1x,E2,168,1.0
XTZ-USDT,-3166.8516140236143,112512.62373835333,E2_H168_1x,E2,168,1.0
ADA-USDT,-15123.294562066314,67489.95169291268,E2_H168_2x,E2,168,2.0
ATOM-USDT,-9220.340675878564,61586.99780672494,E2_H168_2x,E2,168,2.0
AVAX-USDT,-2730.800784894855,55097.45791574123,E2_H168_2x,E2,168,2.0
BNB-USDT,-2186.914697486421,54553.571828332795,E2_H168_2x,E2,168,2.0
BTC-USDT,2258.8666819374466,50107.79044890893,E2_H168_2x,E2,168,2.0
DOGE-USDT,-6769.125044261433,59135.78217510781,E2_H168_2x,E2,168,2.0
DOT-USDT,-12547.788224232656,64914.445355079035,E2_H168_2x,E2,168,2.0
ETH-USDT,9556.956916054418,42809.700214791956,E2_H168_2x,E2,168,2.0
KCS-USDT,108752.77308450181,-56386.11595365543,E2_H168_2x,E2,168,2.0
LTC-USDT,2076.430824090012,50290.22630675636,E2_H168_2x,E2,168,2.0
MANA-USDT,-4170.988713729092,56537.64584457547,E2_H168_2x,E2,168,2.0
NEO-USDT,-811.0320345729375,53177.68916541931,E2_H168_2x,E2,168,2.0
SAND-USDT,-1290.0907190224154,53656.74784986879,E2_H168_2x,E2,168,2.0
SHIB-USDT,-8715.658794120041,61082.31592496642,E2_H168_2x,E2,168,2.0
TRX-USDT,-1492.6193490269536,53859.276479873326,E2_H168_2x,E2,168,2.0
VET-USDT,-17141.00556325492,69507.6626941013,E2_H168_2x,E2,168,2.0
XRP-USDT,15160.413834061434,37206.243296784945,E2_H168_2x,E2,168,2.0
XTZ-USDT,-3239.1250472521356,55605.78217809851,E2_H168_2x,E2,168,2.0
