pair,canonical_asset_id,identity_status,duplicate_period,temporal_identity_status
AIOZ-USDT,AIOZ,HIGH,False,RESOLVED_OR_EXCLUDED
AIPAD-USDT,AIPAD,HIGH,False,RESOLVED_OR_EXCLUDED
AIPUMP-USDT,AIPUMP,HIGH,False,RESOLVED_OR_EXCLUDED
AITECH-USDT,AITECH,HIGH,False,RESOLVED_OR_EXCLUDED
AIX-USDT,AIX,HIGH,False,RESOLVED_OR_EXCLUDED
AIXBT-USDT,AIXBT,HIGH,False,RESOLVED_OR_EXCLUDED
AKE-USDT,AKE,HIGH,False,RESOLVED_OR_EXCLUDED
AKITA-USDT,AKITA,HIGH,False,RESOLVED_OR_EXCLUDED
AKRO-USDT,AKRO,HIGH,False,RESOLVED_OR_EXCLUDED
AKT-USDT,AKT,HIGH,False,RESOLVED_OR_EXCLUDED
ALBT-USDT,ALBT,HIGH,False,RESOLVED_OR_EXCLUDED
ALEPH-USDT,ALEPH,HIGH,False,RESOLVED_OR_EXCLUDED
ALEX-USDT,ALEX,HIGH,False,RESOLVED_OR_EXCLUDED
ALGO-USDT,ALGO,HIGH,False,RESOLVED_OR_EXCLUDED
ALGODOWN-USDT,ALGODOWN,HIGH,False,RESOLVED_OR_EXCLUDED
ALGOUP-USDT,ALGOUP,HIGH,False,RESOLVED_OR_EXCLUDED
ALICE-USDT,ALICE,HIGH,False,RESOLVED_OR_EXCLUDED
ALKIMI-USDT,ALKIMI,HIGH,False,RESOLVED_OR_EXCLUDED
ALL-USDT,ALL,HIGH,False,RESOLVED_OR_EXCLUDED
ALLO-USDT,ALLO,HIGH,False,RESOLVED_OR_EXCLUDED
ALPA-USDT,ALPA,HIGH,False,RESOLVED_OR_EXCLUDED
ALPACA-USDT,ALPACA,HIGH,False,RESOLVED_OR_EXCLUDED
ALPHA-USDT,ALPHA,HIGH,False,RESOLVED_OR_EXCLUDED
ALPINE-USDT,ALPINE,HIGH,False,RESOLVED_OR_EXCLUDED
ALT-USDT,ALT,HIGH,False,RESOLVED_OR_EXCLUDED
ALTOLD-USDT,ALTOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ALU-USDT,ALU,HIGH,False,RESOLVED_OR_EXCLUDED
AMB-USDT,AMB,HIGH,False,RESOLVED_OR_EXCLUDED
AMIO-USDT,AMIO,HIGH,False,RESOLVED_OR_EXCLUDED
AMP-USDT,AMP,HIGH,False,RESOLVED_OR_EXCLUDED
AMPL-USDT,AMPL,HIGH,False,RESOLVED_OR_EXCLUDED
AMU-USDT,AMU,HIGH,False,RESOLVED_OR_EXCLUDED
ANALOS-USDT,ANALOS,HIGH,False,RESOLVED_OR_EXCLUDED
ANC-USDT,ANC,HIGH,False,RESOLVED_OR_EXCLUDED
AND-USDT,AND,HIGH,False,RESOLVED_OR_EXCLUDED
ANG-USDT,ANG,HIGH,False,RESOLVED_OR_EXCLUDED
ANI-USDT,ANI,HIGH,False,RESOLVED_OR_EXCLUDED
ANIME-USDT,ANIME,HIGH,False,RESOLVED_OR_EXCLUDED
ANKR-USDT,ANKR,HIGH,False,RESOLVED_OR_EXCLUDED
ANLOG-USDT,ANLOG,HIGH,False,RESOLVED_OR_EXCLUDED
ANOME-USDT,ANOME,HIGH,False,RESOLVED_OR_EXCLUDED
ANSEM-USDT,ANSEM,HIGH,False,RESOLVED_OR_EXCLUDED
ANT-USDT,ANT,HIGH,False,RESOLVED_OR_EXCLUDED
ANTFUN-USDT,ANTFUN,HIGH,False,RESOLVED_OR_EXCLUDED
ANTOLD-USDT,ANTOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ANYONE-USDT,ANYONE,HIGH,False,RESOLVED_OR_EXCLUDED
AOA-USDT,AOA,HIGH,False,RESOLVED_OR_EXCLUDED
AOG-USDT,AOG,HIGH,False,RESOLVED_OR_EXCLUDED
AOS-USDT,AOS,HIGH,False,RESOLVED_OR_EXCLUDED
APE-USDT,APE,HIGH,False,RESOLVED_OR_EXCLUDED
APE3L-USDT,APE3L,HIGH,False,RESOLVED_OR_EXCLUDED
APE3S-USDT,APE3S,HIGH,False,RESOLVED_OR_EXCLUDED
APH-USDT,APH,HIGH,False,RESOLVED_OR_EXCLUDED
API3-USDT,API3,HIGH,False,RESOLVED_OR_EXCLUDED
APL-USDT,APL,HIGH,False,RESOLVED_OR_EXCLUDED
APP-USDT,APP,HIGH,False,RESOLVED_OR_EXCLUDED
APR-USDT,APR,HIGH,False,RESOLVED_OR_EXCLUDED
APT-USDT,APT,HIGH,False,RESOLVED_OR_EXCLUDED
APT2L-USDT,APT2L,HIGH,False,RESOLVED_OR_EXCLUDED
APT2S-USDT,APT2S,HIGH,False,RESOLVED_OR_EXCLUDED
AR-USDT,AR,HIGH,False,RESOLVED_OR_EXCLUDED
ARB-USDT,ARB,HIGH,False,RESOLVED_OR_EXCLUDED
ARB3L-USDT,ARB3L,HIGH,False,RESOLVED_OR_EXCLUDED
ARB3S-USDT,ARB3S,HIGH,False,RESOLVED_OR_EXCLUDED
ARC-USDT,ARC,HIGH,False,RESOLVED_OR_EXCLUDED
ARCA-USDT,ARCA,HIGH,False,RESOLVED_OR_EXCLUDED
ARCOLD-USDT,ARCOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ARCSOL-USDT,ARCSOL,HIGH,False,RESOLVED_OR_EXCLUDED
ARE-USDT,ARE,HIGH,False,RESOLVED_OR_EXCLUDED
ARIA-USDT,ARIA,HIGH,False,RESOLVED_OR_EXCLUDED
ARKER-USDT,ARKER,HIGH,False,RESOLVED_OR_EXCLUDED
ARKM-USDT,ARKM,HIGH,False,RESOLVED_OR_EXCLUDED
ARN-USDT,ARN,HIGH,False,RESOLVED_OR_EXCLUDED
ARNM-USDT,ARNM,HIGH,False,RESOLVED_OR_EXCLUDED
ARPA-USDT,ARPA,HIGH,False,RESOLVED_OR_EXCLUDED
ARPADOWN-USDT,ARPADOWN,HIGH,False,RESOLVED_OR_EXCLUDED
ARPAUP-USDT,ARPAUP,HIGH,False,RESOLVED_OR_EXCLUDED
ARRR-USDT,ARRR,HIGH,False,RESOLVED_OR_EXCLUDED
ARS-USDT,ARS,HIGH,False,RESOLVED_OR_EXCLUDED
ART-USDT,ART,HIGH,False,RESOLVED_OR_EXCLUDED
ARTFI-USDT,ARTFI,HIGH,False,RESOLVED_OR_EXCLUDED
ARTY-USDT,ARTY,HIGH,False,RESOLVED_OR_EXCLUDED
ARX-USDT,ARX,HIGH,False,RESOLVED_OR_EXCLUDED
ARXOLD-USDT,ARXOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ARY-USDT,ARY,HIGH,False,RESOLVED_OR_EXCLUDED
ASD-USDT,ASD,HIGH,False,RESOLVED_OR_EXCLUDED
ASI-USDT,ASI,HIGH,False,RESOLVED_OR_EXCLUDED
ASP-USDT,ASP,HIGH,False,RESOLVED_OR_EXCLUDED
ASRR-USDT,ASRR,HIGH,False,RESOLVED_OR_EXCLUDED
ASSET-USDT,ASSET,HIGH,False,RESOLVED_OR_EXCLUDED
ASTER-USDT,ASTER,HIGH,False,RESOLVED_OR_EXCLUDED
ASTR-USDT,ASTR,HIGH,False,RESOLVED_OR_EXCLUDED
ASTRA-USDT,ASTRA,HIGH,False,RESOLVED_OR_EXCLUDED
ASTROBOY-USDT,ASTROBOY,HIGH,False,RESOLVED_OR_EXCLUDED
ATA-USDT,ATA,HIGH,False,RESOLVED_OR_EXCLUDED
ATEM-USDT,ATEM,HIGH,False,RESOLVED_OR_EXCLUDED
ATH-USDT,ATH,HIGH,False,RESOLVED_OR_EXCLUDED
ATOM-USDT,ATOM,HIGH,False,RESOLVED_OR_EXCLUDED
ATOM3L-USDT,ATOM3L,HIGH,False,RESOLVED_OR_EXCLUDED
ATOM3S-USDT,ATOM3S,HIGH,False,RESOLVED_OR_EXCLUDED
ATOR-USDT,ATOR,HIGH,False,RESOLVED_OR_EXCLUDED
ATWO-USDT,ATWO,HIGH,False,RESOLVED_OR_EXCLUDED
AUCTION-USDT,AUCTION,HIGH,False,RESOLVED_OR_EXCLUDED
AUD-USDT,AUD,HIGH,False,RESOLVED_OR_EXCLUDED
AUDIO-USDT,AUDIO,HIGH,False,RESOLVED_OR_EXCLUDED
AURA-USDT,AURA,HIGH,False,RESOLVED_OR_EXCLUDED
AURORA-USDT,AURORA,HIGH,False,RESOLVED_OR_EXCLUDED
AURY-USDT,AURY,HIGH,False,RESOLVED_OR_EXCLUDED
AUSD-USDT,AUSD,HIGH,False,RESOLVED_OR_EXCLUDED
AUTOS-USDT,AUTOS,HIGH,False,RESOLVED_OR_EXCLUDED
AVA-USDT,AVA,HIGH,False,RESOLVED_OR_EXCLUDED
AVAAI-USDT,AVAAI,HIGH,False,RESOLVED_OR_EXCLUDED
AVAIL-USDT,AVAIL,HIGH,False,RESOLVED_OR_EXCLUDED
AVAX-USDT,AVAX,HIGH,False,RESOLVED_OR_EXCLUDED
AVAX3L-USDT,AVAX3L,HIGH,False,RESOLVED_OR_EXCLUDED
AVAX3S-USDT,AVAX3S,HIGH,False,RESOLVED_OR_EXCLUDED
AVNT-USDT,AVNT,HIGH,False,RESOLVED_OR_EXCLUDED
AWE-USDT,AWE,HIGH,False,RESOLVED_OR_EXCLUDED
AWG-USDT,AWG,HIGH,False,RESOLVED_OR_EXCLUDED
AXC-USDT,AXC,HIGH,False,RESOLVED_OR_EXCLUDED
AXE-USDT,AXE,HIGH,False,RESOLVED_OR_EXCLUDED
AXPR-USDT,AXPR,HIGH,False,RESOLVED_OR_EXCLUDED
AXS-USDT,AXS,HIGH,False,RESOLVED_OR_EXCLUDED
AXS3L-USDT,AXS3L,HIGH,False,RESOLVED_OR_EXCLUDED
AXS3S-USDT,AXS3S,HIGH,False,RESOLVED_OR_EXCLUDED
AZERO-USDT,AZERO,HIGH,False,RESOLVED_OR_EXCLUDED
AZN-USDT,AZN,HIGH,False,RESOLVED_OR_EXCLUDED
AZTEC-USDT,AZTEC,HIGH,False,RESOLVED_OR_EXCLUDED
B-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,RESOLVED_OR_EXCLUDED
B2-USDT,B2,HIGH,False,RESOLVED_OR_EXCLUDED
B3-USDT,B3,HIGH,False,RESOLVED_OR_EXCLUDED
BABY-USDT,BABY,HIGH,False,RESOLVED_OR_EXCLUDED
BABYBNB-USDT,BABYBNB,HIGH,False,RESOLVED_OR_EXCLUDED
BABYDOGE-USDT,BABYDOGE,HIGH,False,RESOLVED_OR_EXCLUDED
BABYSHARK-USDT,BABYSHARK,HIGH,False,RESOLVED_OR_EXCLUDED
BABYSHARKO-USDT,BABYSHARKO,HIGH,False,RESOLVED_OR_EXCLUDED
BADGER-USDT,BADGER,HIGH,False,RESOLVED_OR_EXCLUDED
BAKE-USDT,BAKE,HIGH,False,RESOLVED_OR_EXCLUDED
BAKEDOWN-USDT,BAKEDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
BAKEUP-USDT,BAKEUP,HIGH,False,RESOLVED_OR_EXCLUDED
BAL-USDT,BAL,HIGH,False,RESOLVED_OR_EXCLUDED
BAN-USDT,BAN,HIGH,False,RESOLVED_OR_EXCLUDED
BANANA-USDT,BANANA,HIGH,False,RESOLVED_OR_EXCLUDED
BAND-USDT,BAND,HIGH,False,RESOLVED_OR_EXCLUDED
BANK-USDT,BANK,HIGH,False,RESOLVED_OR_EXCLUDED
BARD-USDT,BARD,HIGH,False,RESOLVED_OR_EXCLUDED
BAS-USDT,BAS,HIGH,False,RESOLVED_OR_EXCLUDED
BASED-USDT,BASED,HIGH,False,RESOLVED_OR_EXCLUDED
BASIC-USDT,BASIC,HIGH,False,RESOLVED_OR_EXCLUDED
BAT-USDT,BAT,HIGH,False,RESOLVED_OR_EXCLUDED
BAX-USDT,BAX,HIGH,False,RESOLVED_OR_EXCLUDED
BB-USDT,BB,HIGH,False,RESOLVED_OR_EXCLUDED
BBC-USDT,BBC,HIGH,False,RESOLVED_OR_EXCLUDED
BBD-USDT,BBD,HIGH,False,RESOLVED_OR_EXCLUDED
BBL-USDT,BBL,HIGH,False,RESOLVED_OR_EXCLUDED
BBT-USDT,BBT,HIGH,False,RESOLVED_OR_EXCLUDED
BCD-USDT,BCD,HIGH,False,RESOLVED_OR_EXCLUDED
BCH-USDT,BCH,HIGH,False,RESOLVED_OR_EXCLUDED
BCH3L-USDT,BCH3L,HIGH,False,RESOLVED_OR_EXCLUDED
BCH3S-USDT,BCH3S,HIGH,False,RESOLVED_OR_EXCLUDED
BCHA-USDT,BCHA,HIGH,False,RESOLVED_OR_EXCLUDED
BCHABC-USDT,BCHABC,HIGH,False,RESOLVED_OR_EXCLUDED
BCHSV-USDT,BCHSV,HIGH,False,RESOLVED_OR_EXCLUDED
BCPT-USDT,BCPT,HIGH,False,RESOLVED_OR_EXCLUDED
BCUT-USDT,BCUT,HIGH,False,RESOLVED_OR_EXCLUDED
BDT-USDT,BDT,HIGH,False,RESOLVED_OR_EXCLUDED
BDX-USDT,BDX,HIGH,False,RESOLVED_OR_EXCLUDED
BEAT-USDT,BEAT,HIGH,False,RESOLVED_OR_EXCLUDED
BEATOLD-USDT,BEATOLD,HIGH,False,RESOLVED_OR_EXCLUDED
BEER-USDT,BEER,HIGH,False,RESOLVED_OR_EXCLUDED
BEFI-USDT,BEFI,HIGH,False,RESOLVED_OR_EXCLUDED
BELIEVE-USDT,BELIEVE,HIGH,False,RESOLVED_OR_EXCLUDED
BEPRO-USDT,BEPRO,HIGH,False,RESOLVED_OR_EXCLUDED
BERA-USDT,BERA,HIGH,False,RESOLVED_OR_EXCLUDED
BERT-USDT,BERT,HIGH,False,RESOLVED_OR_EXCLUDED
BEST-USDT,BEST,HIGH,False,RESOLVED_OR_EXCLUDED
BETA-USDT,BETA,HIGH,False,RESOLVED_OR_EXCLUDED
BFC-USDT,BFC,HIGH,False,RESOLVED_OR_EXCLUDED
BFT-USDT,BFT,HIGH,False,RESOLVED_OR_EXCLUDED
BGN-USDT,BGN,HIGH,False,RESOLVED_OR_EXCLUDED
BHC-USDT,BHC,HIGH,False,RESOLVED_OR_EXCLUDED
BHD-USDT,BHD,HIGH,False,RESOLVED_OR_EXCLUDED
BICO-USDT,BICO,HIGH,False,RESOLVED_OR_EXCLUDED
BIDP-USDT,BIDP,HIGH,False,RESOLVED_OR_EXCLUDED
BIF-USDT,BIF,HIGH,False,RESOLVED_OR_EXCLUDED
BIFI-USDT,BIFI,HIGH,False,RESOLVED_OR_EXCLUDED
BIGTIME-USDT,BIGTIME,HIGH,False,RESOLVED_OR_EXCLUDED
BIIS-USDT,BIIS,HIGH,False,RESOLVED_OR_EXCLUDED
BILL-USDT,BILL,HIGH,False,RESOLVED_OR_EXCLUDED
BIO-USDT,BIO,HIGH,False,RESOLVED_OR_EXCLUDED
BIRB-USDT,BIRB,HIGH,False,RESOLVED_OR_EXCLUDED
BIT-USDT,BIT,HIGH,False,RESOLVED_OR_EXCLUDED
BITCLAVE-USDT,BITCLAVE,HIGH,False,RESOLVED_OR_EXCLUDED
BLAST-USDT,BLAST,HIGH,False,RESOLVED_OR_EXCLUDED
BLEND-USDT,BLEND,HIGH,False,RESOLVED_OR_EXCLUDED
BLOC-USDT,BLOC,HIGH,False,RESOLVED_OR_EXCLUDED
BLOCK-USDT,BLOCK,HIGH,False,RESOLVED_OR_EXCLUDED
BLOCKST-USDT,BLOCKST,HIGH,False,RESOLVED_OR_EXCLUDED
BLOK-USDT,BLOK,HIGH,False,RESOLVED_OR_EXCLUDED
BLUAI-USDT,BLUAI,HIGH,False,RESOLVED_OR_EXCLUDED
BLUE-USDT,BLUE,HIGH,False,RESOLVED_OR_EXCLUDED
BLUM-USDT,BLUM,HIGH,False,RESOLVED_OR_EXCLUDED
BLUR-USDT,BLUR,HIGH,False,RESOLVED_OR_EXCLUDED
BLUR2L-USDT,BLUR2L,HIGH,False,RESOLVED_OR_EXCLUDED
BLUR2S-USDT,BLUR2S,HIGH,False,RESOLVED_OR_EXCLUDED
BLZ-USDT,BLZ,HIGH,False,RESOLVED_OR_EXCLUDED
BMB-USDT,BMB,HIGH,False,RESOLVED_OR_EXCLUDED
BMON-USDT,BMON,HIGH,False,RESOLVED_OR_EXCLUDED
BMT-USDT,BMT,HIGH,False,RESOLVED_OR_EXCLUDED
BMX-USDT,BMX,HIGH,False,RESOLVED_OR_EXCLUDED
BN-USDT,BN,HIGH,False,RESOLVED_OR_EXCLUDED
BNB-USDT,BNB,HIGH,False,RESOLVED_OR_EXCLUDED
BNB3L-USDT,BNB3L,HIGH,False,RESOLVED_OR_EXCLUDED
BNB3S-USDT,BNB3S,HIGH,False,RESOLVED_OR_EXCLUDED
BNC-USDT,BNC,HIGH,False,RESOLVED_OR_EXCLUDED
BND-USDT,BND,HIGH,False,RESOLVED_OR_EXCLUDED
BNKR-USDT,BNKR,HIGH,False,RESOLVED_OR_EXCLUDED
BNOLD-USDT,BNOLD,HIGH,False,RESOLVED_OR_EXCLUDED
BNRENSHENG-USDT,BNRENSHENG,HIGH,False,RESOLVED_OR_EXCLUDED
BNS-USDT,BNS,HIGH,False,RESOLVED_OR_EXCLUDED
BNT-USDT,BNT,HIGH,False,RESOLVED_OR_EXCLUDED
BNTY-USDT,BNTY,HIGH,False,RESOLVED_OR_EXCLUDED
BNX-USDT,BNX,HIGH,False,RESOLVED_OR_EXCLUDED
BOA-USDT,BOA,HIGH,False,RESOLVED_OR_EXCLUDED
BOB-USDT,BOB,HIGH,False,RESOLVED_OR_EXCLUDED
BOBA-USDT,BOBA,HIGH,False,RESOLVED_OR_EXCLUDED
BOBMEME-USDT,BOBMEME,HIGH,False,RESOLVED_OR_EXCLUDED
BOLT-USDT,BOLT,HIGH,False,RESOLVED_OR_EXCLUDED
BOMB-USDT,BOMB,HIGH,False,RESOLVED_OR_EXCLUDED
BOME-USDT,BOME,HIGH,False,RESOLVED_OR_EXCLUDED
BOND-USDT,BOND,HIGH,False,RESOLVED_OR_EXCLUDED
BONDLY-USDT,BONDLY,HIGH,False,RESOLVED_OR_EXCLUDED
BONK-USDT,BONK,HIGH,False,RESOLVED_OR_EXCLUDED
BONKDOWN-USDT,BONKDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
BONKUP-USDT,BONKUP,HIGH,False,RESOLVED_OR_EXCLUDED
BOOM-USDT,BOOM,HIGH,False,RESOLVED_OR_EXCLUDED
BOS-USDT,BOS,HIGH,False,RESOLVED_OR_EXCLUDED
BOSOLD-USDT,BOSOLD,HIGH,False,RESOLVED_OR_EXCLUDED
BOSON-USDT,BOSON,HIGH,False,RESOLVED_OR_EXCLUDED
BPT-USDT,BPT,HIGH,False,RESOLVED_OR_EXCLUDED
BR-USDT,BR,HIGH,False,RESOLVED_OR_EXCLUDED
BRAWL-USDT,BRAWL,HIGH,False,RESOLVED_OR_EXCLUDED
BRD-USDT,BRD,HIGH,False,RESOLVED_OR_EXCLUDED
BRETT-USDT,BRETT,HIGH,False,RESOLVED_OR_EXCLUDED
BREV-USDT,BREV,HIGH,False,RESOLVED_OR_EXCLUDED
BRG-USDT,BRG,HIGH,False,RESOLVED_OR_EXCLUDED
BRISE-USDT,BRISE,HIGH,False,RESOLVED_OR_EXCLUDED
BRL-USDT,BRL,HIGH,False,RESOLVED_OR_EXCLUDED
BROCCOLI-USDT,BROCCOLI,HIGH,False,RESOLVED_OR_EXCLUDED
BRWL-USDT,BRWL,HIGH,False,RESOLVED_OR_EXCLUDED
BSD-USDT,BSD,HIGH,False,RESOLVED_OR_EXCLUDED
BSU-USDT,BSU,HIGH,False,RESOLVED_OR_EXCLUDED
BSV-USDT,BSV,HIGH,False,RESOLVED_OR_EXCLUDED
BSW-USDT,BSW,HIGH,False,RESOLVED_OR_EXCLUDED
BTC-USDT,BTC,HIGH,False,RESOLVED_OR_EXCLUDED
BTC3L-USDT,BTC3L,HIGH,False,RESOLVED_OR_EXCLUDED
BTC3S-USDT,BTC3S,HIGH,False,RESOLVED_OR_EXCLUDED
BTCDOWN-USDT,BTCDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
BTCP-USDT,BTCP,HIGH,False,RESOLVED_OR_EXCLUDED
BTCUP-USDT,BTCUP,HIGH,False,RESOLVED_OR_EXCLUDED
BTF-USDT,BTF,HIGH,False,RESOLVED_OR_EXCLUDED
BTG-USDT,BTG,HIGH,False,RESOLVED_OR_EXCLUDED
BTGOLD-USDT,BTGOLD,HIGH,False,RESOLVED_OR_EXCLUDED
BTM-USDT,BTM,HIGH,False,RESOLVED_OR_EXCLUDED
BTMX-USDT,BTMX,HIGH,False,RESOLVED_OR_EXCLUDED
BTR-USDT,BTR,HIGH,False,RESOLVED_OR_EXCLUDED
BTT-USDT,BTT,HIGH,False,RESOLVED_OR_EXCLUDED
BU-USDT,BU,HIGH,False,RESOLVED_OR_EXCLUDED
BUBB-USDT,BUBB,HIGH,False,RESOLVED_OR_EXCLUDED
BULL-USDT,BULL,HIGH,False,RESOLVED_OR_EXCLUDED
BULLA-USDT,BULLA,HIGH,False,RESOLVED_OR_EXCLUDED
BUN-USDT,BUN,HIGH,False,RESOLVED_OR_EXCLUDED
BURGER-USDT,BURGER,HIGH,False,RESOLVED_OR_EXCLUDED
BURP-USDT,BURP,HIGH,False,RESOLVED_OR_EXCLUDED
BUSD-USDT,,EXCLUDED_STABLECOIN_OR_CASH,False,RESOLVED_OR_EXCLUDED
BUX-USDT,BUX,HIGH,False,RESOLVED_OR_EXCLUDED
BUY-USDT,BUY,HIGH,False,RESOLVED_OR_EXCLUDED
BUZZ-USDT,BUZZ,HIGH,False,RESOLVED_OR_EXCLUDED
BWP-USDT,BWP,HIGH,False,RESOLVED_OR_EXCLUDED
BYTE-USDT,BYTE,HIGH,False,RESOLVED_OR_EXCLUDED
BZD-USDT,BZD,HIGH,False,RESOLVED_OR_EXCLUDED
BZRX-USDT,BZRX,HIGH,False,RESOLVED_OR_EXCLUDED
C-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,RESOLVED_OR_EXCLUDED
C98-USDT,C98,HIGH,False,RESOLVED_OR_EXCLUDED
CAD-USDT,CAD,HIGH,False,RESOLVED_OR_EXCLUDED
CADH-USDT,CADH,HIGH,False,RESOLVED_OR_EXCLUDED
CAG-USDT,CAG,HIGH,False,RESOLVED_OR_EXCLUDED
CAI-USDT,CAI,HIGH,False,RESOLVED_OR_EXCLUDED
CAKE-USDT,CAKE,HIGH,False,RESOLVED_OR_EXCLUDED
CAMP-USDT,CAMP,HIGH,False,RESOLVED_OR_EXCLUDED
