candidate_pair,resolution,probe_request_count,observed_row_count
BNKR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BNOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BNRENSHENG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BNTY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BOBMEME-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BOMB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BONKDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BONKUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BOOM-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BOS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BOSOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BPT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,70,0
BRD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BREV-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BRL-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BROCCOLI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BSD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BSU-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BTC3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BTC3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BTCDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BTCP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BTCUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BTG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BTGOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BTM-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BTR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BU-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,84,0
BUBB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BULLA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BUN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BUSD-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BUX-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BUZZ-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BWP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BYTE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BZD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
C-USDT,INVALID_OR_EXCLUDED_PRODUCT,904,0
CAD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CADH-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CAG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CAI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CAMP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CAN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CANDY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CAP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CAPP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CARDS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CARV-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CASHCAT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CBC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CELB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CESS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CFD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CFX2L-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
CFX2S-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
CGPT-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
CHEEMS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHEQ-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHF-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHIP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHIRP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CHR-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,4,7
CHSB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CLANKER-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CLAY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CLO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CLOUD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CLP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CLUB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COFI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COLS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COMBO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COMMON-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COMP-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,6,7
COMPDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
COMPUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
COP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
COSM-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
COTI-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,4,7
COV-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CPC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CRC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CRCLX-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CROS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CROSS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CRPT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CRTR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
CSKY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CTI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CTR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,42,0
CTRL-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CTROLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CTSIDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
CTSIUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
CV-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,42,0
CVC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CVE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CXO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CXT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CYC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CYPR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CYS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
CZK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
D-USDT,INVALID_OR_EXCLUDED_PRODUCT,534,0
DACC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DADI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DAG-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,6,7
DAI-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DARK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DASH-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,6,7
DAT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,42,0
DATAOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DATX-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DBC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DBR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DCC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DCR-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,13,7
DEB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DEEP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DEFAI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DENT-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,13,7
DEUS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DFUN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DFYN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DGB-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,6,7
DGC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DIGI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
DIGIMON-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DIN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DJF-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DKK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DLTA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DMC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
DNA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DOCK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DOGE3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DOGE3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DOLO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DOMIN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DON-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DOOD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DOT3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DOT3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DRGN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DSYNC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DTA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DUCK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
DYDXDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DYDXUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
DZD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
