duplicate_count,maximum_internal_gap_days,missing_calendar_day_count,pair,total_daily_rows,zero_volume_count
0,0,0,LRC-USDT,1428,0
0,0,0,LSK-USDT,404,0
0,17,77,LTC-USDT,2452,0
0,0,0,LUNA-USDT,949,0
0,0,0,LUNC-USDT,951,0
0,0,0,LYX-USDT,527,0
0,0,0,MAGIC-USDT,715,0
0,0,0,MAN-USDT,1365,0
0,0,0,MANA-USDT,1386,0
0,0,0,MANTA-USDT,349,0
0,0,0,MAPO-USDT,248,0
0,0,0,MARS4-USDT,1038,0
0,0,0,MASK-USDT,1407,0
0,0,0,MAV-USDT,553,0
0,0,0,MBL-USDT,964,0
0,0,0,MEME-USDT,425,0
0,0,0,METIS-USDT,1035,0
0,0,0,MINA-USDT,665,0
0,0,0,MLK-USDT,1609,0
0,0,0,MNT-USDT,398,0
0,0,0,MONPRO-USDT,219,0
0,0,0,MOVR-USDT,1223,0
0,0,0,MTL-USDT,1238,0
0,0,0,MTRG-USDT,1156,0
0,0,0,MTV-USDT,2094,0
0,0,0,MYRIA-USDT,636,0
0,0,0,MYRO-USDT,371,0
0,0,0,NAKA-USDT,1174,0
0,0,0,NAVI-USDT,764,0
0,0,0,NEAR-USDT,1272,0
0,9,57,NEO-USDT,2541,0
0,0,0,NEON-USDT,352,0
0,0,0,NFP-USDT,356,0
0,0,0,NFT-USDT,1300,0
0,0,0,NIM-USDT,1559,0
0,0,0,NKN-USDT,1204,0
0,0,0,NMR-USDT,1212,0
0,0,0,NUM-USDT,1140,0
0,0,0,NXRA-USDT,666,6
0,0,0,NYM-USDT,992,0
0,0,0,OBI-USDT,583,0
0,0,0,OGN-USDT,1328,0
0,0,0,ONDO-USDT,349,0
0,0,0,ONE-USDT,1959,0
0,33,133,ONT-USDT,2161,1
0,0,0,OORT-USDT,197,0
0,0,0,OP-USDT,946,0
0,0,0,OP2L-USDT,275,0
0,0,0,OP2S-USDT,274,4
0,0,0,ORAI-USDT,1408,0
0,0,0,ORBS-USDT,1377,0
0,0,0,ORCA-USDT,355,0
0,0,0,ORDI-USDT,580,0
0,0,0,OSMO-USDT,719,0
0,0,0,OTK-USDT,630,0
0,0,0,OVR-USDT,979,0
0,0,0,OXT-USDT,1206,0
0,0,0,P2P-USDT,1192,0
0,0,0,PAXG-USDT,1148,0
0,0,0,PENDLE-USDT,548,0
0,0,0,PEOPLE-USDT,1106,0
0,0,0,PEPE-USDT,607,0
0,0,0,PHA-USDT,1405,0
0,0,0,PIX-USDT,834,0
0,0,0,POKT-USDT,805,0
0,0,0,POL-USDT,419,0
0,0,0,POLS-USDT,1307,0
0,0,0,POLYX-USDT,379,0
0,0,0,POND-USDT,1126,0
0,0,0,PROM-USDT,1315,0
0,0,0,PUNDIX-USDT,1363,0
0,0,0,PUSH-USDT,1177,0
0,0,0,PYR-USDT,1316,0
0,0,0,PYTH-USDT,408,0
0,0,0,PZP-USDT,623,14
0,0,0,QI-USDT,1231,0
0,0,0,QKC-USDT,404,0
0,0,0,QNT-USDT,1424,0
0,0,0,RATS-USDT,408,0
0,0,0,RAY-USDT,363,0
0,0,0,REEF-USDT,1170,0
0,0,0,REQ-USDT,1237,0
0,0,0,REVU-USDT,1090,0
0,0,0,RLC-USDT,1209,0
0,0,0,ROSE-USDT,1504,0
0,0,0,ROUTE-USDT,1261,18
0,0,0,RPL-USDT,712,0
0,0,0,RSR-USDT,1133,0
0,0,0,RUNE-USDT,1191,0
0,0,0,RVN-USDT,854,0
0,0,0,SAND-USDT,1371,0
0,0,0,SAROS-USDT,348,0
0,0,0,SATS-USDT,419,0
0,0,0,SCRT-USDT,952,0
0,0,0,SD-USDT,635,0
0,0,0,SEI-USDT,505,0
0,0,0,SENSO-USDT,1748,0
0,0,0,SFP-USDT,1134,0
0,0,0,SFUND-USDT,1301,0
0,0,0,SHIB-USDT,1332,0
0,0,0,SHR-USDT,1510,0
0,0,0,SIN-USDT,968,0
0,0,0,SKEY-USDT,1384,0
0,0,0,SKL-USDT,1212,0
0,0,0,SLP-USDT,1246,0
0,17,88,SNX-USDT,2328,6
0,0,0,SOL-USDT,1246,0
0,0,0,SOUL-USDT,1274,0
0,0,0,SPA-USDT,988,0
0,0,0,SSV-USDT,685,0
0,0,0,STG-USDT,1013,0
0,0,0,STORJ-USDT,1216,0
0,0,0,STRAX-USDT,632,33
0,0,0,STX-USDT,1679,0
0,0,0,SUI-USDT,609,0
0,0,0,SUKU-USDT,1602,0
0,0,0,SUN-USDT,1275,0
0,0,0,SUPER-USDT,1161,0
0,0,0,SUSHI-USDT,1440,0
0,0,0,SWEAT-USDT,841,0
0,0,0,SWFTC-USDT,985,0
0,0,0,SYN-USDT,673,0
0,0,0,SYS-USDT,979,0
0,0,0,TAO-USDT,378,0
0,407,425,TEL-USDT,2104,0
0,0,0,TFUEL-USDT,1036,0
0,0,0,THETA-USDT,1426,0
0,0,0,TIA-USDT,428,0
0,0,0,TIME-USDT,1100,0
0,0,0,TLM-USDT,1192,0
0,0,0,TLOS-USDT,1325,0
0,0,0,TOKEN-USDT,425,0
0,0,0,TOWER-USDT,1342,0
0,0,0,TRAC-USDT,691,0
0,0,0,TRADE-USDT,1139,0
0,0,0,TRB-USDT,1211,0
0,0,0,TRVL-USDT,1119,0
0,15,105,TRX-USDT,2186,0
0,0,0,TT-USDT,853,0
0,0,0,TURBOS-USDT,597,0
0,0,0,TWT-USDT,1141,0
0,0,0,UMA-USDT,1577,0
0,0,0,UNI-USDT,1567,0
0,0,0,UOS-USDT,1561,0
0,0,0,UQC-USDT,404,0
0,0,0,UTK-USDT,390,0
0,0,0,VAI-USDT,1370,20
0,0,0,VANRY-USDT,384,0
0,0,0,VELO-USDT,1567,0
0,0,0,VERSE-USDT,586,0
0,22,97,VET-USDT,2225,0
0,0,0,VOLT-USDT,579,0
0,0,0,VR-USDT,1126,0
0,0,0,VSYS-USDT,1945,0
0,0,0,WAVES-USDT,1623,0
0,0,0,WAX-USDT,1359,0
0,0,0,WAXL-USDT,686,0
0,0,0,WELL-USDT,923,0
0,0,0,WEMIX-USDT,916,0
0,0,0,WIF-USDT,349,0
0,0,0,WILD-USDT,1219,0
0,0,0,WIN-USDT,1980,0
0,0,0,WLD-USDT,527,0
0,0,0,WOO-USDT,1220,0
0,0,0,XAI-USDT,358,0
0,0,0,XAVA-USDT,1301,0
0,0,0,XCH-USDT,1244,0
0,0,0,XCN-USDT,1005,0
0,0,0,XDB-USDT,1730,0
0,0,0,XDC-USDT,1335,0
0,0,0,XEC-USDT,1115,0
0,0,0,XEM-USDT,2015,1
0,0,0,XEN-USDT,553,0
0,17,131,XLM-USDT,2193,0
0,0,0,XMR-USDT,1379,0
0,0,0,XPR-USDT,1226,0
0,0,0,XPRT-USDT,1205,0
0,0,0,XRD-USDT,665,0
0,9,49,XRP-USDT,2171,0
0,0,0,XTZ-USDT,2014,0
0,0,0,XYO-USDT,1210,0
0,0,0,YFI-USDT,1570,0
0,0,0,YGG-USDT,1213,0
0,0,0,ZBCN-USDT,244,0
0,0,0,ZEC-USDT,2009,0
0,0,0,ZEN-USDT,1430,0
0,0,0,ZIL-USDT,1365,0
0,0,0,ZKJ-USDT,288,3
0,0,0,ZPAY-USDT,618,0
0,0,0,ZRX-USDT,406,0
