raw_candidate_code,candidate_pair,canonical_asset_id,discovery_channels,earliest_discovery_timestamp,explicit_pair_evidence,candidate_only_evidence,current_metadata_only,historical_download_catalogue,listing_evidence_count,delisting_evidence_count,identity_status,probe_status,valid_kline_observation_count,first_observed_open,last_observed_open,membership_classification,p0b_terminal_resolution,p0b_probe_completed,p0b_boundary_acquired,p0b_archive_evidence,p0b_final_membership
AA,AA-USDT,AA,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AAVE,AAVE-USDT,AAVE,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,28,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AAVE3L,AAVE3L-USDT,AAVE3L,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
AAVE3S,AAVE3S-USDT,AAVE3S,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
ABBC,ABBC-USDT,ABBC,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ABT,ABT-USDT,ABT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACA,ACA-USDT,ACA,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACAT,ACAT-USDT,ACAT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACCORDING,ACCORDING-USDT,ACCORDING,announcement_listing,,,True,False,False,4,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACE,ACE-USDT,ACE,announcement_listing,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACEOLD,ACEOLD-USDT,ACEOLD,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACH,ACH-USDT,ACH,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,14,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ACN,ACN-USDT,ACN,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACOIN,ACOIN-USDT,ACOIN,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACQ,ACQ-USDT,ACQ,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACS,ACS-USDT,ACS,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,ACS-USDT,False,False,False,2,0,HIGH,PROBED,7,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ACTOLD,ACTOLD-USDT,ACTOLD,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACTSOL,ACTSOL-USDT,ACTSOL,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACU,ACU-USDT,ACU,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ACX,ACX-USDT,ACX,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ADA,ADA-USDT,ADA,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,ADA-BTC;ADA-KCS;ADA-USDT,False,False,False,3,0,HIGH,PROBED,35,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ADA3L,ADA3L-USDT,ADA3L,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
ADA3S,ADA3S-USDT,ADA3S,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
ADB,ADB-USDT,ADB,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ADI,ADI-USDT,ADI,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ADS,ADS-USDT,ADS,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ADX,ADX-USDT,ADX,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,21,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AED,AED-USDT,AED,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AEG,AEG-USDT,AEG,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AEON,AEON-USDT,AEON,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AERGO,AERGO-USDT,AERGO,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AERO,AERO-USDT,AERO,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AEVO,AEVO-USDT,AEVO,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AFG,AFG-USDT,AFG,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AFK,AFK-USDT,AFK,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AGI,AGI-USDT,AGI,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AGIOLD,AGIOLD-USDT,AGIOLD,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AGIX,AGIX-USDT,AGIX,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AGIX2L,AGIX2L-USDT,AGIX2L,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AGIX2S,AGIX2S-USDT,AGIX2S,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AGIXDOWN,AGIXDOWN-USDT,AGIXDOWN,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
AGIXUP,AGIXUP-USDT,AGIXUP,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
AGLD,AGLD-USDT,AGLD,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,21,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AGT,AGT-USDT,AGT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AI,AI-USDT,AI,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AI16Z,AI16Z-USDT,AI16Z,announcement_listing;current_currency_non_causal_seed,,,True,False,False,2,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AI3,AI3-USDT,AI3,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIDOGE,AIDOGE-USDT,AIDOGE,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIEPK,AIEPK-USDT,AIEPK,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIN,AIN-USDT,AIN,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIO,AIO-USDT,AIO,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIOLD,AIOLD-USDT,AIOLD,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AION,AION-USDT,AION,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIOZ,AIOZ-USDT,AIOZ,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,21,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AIPAD,AIPAD-USDT,AIPAD,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIPUMP,AIPUMP-USDT,AIPUMP,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AITECH,AITECH-USDT,AITECH,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIX,AIX-USDT,AIX,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AIXBT,AIXBT-USDT,AIXBT,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AKE,AKE-USDT,AKE,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AKITA,AKITA-USDT,AKITA,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AKRO,AKRO-USDT,AKRO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,AKRO-BTC;AKRO-USDT,False,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AKT,AKT-USDT,AKT,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,14,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALBT,ALBT-USDT,ALBT,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALEPH,ALEPH-USDT,ALEPH,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,28,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALEX,ALEX-USDT,ALEX,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,7,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALGO,ALGO-USDT,ALGO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,ALGO-ETH;ALGO-USDT,False,False,False,1,0,HIGH,PROBED,35,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALGODOWN,ALGODOWN-USDT,ALGODOWN,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
ALGOUP,ALGOUP-USDT,ALGOUP,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
ALICE,ALICE-USDT,ALICE,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,21,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALKIMI,ALKIMI-USDT,ALKIMI,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALL,ALL-USDT,ALL,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALLO,ALLO-USDT,ALLO,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALPA,ALPA-USDT,ALPA,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALPACA,ALPACA-USDT,ALPACA,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALPHA,ALPHA-USDT,ALPHA,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALPINE,ALPINE-USDT,ALPINE,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,14,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
ALT,ALT-USDT,ALT,announcement_listing,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALTOLD,ALTOLD-USDT,ALTOLD,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
ALU,ALU-USDT,ALU,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AMB,AMB-USDT,AMB,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,AMB-USDT,False,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AMIO,AMIO-USDT,AMIO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,,AMIO-BTC;AMIO-USDT,False,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AMP,AMP-USDT,AMP,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,14,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,True,True,False,True
AMPL,AMPL-USDT,AMPL,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
AMU,AMU-USDT,AMU,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
