source_asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,source_path,source_span_days,rebalance_time,market_cap_rank,top6_member,top10_member
neo,NEO,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,858972505.664069,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,11,False,False
dash,DASH,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,723685306.4036257,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,12,False,False
xem,XEM,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,588876001.2674643,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,13,False,False
etc,ETC,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,579513400.4275036,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,14,False,False
mkr,MKR,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,510199815.025658,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,15,False,False
link,LINK,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,394955321.911924,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,16,False,False
zec,ZEC,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,342807082.74363446,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,17,False,False
zrx,ZRX,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,336869146.997083,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,18,False,False
xtz,XTZ,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,304248948.1063448,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,19,False,False
doge,DOGE,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,267906092.00398466,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,20,False,False
btg,BTG,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,239408038.65458724,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,21,False,False
omg,OMG,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,219586193.48322573,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,22,False,False
bat,BAT,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,209424497.710053,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,23,False,False
dcr,DCR,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,177312879.67562228,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,24,False,False
poly,POLY,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,142035815.100805,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,25,False,False
dgb,DGB,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,133061252.68496521,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,26,False,False
snt,SNT,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,132772408.5200648,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,27,False,False
pax,PAX,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,132333854.39747553,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,28,False,False
gno,GNO,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,127967915.393008,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,29,False,False
mana,MANA,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,118717892.7356907,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,30,False,False
btc,BTC,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,61332359877.665184,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,1,True,True
xrp,XRP,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,31441768891.51128,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,2,True,True
eth,ETH,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,12036712893.339025,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,3,True,True
xlm,XLM,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,10671350025.864872,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,4,True,True
bch,BCH,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,2174166745.1380897,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,5,True,True
ltc,LTC,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,1787687150.4496775,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,6,True,True
bsv,BSV,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,1338033571.8106875,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,7,False,True
ada,ADA,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,1236998789.3267288,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,8,False,True
bnb,BNB,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,1051057519.8866012,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,9,False,True
neo,NEO,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,705261677.786016,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,10,False,True
xmr,XMR,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,689769652.4900182,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,11,False,False
dash,DASH,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,588978018.9895452,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,12,False,False
xem,XEM,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,489524079.25611174,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,13,False,False
etc,ETC,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,454281615.80550164,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,14,False,False
link,LINK,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,442198358.138963,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,15,False,False
mkr,MKR,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,414433472.277424,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,16,False,False
zec,ZEC,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,297043943.6934131,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,17,False,False
zrx,ZRX,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,267199061.347741,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,18,False,False
doge,DOGE,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,244970672.82178777,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,19,False,False
xtz,XTZ,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,244638685.72827494,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,20,False,False
btg,BTG,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,205201381.62737334,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,21,False,False
bat,BAT,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,179354699.264481,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,22,False,False
omg,OMG,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,166474691.46173668,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,23,False,False
dcr,DCR,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,146637477.4702777,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,24,False,False
pax,PAX,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,133027629.31568949,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,25,False,False
snt,SNT,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,120434751.02041775,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,26,False,False
poly,POLY,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,115800086.728882,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,27,False,False
qash,QASH,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,107475044.561303,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,28,False,False
gno,GNO,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,104382329.004443,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,29,False,False
dgb,DGB,2019-01-13 00:00:00+00:00,2019-01-13 00:00:00+00:00,2019-01-14 00:00:00+00:00,104322527.81518894,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-14 00:00:00+00:00,30,False,False
btc,BTC,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,61893394902.552124,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,1,True,True
xrp,XRP,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,31691273146.31485,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,2,True,True
eth,ETH,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,12278394345.721262,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,3,True,True
xlm,XLM,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,10785157111.4452,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,4,True,True
bch,BCH,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,2145611693.7937129,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,5,True,True
ltc,LTC,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,1841564925.308428,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,6,True,True
ada,ADA,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,1336829886.582825,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,7,False,True
bsv,BSV,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,1302735183.0109491,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,8,False,True
bnb,BNB,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,1211622167.2690487,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,9,False,True
neo,NEO,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,746317166.782412,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,10,False,True
xmr,XMR,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,704823865.2031424,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,11,False,False
dash,DASH,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,585500613.1602702,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,12,False,False
xem,XEM,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,493889836.1320484,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,13,False,False
link,LINK,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,484654223.782296,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,14,False,False
etc,ETC,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,460363957.76414746,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,15,False,False
mkr,MKR,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,446276462.28198,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,16,False,False
zec,ZEC,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,297741855.5664766,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,17,False,False
zrx,ZRX,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,281900752.111446,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,18,False,False
xtz,XTZ,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,266516511.20784768,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,19,False,False
doge,DOGE,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,241128052.98468974,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,20,False,False
rep,REP,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,197818507.8292148,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,21,False,False
btg,BTG,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,194100010.36360964,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,22,False,False
bat,BAT,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,183940820.376225,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,23,False,False
omg,OMG,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,174535503.44026506,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,24,False,False
snt,SNT,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,156624748.7685334,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,25,False,False
dcr,DCR,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,150885917.6295893,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,26,False,False
pax,PAX,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,140426576.99259597,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,27,False,False
poly,POLY,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,118937413.090692,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,28,False,False
gno,GNO,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,113542856.584444,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,29,False,False
powr,POWR,2019-01-20 00:00:00+00:00,2019-01-20 00:00:00+00:00,2019-01-21 00:00:00+00:00,112294061.080776,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-21 00:00:00+00:00,30,False,False
btc,BTC,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,61925952432.71354,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,1,True,True
xrp,XRP,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,30529220582.775684,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,2,True,True
eth,ETH,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,11696077576.162504,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,3,True,True
xlm,XLM,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,9819902298.896582,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,4,True,True
bch,BCH,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,2126232429.0985744,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,5,True,True
ltc,LTC,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,1937998507.2261102,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,6,True,True
bnb,BNB,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,1325258779.255581,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,7,False,True
ada,ADA,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,1266691241.4845214,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,8,False,True
bsv,BSV,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,1246920451.4388359,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,9,False,True
xmr,XMR,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,748028781.9981706,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,10,False,True
neo,NEO,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,731095283.008287,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,11,False,False
dash,DASH,2019-01-27 00:00:00+00:00,2019-01-27 00:00:00+00:00,2019-01-28 00:00:00+00:00,602975191.6474923,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-28 00:00:00+00:00,12,False,False
