rebalance_time,panel_asset_count,top_candidate_count,snapshot_complete
2023-10-16 00:00:00+00:00,76,30,True
2023-10-23 00:00:00+00:00,76,30,True
2023-10-30 00:00:00+00:00,76,30,True
2023-11-06 00:00:00+00:00,76,30,True
2023-11-13 00:00:00+00:00,76,30,True
2023-11-20 00:00:00+00:00,76,30,True
2023-11-27 00:00:00+00:00,76,30,True
2023-12-04 00:00:00+00:00,76,30,True
2023-12-11 00:00:00+00:00,76,30,True
2023-12-18 00:00:00+00:00,75,30,True
2023-12-25 00:00:00+00:00,75,30,True
2024-01-01 00:00:00+00:00,75,30,True
2024-01-08 00:00:00+00:00,75,30,True
2024-01-15 00:00:00+00:00,75,30,True
2024-01-22 00:00:00+00:00,75,30,True
2024-01-29 00:00:00+00:00,75,30,True
2024-02-05 00:00:00+00:00,75,30,True
2024-02-12 00:00:00+00:00,75,30,True
2024-02-19 00:00:00+00:00,75,30,True
2024-02-26 00:00:00+00:00,75,30,True
2024-03-04 00:00:00+00:00,75,30,True
2024-03-11 00:00:00+00:00,75,30,True
2024-03-18 00:00:00+00:00,75,30,True
2024-03-25 00:00:00+00:00,75,30,True
2024-04-01 00:00:00+00:00,75,30,True
2024-04-08 00:00:00+00:00,75,30,True
2024-04-15 00:00:00+00:00,75,30,True
2024-04-22 00:00:00+00:00,75,30,True
2024-04-29 00:00:00+00:00,75,30,True
2024-05-06 00:00:00+00:00,75,30,True
2024-05-13 00:00:00+00:00,75,30,True
2024-05-20 00:00:00+00:00,75,30,True
2024-05-27 00:00:00+00:00,75,30,True
2024-06-03 00:00:00+00:00,75,30,True
2024-06-10 00:00:00+00:00,75,30,True
2024-06-17 00:00:00+00:00,76,30,True
2024-06-24 00:00:00+00:00,75,30,True
2024-07-01 00:00:00+00:00,75,30,True
2024-07-08 00:00:00+00:00,75,30,True
2024-07-15 00:00:00+00:00,75,30,True
2024-07-22 00:00:00+00:00,75,30,True
2024-07-29 00:00:00+00:00,75,30,True
2024-08-05 00:00:00+00:00,75,30,True
2024-08-12 00:00:00+00:00,75,30,True
2024-08-19 00:00:00+00:00,75,30,True
2024-08-26 00:00:00+00:00,75,30,True
2024-09-02 00:00:00+00:00,75,30,True
2024-09-09 00:00:00+00:00,75,30,True
2024-09-16 00:00:00+00:00,75,30,True
2024-09-23 00:00:00+00:00,75,30,True
2024-09-30 00:00:00+00:00,75,30,True
2024-10-07 00:00:00+00:00,75,30,True
2024-10-14 00:00:00+00:00,75,30,True
2024-10-21 00:00:00+00:00,75,30,True
2024-10-28 00:00:00+00:00,75,30,True
2024-11-04 00:00:00+00:00,75,30,True
2024-11-11 00:00:00+00:00,74,30,True
2024-11-18 00:00:00+00:00,74,30,True
2024-11-25 00:00:00+00:00,74,30,True
2024-12-02 00:00:00+00:00,74,30,True
2024-12-09 00:00:00+00:00,74,30,True
2024-12-16 00:00:00+00:00,73,30,True
2024-12-23 00:00:00+00:00,73,30,True
2024-12-30 00:00:00+00:00,73,30,True
